episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
1,5,0,0,2,1,-4.375,0.9995,1,0,0.01
2,5,0,0,2,1,-4.475,0.999,1,0,0.0199
3,13,0,0,2,1,-4.515,0.9986,1,0,0.0244
4,14,0,0,4,2,-4.19,0.9981,1,0,0.0342
5,12,0,0,3,1,-4.395,0.9976,1,0,0.0417
6,8,0,0,2,1,-4.505,0.9971,1,0,0.0474
7,11,0,0,2,1,-4.685,0.9967,1,0,0.0552
8,6,0,0,2,1,-4.585,0.9962,1,0,0.0629
9,7,0,0,2,1,-4.445,0.9957,1,0,0.0667
10,7,0,0,3,1,-4.145,0.9952,1,0,0.0732
11,17,0,0,3,1,-4.4525,0.9948,1,0,0.0788
12,9,0,0,3,1,-4.265,0.9943,1,0,0.0845
13,26,0,0,4,2,-4.42,0.9938,1,0,0.0903
14,9,0,0,2,1,-4.4725,0.9933,1,0,0.0972
15,5,0,0,3,1,-4.175,0.9929,1,0,0.0996
16,5,0,0,4,1,-3.875,0.9924,1,0,0.1047
17,13,0,0,0,1,-5.305,0.9919,1,0,0.1105
18,5,0,0,2,1,-4.475,0.9915,1,0,0.1122
19,14,0,0,4,2,-4.0075,0.991,1,0,0.1178
20,5,0,0,4,1,-3.675,0.9905,1,0,0.1222
21,11,0,0,4,1,-3.735,0.99,1,0,0.1265
22,11,0,0,2,1,-4.635,0.9896,1,0,0.1323
23,6,0,0,3,1,-4.235,0.9891,1,0,0.1376
24,5,0,0,2,1,-4.435,0.9886,1,0,0.1417
25,18,0,0,5,2,-3.4575,0.9881,1,0,0.1441
26,11,0,0,3,1,-4.335,0.9877,1,0,0.1479
27,7,0,0,3,1,-4.345,0.9872,1,0,0.1522
28,5,0,0,4,1,-3.775,0.9867,1,0,0.1565
29,10,0,0,1,1,-4.775,0.9862,1,0,0.1588
30,7,0,0,4,1,-3.895,0.9858,1,0,0.1629
31,8,0,0,3,1,-4.215,0.9853,1,0,0.1675
32,5,0,0,4,1,-3.675,0.9848,1,0,0.1713
33,10,0,0,6,1,-3.275,0.9843,1,0,0.1731
34,5,0,0,4,1,-3.675,0.9839,1,0,0.1767
35,9,0,0,3,1,-4.275,0.9834,1,0,0.1803
36,19,0,0,3,2,-4.34,0.9829,1,0,0.1849
37,12,0,0,3,1,-4.195,0.9824,1,0,0.1867
38,7,0,0,2,1,-4.695,0.9819,1,0,0.1917
39,5,0,0,3,1,-4.175,0.9815,1,0,0.1958
40,9,0,0,4,1,-3.715,0.981,1,0,0.1987
41,12,0,0,4,1,-3.995,0.9805,1,0,0.201
42,6,0,0,1,1,-4.785,0.98,1,0,0.2066
