episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
1,5,0,0,2,1,-4.395,0.9995,1,0,0.0124
2,5,0,0,4,1,-3.995,0.999,1,0,0.0233
3,22,0,0,5,2,-4.16,0.9986,1,0,0.0339
4,6,0,0,4,1,-4.055,0.9981,1,0,0.0441
5,8,0,0,3,1,-4.225,0.9976,1,0,0.0463
6,7,0,0,2,1,-4.5665,0.9971,1,0,0.0557
7,7,0,0,3,1,-4.267,0.9967,1,0,0.0593
8,9,0,0,3,1,-4.235,0.9962,1,0,0.0685
9,5,0,0,3,1,-4.295,0.9957,1,0,0.0781
10,5,0,0,2,1,-4.595,0.9952,1,0,0.0884
11,7,0,0,3,1,-4.1685,0.9948,1,0,0.0918
12,6,0,0,2,1,-4.605,0.9943,1,0,0.1006
13,5,0,0,2,1,-4.495,0.9938,1,0,0.1039
14,9,0,0,2,1,-4.687,0.9933,1,0,0.1089
15,6,0,0,2,1,-4.507,0.9929,1,0,0.1153
16,23,0,0,7,2,-3.52,0.9924,1,0,0.1199
17,5,0,0,2,1,-4.595,0.9919,1,0,0.1265
18,19,0,0,8,2,-3.0835,0.9915,1,0,0.1283
19,5,0,0,4,1,-3.995,0.991,1,0,0.1354
20,10,0,0,3,1,-4.2465,0.9905,1,0,0.1425
21,11,0,0,3,1,-4.555,0.99,1,0,0.1489
22,7,0,0,2,1,-4.565,0.9896,1,0,0.1538
23,5,0,0,4,1,-3.895,0.9891,1,0,0.1608
24,11,0,0,2,1,-4.555,0.9886,1,0,0.1679
25,6,0,0,2,1,-4.605,0.9881,1,0,0.1755
26,9,0,0,2,1,-4.585,0.9877,1,0,0.1774
27,17,0,0,4,1,-4.067,0.9872,1,0,0.1798
28,10,0,0,3,1,-4.295,0.9867,1,0,0.1858
29,5,0,0,4,1,-3.995,0.9862,1,0,0.1927
30,6,0,0,2,1,-4.505,0.9858,1,0,0.1998
31,5,0,0,4,1,-3.995,0.9853,1,0,0.2058
32,19,0,0,2,2,-4.8315,0.9848,1,0,0.2054
33,7,0,0,4,1,-4.015,0.9843,1,0,0.2109
34,8,0,0,1,1,-4.925,0.9839,1,0,0.2186
35,6,0,0,4,1,-3.955,0.9834,1,0,0.2238
36,10,0,0,4,1,-4.195,0.9829,1,0,0.2292
37,5,0,0,3,1,-4.195,0.9824,1,0,0.2352
38,6,0,0,4,1,-4.055,0.9819,1,0,0.2404
39,6,0,0,2,1,-4.655,0.9815,1,0,0.2475
40,5,0,0,1,1,-4.795,0.981,1,0,0.2474
41,5,0,0,2,1,-4.595,0.9805,1,0,0.2541
42,9,0,0,1,1,-4.985,0.98,1,0,0.2599
43,5,0,0,2,1,-4.595,0.9796,1,0,0.2664
44,6,0,0,3,1,-4.205,0.9791,1,0,0.272
45,15,0,0,2,1,-4.745,0.9786,1,0,0.2734
46,7,0,0,3,1,-4.215,0.9781,1,0,0.2783
47,12,0,0,5,1,-3.915,0.9777,1,0,0.2806
48,6,0,0,3,1,-4.305,0.9772,1,0,0.2863
49,12,0,0,3,1,-4.415,0.9767,1,0,0.2907
50,8,0,0,3,1,-4.375,0.9762,1,0,0.2961
51,5,0,0,3,1,-4.195,0.9758,1,0,0.301
52,12,0,0,4,1,-4.215,0.9753,1,0,0.3032
53,10,0,0,3,1,-4.395,0.9748,1,0,0.3076
54,8,0,0,2,1,-4.625,0.9744,1,0,0.3093
55,5,0,0,4,1,-3.995,0.9739,1,0,0.3135
56,6,0,0,3,1,-4.2065,0.9734,1,0,0.3198
57,7,0,0,2,1,-4.5665,0.9729,1,0,0.3264
58,10,0,0,0,1,-5.345,0.9725,1,0,0.3322
59,37,0,0,9,4,-3.0555,0.972,1,0,0.3344
60,23,0,0,4,2,-4.42,0.9715,1,0,0.3361
61,7,0,0,2,1,-4.467,0.971,1,0,0.3369
62,5,0,0,4,1,-3.995,0.9706,1,0,0.3406
63,14,0,0,6,2,-3.537,0.9701,1,0,0.339
64,5,0,0,3,1,-4.195,0.9696,1,0,0.3403
65,8,0,0,4,1,-4.075,0.9691,1,0,0.3442
66,5,0,0,3,1,-4.195,0.9687,1,0,0.3483
67,7,0,0,4,1,-4.015,0.9682,1,0,0.3516
68,5,0,0,2,1,-4.545,0.9677,1,0,0.358
69,6,0,0,2,1,-4.605,0.9672,1,0,0.3628
70,10,0,0,3,1,-4.395,0.9667,1,0,0.3665
71,11,0,0,3,1,-4.405,0.9663,1,0,0.3666
72,5,0,0,0,1,-5.195,0.9658,1,0,0.3723
73,5,0,0,2,1,-4.595,0.9653,1,0,0.3769
74,8,0,0,2,1,-4.825,0.9648,1,0,0.3802
75,8,0,0,3,1,-4.327,0.9644,1,0,0.3812
76,8,0,0,2,1,-4.5285,0.9639,1,0,0.3827
77,9,0,0,3,1,-4.287,0.9634,1,0,0.3836
78,15,0,0,1,1,-4.9465,0.9629,1,0,0.3855
79,12,0,0,1,1,-4.967,0.9625,1,0,0.3871
80,17,0,0,6,2,-3.6155,0.962,1,0,0.3857
81,18,0,0,3,2,-4.4735,0.9615,1,0,0.3839
82,15,1,1,4,2,-3.14,0.961,1,0,0.3828
83,19,0,0,5,2,-3.7835,0.9606,1,0,0.3847
84,7,0,0,3,1,-4.265,0.9601,1,0,0.3875
85,6,0,0,3,1,-4.1065,0.9596,1,0,0.3922
86,7,0,0,4,1,-3.965,0.9591,1,0,0.3926
87,5,0,0,2,1,-4.545,0.9587,1,0,0.3983
88,11,0,0,3,1,-4.555,0.9582,1,0,0.4002
89,5,0,0,3,1,-4.195,0.9577,1,0,0.405
90,5,0,0,3,1,-4.295,0.9573,1,0,0.4087
91,5,0,0,4,1,-3.995,0.9568,1,0,0.4116
92,12,0,0,5,1,-3.915,0.9563,1,0,0.4141
93,8,0,0,3,1,-4.425,0.9558,1,0,0.4179
94,16,0,0,2,2,-4.85,0.9554,1,0,0.4153
95,9,0,0,1,1,-4.985,0.9549,1,0,0.4201
96,12,0,0,2,1,-4.667,0.9544,1,0,0.4215
97,11,0,0,3,1,-4.405,0.9539,1,0,0.4249
98,5,0,0,4,1,-3.995,0.9535,1,0,0.4276
99,5,0,0,2,1,-4.595,0.953,1,0,0.4316
100,8,0,0,2,1,-4.625,0.9525,1,0,0.4339
101,9,0,0,3,1,-4.335,0.952,1,0,0.4349
102,10,0,0,3,1,-4.347,0.9516,1,0,0.437
103,6,0,0,3,1,-4.2085,0.9511,1,0,0.4397
104,6,0,0,3,1,-4.2065,0.9506,1,0,0.4439
105,16,0,0,6,1,-3.355,0.9501,1,0,0.4426
106,7,0,0,2,1,-4.4665,0.9496,1,0,0.4457
107,5,0,0,3,1,-4.295,0.9492,1,0,0.4492
108,27,0,0,5,3,-4.1585,0.9487,1,0,0.4496
109,12,0,0,3,1,-4.515,0.9482,1,0,0.4513
110,7,0,0,3,1,-4.365,0.9477,1,0,0.4519
111,5,0,0,3,1,-4.295,0.9473,1,0,0.4551
112,10,0,0,2,1,-4.695,0.9468,1,0,0.4582
113,6,0,0,3,1,-4.155,0.9463,1,0,0.4608
114,14,0,0,9,2,-2.7835,0.9458,1,0,0.4616
115,6,0,0,3,1,-4.1065,0.9454,1,0,0.4657
116,7,0,0,1,1,-4.767,0.9449,1,0,0.4691
117,7,0,0,1,1,-4.867,0.9444,1,0,0.4724
118,5,0,0,3,1,-4.245,0.9439,1,0,0.4765
119,10,0,0,2,1,-4.795,0.9435,1,0,0.4792
120,14,0,0,1,1,-5.0885,0.943,1,0,0.4805
121,15,0,0,5,1,-3.747,0.9425,1,0,0.4812
122,5,0,0,3,1,-4.195,0.9421,1,0,0.4839
123,9,0,0,3,1,-4.2865,0.9416,1,0,0.4859
124,10,0,0,2,1,-4.845,0.9411,1,0,0.4866
125,8,0,0,3,1,-4.325,0.9406,1,0,0.4896
126,6,0,0,0,1,-5.205,0.9402,1,0,0.4955
127,11,0,0,3,1,-4.505,0.9397,1,0,0.4977
128,5,0,0,3,1,-4.045,0.9392,1,0,0.4995
129,5,0,0,2,1,-4.545,0.9387,1,0,0.5041
130,13,0,0,3,2,-4.2735,0.9383,1,0,0.5045
131,5,0,0,3,1,-4.295,0.9378,1,0,0.5072
132,16,0,0,1,1,-5.305,0.9373,1,0,0.5098
133,5,0,0,2,1,-4.445,0.9368,1,0,0.512
134,5,0,0,3,1,-4.195,0.9364,1,0,0.5144
135,5,0,0,3,1,-4.295,0.9359,1,0,0.5178
136,5,0,0,4,1,-3.995,0.9354,1,0,0.5198
137,7,0,0,4,1,-4.115,0.9349,1,0,0.5223
138,27,0,0,1,3,-5.2565,0.9345,1,0,0.5233
139,12,0,0,3,1,-4.365,0.934,1,0,0.525
140,10,0,0,3,1,-4.495,0.9335,1,0,0.5263
141,7,0,0,2,1,-4.567,0.933,1,0,0.5291
142,13,0,0,5,2,-3.874,0.9325,1,0,0.5292
143,24,0,0,5,3,-4.1785,0.9321,1,0,0.5298
144,6,0,0,1,1,-4.905,0.9316,1,0,0.5342
145,7,0,0,4,1,-4.015,0.9311,1,0,0.5357
146,5,0,0,2,1,-4.595,0.9306,1,0,0.5388
147,14,0,0,3,1,-4.585,0.9302,1,0,0.5401
148,29,0,0,7,2,-3.68,0.9297,1,0,0.538
149,8,0,0,4,1,-3.975,0.9292,1,0,0.54
150,10,0,0,2,1,-4.7485,0.9287,1,0,0.5418
151,7,0,0,3,1,-4.315,0.9283,1,0,0.5438
152,5,0,0,3,1,-4.295,0.9278,1,0,0.5462
153,5,0,0,3,1,-4.245,0.9273,1,0,0.5497
154,5,0,0,2,1,-4.495,0.9268,1,0,0.5525
155,7,0,0,2,1,-4.567,0.9264,1,0,0.5546
156,6,0,0,3,1,-4.355,0.9259,1,0,0.5573
157,33,0,0,8,4,-3.3655,0.9254,1,0,0.555
158,15,0,0,6,2,-3.5915,0.925,1,0,0.5566
159,19,0,0,3,2,-4.63,0.9245,1,0,0.5568
160,5,0,0,3,1,-4.295,0.924,1,0,0.5593
161,11,0,0,3,1,-4.455,0.9235,1,0,0.5607
162,14,0,0,2,1,-4.885,0.9231,1,0,0.5604
163,5,0,0,4,1,-3.995,0.9226,1,0,0.5623
164,6,0,0,4,1,-4.055,0.9221,1,0,0.5642
165,17,0,0,4,2,-4.312,0.9216,1,0,0.5662
166,7,0,0,2,1,-4.567,0.9212,1,0,0.569
167,6,0,0,2,1,-4.605,0.9207,1,0,0.5718
168,7,0,0,2,1,-4.567,0.9202,1,0,0.574
169,13,0,0,1,1,-4.875,0.9197,1,0,0.5772
170,5,0,0,4,1,-3.995,0.9193,1,0,0.579
171,20,0,0,6,2,-3.742,0.9188,1,0,0.5783
172,9,0,0,3,1,-4.385,0.9183,1,0,0.5791
173,5,0,0,4,1,-3.995,0.9178,1,0,0.5809
174,6,0,0,2,1,-4.507,0.9173,1,0,0.5838
175,6,0,0,1,1,-4.855,0.9169,1,0,0.5863
176,8,0,0,3,1,-4.375,0.9164,1,0,0.5887
177,9,0,0,3,1,-4.287,0.9159,1,0,0.5905
178,8,0,0,1,1,-4.875,0.9154,1,0,0.5925
179,8,0,0,3,1,-4.375,0.915,1,0,0.5948
180,5,0,0,4,1,-3.995,0.9145,1,0,0.5972
181,5,0,0,3,1,-4.295,0.914,1,0,0.5996
182,6,0,0,3,1,-4.205,0.9135,1,0,0.6026
183,5,0,0,2,1,-4.595,0.9131,1,0,0.6054
184,5,0,0,1,1,-4.895,0.9126,1,0,0.6069
185,6,0,0,2,1,-4.507,0.9121,1,0,0.6099
186,14,0,0,5,2,-3.882,0.9116,1,0,0.6076
187,6,0,0,3,1,-4.405,0.9112,1,0,0.6104
188,19,0,0,4,2,-4.382,0.9107,1,0,0.6107
189,8,0,0,3,1,-4.2285,0.9102,1,0,0.613
190,6,0,0,2,1,-4.655,0.9098,1,0,0.6158
191,7,0,0,2,1,-4.715,0.9093,1,0,0.6191
192,7,0,0,2,1,-4.5685,0.9088,1,0,0.6212
193,20,0,0,3,2,-4.5955,0.9083,1,0,0.6226
194,9,0,0,2,1,-4.735,0.9079,1,0,0.6245
195,11,0,0,2,1,-4.705,0.9074,1,0,0.6272
196,11,0,0,4,1,-4.055,0.9069,1,0,0.6271
197,5,0,0,4,1,-3.995,0.9064,1,0,0.6288
198,6,0,0,4,1,-4.055,0.906,1,0,0.631
199,10,0,0,3,1,-4.347,0.9055,1,0,0.633
200,9,0,0,3,1,-4.287,0.905,1,0,0.6349
201,7,0,0,2,1,-4.567,0.9045,1,0,0.6374
202,12,0,0,4,1,-4.215,0.9041,1,0,0.6377
203,5,0,0,3,1,-4.195,0.9036,1,0,0.6397
204,10,0,0,2,1,-4.647,0.9031,1,0,0.6422
205,5,0,0,2,1,-4.595,0.9026,1,0,0.6448
206,5,0,0,4,1,-3.995,0.9022,1,0,0.6465
207,5,0,0,3,1,-4.295,0.9017,1,0,0.6486
208,13,0,0,4,1,-4.125,0.9012,1,0,0.6484
209,24,0,0,5,3,-4.1785,0.9007,1,0,0.6474
210,6,0,0,3,1,-4.2065,0.9002,1,0,0.6501
211,7,0,0,3,1,-4.2685,0.8998,1,0,0.6524
212,7,0,0,2,1,-4.665,0.8993,1,0,0.6557
213,7,0,0,4,1,-3.815,0.8988,1,0,0.6571
214,9,0,0,3,1,-4.335,0.8983,1,0,0.6595
215,10,0,0,6,1,-3.495,0.8979,1,0,0.6605
216,15,0,0,4,2,-4.34,0.8974,1,0,0.6614
217,5,0,0,3,1,-4.295,0.8969,1,0,0.6635
218,5,0,0,2,1,-4.595,0.8964,1,0,0.6669
219,11,0,0,2,1,-4.705,0.896,1,0,0.6678
220,14,0,0,2,1,-4.6885,0.8955,1,0,0.6683
221,20,0,0,4,2,-4.4935,0.895,1,0,0.6701
222,7,0,0,3,1,-4.267,0.8945,1,0,0.6722
223,5,0,0,3,1,-4.295,0.8941,1,0,0.6742
224,7,0,0,2,1,-4.615,0.8936,1,0,0.6768
225,7,0,0,3,1,-4.2685,0.8931,1,0,0.6793
226,13,0,0,4,2,-4.172,0.8926,1,0,0.6821
227,10,0,0,3,1,-4.495,0.8922,1,0,0.6839
228,5,0,0,2,1,-4.595,0.8917,1,0,0.6863
229,6,0,0,2,1,-4.5085,0.8912,1,0,0.6892
230,5,0,0,2,1,-4.595,0.8908,1,0,0.6916
231,14,0,0,3,2,-4.532,0.8903,1,0,0.6934
232,6,0,0,4,1,-4.055,0.8898,1,0,0.696
233,6,0,0,2,1,-4.655,0.8893,1,0,0.6984
234,5,0,0,3,1,-4.295,0.8889,1,0,0.7002
235,54,1,1,9,4,-2.6235,0.8884,1,0,0.7003
236,32,0,0,6,3,-4.057,0.8879,1,0,0.6993
237,5,0,0,2,1,-4.395,0.8874,1,0,0.7012
238,5,0,0,3,1,-4.295,0.887,1,0,0.7031
239,7,0,0,2,1,-4.615,0.8865,1,0,0.7055
240,9,0,0,2,1,-4.687,0.886,1,0,0.7078
241,6,0,0,2,1,-4.507,0.8855,1,0,0.7107
242,15,0,0,8,2,-2.742,0.8851,1,0,0.7113
243,5,0,0,4,1,-3.995,0.8846,1,0,0.7127
244,6,0,0,2,1,-4.555,0.8841,1,0,0.7154
245,19,0,0,4,2,-4.28,0.8836,1,0,0.7158
246,6,0,0,3,1,-4.255,0.8831,1,0,0.7175
247,7,0,0,0,1,-5.265,0.8827,1,0,0.7211
248,8,0,0,5,1,-3.775,0.8822,1,0,0.7225
249,14,0,0,6,2,-3.4335,0.8817,1,0,0.7239
250,10,0,0,4,1,-4.095,0.8812,1,0,0.7246
251,14,0,0,5,2,-3.932,0.8808,1,0,0.7257
252,5,0,0,3,1,-4.195,0.8803,1,0,0.7273
253,10,0,0,3,1,-4.245,0.8798,1,0,0.7291
254,7,0,0,1,1,-4.865,0.8793,1,0,0.7314
255,10,0,0,3,1,-4.395,0.8789,1,0,0.7327
256,5,0,0,2,1,-4.495,0.8784,1,0,0.7346
257,14,0,0,4,2,-4.0315,0.8779,1,0,0.7364
258,13,0,0,4,2,-4.2235,0.8775,1,0,0.7384
259,17,0,0,4,2,-4.2135,0.877,1,0,0.7394
260,38,0,0,12,3,-2.2705,0.8765,1,0,0.7364
261,7,0,0,2,1,-4.565,0.876,1,0,0.7377
262,10,0,0,2,1,-4.4465,0.8756,1,0,0.7389
263,14,0,0,5,1,-3.785,0.8751,1,0,0.7394
264,8,0,0,3,1,-4.3285,0.8746,1,0,0.7415
265,7,0,0,2,1,-4.565,0.8741,1,0,0.744
266,9,0,0,3,1,-4.3865,0.8737,1,0,0.7461
267,5,0,0,2,1,-4.595,0.8732,1,0,0.7492
268,7,0,0,2,1,-4.567,0.8727,1,0,0.7519
269,7,0,0,2,1,-4.567,0.8722,1,0,0.7544
270,11,0,0,1,1,-5.007,0.8718,1,0,0.7561
271,13,0,0,2,2,-4.7235,0.8713,1,0,0.7586
272,8,0,0,4,1,-4.075,0.8708,1,0,0.7598
273,14,0,0,3,1,-4.287,0.8703,1,0,0.7608
274,27,0,0,4,2,-4.71,0.8699,1,0,0.7609
275,10,0,0,4,1,-4.095,0.8694,1,0,0.7614
276,5,0,0,3,1,-4.195,0.8689,1,0,0.7636
277,32,0,0,9,4,-3.1535,0.8684,1,0,0.7634
278,6,0,0,3,1,-4.1085,0.8679,1,0,0.7656
279,11,0,0,3,1,-4.455,0.8675,1,0,0.7665
280,9,0,0,6,1,-3.385,0.867,1,0,0.7668
281,14,0,0,3,1,-4.585,0.8665,1,0,0.7688
282,8,0,0,2,1,-4.775,0.866,1,0,0.7709
283,8,0,0,3,1,-4.3285,0.8656,1,0,0.7728
284,15,0,0,7,2,-3.2935,0.8651,1,0,0.7732
285,5,0,0,3,1,-4.295,0.8646,1,0,0.7754
286,7,0,0,2,1,-4.5685,0.8641,1,0,0.778
287,6,0,0,2,1,-4.655,0.8637,1,0,0.7801
288,5,0,0,3,1,-4.295,0.8632,1,0,0.7817
289,6,0,0,3,1,-4.207,0.8627,1,0,0.7841
290,6,0,0,3,1,-4.207,0.8622,1,0,0.7866
291,9,0,0,3,1,-4.0865,0.8618,1,0,0.7877
292,6,0,0,3,1,-4.255,0.8613,1,0,0.7892
293,10,0,0,4,1,-4.195,0.8608,1,0,0.7899
294,8,0,0,2,1,-4.725,0.8603,1,0,0.7914
295,7,0,0,3,1,-4.415,0.8599,1,0,0.7936
296,6,0,0,2,1,-4.605,0.8594,1,0,0.7965
297,7,0,0,0,1,-5.165,0.8589,1,0,0.7965
298,5,0,0,2,1,-4.545,0.8585,1,0,0.799
299,7,0,0,2,1,-4.665,0.858,1,0,0.8018
300,7,0,0,3,1,-4.315,0.8575,1,0,0.803
301,9,0,0,3,1,-4.385,0.857,1,0,0.8053
302,17,0,0,1,2,-5.06,0.8566,1,0,0.8059
303,6,0,0,2,1,-4.605,0.8561,1,0,0.8086
304,9,0,0,2,1,-4.735,0.8556,1,0,0.8102
305,15,0,0,5,2,-3.992,0.8551,1,0,0.8121
306,12,0,0,2,1,-4.765,0.8547,1,0,0.8132
307,10,0,0,3,1,-4.495,0.8542,1,0,0.8142
308,9,0,0,3,1,-4.385,0.8537,1,0,0.8162
309,6,0,0,3,1,-4.355,0.8532,1,0,0.8177
