episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
1,400,11,11,0,0,-63.95,0.9995,0,1,0.2496
2,400,24,24,0,0,-43.0,0.999,0,1,0.6509
3,400,10,10,0,0,-50.9,0.9986,0,1,0.9539
4,400,21,21,0,0,-35.55,0.9981,0,1,1.5566
5,400,19,19,0,0,-45.8,0.9976,0,1,2.2448
6,400,17,17,0,0,-47.5,0.9971,0,1,3.103
7,400,10,10,0,0,-56.3,0.9967,0,1,3.6985
8,400,11,11,0,0,-64.15,0.9962,0,1,4.1527
9,400,16,16,0,0,-45.25,0.9957,0,1,4.7399
10,400,8,8,0,0,-58.65,0.9952,0,1,5.0164
11,400,20,20,0,0,-50.85,0.9948,0,1,5.765
12,400,18,19,0,0,-42.75,0.9943,0,1,6.5893
13,400,21,21,0,0,-35.8,0.9938,0,1,7.532
14,400,15,15,0,0,-59.75,0.9933,0,1,7.9585
15,400,21,21,0,0,-53.85,0.9929,0,1,8.4608
16,400,12,12,0,0,-58.85,0.9924,0,1,8.9582
17,400,16,16,0,0,-58.15,0.9919,0,1,9.3455
18,400,25,25,0,0,-38.95,0.9915,0,1,10.0381
19,400,19,19,0,0,-55.65,0.991,0,1,10.7605
20,400,16,16,0,0,-48.45,0.9905,0,1,11.3231
21,400,15,16,0,0,-50.4,0.99,0,1,11.648
22,400,24,24,0,0,-34.3,0.9896,0,1,11.9864
23,400,17,17,0,0,-53.15,0.9891,0,1,12.5559
24,400,15,15,0,0,-51.2,0.9886,0,1,12.9016
25,400,17,17,0,0,-47.2,0.9881,0,1,13.5259
26,400,18,18,0,0,-42.05,0.9877,0,1,13.7375
27,400,20,20,0,0,-50.55,0.9872,0,1,14.1999
28,400,15,15,0,0,-53.5,0.9867,0,1,14.6644
29,400,11,11,0,0,-50.9,0.9862,0,1,15.0203
30,400,22,22,0,0,-41.95,0.9858,0,1,15.8644
31,400,11,11,0,0,-53.4,0.9853,0,1,16.3643
32,400,17,17,0,0,-41.6,0.9848,0,1,16.8282
33,400,12,12,0,0,-56.0,0.9843,0,1,17.0442
34,400,18,18,0,0,-56.3,0.9839,0,1,17.3661
35,400,20,20,0,0,-46.25,0.9834,0,1,17.9448
36,400,14,14,0,0,-54.1,0.9829,0,1,18.5114
37,400,11,11,0,0,-64.5,0.9824,0,1,18.8908
38,400,17,17,0,0,-48.55,0.9819,0,1,19.4144
39,400,10,10,0,0,-54.6,0.9815,0,1,19.8642
40,400,19,19,0,0,-40.75,0.981,0,1,20.3713
41,400,10,10,0,0,-54.85,0.9805,0,1,20.78
42,400,15,15,0,0,-53.35,0.98,0,1,21.2257
43,400,15,15,0,0,-57.55,0.9796,0,1,21.9727
44,400,15,15,0,0,-50.55,0.9791,0,1,22.2799
45,400,13,14,0,0,-50.65,0.9786,0,1,22.6544
46,400,17,17,0,0,-48.3,0.9781,0,1,22.8225
47,400,20,20,0,0,-44.8,0.9777,0,1,23.0663
48,400,18,18,0,0,-47.15,0.9772,0,1,23.4056
49,400,17,17,0,0,-36.9,0.9767,0,1,23.5327
50,400,15,15,0,0,-55.35,0.9762,0,1,23.5594
