episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,9,0,0,2,1,-6.54,0.9995,1,0,6
2,12,0,0,1,1,-8.47,0.999,1,0,12
3,5,0,0,2,1,-5.5,0.9986,1,0,17
4,16,0,0,2,1,-8.26,0.9981,1,0,22
5,5,0,0,3,1,-5.2,0.9976,1,0,27
6,7,0,0,2,1,-6.47,0.9971,1,0,32
7,5,0,0,2,1,-5.5,0.9967,1,0,33
8,6,0,0,3,1,-4.81,0.9962,1,0,35
9,7,0,0,4,1,-5.82,0.9957,1,0,36
10,8,0,0,3,1,-6.58,0.9952,1,0,38
11,5,0,0,4,1,-4.9,0.9948,1,0,41
12,7,0,0,2,1,-7.47,0.9943,1,0,43
13,7,0,0,3,1,-6.17,0.9938,1,0,48
14,13,0,0,3,1,-6.93,0.9933,1,0,49
15,12,0,0,3,1,-6.77,0.9929,1,0,52
16,16,0,0,4,1,-9.06,0.9924,1,0,52
17,19,0,0,3,1,-8.49,0.9919,1,0,53
18,6,0,0,2,1,-6.46,0.9915,1,0,53
19,6,0,0,3,1,-6.06,0.991,1,0,53
20,10,0,0,3,1,-5.8,0.9905,1,0,55
21,8,0,0,3,1,-5.83,0.99,1,0,55
22,6,0,0,2,1,-5.51,0.9896,1,0,60
23,43,0,0,4,3,-15.78,0.9891,1,0,69
24,8,0,0,2,1,-5.53,0.9886,1,0,74
25,21,0,0,3,1,-11.91,0.9881,1,0,74
26,13,0,0,3,1,-7.38,0.9877,1,0,74
27,6,0,0,3,1,-5.71,0.9872,1,0,74
28,6,0,0,3,1,-5.66,0.9867,1,0,77
29,10,0,0,4,1,-6.95,0.9862,1,0,83
30,6,0,0,4,1,-5.31,0.9858,1,0,83
31,5,0,0,4,1,-5.35,0.9853,1,0,83
32,5,0,0,4,1,-5.85,0.9848,1,0,84
33,16,0,0,2,1,-7.16,0.9843,1,0,86
34,9,0,0,2,1,-7.04,0.9839,1,0,88
35,7,0,0,3,1,-5.77,0.9834,1,0,88
36,5,0,0,2,1,-5.95,0.9829,1,0,88
37,5,0,0,1,1,-6.25,0.9824,1,0,90
38,8,0,0,2,1,-6.08,0.9819,1,0,90
39,5,0,0,3,1,-5.15,0.9815,1,0,90
40,5,0,0,3,1,-5.65,0.981,1,0,93
41,5,0,0,2,1,-5.5,0.9805,1,0,93
42,11,0,0,1,1,-7.91,0.98,1,0,93
43,14,0,0,2,1,-6.14,0.9796,1,0,94
44,5,0,0,2,1,-5.55,0.9791,1,0,94
45,8,0,0,3,1,-6.73,0.9786,1,0,94
46,9,0,0,1,1,-6.89,0.9781,1,0,97
47,8,0,0,2,1,-4.98,0.9777,1,0,99
48,22,0,0,1,1,-9.07,0.9772,1,0,100
49,9,0,0,3,1,-5.79,0.9767,1,0,100
50,14,0,0,2,1,-8.64,0.9762,1,0,100
51,5,0,0,4,1,-4.45,0.9758,1,0,100
52,5,0,0,3,1,-5.7,0.9753,1,0,100
53,7,0,0,4,1,-5.92,0.9748,1,0,100
54,30,0,0,4,2,-9.8,0.9744,1,0,100
55,8,0,0,4,1,-5.88,0.9739,1,0,100
56,8,0,0,1,1,-7.28,0.9734,1,0,101
57,11,0,0,3,1,-6.21,0.9729,1,0,101
58,5,0,0,3,1,-5.65,0.9725,1,0,101
59,9,0,0,3,1,-6.24,0.972,1,0,101
60,8,0,0,3,1,-5.78,0.9715,1,0,101
61,5,0,0,1,1,-6.3,0.971,1,0,101
62,9,0,0,2,1,-7.54,0.9706,1,0,101
63,7,0,0,2,1,-6.07,0.9701,1,0,101
64,5,0,0,3,1,-5.65,0.9696,1,0,101
65,11,0,0,1,1,-6.01,0.9691,1,0,104
66,5,0,0,4,1,-4.9,0.9687,1,0,104
67,6,0,0,3,1,-5.71,0.9682,1,0,104
68,11,0,0,2,1,-7.11,0.9677,1,0,104
69,10,0,0,2,1,-7.1,0.9672,1,0,106
70,27,0,0,1,1,-9.67,0.9667,1,0,107
71,6,0,0,3,1,-5.26,0.9663,1,0,107
72,5,0,0,3,1,-5.2,0.9658,1,0,107
73,14,0,0,4,1,-7.44,0.9653,1,0,107
74,5,0,0,3,1,-5.2,0.9648,1,0,107
75,5,0,0,4,1,-5.35,0.9644,1,0,107
76,10,0,0,3,1,-6.7,0.9639,1,0,107
77,10,0,0,3,1,-7.35,0.9634,1,0,108
78,16,0,0,3,1,-8.46,0.9629,1,0,108
79,22,0,0,6,2,-8.07,0.9625,1,0,108
80,7,0,0,1,1,-6.37,0.962,1,0,108
81,6,0,0,3,1,-5.71,0.9615,1,0,108
82,7,0,0,3,1,-4.77,0.961,1,0,108
83,8,0,0,4,1,-4.88,0.9606,1,0,108
84,9,0,0,3,1,-7.69,0.9601,1,0,108
85,11,0,0,3,1,-7.21,0.9596,1,0,108
86,7,0,0,1,1,-6.82,0.9591,1,0,108
87,11,0,0,4,1,-6.11,0.9587,1,0,109
88,40,0,0,4,2,-14.5,0.9582,1,0,109
89,12,0,0,3,1,-7.32,0.9577,1,0,109
90,5,0,0,3,1,-5.2,0.9573,1,0,109
91,14,0,0,1,1,-8.89,0.9568,1,0,112
92,16,0,0,3,1,-8.81,0.9563,1,0,112
93,9,0,0,2,1,-7.54,0.9558,1,0,112
94,13,0,0,2,1,-6.28,0.9554,1,0,112
95,7,0,0,1,1,-6.77,0.9549,1,0,115
96,11,0,0,1,1,-6.96,0.9544,1,0,115
97,16,0,0,3,2,-6.76,0.9539,1,0,117
98,6,0,0,3,1,-4.76,0.9535,1,0,120
99,5,0,0,4,1,-5.35,0.953,1,0,120
100,5,0,0,3,1,-5.0,0.9525,1,0,120
101,15,0,0,2,1,-6.8,0.952,1,0,121
102,8,0,0,3,1,-6.28,0.9516,1,0,121
103,7,0,0,3,1,-5.62,0.9511,1,0,121
104,13,0,0,2,1,-7.18,0.9506,1,0,121
105,5,0,0,3,1,-5.25,0.9501,1,0,122
106,22,0,0,6,2,-7.57,0.9496,1,0,125
107,6,0,0,3,1,-5.21,0.9492,1,0,125
108,6,0,0,2,1,-6.01,0.9487,1,0,125
109,5,0,0,4,1,-5.35,0.9482,1,0,125
110,16,0,0,3,1,-6.51,0.9477,1,0,125
111,5,0,0,3,1,-4.8,0.9473,1,0,125
112,5,0,0,3,1,-4.75,0.9468,1,0,125
113,10,0,0,2,1,-6.05,0.9463,1,0,125
114,8,0,0,4,1,-5.88,0.9458,1,0,125
115,28,0,0,3,1,-9.58,0.9454,1,0,125
116,5,0,0,3,1,-4.8,0.9449,1,0,125
117,5,0,0,3,1,-5.65,0.9444,1,0,125
118,9,0,0,1,1,-6.89,0.9439,1,0,125
119,6,0,0,3,1,-6.16,0.9435,1,0,125
120,6,0,0,3,1,-5.71,0.943,1,0,125
121,5,0,0,3,1,-5.7,0.9425,1,0,125
122,7,0,0,2,1,-6.97,0.9421,1,0,125
123,6,0,0,3,1,-5.26,0.9416,1,0,125
124,6,0,0,2,1,-6.46,0.9411,1,0,125
125,6,0,0,2,1,-5.96,0.9406,1,0,125
126,11,0,0,4,1,-6.91,0.9402,1,0,126
127,6,0,0,3,1,-5.16,0.9397,1,0,126
128,5,0,0,4,1,-5.35,0.9392,1,0,126
129,8,0,0,2,1,-7.08,0.9387,1,0,127
130,8,0,0,3,1,-7.08,0.9383,1,0,127
131,7,0,0,2,1,-6.57,0.9378,1,0,127
132,5,0,0,4,1,-4.9,0.9373,1,0,127
133,12,0,0,1,1,-7.47,0.9368,1,0,127
134,19,0,0,2,1,-7.34,0.9364,1,0,127
135,27,0,0,6,2,-9.12,0.9359,1,0,127
136,5,0,0,3,1,-5.2,0.9354,1,0,127
137,8,0,0,4,1,-5.58,0.9349,1,0,127
138,14,0,0,3,1,-7.29,0.9345,1,0,127
139,11,0,0,3,1,-5.91,0.934,1,0,127
140,12,0,0,3,1,-5.87,0.9335,1,0,127
141,6,0,0,0,1,-6.56,0.933,1,0,127
142,6,0,0,3,1,-5.61,0.9325,1,0,127
143,5,0,0,3,1,-5.2,0.9321,1,0,128
144,12,0,0,3,1,-7.27,0.9316,1,0,128
145,7,0,0,0,1,-6.67,0.9311,1,0,128
146,5,0,0,2,1,-5.5,0.9306,1,0,128
147,5,0,0,4,1,-5.35,0.9302,1,0,128
148,5,0,0,4,1,-5.35,0.9297,1,0,128
149,18,0,0,4,1,-6.63,0.9292,1,0,128
150,5,0,0,4,1,-5.25,0.9287,1,0,128
151,6,0,0,2,1,-5.56,0.9283,1,0,128
152,5,0,0,4,1,-5.35,0.9278,1,0,128
153,6,0,0,2,1,-6.01,0.9273,1,0,128
154,14,0,0,4,2,-8.44,0.9268,1,0,128
155,6,0,0,3,1,-5.26,0.9264,1,0,129
156,12,0,0,2,1,-6.67,0.9259,1,0,130
157,5,0,0,3,1,-5.65,0.9254,1,0,130
158,9,0,0,2,1,-6.09,0.925,1,0,130
159,27,0,0,2,2,-9.47,0.9245,1,0,130
160,5,0,0,2,1,-5.45,0.924,1,0,130
161,7,0,0,1,1,-6.32,0.9235,1,0,132
162,7,0,0,3,1,-5.77,0.9231,1,0,132
163,12,0,0,4,1,-5.47,0.9226,1,0,132
164,14,0,0,3,1,-7.69,0.9221,1,0,132
165,5,0,0,3,1,-5.15,0.9216,1,0,133
166,5,0,0,3,1,-5.2,0.9212,1,0,133
167,5,0,0,1,1,-6.25,0.9207,1,0,133
168,7,0,0,3,1,-5.72,0.9202,1,0,133
169,13,0,0,2,1,-7.23,0.9197,1,0,133
170,8,0,0,3,1,-4.83,0.9193,1,0,133
171,42,0,0,7,3,-10.37,0.9188,1,0,139
172,20,0,0,4,2,-9.25,0.9183,1,0,139
173,6,0,0,3,1,-5.26,0.9178,1,0,139
174,8,0,0,0,1,-6.58,0.9173,1,0,139
175,15,0,0,3,2,-8.3,0.9169,1,0,140
176,16,0,0,5,2,-5.91,0.9164,1,0,140
177,5,0,0,3,1,-5.1,0.9159,1,0,140
178,10,0,0,4,1,-6.8,0.9154,1,0,140
179,5,0,0,3,1,-6.15,0.915,1,0,140
180,5,0,0,3,1,-5.2,0.9145,1,0,140
181,5,0,0,2,1,-5.5,0.914,1,0,140
182,11,0,0,3,1,-4.46,0.9135,1,0,140
183,8,0,0,3,1,-7.18,0.9131,1,0,140
184,8,0,0,2,1,-7.03,0.9126,1,0,140
185,15,0,0,4,2,-6.8,0.9121,1,0,141
186,8,0,0,4,1,-5.33,0.9116,1,0,141
187,16,0,0,5,2,-5.36,0.9112,1,0,141
188,9,0,0,5,1,-4.74,0.9107,1,0,141
189,11,0,0,3,1,-6.81,0.9102,1,0,141
190,14,0,0,2,1,-6.39,0.9098,1,0,141
191,20,0,0,3,1,-10.45,0.9093,1,0,141
192,5,0,0,4,1,-4.45,0.9088,1,0,141
193,31,0,0,4,1,-9.71,0.9083,1,0,141
194,29,0,0,6,3,-10.19,0.9079,1,0,142
195,8,0,0,3,1,-6.23,0.9074,1,0,142
196,5,0,0,3,1,-5.6,0.9069,1,0,142
197,11,0,0,2,1,-6.66,0.9064,1,0,142
198,5,0,0,4,1,-5.4,0.906,1,0,142
199,6,0,0,4,1,-5.41,0.9055,1,0,142
200,5,0,0,2,1,-5.85,0.905,1,0,143
201,5,0,0,4,1,-5.35,0.9045,1,0,143
202,8,0,0,3,1,-5.78,0.9041,1,0,143
203,7,0,0,4,1,-5.37,0.9036,1,0,143
204,5,0,0,4,1,-4.45,0.9031,1,0,143
