episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,19,0,0,2,1,-7.39,0.9995,1,0,7
2,6,0,0,2,1,-6.96,0.999,1,0,7
3,15,0,0,2,1,-8.1,0.9986,1,0,11
4,15,0,0,2,1,-7.7,0.9981,1,0,15
5,8,0,0,3,1,-6.18,0.9976,1,0,15
6,6,0,0,3,1,-5.71,0.9971,1,0,15
7,6,0,0,2,1,-5.56,0.9967,1,0,19
8,5,0,0,3,1,-5.1,0.9962,1,0,19
9,7,0,0,2,1,-6.07,0.9957,1,0,22
10,5,0,0,2,1,-5.95,0.9952,1,0,22
11,8,0,0,4,1,-5.78,0.9948,1,0,22
12,5,0,0,3,1,-5.2,0.9943,1,0,22
13,25,0,0,4,2,-7.9,0.9938,1,0,22
14,9,0,0,4,1,-6.94,0.9933,1,0,22
15,5,0,0,3,1,-6.15,0.9929,1,0,22
16,7,0,0,2,1,-5.87,0.9924,1,0,22
17,13,0,0,1,1,-6.43,0.9919,1,0,24
18,21,0,0,3,2,-9.51,0.9915,1,0,24
19,9,0,0,3,1,-5.84,0.991,1,0,24
20,14,0,0,1,1,-8.49,0.9905,1,0,24
21,6,0,0,2,1,-6.01,0.99,1,0,26
22,17,0,0,2,1,-9.17,0.9896,1,0,26
23,6,0,0,2,1,-5.51,0.9891,1,0,26
24,5,0,0,2,1,-5.05,0.9886,1,0,26
25,9,0,0,3,1,-5.74,0.9881,1,0,26
26,11,0,0,2,1,-7.06,0.9877,1,0,27
27,11,0,0,3,1,-7.71,0.9872,1,0,27
28,7,0,0,2,1,-5.47,0.9867,1,0,28
29,5,0,0,3,1,-5.2,0.9862,1,0,28
30,5,0,0,1,1,-5.75,0.9858,1,0,29
31,7,0,0,3,1,-6.22,0.9853,1,0,29
32,16,0,0,1,1,-6.96,0.9848,1,0,30
33,6,0,0,2,1,-6.46,0.9843,1,0,30
34,15,0,0,3,1,-8.2,0.9839,1,0,32
35,11,0,0,1,1,-7.46,0.9834,1,0,32
36,6,0,0,3,1,-5.26,0.9829,1,0,32
37,8,0,0,3,1,-5.23,0.9824,1,0,32
38,9,0,0,1,1,-6.84,0.9819,1,0,32
39,11,0,0,3,1,-5.96,0.9815,1,0,32
40,6,0,0,1,1,-6.26,0.981,1,0,32
41,22,0,0,5,2,-8.42,0.9805,1,0,32
42,24,0,0,3,1,-10.24,0.98,1,0,32
43,7,0,0,2,1,-6.47,0.9796,1,0,32
44,7,0,0,3,1,-5.72,0.9791,1,0,32
45,7,0,0,2,1,-6.02,0.9786,1,0,32
46,21,0,0,5,2,-8.01,0.9781,1,0,32
47,5,0,0,4,1,-5.35,0.9777,1,0,32
48,6,0,0,1,1,-6.31,0.9772,1,0,32
49,5,0,0,3,1,-5.7,0.9767,1,0,32
50,5,0,0,3,1,-5.2,0.9762,1,0,32
51,5,0,0,4,1,-4.8,0.9758,1,0,32
52,16,0,0,5,2,-6.66,0.9753,1,0,32
53,5,0,0,2,1,-5.95,0.9748,1,0,32
54,12,0,0,5,1,-6.47,0.9744,1,0,32
55,39,1,1,9,2,-8.64,0.9739,1,0,33
56,13,0,0,3,1,-7.38,0.9734,1,0,33
57,18,0,0,2,2,-9.13,0.9729,1,0,33
58,7,0,0,2,1,-5.47,0.9725,1,0,33
59,9,0,0,2,1,-6.49,0.972,1,0,33
60,12,0,0,1,1,-8.92,0.9715,1,0,33
61,5,0,0,3,1,-5.2,0.971,1,0,33
62,7,0,0,2,1,-5.97,0.9706,1,0,33
63,12,0,0,3,1,-5.57,0.9701,1,0,33
64,6,0,0,4,1,-5.86,0.9696,1,0,33
65,10,0,0,2,1,-6.0,0.9691,1,0,33
66,5,0,0,4,1,-5.35,0.9687,1,0,33
67,8,0,0,1,1,-5.98,0.9682,1,0,33
68,5,0,0,4,1,-5.35,0.9677,1,0,33
69,6,0,0,3,1,-6.16,0.9672,1,0,33
70,8,0,0,3,1,-4.78,0.9667,1,0,34
71,9,0,0,3,1,-7.24,0.9663,1,0,34
72,10,0,0,4,1,-5.5,0.9658,1,0,34
