episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,15,0,0,6,2,-6.4,0.2998,1,0,167
2,19,0,0,5,2,-6.49,0.2997,1,0,167
3,20,1,1,7,3,-5.1,0.2995,1,0,167
4,20,0,0,9,3,-5.25,0.2993,1,0,167
5,13,0,0,6,2,-5.88,0.2992,1,0,167
6,31,0,0,17,4,-2.06,0.299,1,0,167
7,14,0,0,8,2,-4.39,0.2988,1,0,167
8,35,0,0,13,5,-5.55,0.2987,1,0,167
9,13,0,0,5,2,-5.33,0.2985,1,0,167
10,5,0,0,2,1,-4.5,0.2983,1,0,167
11,22,0,0,11,3,-3.52,0.2982,1,0,167
12,43,1,1,19,5,-2.78,0.298,1,0,167
13,14,0,0,5,2,-5.84,0.2978,1,0,167
14,7,0,0,2,1,-5.57,0.2977,1,0,167
15,6,0,0,3,1,-5.21,0.2975,1,0,167
16,13,0,0,8,2,-4.38,0.2973,1,0,167
17,8,0,0,5,1,-4.58,0.2972,1,0,167
18,13,0,0,5,2,-5.33,0.297,1,0,167
19,37,0,0,14,5,-4.62,0.2968,1,0,167
20,15,0,0,6,2,-4.35,0.2967,1,0,167
21,7,0,0,2,1,-5.57,0.2965,1,0,167
22,5,0,0,2,1,-6.45,0.2963,1,0,167
23,7,0,0,2,1,-5.02,0.2962,1,0,167
24,6,0,0,2,1,-4.51,0.296,1,0,167
25,71,2,2,25,8,-2.51,0.2958,1,0,169
26,16,0,0,5,2,-7.66,0.2957,1,0,169
27,17,0,0,9,2,-4.97,0.2955,1,0,169
28,20,0,0,9,3,-4.7,0.2953,1,0,169
29,33,1,1,11,4,-5.43,0.2952,1,0,169
30,48,0,0,9,5,-8.68,0.295,1,0,169
31,16,0,0,3,2,-5.91,0.2948,1,0,169
32,8,0,0,2,1,-5.53,0.2947,1,0,169
33,13,0,0,8,2,-4.38,0.2945,1,0,169
34,16,0,0,4,2,-6.06,0.2943,1,0,169
35,46,1,1,18,6,-3.36,0.2942,1,0,169
36,20,0,0,10,3,-4.9,0.294,1,0,169
37,24,0,0,8,3,-5.74,0.2938,1,0,169
38,42,0,0,20,6,-2.77,0.2937,1,0,169
39,14,0,0,4,2,-6.14,0.2935,1,0,169
40,14,0,0,4,2,-5.69,0.2933,1,0,169
41,29,0,0,10,4,-6.49,0.2932,1,0,169
42,14,0,0,6,2,-6.34,0.293,1,0,169
43,38,0,0,14,5,-6.28,0.2928,1,0,169
44,31,0,0,13,4,-5.36,0.2927,1,0,169
45,13,0,0,7,2,-4.53,0.2925,1,0,169
46,8,0,0,3,1,-4.78,0.2923,1,0,169
47,21,0,0,8,3,-4.96,0.2922,1,0,169
48,15,0,0,6,2,-5.35,0.292,1,0,169
49,7,0,0,2,1,-5.57,0.2918,1,0,169
50,13,0,0,4,2,-5.53,0.2917,1,0,169
51,28,0,0,11,4,-5.23,0.2915,1,0,169
52,22,0,0,9,3,-4.67,0.2913,1,0,169
53,22,0,0,12,3,-3.32,0.2912,1,0,169
54,6,0,0,3,1,-4.21,0.291,1,0,169
55,23,0,0,9,3,-6.63,0.2908,1,0,169
56,7,0,0,2,1,-5.57,0.2907,1,0,169
57,79,2,2,27,10,-1.39,0.2905,0,0,171
58,39,1,1,12,5,-1.49,0.2903,1,0,171
59,25,0,0,9,3,-5.7,0.2902,1,0,171
60,21,0,0,9,3,-5.51,0.29,1,0,171
61,49,0,0,19,6,-3.59,0.2898,1,0,171
62,22,1,1,10,3,-3.62,0.2897,1,0,171
63,48,0,0,18,6,-4.43,0.2895,1,0,171
64,13,0,0,6,2,-4.48,0.2893,1,0,171
65,30,0,0,12,4,-5.8,0.2892,1,0,171
66,13,0,0,8,2,-4.18,0.289,1,0,171
67,6,0,0,3,1,-5.21,0.2888,1,0,171
68,15,0,0,8,2,-4.3,0.2887,1,0,171
69,111,1,1,35,13,-3.11,0.2885,1,0,171
70,34,0,0,8,4,-7.14,0.2883,1,0,171
71,5,0,0,3,1,-4.25,0.2882,1,0,171
72,24,0,0,9,3,-6.49,0.288,1,0,171
73,39,0,0,18,5,-5.09,0.2878,1,0,171
74,23,0,0,13,3,-3.98,0.2877,1,0,171
75,7,0,0,2,1,-5.47,0.2875,1,0,171
76,32,1,1,17,4,-3.27,0.2873,1,0,171
77,13,0,0,8,2,-3.83,0.2872,1,0,171
78,7,0,0,3,1,-4.72,0.287,1,0,171
79,6,0,0,3,1,-5.21,0.2868,1,0,171
80,6,0,0,3,1,-5.21,0.2867,1,0,171
81,7,0,0,2,1,-5.47,0.2865,1,0,171
82,6,0,0,3,1,-4.66,0.2863,1,0,171
83,22,0,0,10,3,-3.67,0.2862,1,0,171
84,20,0,0,7,3,-5.75,0.286,1,0,171
85,7,0,0,3,1,-5.72,0.2858,1,0,171
86,21,0,0,7,3,-5.36,0.2857,1,0,171
87,22,0,0,8,3,-5.47,0.2855,1,0,171
88,14,0,0,9,2,-3.44,0.2853,1,0,171
89,7,0,0,6,1,-4.12,0.2852,1,0,171
90,9,0,0,4,1,-4.49,0.285,1,0,171
91,32,0,0,13,4,-4.57,0.2848,1,0,171
92,27,0,0,9,3,-6.72,0.2847,1,0,171
93,31,1,1,9,4,-7.21,0.2845,1,0,171
94,45,1,1,18,6,-3.8,0.2843,1,0,171
95,40,0,0,10,5,-8.75,0.2842,1,0,171
96,9,0,0,3,1,-6.09,0.284,1,0,171
