episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,15,0,0,3,1,-7.4,0.9995,1,0,6
2,8,0,0,3,1,-6.68,0.999,1,0,10
3,14,0,0,4,2,-7.04,0.9986,1,0,13
4,5,0,0,3,1,-5.55,0.9981,1,0,16
5,7,0,0,2,1,-6.97,0.9976,1,0,16
6,9,0,0,1,1,-7.29,0.9971,1,0,21
7,11,0,0,3,1,-7.61,0.9967,1,0,21
8,11,0,0,3,1,-6.81,0.9962,1,0,21
9,7,0,0,2,1,-5.97,0.9957,1,0,23
10,8,0,0,5,1,-5.63,0.9952,1,0,24
11,5,0,0,4,1,-5.35,0.9948,1,0,24
12,14,0,0,4,1,-6.69,0.9943,1,0,24
13,14,0,0,3,1,-7.34,0.9938,1,0,24
14,5,0,0,3,1,-5.65,0.9933,1,0,24
15,8,0,0,3,1,-5.73,0.9929,1,0,24
16,24,0,0,3,1,-12.09,0.9924,1,0,24
17,9,0,0,3,1,-6.24,0.9919,1,0,24
18,18,0,0,3,1,-9.93,0.9915,1,0,24
19,6,0,0,1,1,-6.26,0.991,1,0,24
20,15,0,0,2,1,-8.55,0.9905,1,0,24
21,5,0,0,3,1,-5.6,0.99,1,0,24
22,8,0,0,4,1,-4.83,0.9896,1,0,28
23,10,0,0,4,1,-7.45,0.9891,1,0,28
24,7,0,0,3,1,-6.12,0.9886,1,0,28
25,9,0,0,4,1,-6.89,0.9881,1,0,30
26,16,0,0,3,1,-8.41,0.9877,1,0,32
27,37,0,0,3,1,-13.17,0.9872,1,0,33
28,5,0,0,3,1,-5.65,0.9867,1,0,33
29,7,0,0,2,1,-6.47,0.9862,1,0,33
30,6,0,0,4,1,-5.91,0.9858,1,0,33
31,14,0,0,3,1,-6.89,0.9853,1,0,33
32,8,0,0,2,1,-6.08,0.9848,1,0,33
33,5,0,0,3,1,-5.65,0.9843,1,0,33
34,5,0,0,4,1,-5.4,0.9839,1,0,33
35,10,0,0,2,1,-7.1,0.9834,1,0,33
36,5,0,0,2,1,-5.45,0.9829,1,0,33
37,9,0,0,3,1,-6.74,0.9824,1,0,33
38,5,0,0,4,1,-4.9,0.9819,1,0,33
39,10,0,0,3,1,-6.4,0.9815,1,0,33
40,7,0,0,4,1,-5.82,0.981,1,0,33
41,24,0,0,3,1,-10.54,0.9805,1,0,33
42,13,0,0,4,1,-6.98,0.98,1,0,33
43,5,0,0,4,1,-5.35,0.9796,1,0,33
44,5,0,0,3,1,-5.2,0.9791,1,0,33
45,6,0,0,2,1,-6.01,0.9786,1,0,33
46,27,0,0,4,2,-10.17,0.9781,1,0,37
47,9,0,0,2,1,-6.54,0.9777,1,0,37
48,7,0,0,1,1,-6.32,0.9772,1,0,37
49,10,0,0,2,1,-7.05,0.9767,1,0,37
50,16,0,0,1,1,-8.61,0.9762,1,0,37
51,8,0,0,1,1,-6.33,0.9758,1,0,37
52,27,0,0,3,1,-10.42,0.9753,1,0,41
53,9,0,0,3,1,-5.84,0.9748,1,0,41
54,9,0,0,3,1,-5.29,0.9744,1,0,41
55,15,0,0,3,1,-8.85,0.9739,1,0,41
56,6,0,0,2,1,-5.51,0.9734,1,0,41
57,5,0,0,4,1,-4.8,0.9729,1,0,41
58,12,0,0,2,1,-6.27,0.9725,1,0,41
