episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,7,0,0,2,1,-15.47,0.2998,1,0,174
2,5,0,0,2,1,-15.55,0.2997,1,0,174
3,30,0,0,12,4,-13.2,0.2995,1,0,174
4,6,0,0,2,1,-15.06,0.2993,1,0,174
5,35,1,1,16,5,-14.05,0.2992,1,0,174
6,14,0,0,4,2,-16.49,0.299,1,0,174
7,22,0,0,8,3,-15.97,0.2988,1,0,174
8,15,0,0,8,2,-13.8,0.2987,1,0,174
9,29,1,1,10,4,-14.89,0.2985,1,0,174
10,21,1,1,9,3,-13.56,0.2983,1,0,174
11,6,0,0,2,1,-14.51,0.2982,1,0,174
12,27,0,0,13,4,-14.97,0.298,1,0,174
13,6,0,0,3,1,-15.71,0.2978,1,0,174
14,13,0,0,9,2,-14.28,0.2977,1,0,174
15,14,0,0,5,2,-15.29,0.2975,1,0,174
16,55,1,1,20,7,-13.5,0.2973,1,0,174
17,13,0,0,7,2,-14.63,0.2972,1,0,174
18,26,0,0,10,3,-14.51,0.297,1,0,174
19,5,0,0,3,1,-14.7,0.2968,1,0,174
20,28,0,0,16,4,-13.43,0.2967,1,0,174
21,5,0,0,1,1,-15.3,0.2965,1,0,174
22,73,2,2,21,8,-13.88,0.2963,1,0,174
23,41,0,0,15,5,-16.01,0.2962,1,0,174
24,6,0,0,2,1,-14.96,0.296,1,0,174
25,41,0,0,15,6,-6.71,0.2958,0,0,174
26,7,0,0,2,1,-15.02,0.2957,1,0,174
27,37,2,2,13,5,-14.27,0.2955,1,0,174
28,21,0,0,9,3,-15.26,0.2953,1,0,174
29,66,0,0,22,8,-18.21,0.2952,1,0,174
30,13,0,0,5,2,-16.18,0.295,1,0,174
31,31,0,0,11,4,-15.61,0.2948,1,0,174
32,5,0,0,1,1,-15.85,0.2947,1,0,174
33,13,0,0,6,2,-14.93,0.2945,1,0,174
34,38,0,0,16,5,-13.08,0.2943,1,0,175
35,14,0,0,5,2,-14.74,0.2942,1,0,175
36,15,0,0,7,2,-14.2,0.294,1,0,175
37,15,0,0,7,2,-14.2,0.2938,1,0,175
38,57,0,0,22,7,-5.62,0.2937,0,0,177
39,7,0,0,3,1,-14.77,0.2935,1,0,177
40,43,1,1,13,5,-14.68,0.2933,1,0,177
41,68,1,1,27,9,-14.63,0.2932,1,0,177
42,20,0,0,7,3,-15.8,0.293,1,0,177
43,7,0,0,2,1,-15.47,0.2928,1,0,177
44,7,0,0,6,1,-14.22,0.2927,1,0,177
45,54,1,1,19,7,-17.09,0.2925,1,0,177
46,23,0,0,11,3,-15.08,0.2923,1,0,177
47,22,0,0,9,3,-14.67,0.2922,1,0,177
48,6,0,0,3,1,-15.21,0.292,1,0,177
49,6,0,0,3,1,-15.21,0.2918,1,0,177
50,72,1,1,26,9,-11.07,0.2917,1,0,178
51,65,0,0,27,9,-13.05,0.2915,1,0,178
52,10,0,0,5,1,-14.65,0.2913,1,0,178
53,7,0,0,2,1,-15.37,0.2912,1,0,178
54,6,0,0,3,1,-15.21,0.291,1,0,178
55,26,0,0,9,3,-15.16,0.2908,1,0,178
56,20,0,0,5,3,-15.95,0.2907,1,0,178
57,6,0,0,2,1,-15.06,0.2905,1,0,178
58,20,0,0,7,3,-15.7,0.2903,1,0,178
59,6,0,0,2,1,-14.51,0.2902,1,0,178
60,6,0,0,3,1,-14.11,0.29,1,0,178
61,41,0,0,10,5,-15.61,0.2898,1,0,178
62,20,0,0,8,3,-17.35,0.2897,1,0,178
63,20,0,0,11,3,-13.95,0.2895,1,0,178
64,13,0,0,5,2,-16.18,0.2893,1,0,178
65,21,0,0,9,3,-16.16,0.2892,1,0,178
66,14,0,0,5,2,-15.79,0.289,1,0,178
67,31,1,1,14,4,-13.76,0.2888,1,0,178
68,51,0,0,19,6,-13.26,0.2887,1,0,178
69,28,0,0,10,4,-15.93,0.2885,1,0,178
70,21,0,0,10,3,-13.81,0.2883,1,0,178
71,13,0,0,7,2,-15.13,0.2882,1,0,178
72,14,0,0,5,2,-15.74,0.288,1,0,178
73,15,0,0,5,2,-16.25,0.2878,1,0,178
74,7,0,0,2,1,-15.57,0.2877,1,0,178
75,13,0,0,5,2,-16.73,0.2875,1,0,178
76,14,0,0,7,2,-15.09,0.2873,1,0,178
77,13,0,0,9,2,-13.93,0.2872,1,0,178
78,21,0,0,8,3,-16.01,0.287,1,0,178
79,43,2,2,17,6,-14.63,0.2868,1,0,178
80,33,0,0,15,4,-13.53,0.2867,1,0,178
81,13,0,0,5,2,-16.13,0.2865,1,0,178
82,11,0,0,3,1,-15.91,0.2863,1,0,178
83,6,0,0,2,1,-14.96,0.2862,1,0,178
84,45,0,0,17,6,-14.25,0.286,1,0,178
85,15,0,0,6,2,-15.05,0.2858,1,0,178
86,54,2,2,24,7,-9.39,0.2857,1,0,178
87,28,0,0,10,4,-16.88,0.2855,1,0,178
88,77,1,1,20,9,-14.52,0.2853,1,0,178
89,14,0,0,4,2,-15.94,0.2852,1,0,178
90,6,0,0,1,1,-15.81,0.285,1,0,178
91,21,0,0,7,3,-15.31,0.2848,1,0,178
92,23,0,0,6,3,-15.18,0.2847,1,0,178
93,13,0,0,6,2,-15.38,0.2845,1,0,178
94,23,0,0,10,3,-15.88,0.2843,1,0,178
95,14,0,0,5,2,-16.24,0.2842,1,0,178
96,28,2,2,11,4,-11.98,0.284,1,0,178
97,6,0,0,2,1,-14.51,0.2838,1,0,178
98,7,0,0,3,1,-16.17,0.2837,1,0,178
99,21,0,0,8,3,-15.91,0.2835,1,0,178
100,13,0,0,6,2,-15.43,0.2833,1,0,178
101,40,0,0,13,5,-17.2,0.2832,1,0,178
102,41,1,1,20,5,-12.96,0.283,1,0,178
103,5,0,0,3,1,-14.3,0.2828,1,0,178
104,12,0,0,5,1,-14.67,0.2827,1,0,178
105,44,1,1,17,5,-10.99,0.2825,1,0,178
106,32,0,0,11,4,-17.22,0.2823,1,0,178
107,55,0,0,20,7,-13.2,0.2822,1,0,178
108,32,0,0,12,4,-14.92,0.282,1,0,178
109,5,0,0,3,1,-14.75,0.2818,1,0,178
110,15,0,0,8,2,-16.3,0.2817,1,0,178
111,6,0,0,1,1,-16.16,0.2815,1,0,178
112,37,1,1,14,5,-14.62,0.2813,1,0,178
113,44,0,0,15,6,-14.59,0.2812,1,0,178
114,60,2,2,18,8,-14.85,0.281,1,0,178
115,24,0,0,8,3,-16.54,0.2808,1,0,178
116,62,1,1,19,8,-6.62,0.2807,0,0,179
117,112,2,2,33,11,-13.77,0.2805,1,0,179
118,6,0,0,3,1,-14.76,0.2803,1,0,179
119,6,0,0,3,1,-15.11,0.2802,1,0,179
120,22,0,0,8,3,-15.82,0.28,1,0,179
121,21,0,0,9,3,-15.71,0.2798,1,0,179
122,78,1,1,16,8,-15.78,0.2797,1,0,179
123,43,0,0,11,5,-17.08,0.2795,1,0,179
