episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,15,0,0,3,1,-7.4,0.9995,1,0,6
2,8,0,0,3,1,-6.68,0.999,1,0,12
3,7,0,0,2,1,-6.52,0.9986,1,0,14
4,5,0,0,2,1,-5.85,0.9981,1,0,17
5,7,0,0,3,1,-6.22,0.9976,1,0,21
6,7,0,0,3,1,-6.17,0.9971,1,0,26
7,9,0,0,2,1,-6.59,0.9967,1,0,32
8,11,0,0,1,1,-7.81,0.9962,1,0,38
9,11,0,0,2,1,-6.61,0.9957,1,0,41
10,7,0,0,3,1,-5.77,0.9952,1,0,43
11,8,0,0,3,1,-5.73,0.9948,1,0,43
12,5,0,0,4,1,-5.85,0.9943,1,0,48
13,14,0,0,6,1,-6.49,0.9938,1,0,50
14,14,0,0,2,1,-8.14,0.9933,1,0,54
15,5,0,0,4,1,-5.35,0.9929,1,0,54
16,8,0,0,3,1,-7.13,0.9924,1,0,56
17,24,0,0,1,1,-11.19,0.9919,1,0,59
18,9,0,0,3,1,-6.64,0.9915,1,0,59
19,18,0,0,4,1,-8.63,0.991,1,0,59
20,21,0,0,2,1,-9.71,0.9905,1,0,60
21,5,0,0,3,1,-5.7,0.99,1,0,61
22,8,0,0,3,1,-6.23,0.9896,1,0,62
23,10,0,0,2,1,-7.55,0.9891,1,0,67
24,7,0,0,4,1,-4.92,0.9886,1,0,67
25,9,0,0,1,1,-8.29,0.9881,1,0,71
26,16,0,0,1,1,-8.51,0.9877,1,0,71
27,33,0,0,3,1,-15.53,0.9872,1,0,71
28,16,0,0,6,2,-7.36,0.9867,1,0,75
29,6,0,0,3,1,-6.21,0.9862,1,0,75
30,13,0,0,2,1,-5.58,0.9858,1,0,75
31,9,0,0,3,1,-6.79,0.9853,1,0,75
32,5,0,0,2,1,-5.45,0.9848,1,0,78
33,5,0,0,3,1,-5.2,0.9843,1,0,78
34,10,0,0,3,1,-6.2,0.9839,1,0,79
35,5,0,0,2,1,-5.95,0.9834,1,0,81
36,24,0,0,3,2,-7.64,0.9829,1,0,84
37,7,0,0,3,1,-5.72,0.9824,1,0,84
38,24,0,0,3,1,-10.54,0.9819,1,0,86
39,13,0,0,2,1,-7.18,0.9815,1,0,88
40,5,0,0,2,1,-5.95,0.981,1,0,89
41,5,0,0,4,1,-4.9,0.9805,1,0,89
42,6,0,0,2,1,-6.01,0.98,1,0,89
43,10,0,0,3,1,-5.7,0.9796,1,0,92
44,22,0,0,1,1,-9.17,0.9791,1,0,94
45,11,0,0,4,1,-6.96,0.9786,1,0,94
46,18,0,0,2,1,-9.78,0.9781,1,0,94
47,10,0,0,2,1,-6.65,0.9777,1,0,96
48,6,0,0,2,1,-6.46,0.9772,1,0,96
49,27,0,0,1,1,-12.42,0.9767,1,0,97
50,9,0,0,3,1,-5.84,0.9762,1,0,97
51,9,0,0,2,1,-7.09,0.9758,1,0,98
52,15,0,0,2,1,-8.65,0.9753,1,0,98
53,6,0,0,2,1,-6.01,0.9748,1,0,103
54,5,0,0,3,1,-5.1,0.9744,1,0,103
55,12,0,0,2,1,-7.27,0.9739,1,0,103
56,7,0,0,3,1,-5.77,0.9734,1,0,103
57,8,0,0,2,1,-7.03,0.9729,1,0,103
58,5,0,0,3,1,-4.75,0.9725,1,0,103
59,12,0,0,3,1,-6.87,0.972,1,0,103
60,6,0,0,3,1,-5.21,0.9715,1,0,103
61,6,0,0,2,1,-5.46,0.971,1,0,103
62,5,0,0,4,1,-5.85,0.9706,1,0,103
63,12,0,0,1,1,-7.42,0.9701,1,0,104
64,7,0,0,1,1,-6.32,0.9696,1,0,104
65,8,0,0,3,1,-5.23,0.9691,1,0,104
66,5,0,0,4,1,-5.35,0.9687,1,0,104
67,36,0,0,4,2,-11.11,0.9682,1,0,104
68,12,0,0,3,1,-7.27,0.9677,1,0,104
69,6,0,0,4,1,-5.91,0.9672,1,0,104
70,7,0,0,2,1,-6.02,0.9667,1,0,104
71,8,0,0,3,1,-6.73,0.9663,1,0,104
72,10,0,0,2,1,-7.6,0.9658,1,0,104
73,8,0,0,4,1,-5.43,0.9653,1,0,104
74,8,0,0,2,1,-5.63,0.9648,1,0,104
75,8,0,0,2,1,-6.98,0.9644,1,0,104
76,10,0,0,3,1,-6.8,0.9639,1,0,104
77,8,0,0,4,1,-6.43,0.9634,1,0,104
78,5,0,0,3,1,-5.2,0.9629,1,0,104
79,9,0,0,2,1,-7.09,0.9625,1,0,104
80,7,0,0,3,1,-6.17,0.962,1,0,104
81,8,0,0,2,1,-5.98,0.9615,1,0,104
82,8,0,0,3,1,-5.23,0.961,1,0,105
83,15,0,0,2,1,-8.2,0.9606,1,0,105
84,10,0,0,3,1,-6.85,0.9601,1,0,105
85,5,0,0,3,1,-5.7,0.9596,1,0,105
86,13,0,0,2,1,-6.28,0.9591,1,0,105
87,12,0,0,2,1,-8.62,0.9587,1,0,105
88,9,0,0,1,1,-6.84,0.9582,1,0,108
89,6,0,0,1,1,-6.31,0.9577,1,0,108
90,23,0,0,2,1,-9.38,0.9573,1,0,108
91,17,0,0,4,2,-7.87,0.9568,1,0,108
92,16,0,0,4,1,-9.41,0.9563,1,0,108
93,7,0,0,2,1,-6.07,0.9558,1,0,108
94,13,0,0,3,1,-8.33,0.9554,1,0,108
95,5,0,0,3,1,-5.65,0.9549,1,0,108
96,9,0,0,3,1,-6.79,0.9544,1,0,108
97,5,0,0,4,1,-5.35,0.9539,1,0,108
98,5,0,0,3,1,-5.15,0.9535,1,0,108
99,5,0,0,4,1,-5.3,0.953,1,0,108
100,11,0,0,4,1,-6.41,0.9525,1,0,108
101,6,0,0,2,1,-5.91,0.952,1,0,108
102,14,0,0,3,1,-6.39,0.9516,1,0,110
103,19,0,0,2,1,-8.89,0.9511,1,0,110
104,5,0,0,4,1,-5.35,0.9506,1,0,110
105,5,0,0,3,1,-5.2,0.9501,1,0,110
106,7,0,0,3,1,-6.22,0.9496,1,0,110
107,25,0,0,3,1,-10.95,0.9492,1,0,110
108,10,0,0,3,1,-5.8,0.9487,1,0,110
109,8,0,0,2,1,-7.48,0.9482,1,0,110
110,15,0,0,2,1,-10.1,0.9477,1,0,110
111,5,0,0,3,1,-4.65,0.9473,1,0,110
112,9,0,0,4,1,-6.39,0.9468,1,0,110
113,5,0,0,3,1,-5.1,0.9463,1,0,111
114,11,0,0,3,1,-6.71,0.9458,1,0,111
115,6,0,0,2,1,-5.96,0.9454,1,0,111
116,9,0,0,1,1,-7.29,0.9449,1,0,111
117,13,0,0,4,1,-6.53,0.9444,1,0,111
118,28,0,0,1,1,-12.28,0.9439,1,0,111
119,23,0,0,2,1,-10.43,0.9435,1,0,111
120,7,0,0,4,1,-4.92,0.943,1,0,111
121,6,0,0,4,1,-5.86,0.9425,1,0,111
122,12,0,0,2,1,-7.92,0.9421,1,0,111
123,5,0,0,4,1,-5.25,0.9416,1,0,111
124,8,0,0,3,1,-6.23,0.9411,1,0,111
125,10,0,0,2,1,-6.6,0.9406,1,0,111
126,23,0,0,2,1,-8.98,0.9402,1,0,112
127,18,0,0,3,1,-6.98,0.9397,1,0,112
128,6,0,0,4,1,-5.31,0.9392,1,0,112
129,10,0,0,2,1,-7.55,0.9387,1,0,112
130,5,0,0,2,1,-5.95,0.9383,1,0,112
131,16,0,0,3,1,-9.36,0.9378,1,0,112
132,10,0,0,3,1,-6.25,0.9373,1,0,112
133,6,0,0,4,1,-5.41,0.9368,1,0,112
134,5,0,0,4,1,-5.35,0.9364,1,0,112
135,5,0,0,4,1,-4.8,0.9359,1,0,112
136,5,0,0,4,1,-5.25,0.9354,1,0,112
137,5,0,0,3,1,-5.2,0.9349,1,0,112
138,15,0,0,6,2,-7.3,0.9345,1,0,112
139,8,0,0,3,1,-7.18,0.934,1,0,112
140,31,0,1,2,2,-9.76,0.9335,1,0,116
141,12,0,0,2,1,-6.37,0.933,1,0,116
142,8,0,0,3,1,-6.73,0.9325,1,0,116
143,7,0,0,1,1,-6.32,0.9321,1,0,116
144,21,0,0,1,1,-10.11,0.9316,1,0,117
145,6,0,0,2,1,-6.01,0.9311,1,0,118
146,10,0,0,4,1,-6.45,0.9306,1,0,118
147,13,0,0,1,1,-7.83,0.9302,1,0,118
148,19,0,0,2,1,-10.29,0.9297,1,0,118
149,20,0,0,3,1,-10.25,0.9292,1,0,118
150,18,0,0,3,1,-8.48,0.9287,1,0,118
151,7,0,0,3,1,-5.77,0.9283,1,0,119
152,5,0,0,2,1,-5.75,0.9278,1,0,120
153,9,0,0,2,1,-5.49,0.9273,1,0,120
154,14,0,0,3,1,-7.44,0.9268,1,0,120
155,14,0,0,3,1,-8.34,0.9264,1,0,120
156,11,0,0,1,1,-7.86,0.9259,1,0,120
157,5,0,0,1,1,-6.25,0.9254,1,0,120
158,11,0,0,3,1,-7.71,0.925,1,0,121
159,5,0,0,3,1,-5.1,0.9245,1,0,121
160,7,0,0,4,1,-5.92,0.924,1,0,121
161,5,0,0,3,1,-5.15,0.9235,1,0,121
162,18,0,0,3,1,-6.83,0.9231,1,0,121
163,5,0,0,3,1,-5.2,0.9226,1,0,121
164,13,0,0,2,1,-7.73,0.9221,1,0,121
165,7,0,0,3,1,-6.22,0.9216,1,0,121
166,8,0,0,3,1,-6.28,0.9212,1,0,121
167,28,0,0,4,1,-10.28,0.9207,1,0,121
168,5,0,0,2,1,-5.45,0.9202,1,0,122
169,8,0,0,3,1,-7.08,0.9197,1,0,122
170,13,0,0,2,1,-6.18,0.9193,1,0,125
171,12,0,0,2,1,-7.97,0.9188,1,0,125
172,5,0,0,2,1,-5.95,0.9183,1,0,125
173,13,0,0,2,1,-8.23,0.9178,1,0,125
174,8,0,0,1,1,-7.28,0.9173,1,0,125
175,5,0,0,3,1,-5.0,0.9169,1,0,125
176,5,0,0,3,1,-5.25,0.9164,1,0,125
177,8,0,0,3,1,-5.63,0.9159,1,0,126
178,16,0,0,2,2,-7.71,0.9154,1,0,126
179,6,0,0,3,1,-6.21,0.915,1,0,126
180,11,0,0,1,1,-8.81,0.9145,1,0,126
181,16,0,0,3,1,-8.46,0.914,1,0,126
182,5,0,0,2,1,-5.85,0.9135,1,0,126
183,12,0,0,1,1,-8.37,0.9131,1,0,126
184,9,0,0,2,1,-6.64,0.9126,1,0,126
185,8,0,0,2,1,-5.98,0.9121,1,0,126
186,8,0,0,2,1,-7.03,0.9116,1,0,126
187,6,0,0,2,1,-6.01,0.9112,1,0,126
188,20,0,0,3,1,-9.4,0.9107,1,0,126
189,7,0,0,2,1,-6.07,0.9102,1,0,126
190,5,0,0,2,1,-5.5,0.9098,1,0,126
191,15,0,0,3,1,-9.75,0.9093,1,0,126
192,7,0,0,4,1,-4.12,0.9088,1,0,126
193,17,0,0,3,1,-8.52,0.9083,1,0,126
194,6,0,0,1,1,-4.91,0.9079,1,0,126
195,15,0,0,3,1,-9.85,0.9074,1,0,126
196,9,0,0,3,1,-6.69,0.9069,1,0,126
197,5,0,0,4,1,-5.15,0.9064,1,0,126
198,7,0,0,1,1,-6.27,0.906,1,0,126
199,5,0,0,3,1,-5.2,0.9055,1,0,127
200,7,0,0,3,1,-5.77,0.905,1,0,127
201,5,0,0,2,1,-5.95,0.9045,1,0,127
202,8,0,0,2,1,-7.08,0.9041,1,0,127
203,7,0,0,3,1,-4.72,0.9036,1,0,127
204,6,0,0,2,1,-5.96,0.9031,1,0,127
205,31,0,0,3,2,-12.01,0.9026,1,0,129
206,9,0,0,1,1,-6.44,0.9022,1,0,130
207,11,0,0,3,1,-6.41,0.9017,1,0,130
208,5,0,0,3,1,-5.15,0.9012,1,0,130
209,8,0,0,2,1,-5.98,0.9007,1,0,130
210,10,0,0,3,1,-6.75,0.9002,1,0,130
211,6,0,0,2,1,-5.56,0.8998,1,0,130
212,11,0,0,1,1,-6.91,0.8993,1,0,131
213,9,0,0,3,1,-4.79,0.8988,1,0,131
214,8,0,0,4,1,-6.88,0.8983,1,0,131
215,8,0,0,4,1,-5.93,0.8979,1,0,131
216,19,0,0,3,1,-7.39,0.8974,1,0,131
217,5,0,0,2,1,-5.85,0.8969,1,0,131
218,7,0,0,2,1,-5.57,0.8964,1,0,131
219,9,0,0,3,1,-7.19,0.896,1,0,131
220,14,0,0,2,1,-9.54,0.8955,1,0,131
221,11,0,0,2,1,-6.61,0.895,1,0,132
222,7,0,0,2,1,-5.57,0.8945,1,0,132
223,5,0,0,2,1,-5.5,0.8941,1,0,132
224,5,0,0,2,1,-5.95,0.8936,1,0,132
225,13,0,0,2,1,-7.18,0.8931,1,0,132
226,15,0,0,5,1,-6.7,0.8926,1,0,135
227,10,0,0,3,1,-6.15,0.8922,1,0,135
228,16,0,0,6,2,-6.91,0.8917,1,0,135
229,8,0,0,2,1,-6.63,0.8912,1,0,135
230,6,0,0,3,1,-6.16,0.8908,1,0,135
231,6,0,0,4,1,-5.86,0.8903,1,0,135
232,19,0,0,3,1,-9.34,0.8898,1,0,135
233,10,0,0,2,1,-8.05,0.8893,1,0,135
234,5,0,0,2,1,-6.45,0.8889,1,0,135
235,8,0,0,3,1,-6.28,0.8884,1,0,135
236,14,0,0,4,1,-7.04,0.8879,1,0,135
237,10,0,0,3,1,-6.3,0.8874,1,0,135
238,22,0,0,2,1,-9.77,0.887,1,0,135
239,11,0,0,2,1,-7.91,0.8865,1,0,135
240,5,0,0,3,1,-6.15,0.886,1,0,135
241,7,0,0,2,1,-5.57,0.8855,1,0,135
242,14,0,0,3,1,-6.89,0.8851,1,0,135
243,5,0,0,2,1,-5.55,0.8846,1,0,135
244,9,0,0,2,1,-6.59,0.8841,1,0,135
245,6,0,0,3,1,-5.16,0.8836,1,0,135
246,8,0,0,1,1,-6.38,0.8831,1,0,135
247,7,0,0,3,1,-5.72,0.8827,1,0,135
248,6,0,0,2,1,-5.56,0.8822,1,0,135
249,16,0,0,4,1,-6.71,0.8817,1,0,135
250,5,0,0,4,1,-4.9,0.8812,1,0,135
251,5,0,0,4,1,-4.95,0.8808,1,0,135
252,7,0,0,4,1,-4.92,0.8803,1,0,135
253,11,0,0,2,1,-7.11,0.8798,1,0,135
254,26,1,1,5,2,-9.21,0.8793,1,0,137
255,5,0,0,3,1,-5.2,0.8789,1,0,137
256,5,0,0,2,1,-4.45,0.8784,1,0,137
257,5,0,0,3,1,-5.65,0.8779,1,0,137
258,6,0,0,1,1,-5.81,0.8775,1,0,137
259,6,0,0,2,1,-6.36,0.877,1,0,137
260,7,0,0,3,1,-5.27,0.8765,1,0,137
261,20,0,0,4,2,-9.45,0.876,1,0,138
262,14,0,0,5,2,-7.64,0.8756,1,0,138
263,17,0,0,4,1,-9.47,0.8751,1,0,138
264,15,0,0,2,1,-8.05,0.8746,1,0,138
265,15,0,0,5,1,-5.8,0.8741,1,0,140
266,8,0,0,3,1,-6.63,0.8737,1,0,140
267,5,0,0,3,1,-5.25,0.8732,1,0,140
268,5,0,0,3,1,-5.2,0.8727,1,0,140
269,5,0,0,3,1,-5.2,0.8722,1,0,140
270,8,0,0,3,1,-5.73,0.8718,1,0,140
271,6,0,0,3,1,-4.86,0.8713,1,0,140
272,5,0,0,3,1,-5.2,0.8708,1,0,140
273,42,0,0,3,1,-13.97,0.8703,1,0,140
274,8,0,0,2,1,-5.53,0.8699,1,0,140
275,10,0,0,3,1,-6.4,0.8694,1,0,140
276,6,0,0,3,1,-5.61,0.8689,1,0,140
277,10,0,0,3,1,-6.8,0.8684,1,0,140
278,6,0,0,3,1,-5.66,0.8679,1,0,140
279,15,0,0,4,2,-8.0,0.8675,1,0,140
280,15,0,0,3,1,-5.9,0.867,1,0,142
281,14,0,0,3,1,-7.79,0.8665,1,0,143
282,13,0,0,3,1,-7.78,0.866,1,0,143
283,5,0,0,4,1,-5.35,0.8656,1,0,143
284,7,0,0,3,1,-6.22,0.8651,1,0,143
285,6,0,0,4,1,-4.41,0.8646,1,0,143
286,46,1,1,11,5,-8.86,0.8641,1,0,160
287,9,0,0,4,1,-5.94,0.8637,1,0,160
288,14,0,0,1,1,-7.54,0.8632,1,0,160
289,9,0,0,3,1,-6.69,0.8627,1,0,160
290,19,0,0,5,1,-9.74,0.8622,1,0,161
291,18,0,0,4,1,-8.08,0.8618,1,0,161
