episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,26,0,0,2,1,-10.81,0.9995,1,0,6
2,5,0,0,3,1,-4.65,0.999,1,0,10
3,14,0,0,2,1,-6.84,0.9986,1,0,13
4,22,0,0,2,1,-12.17,0.9981,1,0,13
5,14,0,0,3,1,-9.24,0.9976,1,0,13
6,6,0,0,2,1,-5.51,0.9971,1,0,18
7,5,0,0,3,1,-5.1,0.9967,1,0,20
8,9,0,0,1,1,-6.49,0.9962,1,0,20
9,7,0,0,3,1,-6.22,0.9957,1,0,20
10,12,0,0,4,1,-7.42,0.9952,1,0,20
11,25,0,0,2,1,-11.75,0.9948,1,0,21
12,9,0,0,2,1,-6.49,0.9943,1,0,22
13,9,0,0,5,1,-5.69,0.9938,1,0,23
14,11,0,0,3,1,-7.66,0.9933,1,0,23
15,14,0,0,3,1,-7.94,0.9929,1,0,23
16,6,0,0,2,1,-6.46,0.9924,1,0,23
17,19,0,0,5,1,-9.19,0.9919,1,0,25
18,10,0,0,3,1,-8.25,0.9915,1,0,25
19,11,0,0,3,1,-7.66,0.991,1,0,25
20,7,0,0,2,1,-5.97,0.9905,1,0,25
21,6,0,0,4,1,-5.41,0.99,1,0,25
22,7,0,0,3,1,-5.72,0.9896,1,0,25
23,6,0,0,3,1,-6.16,0.9891,1,0,25
24,5,0,0,2,1,-5.95,0.9886,1,0,25
25,8,0,0,4,1,-5.88,0.9881,1,0,25
26,15,0,0,2,1,-7.3,0.9877,1,0,25
27,7,0,0,4,1,-6.27,0.9872,1,0,25
28,7,0,0,3,1,-5.67,0.9867,1,0,25
29,13,0,0,4,2,-6.58,0.9862,1,0,25
30,5,0,0,4,1,-5.75,0.9858,1,0,25
31,9,0,0,4,1,-5.49,0.9853,1,0,25
32,10,0,0,6,1,-5.45,0.9848,1,0,25
33,10,0,0,2,1,-6.45,0.9843,1,0,25
34,18,0,0,2,1,-10.13,0.9839,1,0,25
35,8,0,0,2,1,-6.58,0.9834,1,0,25
36,13,0,0,3,1,-7.83,0.9829,1,0,25
37,5,0,0,4,1,-5.85,0.9824,1,0,25
38,5,0,0,4,1,-5.35,0.9819,1,0,25
39,5,0,0,3,1,-5.2,0.9815,1,0,25
40,9,0,0,3,1,-7.24,0.981,1,0,25
41,7,0,0,3,1,-6.22,0.9805,1,0,25
42,6,0,0,2,1,-6.01,0.98,1,0,25
43,13,0,0,3,1,-7.78,0.9796,1,0,25
44,7,0,0,2,1,-5.62,0.9791,1,0,25
45,11,0,0,3,1,-5.31,0.9786,1,0,25
46,10,0,0,2,1,-6.65,0.9781,1,0,25
47,6,0,0,0,1,-6.56,0.9777,1,0,26
48,8,0,0,2,1,-6.93,0.9772,1,0,26
49,17,0,0,5,1,-6.67,0.9767,1,0,28
50,13,0,0,3,1,-7.83,0.9762,1,0,28
51,15,0,0,2,1,-9.15,0.9758,1,0,30
52,5,0,0,4,1,-5.35,0.9753,1,0,30
53,13,0,0,2,1,-8.03,0.9748,1,0,30
54,10,0,0,3,1,-6.75,0.9744,1,0,30
55,9,0,0,3,1,-6.74,0.9739,1,0,30
56,6,0,0,3,1,-5.21,0.9734,1,0,30
57,7,0,0,4,1,-5.02,0.9729,1,0,30
58,24,0,0,2,1,-9.54,0.9725,1,0,30
59,13,0,0,2,1,-8.08,0.972,1,0,30
60,30,0,0,4,2,-11.5,0.9715,1,0,30
61,10,0,0,3,1,-6.4,0.971,1,0,30
62,7,0,0,1,1,-5.87,0.9706,1,0,30
63,12,0,0,0,1,-7.27,0.9701,1,0,31
64,5,0,0,2,1,-5.95,0.9696,1,0,31
65,24,0,0,5,3,-9.44,0.9691,1,0,31
66,6,0,0,1,1,-5.81,0.9687,1,0,31
67,5,0,0,1,1,-5.8,0.9682,1,0,31
68,23,0,0,2,1,-11.88,0.9677,1,0,31
69,7,0,0,2,1,-5.52,0.9672,1,0,31
70,5,0,0,4,1,-4.8,0.9667,1,0,31
71,7,0,0,3,1,-6.22,0.9663,1,0,31
72,5,0,0,4,1,-4.45,0.9658,1,0,31
73,18,0,0,5,1,-6.93,0.9653,1,0,35
74,9,0,0,3,1,-5.74,0.9648,1,0,35
75,5,0,0,1,1,-6.25,0.9644,1,0,35
76,18,0,0,3,1,-8.88,0.9639,1,0,37
77,14,0,0,5,1,-7.74,0.9634,1,0,37
78,5,0,0,3,1,-5.55,0.9629,1,0,37
79,7,0,0,2,1,-5.57,0.9625,1,0,37
80,7,0,0,3,1,-5.17,0.962,1,0,37
81,6,0,0,2,1,-5.56,0.9615,1,0,37
82,7,0,0,2,1,-6.47,0.961,1,0,37
83,8,0,0,4,1,-5.03,0.9606,1,0,37
84,10,0,0,3,1,-7.7,0.9601,1,0,37
85,5,0,0,4,1,-5.35,0.9596,1,0,37
86,15,0,0,4,2,-7.55,0.9591,1,0,37
87,5,0,0,4,1,-4.45,0.9587,1,0,37
88,8,0,0,2,1,-6.53,0.9582,1,0,37
89,11,0,0,2,1,-7.66,0.9577,1,0,37
90,5,0,0,2,1,-5.1,0.9573,1,0,37
91,5,0,0,3,1,-5.65,0.9568,1,0,37
92,7,0,0,3,1,-6.22,0.9563,1,0,37
93,19,0,0,4,1,-9.69,0.9558,1,0,37
94,21,0,0,7,2,-7.81,0.9554,1,0,37
95,14,0,0,3,1,-5.94,0.9549,1,0,37
96,14,0,0,2,1,-8.64,0.9544,1,0,37
97,9,0,0,2,1,-7.09,0.9539,1,0,37
98,14,0,0,3,2,-6.84,0.9535,1,0,37
99,5,0,0,4,1,-5.35,0.953,1,0,37
100,16,0,0,6,1,-6.91,0.9525,1,0,37
101,7,0,0,2,1,-5.47,0.952,1,0,37
102,11,0,0,3,1,-7.31,0.9516,1,0,42
103,14,0,0,3,1,-6.84,0.9511,1,0,42
104,14,0,0,5,2,-7.19,0.9506,1,0,42
105,10,0,0,4,1,-6.45,0.9501,1,0,42
106,7,0,0,4,1,-5.47,0.9496,1,0,42
107,7,0,0,2,1,-5.52,0.9492,1,0,42
108,7,0,0,4,1,-3.82,0.9487,1,0,43
109,14,0,0,3,1,-7.74,0.9482,1,0,43
110,37,0,0,6,3,-13.27,0.9477,1,0,45
111,18,0,0,2,1,-9.18,0.9473,1,0,45
112,10,0,0,2,1,-7.5,0.9468,1,0,45
113,7,0,0,3,1,-4.67,0.9463,1,0,45
114,10,0,0,1,1,-7.85,0.9458,1,0,45
115,5,0,0,4,1,-4.35,0.9454,1,0,45
116,6,0,0,3,1,-5.56,0.9449,1,0,45
117,5,0,0,3,1,-5.7,0.9444,1,0,45
118,5,0,0,4,1,-4.9,0.9439,1,0,45
119,8,0,0,3,1,-5.23,0.9435,1,0,45
120,10,0,0,2,1,-6.5,0.943,1,0,46
121,6,0,0,1,1,-6.26,0.9425,1,0,46
122,18,0,0,6,2,-8.48,0.9421,1,0,46
123,5,0,0,3,1,-4.75,0.9416,1,0,46
124,8,0,0,3,1,-6.73,0.9411,1,0,46
125,9,0,0,3,1,-7.14,0.9406,1,0,46
126,19,0,0,5,1,-9.34,0.9402,1,0,46
127,12,0,0,4,1,-7.02,0.9397,1,0,46
128,16,0,0,6,1,-6.91,0.9392,1,0,46
129,8,0,0,4,1,-5.78,0.9387,1,0,46
130,7,0,0,4,1,-5.27,0.9383,1,0,46
131,27,0,0,4,2,-8.77,0.9378,1,0,46
132,8,0,0,3,1,-5.23,0.9373,1,0,46
133,5,0,0,4,1,-4.9,0.9368,1,0,46
134,5,0,0,4,1,-4.8,0.9364,1,0,46
135,15,0,0,2,1,-7.2,0.9359,1,0,46
136,12,0,0,3,1,-6.42,0.9354,1,0,46
137,7,0,0,6,1,-4.77,0.9349,1,0,46
138,11,0,0,4,1,-6.41,0.9345,1,0,46
139,6,0,0,4,1,-5.41,0.934,1,0,46
140,5,0,0,4,1,-4.8,0.9335,1,0,46
141,20,0,0,2,2,-8.25,0.933,1,0,46
142,7,0,0,2,1,-5.17,0.9325,1,0,46
143,7,0,0,2,1,-6.07,0.9321,1,0,46
144,5,0,0,3,1,-5.65,0.9316,1,0,46
145,8,0,0,3,1,-5.33,0.9311,1,0,46
146,6,0,0,3,1,-5.26,0.9306,1,0,46
147,11,0,0,3,1,-6.86,0.9302,1,0,46
148,19,0,0,3,1,-8.44,0.9297,1,0,46
149,11,0,0,3,1,-6.16,0.9292,1,0,46
150,5,0,0,3,1,-5.65,0.9287,1,0,46
151,7,0,0,3,1,-6.17,0.9283,1,0,46
152,6,0,0,2,1,-5.96,0.9278,1,0,46
153,6,0,0,2,1,-6.96,0.9273,1,0,46
154,10,0,0,2,1,-8.05,0.9268,1,0,46
155,7,0,0,4,1,-6.27,0.9264,1,0,46
156,6,0,0,3,1,-6.06,0.9259,1,0,46
157,15,0,0,3,1,-9.25,0.9254,1,0,46
158,11,0,0,4,1,-6.06,0.925,1,0,46
159,8,0,0,4,1,-5.38,0.9245,1,0,46
160,20,0,0,2,1,-9.65,0.924,1,0,46
161,5,0,0,3,1,-5.1,0.9235,1,0,46
162,5,0,0,4,1,-4.9,0.9231,1,0,46
163,17,0,0,5,1,-6.72,0.9226,1,0,46
164,9,0,0,2,1,-6.59,0.9221,1,0,46
165,37,0,0,4,2,-13.02,0.9216,1,0,46
166,9,0,0,3,1,-6.74,0.9212,1,0,46
167,6,0,0,3,1,-5.76,0.9207,1,0,46
168,9,0,0,3,1,-5.79,0.9202,1,0,46
169,5,0,0,3,1,-5.25,0.9197,1,0,46
170,5,0,0,3,1,-5.7,0.9193,1,0,46
171,26,0,0,2,1,-8.91,0.9188,1,0,50
172,14,0,0,2,1,-8.04,0.9183,1,0,50
173,11,0,0,4,1,-6.51,0.9178,1,0,50
174,5,0,0,3,1,-5.6,0.9173,1,0,50
175,5,0,0,2,1,-5.05,0.9169,1,0,50
176,5,0,0,4,1,-5.35,0.9164,1,0,50
177,5,0,0,2,1,-5.45,0.9159,1,0,50
178,6,0,0,3,1,-5.66,0.9154,1,0,50
179,5,0,0,4,1,-5.35,0.915,1,0,50
180,5,0,0,3,1,-5.2,0.9145,1,0,50
181,8,0,0,2,1,-5.53,0.914,1,0,50
182,5,0,0,4,1,-4.45,0.9135,1,0,50
183,9,0,0,2,1,-6.64,0.9131,1,0,50
184,6,0,0,2,1,-5.51,0.9126,1,0,50
185,7,0,0,3,1,-6.57,0.9121,1,0,50
186,5,0,0,3,1,-5.2,0.9116,1,0,50
187,33,0,0,5,3,-9.53,0.9112,1,0,50
