episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited,q_UP,q_RIGHT,q_DOWN,q_LEFT,q_WAIT,q_BOMB
1,400,26,26,-31.05,0.9995,0,1,18,-0.28201,0.042,-0.1752,0.12959,0.02801,0.0
2,400,17,17,-46.95,0.999,0,1,24,-0.30543,0.06426,-0.26541,0.18255,0.04466,0.0
3,400,20,20,-47.6,0.9986,0,1,25,-0.33582,0.15413,-0.32517,0.17533,0.07947,0.0
4,400,21,21,-30.85,0.9981,0,1,27,-0.30882,0.28075,-0.28222,0.24884,0.14284,0.0
5,400,12,12,-52.4,0.9976,0,1,27,-0.26996,0.47054,-0.23746,0.47443,0.1667,0.0
6,400,24,24,-42.6,0.9971,0,1,28,-0.15645,0.46444,-0.11659,0.48581,0.35696,0.0
7,400,10,10,-52.3,0.9967,0,1,28,-0.10085,0.40626,-0.15278,0.41731,0.35028,0.0
8,400,17,17,-47.75,0.9962,0,1,29,-0.0002,0.50633,-0.0546,0.56229,0.43563,0.0
9,400,25,25,-47.7,0.9957,0,1,29,0.08094,0.57525,0.03259,0.86755,0.4968,0.0
10,400,22,22,-46.85,0.9952,0,1,30,0.27929,0.70379,0.26951,0.94433,0.64567,0.0
11,400,10,10,-58.7,0.9948,0,1,30,0.27929,0.70379,0.26951,0.94433,0.64567,0.0
12,400,20,20,-42.05,0.9943,0,1,30,0.31842,0.7108,0.29138,0.91088,0.69368,0.0
13,400,12,12,-54.0,0.9938,0,1,31,0.32316,0.78222,0.31048,0.97311,0.73124,0.0
14,400,16,16,-38.95,0.9933,0,1,31,0.34044,0.8222,0.34151,0.99868,0.75877,0.0
15,400,16,16,-55.8,0.9929,0,1,31,0.34736,0.8222,0.35741,1.02185,0.76885,0.0
16,400,22,22,-44.2,0.9924,0,1,31,0.43267,0.93732,0.33711,1.04625,0.86512,0.0
17,400,15,15,-51.85,0.9919,0,1,31,0.50523,1.02115,0.46319,1.00524,0.97731,0.0
18,400,20,20,-41.55,0.9915,0,1,31,0.44426,0.77482,0.40012,0.92371,0.87423,0.0
19,400,20,20,-51.0,0.991,0,1,32,0.54743,0.96266,0.53145,1.35713,0.86608,0.0
20,400,22,22,-48.65,0.9905,0,1,32,0.703,1.13516,0.57785,1.40417,1.11585,0.0
21,400,22,22,-47.55,0.99,0,1,32,0.68355,1.15208,0.61904,1.37182,1.119,0.0
22,400,23,23,-35.65,0.9896,0,1,32,0.74289,1.28995,0.76935,1.45487,1.18741,0.0
23,400,23,23,-44.2,0.9891,0,1,32,0.62031,1.25765,0.76762,1.32747,1.20688,0.0
24,400,13,13,-54.4,0.9886,0,1,32,0.65092,1.06893,0.67987,1.16966,1.11953,0.0
25,400,9,9,-51.8,0.9881,0,1,32,0.62565,1.06893,0.65154,1.19538,1.08664,0.0
26,400,19,19,-49.05,0.9877,0,1,32,0.56981,1.10819,0.59207,1.29976,0.98104,0.0
27,400,13,13,-49.65,0.9872,0,1,32,0.65537,1.30699,0.68347,1.44668,1.10068,0.0
28,400,12,12,-58.45,0.9867,0,1,32,0.71059,1.10743,0.75115,1.4746,1.16968,0.0
29,400,8,8,-59.7,0.9862,0,1,32,0.64362,0.91689,0.65024,1.16682,1.08424,0.0
30,400,22,22,-43.05,0.9858,0,1,32,0.68661,1.10794,0.67169,1.37929,1.10995,0.0
31,400,20,20,-47.85,0.9853,0,1,32,0.71338,1.15494,0.70643,1.37971,1.13535,0.0
