episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited
1,400,26,26,-31.06,0.9995,0,1,18
2,400,17,17,-47.01,0.999,0,1,24
3,400,20,20,-48.11,0.9986,0,1,25
4,400,21,21,-30.86,0.9981,0,1,27
5,400,12,12,-52.46,0.9976,0,1,27
6,400,24,24,-42.66,0.9971,0,1,28
7,400,10,10,-52.81,0.9967,0,1,28
8,400,17,17,-47.81,0.9962,0,1,29
9,400,25,25,-47.71,0.9957,0,1,29
10,400,22,22,-46.86,0.9952,0,1,30
11,400,10,10,-59.21,0.9948,0,1,30
12,400,20,20,-42.06,0.9943,0,1,30
13,400,12,12,-54.51,0.9938,0,1,31
14,400,16,16,-39.46,0.9933,0,1,31
15,400,16,16,-55.86,0.9929,0,1,31
16,400,22,22,-44.71,0.9924,0,1,31
17,400,15,15,-51.86,0.9919,0,1,31
18,400,20,20,-41.61,0.9915,0,1,31
19,400,20,20,-51.06,0.991,0,1,32
20,400,22,22,-49.16,0.9905,0,1,32
21,400,22,22,-47.61,0.99,0,1,32
22,400,23,23,-35.66,0.9896,0,1,32
23,400,23,23,-44.71,0.9891,0,1,32
24,400,13,13,-54.41,0.9886,0,1,32
25,400,9,9,-52.31,0.9881,0,1,32
26,400,19,19,-49.56,0.9877,0,1,32
27,400,13,13,-49.71,0.9872,0,1,32
28,400,12,12,-58.46,0.9867,0,1,32
29,400,8,8,-59.71,0.9862,0,1,32
30,400,22,22,-43.06,0.9858,0,1,32
31,400,20,20,-47.86,0.9853,0,1,32
32,400,18,18,-44.36,0.9848,0,1,32
33,400,17,17,-56.16,0.9843,0,1,32
34,400,15,15,-44.91,0.9839,0,1,32
35,400,17,17,-48.56,0.9834,0,1,32
36,400,17,17,-48.46,0.9829,0,1,32
37,400,23,23,-45.76,0.9824,0,1,32
38,400,24,24,-44.91,0.9819,0,1,32
39,400,12,12,-58.16,0.9815,0,1,32
40,400,21,21,-31.71,0.981,0,1,32
41,400,19,19,-36.71,0.9805,0,1,32
42,400,16,16,-49.01,0.98,0,1,32
43,400,9,11,-55.06,0.9796,0,1,32
44,400,21,21,-41.96,0.9791,0,1,32
45,400,17,17,-48.01,0.9786,0,1,32
46,400,9,9,-56.11,0.9781,0,1,32
47,400,9,9,-56.16,0.9777,0,1,32
48,400,13,13,-55.66,0.9772,0,1,32
49,400,14,14,-48.86,0.9767,0,1,32
50,400,10,10,-55.66,0.9762,0,1,32
51,400,29,29,-30.31,0.9758,0,1,32
52,400,18,18,-45.11,0.9753,0,1,32
53,400,13,13,-59.36,0.9748,0,1,32
54,400,19,19,-40.31,0.9744,0,1,32
55,400,21,21,-43.26,0.9739,0,1,32
56,400,15,15,-51.66,0.9734,0,1,32
57,400,18,18,-44.46,0.9729,0,1,32
58,400,13,13,-42.71,0.9725,0,1,32
59,400,14,14,-48.61,0.972,0,1,32
60,400,5,5,-60.61,0.9715,0,1,32
61,400,6,6,-62.71,0.971,0,1,32
62,400,14,14,-52.76,0.9706,0,1,32
63,400,17,17,-43.91,0.9701,0,1,32
64,400,24,24,-47.91,0.9696,0,1,32
65,400,18,18,-51.21,0.9691,0,1,32
66,400,17,17,-42.06,0.9687,0,1,32
67,400,23,23,-43.61,0.9682,0,1,32
68,400,10,10,-55.26,0.9677,0,1,32
69,400,18,18,-42.06,0.9672,0,1,32
70,400,17,17,-49.71,0.9667,0,1,32
71,400,12,12,-48.51,0.9663,0,1,32
72,400,14,14,-57.86,0.9658,0,1,32
73,400,23,23,-37.01,0.9653,0,1,32
74,400,16,16,-53.16,0.9648,0,1,32
75,400,20,20,-44.71,0.9644,0,1,32
76,400,18,18,-50.16,0.9639,0,1,32
77,400,17,17,-45.41,0.9634,0,1,32
78,400,25,25,-40.26,0.9629,0,1,32
79,400,25,25,-36.46,0.9625,0,1,32
80,400,22,22,-34.26,0.962,0,1,32
81,400,26,26,-41.71,0.9615,0,1,32
82,400,20,20,-40.76,0.961,0,1,32
83,400,17,17,-53.36,0.9606,0,1,32
84,400,23,23,-32.11,0.9601,0,1,32
85,400,20,20,-39.11,0.9596,0,1,32
86,400,20,20,-34.81,0.9591,0,1,32
87,400,22,22,-45.91,0.9587,0,1,32
88,400,25,25,-28.56,0.9582,0,1,32
89,400,28,28,-30.46,0.9577,0,1,32
90,400,22,22,-41.76,0.9573,0,1,32
91,400,19,19,-40.21,0.9568,0,1,32
92,400,23,23,-45.81,0.9563,0,1,32
93,400,14,14,-50.96,0.9558,0,1,32
94,400,22,22,-36.31,0.9554,0,1,32
95,400,19,19,-46.31,0.9549,0,1,32
96,400,21,21,-44.16,0.9544,0,1,32
97,400,15,15,-52.56,0.9539,0,1,32
98,400,21,21,-38.41,0.9535,0,1,32
99,400,16,16,-43.71,0.953,0,1,32
100,400,17,17,-46.56,0.9525,0,1,32
101,400,13,13,-51.36,0.952,0,1,32
102,400,19,19,-44.66,0.9516,0,1,32
103,400,13,13,-57.96,0.9511,0,1,32
104,400,24,24,-41.36,0.9506,0,1,32
105,400,16,16,-43.01,0.9501,0,1,32
106,400,27,27,-35.66,0.9496,0,1,32
107,400,24,24,-38.31,0.9492,0,1,32
108,400,25,25,-39.51,0.9487,0,1,32
109,400,19,19,-41.01,0.9482,0,1,32
110,400,20,20,-43.76,0.9477,0,1,32
111,400,23,23,-30.01,0.9473,0,1,32
112,400,15,15,-58.61,0.9468,0,1,32
113,400,33,33,-31.16,0.9463,0,1,32
114,400,23,23,-39.46,0.9458,0,1,32
115,400,20,20,-37.56,0.9454,0,1,32
116,400,22,22,-35.51,0.9449,0,1,32
