episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,18,0,0,3,2,-8.38,0.9995,1,0,11
2,13,0,0,2,1,-9.13,0.999,1,0,16
3,9,0,0,3,1,-6.09,0.9986,1,0,16
4,6,0,0,4,1,-5.81,0.9981,1,0,20
5,11,0,0,1,1,-5.96,0.9976,1,0,22
6,33,0,0,3,1,-14.03,0.9971,1,0,22
7,6,0,0,3,1,-5.71,0.9967,1,0,22
8,18,0,0,2,1,-8.73,0.9962,1,0,23
9,11,0,0,2,1,-8.06,0.9957,1,0,23
10,7,0,0,2,1,-6.07,0.9952,1,0,23
11,5,0,0,3,1,-5.65,0.9948,1,0,23
12,9,0,0,3,1,-6.29,0.9943,1,0,23
13,6,0,0,4,1,-5.86,0.9938,1,0,23
14,5,0,0,3,1,-6.15,0.9933,1,0,23
15,20,0,0,2,1,-9.7,0.9929,1,0,23
16,8,0,0,2,1,-6.08,0.9924,1,0,26
17,15,0,0,3,1,-7.75,0.9919,1,0,26
18,9,0,0,2,1,-6.09,0.9915,1,0,26
19,7,0,0,3,1,-6.17,0.991,1,0,28
20,8,0,0,3,1,-6.23,0.9905,1,0,29
21,6,0,0,4,1,-5.46,0.99,1,0,29
22,10,0,0,2,1,-7.5,0.9896,1,0,29
23,18,0,0,4,1,-7.73,0.9891,1,0,30
24,9,0,0,3,1,-7.24,0.9886,1,0,30
25,6,0,0,2,1,-6.46,0.9881,1,0,30
26,13,0,0,3,1,-8.73,0.9877,1,0,30
27,8,0,0,2,1,-6.58,0.9872,1,0,30
28,6,0,0,4,1,-4.96,0.9867,1,0,30
29,6,0,0,2,1,-5.41,0.9862,1,0,30
30,19,0,0,6,2,-8.59,0.9858,1,0,32
31,9,0,0,3,1,-8.19,0.9853,1,0,32
32,11,0,0,1,1,-7.81,0.9848,1,0,32
33,6,0,0,3,1,-4.81,0.9843,1,0,32
34,6,0,0,2,1,-6.36,0.9839,1,0,32
35,6,0,0,3,1,-5.71,0.9834,1,0,32
36,7,0,0,5,1,-4.62,0.9829,1,0,35
37,6,0,0,3,1,-5.71,0.9824,1,0,35
38,5,0,0,2,1,-5.5,0.9819,1,0,35
39,10,0,0,2,1,-7.1,0.9815,1,0,35
40,12,0,0,3,1,-7.27,0.981,1,0,35
41,6,0,0,2,1,-5.51,0.9805,1,0,35
42,9,0,0,1,1,-7.39,0.98,1,0,35
43,8,0,0,3,1,-6.13,0.9796,1,0,35
44,9,0,0,1,1,-6.89,0.9791,1,0,35
45,7,0,0,2,1,-6.02,0.9786,1,0,37
46,5,0,0,3,1,-5.2,0.9781,1,0,37
47,10,0,0,1,1,-7.45,0.9777,1,0,37
48,6,0,0,2,1,-5.96,0.9772,1,0,37
49,20,0,0,4,1,-8.65,0.9767,1,0,37
50,7,0,0,3,1,-6.17,0.9762,1,0,37
51,15,0,0,2,1,-8.8,0.9758,1,0,37
52,7,0,0,4,1,-5.92,0.9753,1,0,37
53,6,0,0,3,1,-5.66,0.9748,1,0,37
54,48,0,0,5,3,-15.43,0.9744,1,0,41
55,10,0,0,1,1,-5.9,0.9739,1,0,41
56,10,0,0,1,1,-7.4,0.9734,1,0,41
57,8,0,0,3,1,-6.73,0.9729,1,0,41
58,6,0,0,4,1,-5.86,0.9725,1,0,41
59,25,0,0,6,2,-11.2,0.972,1,0,41
60,5,0,0,3,1,-6.05,0.9715,1,0,41
61,5,0,0,2,1,-5.5,0.971,1,0,41
62,7,0,0,2,1,-6.52,0.9706,1,0,41
63,11,0,0,5,1,-7.11,0.9701,1,0,41
64,5,0,0,2,1,-5.95,0.9696,1,0,41
65,26,0,0,4,2,-9.31,0.9691,1,0,42
66,5,0,0,2,1,-5.05,0.9687,1,0,42
67,22,0,0,1,2,-10.57,0.9682,1,0,43
68,15,0,0,4,1,-6.55,0.9677,1,0,43
69,6,0,0,1,1,-6.31,0.9672,1,0,43
70,6,0,0,3,1,-6.16,0.9667,1,0,43
71,11,0,0,3,1,-5.86,0.9663,1,0,43
72,6,0,0,2,1,-6.01,0.9658,1,0,43
73,15,0,0,4,1,-7.55,0.9653,1,0,43
74,5,0,0,2,1,-5.5,0.9648,1,0,43
75,5,0,0,3,1,-5.2,0.9644,1,0,43
76,18,0,0,4,2,-8.08,0.9639,1,0,43
77,51,0,0,7,4,-13.71,0.9634,1,0,48
78,10,0,0,2,1,-6.1,0.9629,1,0,48
79,5,0,0,4,1,-5.35,0.9625,1,0,48
80,7,0,0,2,1,-6.97,0.962,1,0,48
81,5,0,0,2,1,-5.95,0.9615,1,0,48
82,7,0,0,2,1,-5.52,0.961,1,0,48
83,13,0,0,2,1,-8.53,0.9606,1,0,48
84,16,0,0,3,1,-8.26,0.9601,1,0,48
85,15,0,0,3,1,-8.4,0.9596,1,0,48
86,10,0,0,1,1,-7.85,0.9591,1,0,48
87,8,0,0,4,1,-5.38,0.9587,1,0,48
88,7,0,0,3,1,-6.22,0.9582,1,0,48
89,9,0,0,3,1,-5.24,0.9577,1,0,50
90,8,0,0,3,1,-6.73,0.9573,1,0,50
91,6,0,0,3,1,-5.16,0.9568,1,0,50
92,6,0,0,4,1,-5.86,0.9563,1,0,50
93,10,0,0,4,1,-6.95,0.9558,1,0,50
94,8,0,0,4,1,-7.38,0.9554,1,0,50
95,10,0,0,3,1,-6.2,0.9549,1,0,50
96,8,0,0,2,1,-6.13,0.9544,1,0,50
97,12,0,0,2,1,-6.12,0.9539,1,0,50
98,12,0,0,4,1,-6.57,0.9535,1,0,50
99,7,0,0,1,1,-6.32,0.953,1,0,50
100,6,0,0,3,1,-5.61,0.9525,1,0,50
101,20,0,0,3,1,-9.9,0.952,1,0,50
102,6,0,0,3,1,-6.16,0.9516,1,0,50
103,5,0,0,4,1,-5.25,0.9511,1,0,50
104,8,0,0,2,1,-5.63,0.9506,1,0,50
105,16,0,0,3,1,-7.06,0.9501,1,0,50
106,6,0,0,2,1,-6.01,0.9496,1,0,50
107,5,0,0,3,1,-5.2,0.9492,1,0,50
108,11,0,0,3,1,-6.31,0.9487,1,0,50
109,12,0,0,4,1,-6.12,0.9482,1,0,50
110,5,0,0,2,1,-5.95,0.9477,1,0,50
111,9,0,0,3,1,-6.24,0.9473,1,0,50
112,11,0,0,2,1,-6.71,0.9468,1,0,50
113,5,0,0,4,1,-4.9,0.9463,1,0,50
114,7,0,0,3,1,-6.22,0.9458,1,0,50
115,10,0,0,4,1,-6.9,0.9454,1,0,50
116,24,0,0,4,2,-6.69,0.9449,1,0,52
117,7,0,0,3,1,-6.67,0.9444,1,0,52
118,22,0,0,3,1,-11.42,0.9439,1,0,52
119,22,0,0,2,1,-8.27,0.9435,1,0,52
120,15,0,0,1,1,-10.85,0.943,1,0,52
121,8,0,0,2,1,-7.53,0.9425,1,0,52
122,5,0,0,3,1,-5.1,0.9421,1,0,52
123,14,0,0,3,1,-7.34,0.9416,1,0,52
124,8,0,0,4,1,-5.88,0.9411,1,0,52
125,6,0,0,3,1,-6.06,0.9406,1,0,52
