episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,21,0,0,7,3,-5.76,0.2499,1,0,164
2,21,0,0,9,3,-4.26,0.2498,1,0,164
3,6,0,0,3,1,-5.21,0.2497,1,0,164
4,7,0,0,6,1,-3.77,0.2496,1,0,164
5,14,0,0,4,2,-5.04,0.2495,1,0,164
6,27,0,0,11,4,-5.97,0.2494,1,0,164
7,13,0,0,4,2,-6.43,0.2493,1,0,164
8,8,0,0,5,1,-4.03,0.2492,1,0,164
9,7,0,0,5,1,-3.72,0.2491,1,0,164
10,73,1,1,20,7,-4.43,0.249,1,0,164
11,47,0,0,18,6,-5.32,0.2489,1,0,164
12,36,0,0,12,4,-5.71,0.2488,1,0,164
13,38,0,0,11,4,-5.83,0.2487,1,0,164
14,8,0,0,6,1,-3.78,0.2486,1,0,164
15,26,0,0,9,3,-4.71,0.2485,1,0,164
16,58,0,0,19,6,-5.48,0.2484,0,0,165
17,6,0,0,3,1,-4.76,0.2483,1,0,165
18,7,0,0,6,1,-3.82,0.2482,1,0,165
19,42,0,0,18,5,-4.52,0.2481,1,0,165
20,34,0,0,11,4,-7.34,0.248,1,0,165
21,20,1,1,9,3,-4.5,0.2479,1,0,165
22,24,0,0,11,3,-5.64,0.2478,1,0,165
23,5,0,0,3,1,-4.2,0.2477,1,0,165
24,6,0,0,3,1,-5.21,0.2476,1,0,165
25,13,0,0,7,2,-4.08,0.2475,1,0,165
26,69,1,1,27,8,-2.29,0.2474,1,0,165
27,7,0,0,4,1,-4.47,0.2473,1,0,165
28,21,0,0,7,3,-5.31,0.2472,1,0,165
29,20,1,1,8,3,-5.35,0.2471,1,0,165
30,56,0,0,16,7,-8.41,0.247,1,0,166
31,34,0,0,8,5,-4.84,0.2469,1,0,166
32,147,1,1,42,14,0.38,0.2468,1,0,169
33,5,0,0,3,1,-5.65,0.2467,1,0,169
34,31,0,0,10,4,-5.56,0.2466,1,0,169
35,7,0,0,6,1,-3.82,0.2465,1,0,169
36,14,0,0,6,2,-5.89,0.2464,1,0,169
