episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,17,0,0,3,1,-7.52,0.9995,1,0,6
2,14,0,0,5,2,-7.49,0.999,1,0,10
3,5,0,0,2,1,-5.85,0.9986,1,0,14
4,14,0,0,3,1,-7.19,0.9981,1,0,16
5,6,0,0,3,1,-5.96,0.9976,1,0,16
6,8,0,0,3,1,-6.18,0.9971,1,0,18
7,6,0,0,2,1,-5.46,0.9967,1,0,18
8,5,0,0,3,1,-5.1,0.9962,1,0,19
9,5,0,0,3,1,-5.45,0.9957,1,0,19
10,11,0,0,3,1,-8.06,0.9952,1,0,19
11,5,0,0,3,1,-5.0,0.9948,1,0,19
12,5,0,0,4,1,-5.05,0.9943,1,0,19
13,5,0,0,3,1,-5.55,0.9938,1,0,19
14,10,0,0,3,1,-5.6,0.9933,1,0,19
15,6,0,0,3,1,-5.16,0.9929,1,0,20
16,17,0,0,2,1,-9.07,0.9924,1,0,21
17,7,0,0,3,1,-5.27,0.9919,1,0,21
18,6,0,0,0,1,-6.56,0.9915,1,0,22
19,5,0,0,3,1,-6.05,0.991,1,0,22
20,9,0,0,3,1,-6.24,0.9905,1,0,22
21,6,0,0,4,1,-5.21,0.99,1,0,22
22,13,0,0,2,1,-8.68,0.9896,1,0,22
23,7,0,0,2,1,-6.77,0.9891,1,0,22
24,5,0,0,3,1,-4.15,0.9886,1,0,22
25,10,0,0,3,1,-6.35,0.9881,1,0,22
26,12,0,0,3,1,-7.12,0.9877,1,0,22
27,14,0,0,3,1,-7.24,0.9872,1,0,22
28,13,0,0,5,1,-8.43,0.9867,1,0,23
29,7,0,0,3,1,-5.57,0.9862,1,0,23
30,6,0,0,3,1,-5.71,0.9858,1,0,23
31,5,0,0,3,1,-5.65,0.9853,1,0,23
32,21,0,0,4,2,-10.16,0.9848,1,0,23
33,7,0,0,3,1,-5.72,0.9843,1,0,23
34,10,0,0,3,1,-7.1,0.9839,1,0,23
35,7,0,0,2,1,-5.02,0.9834,1,0,23
36,6,0,0,2,1,-5.41,0.9829,1,0,23
37,21,0,0,6,1,-9.11,0.9824,1,0,23
38,7,0,0,3,1,-5.77,0.9819,1,0,23
39,8,0,0,3,1,-6.08,0.9815,1,0,23
40,8,0,0,4,1,-5.73,0.981,1,0,23
41,7,0,0,3,1,-5.02,0.9805,1,0,23
42,6,0,0,2,1,-5.96,0.98,1,0,23
43,6,0,0,3,1,-5.66,0.9796,1,0,23
44,5,0,0,3,1,-4.9,0.9791,1,0,23
45,23,0,0,3,1,-10.88,0.9786,1,0,23
46,14,0,0,4,1,-7.74,0.9781,1,0,23
47,11,0,0,1,1,-6.76,0.9777,1,0,25
48,12,0,0,3,1,-7.62,0.9772,1,0,25
49,11,0,0,3,1,-7.26,0.9767,1,0,25
50,14,0,0,4,1,-6.94,0.9762,1,0,25
51,6,0,0,1,1,-6.31,0.9758,1,0,28
52,9,0,0,3,1,-5.39,0.9753,1,0,28
53,5,0,0,3,1,-5.35,0.9748,1,0,28
54,11,0,0,1,1,-7.26,0.9744,1,0,28
55,8,0,0,1,1,-6.83,0.9739,1,0,28
56,13,0,0,2,1,-8.58,0.9734,1,0,28
57,7,0,0,2,1,-6.02,0.9729,1,0,28
58,9,0,0,1,1,-7.29,0.9725,1,0,28
59,8,0,0,2,1,-6.83,0.972,1,0,28
60,5,0,0,3,1,-5.1,0.9715,1,0,28
61,6,0,0,4,1,-5.21,0.971,1,0,28
62,8,0,0,1,1,-6.43,0.9706,1,0,28
63,6,0,0,3,1,-4.91,0.9701,1,0,28
64,7,0,0,3,1,-5.07,0.9696,1,0,30
65,6,0,0,2,1,-5.86,0.9691,1,0,30
66,13,0,0,3,1,-8.18,0.9687,1,0,30
67,6,0,0,3,1,-5.86,0.9682,1,0,30
68,5,0,0,4,1,-4.8,0.9677,1,0,30
69,5,0,0,2,1,-5.85,0.9672,1,0,30
70,13,0,0,2,1,-8.58,0.9667,1,0,30
71,33,0,0,6,2,-12.48,0.9663,1,0,30
72,16,0,0,3,1,-9.16,0.9658,1,0,30
73,14,0,0,3,1,-7.29,0.9653,1,0,30
74,31,1,1,3,2,-11.46,0.9648,1,0,33
75,5,0,0,4,1,-5.25,0.9644,1,0,33
76,6,0,0,2,1,-5.36,0.9639,1,0,34
77,5,0,0,3,1,-5.55,0.9634,1,0,34
78,8,0,0,2,1,-7.38,0.9629,1,0,34
