episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,7,0,0,3,1,-5.12,0.9995,1,0,7
2,8,0,0,3,1,-6.23,0.999,1,0,12
3,6,0,0,2,1,-6.46,0.9986,1,0,13
4,11,0,0,2,1,-8.51,0.9981,1,0,13
5,5,0,0,3,1,-4.75,0.9976,1,0,16
6,36,0,0,3,2,-13.21,0.9971,1,0,24
7,5,0,0,3,1,-5.7,0.9967,1,0,25
8,11,0,0,2,1,-7.11,0.9962,1,0,25
9,13,0,0,1,1,-9.33,0.9957,1,0,28
10,24,0,0,3,1,-10.89,0.9952,1,0,29
11,9,0,0,3,1,-6.69,0.9948,1,0,29
12,16,0,0,1,1,-8.96,0.9943,1,0,32
13,22,0,0,3,1,-10.87,0.9938,1,0,37
14,6,0,0,3,1,-5.71,0.9933,1,0,38
15,15,0,0,2,1,-8.15,0.9929,1,0,40
16,18,0,0,2,1,-8.18,0.9924,1,0,42
17,6,0,0,4,1,-5.86,0.9919,1,0,42
18,12,0,0,2,1,-7.07,0.9915,1,0,43
19,16,0,0,2,1,-8.86,0.991,1,0,43
20,8,0,0,1,1,-7.28,0.9905,1,0,43
21,9,0,0,2,1,-6.59,0.99,1,0,44
22,19,0,0,3,1,-10.89,0.9896,1,0,44
23,12,0,0,2,1,-8.62,0.9891,1,0,44
24,5,0,0,2,1,-5.5,0.9886,1,0,44
25,10,0,0,6,1,-5.7,0.9881,1,0,45
26,6,0,0,3,1,-6.21,0.9877,1,0,45
27,16,0,0,4,2,-8.06,0.9872,1,0,47
28,18,0,0,2,1,-8.63,0.9867,1,0,49
29,20,0,0,3,1,-7.7,0.9862,1,0,49
30,8,0,0,2,1,-6.53,0.9858,1,0,49
31,7,0,0,4,1,-5.92,0.9853,1,0,49
32,9,0,0,4,1,-5.84,0.9848,1,0,49
33,5,0,0,2,1,-5.1,0.9843,1,0,49
34,33,0,0,3,3,-10.53,0.9839,1,0,50
35,14,0,0,3,1,-8.34,0.9834,1,0,50
36,5,0,0,4,1,-5.35,0.9829,1,0,50
37,8,0,0,3,1,-5.78,0.9824,1,0,50
38,8,0,0,2,1,-6.13,0.9819,1,0,50
39,5,0,0,4,1,-4.9,0.9815,1,0,50
40,15,0,0,3,1,-7.85,0.981,1,0,50
41,6,0,0,3,1,-5.71,0.9805,1,0,50
42,12,0,0,1,1,-8.42,0.98,1,0,50
43,5,0,0,2,1,-5.95,0.9796,1,0,50
44,8,0,0,2,1,-6.53,0.9791,1,0,50
45,5,0,0,1,1,-5.35,0.9786,1,0,51
46,8,0,0,1,1,-7.78,0.9781,1,0,51
47,9,0,0,3,1,-6.74,0.9777,1,0,51
48,5,0,0,3,1,-5.65,0.9772,1,0,51
49,13,0,0,2,1,-8.53,0.9767,1,0,51
50,17,0,0,3,1,-9.02,0.9762,1,0,51
51,5,0,0,3,1,-5.65,0.9758,1,0,51
52,6,0,0,3,1,-5.76,0.9753,1,0,51
53,16,0,0,3,1,-10.31,0.9748,1,0,51
54,9,0,0,3,1,-5.74,0.9744,1,0,51
55,6,0,0,2,1,-4.86,0.9739,1,0,52
56,10,0,0,2,1,-7.55,0.9734,1,0,52
57,6,0,0,2,1,-6.06,0.9729,1,0,52
58,15,0,0,2,1,-9.25,0.9725,1,0,52
59,6,0,0,4,1,-4.51,0.972,1,0,52
60,8,0,0,2,1,-5.13,0.9715,1,0,52
61,22,0,0,3,1,-10.02,0.971,1,0,52
62,5,0,0,3,1,-5.6,0.9706,1,0,52
63,7,0,0,3,1,-6.67,0.9701,1,0,52
64,7,0,0,2,1,-5.97,0.9696,1,0,52
65,12,0,0,4,1,-7.92,0.9691,1,0,52
66,12,0,0,3,1,-6.77,0.9687,1,0,52
67,14,0,0,4,1,-6.44,0.9682,1,0,55
68,8,0,0,3,1,-5.73,0.9677,1,0,55
69,10,0,0,1,1,-6.85,0.9672,1,0,55
70,7,0,0,2,1,-6.97,0.9667,1,0,55
71,5,0,0,4,1,-5.25,0.9663,1,0,55
72,5,0,0,2,1,-6.0,0.9658,1,0,55
73,7,0,0,3,1,-6.67,0.9653,1,0,55
74,5,0,0,4,1,-5.4,0.9648,1,0,55
75,5,0,0,4,1,-5.35,0.9644,1,0,55
76,11,0,0,4,1,-5.96,0.9639,1,0,56
77,27,0,0,4,2,-11.82,0.9634,1,0,56
78,25,0,0,2,1,-9.55,0.9629,1,0,56
79,7,0,0,2,1,-6.52,0.9625,1,0,56
80,13,0,0,3,1,-7.68,0.962,1,0,56
81,6,0,0,2,1,-4.96,0.9615,1,0,57
82,5,0,0,4,1,-5.35,0.961,1,0,57
83,23,0,0,3,1,-9.98,0.9606,1,0,57
84,5,0,0,3,1,-5.2,0.9601,1,0,57
85,6,0,0,3,1,-5.71,0.9596,1,0,57
86,7,0,0,2,1,-6.57,0.9591,1,0,57
87,30,0,0,4,2,-12.3,0.9587,1,0,57
88,21,0,0,2,1,-9.81,0.9582,1,0,57
89,6,0,0,3,1,-5.26,0.9577,1,0,57
90,7,0,0,2,1,-6.02,0.9573,1,0,57
91,9,0,0,2,1,-5.59,0.9568,1,0,57
92,5,0,0,3,1,-5.1,0.9563,1,0,57
93,6,0,0,3,1,-5.76,0.9558,1,0,57
94,10,0,0,4,1,-6.45,0.9554,1,0,57
95,14,0,0,4,1,-8.04,0.9549,1,0,61
96,8,0,0,2,1,-6.58,0.9544,1,0,61
97,9,0,0,3,1,-7.19,0.9539,1,0,61
98,6,0,0,1,1,-6.26,0.9535,1,0,61
99,5,0,0,1,1,-6.25,0.953,1,0,61
100,7,0,0,3,1,-6.17,0.9525,1,0,61
101,16,0,0,4,1,-7.61,0.952,1,0,61
102,7,0,0,2,1,-6.47,0.9516,1,0,61
103,5,0,0,2,1,-5.95,0.9511,1,0,61
104,10,0,0,1,1,-7.9,0.9506,1,0,61
105,9,0,0,2,1,-6.54,0.9501,1,0,61
106,7,0,0,2,1,-6.07,0.9496,1,0,61
107,9,0,0,3,1,-6.29,0.9492,1,0,61
108,6,0,0,2,1,-5.56,0.9487,1,0,61
109,6,0,0,3,1,-4.11,0.9482,1,0,61
110,20,0,0,3,1,-8.4,0.9477,1,0,61
111,7,0,0,2,1,-6.02,0.9473,1,0,61
112,6,0,0,3,1,-6.16,0.9468,1,0,61
113,10,0,0,4,1,-5.9,0.9463,1,0,61
114,7,0,0,3,1,-5.22,0.9458,1,0,61
115,20,0,0,3,1,-9.95,0.9454,1,0,61
116,6,0,0,3,1,-5.21,0.9449,1,0,61
117,6,0,0,3,1,-6.21,0.9444,1,0,61
118,9,0,0,1,1,-5.99,0.9439,1,0,61
119,21,0,0,2,1,-8.76,0.9435,1,0,61
120,8,0,0,2,1,-5.63,0.943,1,0,61
121,10,0,0,3,1,-6.35,0.9425,1,0,61
122,22,0,0,2,1,-10.32,0.9421,1,0,61
123,6,0,0,2,1,-5.51,0.9416,1,0,61
124,10,0,0,2,1,-8.0,0.9411,1,0,61
125,5,0,0,3,1,-5.65,0.9406,1,0,61
126,8,0,0,3,1,-5.33,0.9402,1,0,61
127,14,0,0,2,1,-9.09,0.9397,1,0,61
128,9,0,0,3,1,-5.79,0.9392,1,0,61
129,9,0,0,3,1,-6.34,0.9387,1,0,61
130,14,0,0,2,1,-7.24,0.9383,1,0,63
131,10,0,0,3,1,-5.6,0.9378,1,0,63
132,14,0,0,2,1,-8.69,0.9373,1,0,63
133,11,0,0,3,1,-7.76,0.9368,1,0,63
134,30,0,0,2,1,-11.05,0.9364,1,0,64
135,6,0,0,1,1,-6.31,0.9359,1,0,64
136,6,0,0,2,1,-5.51,0.9354,1,0,65
137,7,0,0,2,1,-5.87,0.9349,1,0,65
138,6,0,0,4,1,-5.41,0.9345,1,0,65
139,8,0,0,3,1,-6.68,0.934,1,0,65
140,9,0,0,2,1,-7.54,0.9335,1,0,65
141,5,0,0,4,1,-4.8,0.933,1,0,65
142,7,0,0,2,1,-5.57,0.9325,1,0,65
143,7,0,0,4,1,-6.37,0.9321,1,0,65
144,5,0,0,4,1,-4.9,0.9316,1,0,65
145,6,0,0,4,1,-4.96,0.9311,1,0,65
146,11,0,0,3,1,-6.21,0.9306,1,0,65
147,6,0,0,2,1,-6.01,0.9302,1,0,65
148,7,0,0,2,1,-5.47,0.9297,1,0,65
149,9,0,0,1,1,-7.34,0.9292,1,0,65
150,19,0,0,6,2,-8.54,0.9287,1,0,65
151,6,0,0,3,1,-5.66,0.9283,1,0,65
152,6,0,0,3,1,-5.56,0.9278,1,0,65
153,5,0,0,4,1,-5.85,0.9273,1,0,65
154,6,0,0,4,1,-5.41,0.9268,1,0,65
155,18,0,0,3,1,-7.13,0.9264,1,0,65
156,5,0,0,3,1,-4.7,0.9259,1,0,67
157,9,0,0,2,1,-5.99,0.9254,1,0,67
158,27,0,0,7,3,-9.32,0.925,1,0,68
159,11,0,0,3,1,-6.81,0.9245,1,0,68
160,6,0,0,4,1,-5.86,0.924,1,0,68
161,5,0,0,4,1,-4.9,0.9235,1,0,68
162,21,0,0,3,1,-11.41,0.9231,1,0,68
163,11,0,0,2,1,-7.66,0.9226,1,0,68
164,5,0,0,2,1,-5.4,0.9221,1,0,68
165,11,0,0,3,1,-6.81,0.9216,1,0,68
166,14,0,0,2,1,-8.69,0.9212,1,0,68
167,7,0,0,3,1,-6.22,0.9207,1,0,68
168,7,0,0,3,1,-6.22,0.9202,1,0,68
169,5,0,0,4,1,-5.4,0.9197,1,0,68
170,5,0,0,3,1,-5.65,0.9193,1,0,68
171,5,0,0,4,1,-5.35,0.9188,1,0,68
172,5,0,0,1,1,-6.75,0.9183,1,0,68
173,10,0,0,4,1,-5.8,0.9178,1,0,68
174,5,0,0,3,1,-5.1,0.9173,1,0,68
175,7,0,0,4,1,-5.37,0.9169,1,0,68
176,6,0,0,4,1,-4.51,0.9164,1,0,68
177,9,0,0,3,1,-5.74,0.9159,1,0,68
178,5,0,0,3,1,-4.8,0.9154,1,0,68
179,9,0,0,3,1,-6.69,0.915,1,0,68
180,19,0,0,4,2,-8.64,0.9145,1,0,68
181,5,0,0,3,1,-5.65,0.914,1,0,68
182,13,0,0,3,1,-5.78,0.9135,1,0,68
183,15,0,0,6,1,-6.35,0.9131,1,0,68
184,8,0,0,3,1,-6.68,0.9126,1,0,68
185,14,0,0,3,2,-7.34,0.9121,1,0,68
186,20,0,0,2,1,-9.3,0.9116,1,0,68
187,5,0,0,4,1,-4.8,0.9112,1,0,68
188,26,0,0,5,2,-10.36,0.9107,1,0,68
189,5,0,0,3,1,-5.65,0.9102,1,0,68
190,5,0,0,3,1,-5.2,0.9098,1,0,68
191,15,0,0,5,1,-6.2,0.9093,1,0,68
192,23,0,0,2,1,-8.98,0.9088,1,0,68
193,7,0,0,2,1,-6.47,0.9083,1,0,68
194,8,0,0,1,1,-7.33,0.9079,1,0,68
195,30,0,0,5,3,-13.25,0.9074,1,0,68
196,9,0,0,3,1,-6.79,0.9069,1,0,68
197,7,0,0,3,1,-6.22,0.9064,1,0,68
198,6,0,0,2,1,-6.01,0.906,1,0,68
199,6,0,0,3,1,-5.61,0.9055,1,0,68
200,5,0,0,3,1,-5.65,0.905,1,0,68
201,18,0,0,2,1,-9.18,0.9045,1,0,68
202,14,0,0,3,1,-7.84,0.9041,1,0,68
203,5,0,0,3,1,-4.65,0.9036,1,0,68
204,5,0,0,2,1,-5.95,0.9031,1,0,68
205,6,0,0,4,1,-5.31,0.9026,1,0,68
