episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,6,0,0,1,1,-6.26,0.9995,1,0,6
2,7,0,0,3,1,-6.07,0.999,1,0,6
3,12,0,0,4,1,-5.47,0.9986,1,0,10
4,6,0,0,2,1,-6.36,0.9981,1,0,10
5,7,0,0,2,1,-6.32,0.9976,1,0,13
6,9,0,0,3,1,-6.54,0.9971,1,0,14
7,16,0,0,5,1,-6.56,0.9967,1,0,17
8,6,0,0,3,1,-6.06,0.9962,1,0,18
9,10,0,0,3,1,-6.65,0.9957,1,0,18
10,6,0,0,3,1,-5.51,0.9952,1,0,18
11,5,0,0,3,1,-5.55,0.9948,1,0,18
12,6,0,0,4,1,-5.41,0.9943,1,0,18
13,9,0,0,3,1,-7.09,0.9938,1,0,18
14,6,0,0,2,1,-5.76,0.9933,1,0,18
15,6,0,0,4,1,-5.31,0.9929,1,0,18
16,6,0,0,4,1,-5.31,0.9924,1,0,18
17,6,0,0,4,1,-5.46,0.9919,1,0,18
18,7,0,0,3,1,-5.57,0.9915,1,0,18
19,16,0,0,3,1,-8.21,0.991,1,0,18
20,6,0,0,4,1,-6.16,0.9905,1,0,18
21,33,0,0,3,2,-11.18,0.99,1,0,25
22,8,0,0,2,1,-6.88,0.9896,1,0,25
23,6,0,0,4,1,-5.86,0.9891,1,0,25
24,23,0,0,6,2,-9.58,0.9886,1,0,26
25,7,0,0,3,1,-5.47,0.9881,1,0,26
26,7,0,0,3,1,-6.12,0.9877,1,0,26
27,22,0,0,2,1,-9.22,0.9872,1,0,26
28,5,0,0,4,1,-5.15,0.9867,1,0,26
29,8,0,0,3,1,-4.68,0.9862,1,0,26
30,7,0,0,3,1,-5.52,0.9858,1,0,26
31,14,0,0,3,1,-8.24,0.9853,1,0,26
32,11,0,0,4,1,-6.51,0.9848,1,0,26
33,19,0,0,5,2,-9.39,0.9843,1,0,26
34,9,0,0,2,1,-7.04,0.9839,1,0,28
35,8,0,0,1,1,-6.33,0.9834,1,0,29
36,5,0,0,3,1,-4.65,0.9829,1,0,32
37,5,0,0,2,1,-5.0,0.9824,1,0,34
38,12,0,0,4,1,-6.37,0.9819,1,0,34
39,6,0,0,3,1,-5.26,0.9815,1,0,34
40,8,0,0,2,1,-5.58,0.981,1,0,34
41,6,0,0,4,1,-5.56,0.9805,1,0,34
42,11,0,0,3,1,-7.66,0.98,1,0,34
43,6,0,0,3,1,-6.11,0.9796,1,0,34
44,25,1,1,7,2,-7.1,0.9791,1,0,34
45,6,0,0,1,1,-5.76,0.9786,1,0,34
46,6,0,0,4,1,-5.36,0.9781,1,0,34
47,5,0,0,4,1,-5.15,0.9777,1,0,34
48,9,0,0,3,1,-7.99,0.9772,1,0,34
49,9,0,0,3,1,-6.14,0.9767,1,0,34
50,13,0,0,2,1,-6.63,0.9762,1,0,35
51,7,0,0,3,1,-5.27,0.9758,1,0,35
52,19,0,0,4,1,-9.29,0.9753,1,0,35
53,7,0,0,3,1,-5.07,0.9748,1,0,35
54,8,0,0,3,1,-6.03,0.9744,1,0,35
55,5,0,0,3,1,-5.1,0.9739,1,0,35
56,6,0,0,2,1,-4.91,0.9734,1,0,35
57,14,0,0,3,1,-7.74,0.9729,1,0,35
58,6,0,0,2,1,-6.41,0.9725,1,0,35
59,6,0,0,4,1,-4.86,0.972,1,0,35
60,5,0,0,4,1,-5.25,0.9715,1,0,35
61,21,0,0,3,1,-10.51,0.971,1,0,35
62,13,0,0,4,1,-6.23,0.9706,1,0,35
63,7,0,0,2,1,-6.02,0.9701,1,0,35
64,13,0,0,2,1,-7.98,0.9696,1,0,35
65,11,0,0,2,1,-7.06,0.9691,1,0,36
66,5,0,0,3,1,-4.65,0.9687,1,0,36
67,8,0,0,1,1,-5.73,0.9682,1,0,37
68,5,0,0,4,1,-5.05,0.9677,1,0,37
69,16,0,0,5,1,-7.01,0.9672,1,0,37
70,6,0,0,3,1,-6.11,0.9667,1,0,37
71,10,0,0,2,1,-5.65,0.9663,1,0,37
72,12,0,0,3,1,-6.87,0.9658,1,0,37
73,14,0,0,1,1,-7.34,0.9653,1,0,37
74,5,0,0,4,1,-5.25,0.9648,1,0,37
75,5,0,0,3,1,-5.45,0.9644,1,0,37
76,10,0,0,3,1,-7.6,0.9639,1,0,37
77,9,0,0,3,1,-7.09,0.9634,1,0,37
78,10,0,0,2,1,-7.55,0.9629,1,0,37
79,12,0,0,6,1,-6.72,0.9625,1,0,38
80,7,0,0,2,1,-5.92,0.962,1,0,38
81,14,0,0,3,1,-8.14,0.9615,1,0,38
82,19,0,0,1,1,-9.19,0.961,1,0,38
83,8,0,0,2,1,-6.43,0.9606,1,0,38
84,16,0,0,2,1,-10.11,0.9601,1,0,38
85,7,0,0,1,1,-5.32,0.9596,1,0,38
86,7,0,0,4,1,-5.37,0.9591,1,0,38
87,9,0,0,3,1,-5.24,0.9587,1,0,38
88,5,0,0,3,1,-5.0,0.9582,1,0,38
89,15,0,0,6,2,-5.95,0.9577,1,0,38
90,5,0,0,4,1,-4.25,0.9573,1,0,38
91,15,0,0,4,1,-8.75,0.9568,1,0,38
92,6,0,0,3,1,-5.06,0.9563,1,0,38
93,7,0,0,3,1,-6.12,0.9558,1,0,38
94,14,0,0,3,1,-7.59,0.9554,1,0,39
95,26,0,0,2,1,-12.21,0.9549,1,0,39
96,8,0,0,0,1,-7.08,0.9544,1,0,39
97,30,0,0,2,1,-14.8,0.9539,1,0,39
98,5,0,0,3,1,-5.7,0.9535,1,0,39
99,8,0,0,2,1,-6.78,0.953,1,0,39
100,7,0,0,4,1,-4.82,0.9525,1,0,39
101,9,0,0,4,1,-5.84,0.952,1,0,39
102,21,0,0,3,1,-10.81,0.9516,1,0,39
103,11,0,0,3,1,-5.86,0.9511,1,0,39
104,16,0,0,6,1,-7.06,0.9506,1,0,39
105,23,0,0,6,1,-9.08,0.9501,1,0,39
106,6,0,0,3,1,-4.61,0.9496,1,0,39
107,16,0,0,3,1,-8.31,0.9492,1,0,39
108,15,0,0,4,1,-7.8,0.9487,1,0,39
109,19,0,0,3,1,-10.79,0.9482,1,0,39
110,7,0,0,0,1,-6.57,0.9477,1,0,39
111,30,0,0,4,2,-12.3,0.9473,1,0,39
112,7,0,0,4,1,-5.72,0.9468,1,0,39
113,6,0,0,4,1,-5.86,0.9463,1,0,39
114,43,0,0,4,1,-13.73,0.9458,1,0,39
115,11,0,0,2,1,-8.91,0.9454,1,0,39
116,5,0,0,2,1,-5.4,0.9449,1,0,39
117,6,0,0,3,1,-6.06,0.9444,1,0,39
118,5,0,0,3,1,-5.55,0.9439,1,0,39
119,6,0,0,4,1,-5.31,0.9435,1,0,39
120,13,0,0,2,1,-6.63,0.943,1,0,39
121,5,0,0,3,1,-5.7,0.9425,1,0,39
122,5,0,0,4,1,-5.15,0.9421,1,0,39
123,11,0,0,1,1,-7.31,0.9416,1,0,39
124,8,0,0,1,1,-7.78,0.9411,1,0,39
125,11,0,0,4,1,-7.51,0.9406,1,0,39
126,8,0,0,2,1,-6.58,0.9402,1,0,39
127,15,0,0,2,1,-8.6,0.9397,1,0,39
128,7,0,0,3,1,-4.52,0.9392,1,0,40
129,5,0,0,4,1,-4.6,0.9387,1,0,40
130,6,0,0,3,1,-5.71,0.9383,1,0,40
131,5,0,0,3,1,-5.6,0.9378,1,0,40
132,12,0,0,2,1,-5.52,0.9373,1,0,40
133,11,0,0,3,1,-6.66,0.9368,1,0,40
134,16,0,0,3,1,-8.21,0.9364,1,0,42
135,8,0,0,1,1,-6.28,0.9359,1,0,42
136,6,0,0,2,1,-4.96,0.9354,1,0,42
137,10,0,0,2,1,-7.45,0.9349,1,0,42
138,7,0,0,4,1,-5.07,0.9345,1,0,42
139,14,0,0,5,2,-7.39,0.934,1,0,42
140,6,0,0,3,1,-5.71,0.9335,1,0,42
141,6,0,0,2,1,-5.91,0.933,1,0,42
142,11,0,0,3,1,-5.21,0.9325,1,0,42
143,6,0,0,3,1,-5.71,0.9321,1,0,42
144,13,0,0,3,1,-6.73,0.9316,1,0,42
145,6,0,0,4,1,-5.21,0.9311,1,0,42
146,5,0,0,2,1,-5.05,0.9306,1,0,42
147,7,0,0,2,1,-6.02,0.9302,1,0,42
148,20,0,0,5,2,-6.2,0.9297,1,0,42
149,5,0,0,4,1,-5.25,0.9292,1,0,42
150,6,0,0,4,1,-5.21,0.9287,1,0,42
151,5,0,0,2,1,-5.85,0.9283,1,0,42
152,12,0,0,3,1,-6.72,0.9278,1,0,42
153,5,0,0,3,1,-5.0,0.9273,1,0,42
154,5,0,0,2,1,-4.95,0.9268,1,0,42
155,12,0,0,2,1,-6.67,0.9264,1,0,42
156,8,0,0,3,1,-5.08,0.9259,1,0,42
157,6,0,0,2,1,-6.36,0.9254,1,0,42
158,10,0,0,2,1,-6.55,0.925,1,0,44
159,6,0,0,4,1,-5.76,0.9245,1,0,44
160,5,0,0,4,1,-4.95,0.924,1,0,44
161,5,0,0,2,1,-5.85,0.9235,1,0,44
162,6,0,0,3,1,-6.06,0.9231,1,0,44
163,6,0,0,3,1,-5.61,0.9226,1,0,44
164,11,0,0,1,1,-7.41,0.9221,1,0,44
165,6,0,0,3,1,-5.36,0.9216,1,0,44
166,5,0,0,2,1,-5.3,0.9212,1,0,44
167,6,0,0,4,1,-5.46,0.9207,1,0,44
168,8,0,0,3,1,-6.73,0.9202,1,0,44
169,6,0,0,2,1,-5.61,0.9197,1,0,44
170,6,0,0,3,1,-5.96,0.9193,1,0,44
171,6,0,0,3,1,-5.21,0.9188,1,0,44
172,14,0,0,3,1,-8.14,0.9183,1,0,44
173,5,0,0,3,1,-5.45,0.9178,1,0,44
174,6,0,0,4,1,-5.86,0.9173,1,0,44
175,10,0,0,2,1,-6.3,0.9169,1,0,44
176,5,0,0,3,1,-5.65,0.9164,1,0,44
177,6,0,0,1,1,-6.31,0.9159,1,0,44
178,7,0,0,2,1,-5.47,0.9154,1,0,44
179,18,0,0,5,2,-8.18,0.915,1,0,44
180,5,0,0,3,1,-6.05,0.9145,1,0,44
181,8,0,0,3,1,-6.73,0.914,1,0,44
182,5,0,0,3,1,-5.6,0.9135,1,0,44
183,6,0,0,4,1,-5.21,0.9131,1,0,44
184,13,0,0,2,1,-7.03,0.9126,1,0,44
185,7,0,0,3,1,-6.22,0.9121,1,0,44
186,10,0,0,3,1,-7.75,0.9116,1,0,44
187,11,0,0,3,1,-7.51,0.9112,1,0,44
188,9,0,0,5,1,-5.44,0.9107,1,0,44
