episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,75,1,1,23,9,-5.6,0.2499,1,0,153
2,6,0,0,2,1,-5.06,0.2498,1,0,153
3,13,0,0,9,2,-3.03,0.2497,1,0,153
4,37,0,0,13,5,-5.77,0.2496,1,0,153
5,13,0,0,5,2,-5.23,0.2495,1,0,153
6,34,0,0,12,4,-6.14,0.2494,1,0,153
7,14,0,0,7,2,-4.44,0.2493,1,0,153
8,6,0,0,2,1,-5.06,0.2492,1,0,153
9,20,0,0,8,3,-6.5,0.2491,1,0,153
10,48,0,0,20,6,-2.73,0.249,1,0,153
11,27,0,0,10,4,-4.02,0.2489,1,0,153
12,14,0,0,7,2,-5.14,0.2488,1,0,153
13,39,0,0,17,5,-1.54,0.2487,1,0,153
14,21,0,0,11,3,-3.46,0.2486,1,0,153
15,51,0,0,18,6,-6.61,0.2485,1,0,153
16,45,0,0,16,6,-6.35,0.2484,1,0,153
17,36,0,0,13,5,-4.76,0.2483,1,0,153
18,20,0,0,11,3,-3.6,0.2482,1,0,153
19,20,0,0,8,3,-5.05,0.2481,1,0,153
20,55,0,0,18,6,-4.05,0.248,1,0,153
21,18,0,0,9,2,-5.68,0.2479,1,0,153
22,25,0,0,11,3,-5.6,0.2478,1,0,153
23,75,1,1,22,9,-1.3,0.2477,1,0,153
24,13,0,0,6,2,-4.93,0.2476,1,0,153
25,15,0,0,8,2,-4.45,0.2475,1,0,153
26,7,0,0,3,1,-4.72,0.2474,1,0,153
27,6,0,0,3,1,-4.76,0.2473,1,0,153
28,23,0,0,7,3,-5.43,0.2472,1,0,153
29,7,0,0,3,1,-5.72,0.2471,1,0,153
30,6,0,0,3,1,-4.76,0.247,1,0,153
31,14,0,0,9,2,-3.94,0.2469,1,0,153
32,82,2,2,22,10,-6.07,0.2468,1,0,153
33,13,0,0,7,2,-4.18,0.2467,1,0,153
34,16,0,0,6,2,-7.01,0.2466,1,0,153
35,89,4,4,23,11,-4.04,0.2465,1,0,155
36,6,0,0,1,1,-5.81,0.2464,1,0,155
37,17,0,0,7,2,-5.17,0.2463,1,0,155
38,29,0,0,15,4,-5.39,0.2462,1,0,155
39,40,1,1,11,5,-3.95,0.2461,1,0,155
40,22,0,0,8,3,-4.97,0.246,1,0,155
41,25,0,0,6,3,-4.9,0.2459,1,0,155
42,13,0,0,6,2,-5.38,0.2458,1,0,155
43,14,0,0,8,2,-4.84,0.2457,1,0,155
44,7,0,0,4,1,-4.42,0.2456,1,0,155
45,7,0,0,3,1,-5.62,0.2455,1,0,155
46,43,1,1,16,5,-4.28,0.2454,0,0,155
47,26,0,0,9,3,-6.36,0.2453,1,0,155
48,17,0,0,4,2,-6.22,0.2452,1,0,155
49,6,0,0,2,1,-5.06,0.2451,1,0,155
50,30,0,0,9,4,-3.95,0.245,1,0,155
51,6,0,0,3,1,-4.81,0.2449,1,0,155
52,13,0,0,7,2,-3.88,0.2448,1,0,155
53,20,0,0,9,3,-4.75,0.2447,1,0,155
54,13,0,0,6,2,-4.03,0.2446,1,0,155
55,13,0,0,4,2,-5.53,0.2445,1,0,155
56,40,0,0,12,5,-6.5,0.2444,1,0,155
57,51,0,0,20,6,-2.81,0.2443,0,0,157
58,24,0,0,9,3,-7.24,0.2442,1,0,157
59,31,0,0,9,4,-6.41,0.2441,1,0,157
60,5,0,0,3,1,-5.2,0.244,1,0,157
61,36,0,0,18,5,-2.76,0.2439,1,0,157
