episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,14,0,0,3,1,-10.0825,0.9997,1,0,6
2,6,0,0,3,1,-7.81,0.9994,1,0,6
3,23,0,0,2,2,-12.825,0.9991,1,0,15
4,11,0,0,2,1,-8.0525,0.9988,1,0,15
5,7,0,0,4,1,-9.3075,0.9985,1,0,19
6,6,0,0,1,1,-7.4875,0.9982,1,0,20
7,5,0,0,4,1,-9.7925,0.9979,1,0,22
8,14,0,0,2,1,-8.8075,0.9976,1,0,24
9,12,0,0,4,1,-8.785,0.9973,1,0,27
10,10,0,0,1,1,-9.0975,0.997,1,0,27
11,16,0,0,2,1,-10.9725,0.9967,1,0,27
12,6,0,0,2,1,-4.6025,0.9964,1,0,27
13,8,0,0,2,1,-8.7125,0.9961,1,0,27
14,8,0,0,3,1,-6.9225,0.9958,1,0,27
15,9,0,0,2,1,-9.34,0.9955,1,0,27
16,9,0,0,3,1,-8.3325,0.9952,1,0,27
17,6,0,0,3,1,-7.21,0.995,1,0,27
18,14,0,0,5,1,-8.3675,0.9947,1,0,27
19,11,0,0,1,1,-8.0425,0.9944,1,0,27
20,8,0,0,4,1,-9.715,0.9941,1,0,27
21,14,0,0,3,1,-12.075,0.9938,1,0,27
22,12,0,0,4,1,-7.7675,0.9935,1,0,31
23,7,0,0,3,1,-7.8125,0.9932,1,0,31
24,5,0,0,4,1,-9.3925,0.9929,1,0,31
25,12,0,0,2,1,-8.4325,0.9926,1,0,31
26,7,0,0,3,1,-7.3125,0.9923,1,0,31
27,7,0,0,3,1,-10.41,0.992,1,0,32
28,11,0,0,5,1,-8.73,0.9917,1,0,32
29,8,0,0,2,1,-7.915,0.9914,1,0,32
30,31,0,0,5,2,-14.245,0.9911,1,0,37
31,6,0,0,3,1,-6.895,0.9908,1,0,37
32,9,0,0,2,1,-8.0175,0.9905,1,0,37
33,28,0,0,3,1,-11.57,0.9902,1,0,37
34,7,0,0,2,1,-6.7125,0.9899,1,0,37
35,35,0,0,6,3,-10.6975,0.9896,1,0,41
36,5,0,0,2,1,-10.205,0.9893,1,0,41
37,20,0,0,4,2,-11.2125,0.989,1,0,42
38,7,0,0,3,1,-6.5975,0.9887,1,0,42
39,14,0,0,3,1,-7.36,0.9884,1,0,42
40,10,0,0,2,1,-8.1275,0.9881,1,0,42
41,35,0,0,3,2,-16.035,0.9878,1,0,42
42,10,0,0,3,1,-8.2425,0.9875,1,0,42
43,7,0,0,3,1,-6.4125,0.9872,1,0,42
44,10,0,0,2,1,-8.1425,0.9869,1,0,42
45,5,0,0,4,1,-9.9925,0.9866,1,0,42
46,5,0,0,3,1,-10.0925,0.9863,1,0,42
47,12,0,0,2,1,-10.025,0.986,1,0,42
48,24,0,0,3,3,-11.075,0.9858,1,0,46
49,10,0,0,3,1,-9.05,0.9855,1,0,46
50,22,0,0,5,1,-10.5175,0.9852,1,0,46
51,7,0,0,2,1,-7.92,0.9849,1,0,46
52,10,0,0,3,1,-9.02,0.9846,1,0,51
53,11,0,0,3,1,-8.9525,0.9843,1,0,51
54,20,0,0,5,2,-8.69,0.984,1,0,53
55,5,0,0,4,1,-9.9925,0.9837,1,0,53
56,16,0,0,4,2,-10.6775,0.9834,1,0,53
57,21,0,0,5,2,-10.73,0.9831,1,0,53
58,30,0,0,4,2,-16.68,0.9828,1,0,53
59,14,0,0,2,1,-9.675,0.9825,1,0,54
60,31,0,0,3,1,-11.4925,0.9822,1,0,54
61,28,0,0,2,1,-9.54,0.9819,1,0,54
62,17,0,0,4,1,-8.6875,0.9816,1,0,54
63,6,0,0,2,1,-6.565,0.9813,1,0,54
64,24,0,0,3,2,-9.6775,0.981,1,0,55
65,35,0,0,3,2,-16.165,0.9807,1,0,55
66,18,0,0,3,1,-9.7,0.9804,1,0,55
67,37,0,0,3,1,-16.0425,0.9801,1,0,55
68,6,0,0,1,1,-8.01,0.9798,1,0,55
69,29,0,0,2,2,-11.8525,0.9795,1,0,57
70,16,0,0,6,2,-9.9725,0.9792,1,0,57
71,18,0,0,4,2,-10.1,0.9789,1,0,57
72,6,0,0,4,1,-9.9075,0.9786,1,0,57
73,9,0,0,2,1,-8.71,0.9783,1,0,57
74,27,0,0,4,2,-11.6375,0.978,1,0,58
75,9,0,0,1,1,-8.415,0.9777,1,0,58
76,21,0,0,3,1,-9.2,0.9774,1,0,58
77,9,0,0,3,1,-7.41,0.9771,1,0,58
78,25,0,0,7,3,-8.64,0.9768,1,0,58
79,37,0,0,5,2,-13.2925,0.9765,1,0,58
80,7,0,0,3,1,-5.3825,0.9762,1,0,58
81,9,0,0,4,1,-7.935,0.976,1,0,58
82,41,0,0,6,4,-15.3125,0.9757,1,0,62
83,23,0,0,3,2,-13.09,0.9754,1,0,62
84,7,0,0,3,1,-5.575,0.9751,1,0,62
85,15,0,0,2,1,-8.245,0.9748,1,0,62
86,15,0,0,6,2,-7.0325,0.9745,1,0,62
87,11,0,0,2,1,-8.845,0.9742,1,0,62
88,10,0,0,3,1,-8.2425,0.9739,1,0,62
89,31,0,0,6,2,-11.5775,0.9736,1,0,62
90,30,0,0,2,1,-10.5375,0.9733,1,0,62
91,26,0,0,9,2,-10.675,0.973,1,0,62
92,22,0,0,4,2,-10.68,0.9727,1,0,62
93,30,1,1,9,3,-13.2225,0.9724,1,0,65
94,7,0,0,1,1,-5.605,0.9721,1,0,65
95,19,0,0,9,2,-10.565,0.9718,1,0,65
96,28,0,0,4,3,-13.645,0.9715,1,0,65
97,54,0,0,4,2,-20.0,0.9712,1,0,65
98,19,0,0,4,2,-11.9875,0.9709,1,0,65
99,26,0,1,5,2,-11.5475,0.9706,1,0,65
100,72,1,1,5,6,-24.83,0.9703,1,0,69
101,23,1,1,8,3,-9.3125,0.97,1,0,69
102,28,0,0,7,3,-10.025,0.9697,1,0,70
103,10,0,0,2,1,-8.0375,0.9694,1,0,70
104,50,2,2,7,3,-14.83,0.9691,1,0,71
105,11,0,0,3,1,-7.43,0.9688,1,0,71
106,44,1,1,5,4,-10.7125,0.9685,1,0,71
107,36,0,0,6,3,-13.62,0.9682,1,0,71
108,11,0,0,1,1,-7.9075,0.9679,1,0,71
109,36,0,0,9,4,-14.0925,0.9676,1,0,72
110,19,0,0,7,2,-7.88,0.9673,1,0,72
111,6,0,0,1,1,-7.7025,0.967,1,0,72
112,17,1,1,5,2,-8.37,0.9667,1,0,72
113,5,0,0,1,1,-8.54,0.9665,1,0,73
114,6,0,0,1,1,-8.995,0.9662,1,0,73
115,6,0,0,3,1,-5.265,0.9659,1,0,73
116,17,0,0,1,1,-9.635,0.9656,1,0,73
117,16,0,0,4,2,-11.285,0.9653,1,0,73
118,16,0,0,3,1,-7.565,0.965,1,0,73
119,19,0,0,4,2,-12.5075,0.9647,1,0,73
120,6,0,0,3,1,-8.2075,0.9644,1,0,73
121,17,0,0,7,2,-10.7675,0.9641,1,0,73
122,34,1,1,4,3,-15.07,0.9638,1,0,74
123,41,0,0,5,2,-11.665,0.9635,1,0,74
124,11,0,0,3,1,-4.9925,0.9632,1,0,74
125,30,1,1,10,3,-6.635,0.9629,1,0,74
126,37,0,0,13,3,-11.495,0.9626,1,0,76
127,33,1,1,7,3,-10.27,0.9623,1,0,76
128,17,0,0,5,2,-10.465,0.962,1,0,76
129,42,0,0,8,4,-15.46,0.9617,1,0,76
130,25,2,2,11,3,-10.735,0.9614,1,0,76
131,43,0,0,12,3,-9.6025,0.9611,1,0,76
132,25,1,1,5,2,-10.035,0.9608,1,0,76
133,6,0,0,1,1,-7.925,0.9605,1,0,76
134,12,0,0,6,1,-9.675,0.9602,1,0,76
135,19,0,0,2,1,-10.9175,0.9599,1,0,76
136,26,1,1,9,3,-8.8525,0.9596,1,0,76
137,19,0,0,7,2,-7.06,0.9593,1,0,76
138,11,0,0,6,1,-4.9175,0.959,1,0,76
139,11,0,0,3,1,-10.3275,0.9587,1,0,77
140,25,0,0,7,3,-11.4175,0.9584,1,0,77
141,22,2,2,4,2,-9.8775,0.9581,1,0,78
142,7,0,0,3,1,-8.12,0.9578,1,0,78
143,23,0,0,9,2,-8.44,0.9575,1,0,78
144,37,1,1,8,4,-8.125,0.9573,1,0,80
145,31,0,0,5,2,-7.2475,0.957,1,0,80
146,8,0,0,2,1,-8.3325,0.9567,1,0,80
147,32,0,0,5,2,-9.1425,0.9564,1,0,80
148,21,0,0,6,2,-6.4925,0.9561,1,0,80
149,28,0,0,3,1,-10.2475,0.9558,1,0,80
150,17,1,1,3,2,-7.4875,0.9555,1,0,80
151,25,0,0,6,2,-9.72,0.9552,1,0,80
152,23,1,1,5,2,-10.1175,0.9549,1,0,80
153,25,0,0,8,3,-9.0325,0.9546,1,0,80
154,25,1,1,8,3,-6.575,0.9543,1,0,81
155,44,0,0,5,3,-13.925,0.954,1,0,81
156,17,0,0,2,1,-9.8975,0.9537,1,0,81
157,42,1,1,10,3,-10.95,0.9534,1,0,83
158,20,0,0,2,2,-10.0775,0.9531,1,0,83
159,7,0,0,3,1,-7.9125,0.9528,1,0,83
160,12,0,0,6,1,-7.185,0.9525,1,0,83
161,6,0,0,3,1,-7.01,0.9522,1,0,83
162,5,0,0,4,1,-8.985,0.9519,1,0,83
163,6,0,0,0,1,-7.6875,0.9516,1,0,83
164,27,0,0,4,3,-11.4525,0.9513,1,0,83
165,61,3,3,14,5,-12.5525,0.951,1,0,83
166,18,0,0,4,2,-11.25,0.9507,1,0,86
167,5,0,0,2,1,-6.0725,0.9504,1,0,86
168,8,0,0,2,1,-8.515,0.9501,1,0,86
169,29,0,0,10,3,-12.2,0.9498,1,0,86
170,8,0,0,2,1,-9.7125,0.9495,1,0,86
171,19,0,0,9,2,-6.4425,0.9492,1,0,88
172,19,0,0,3,2,-10.93,0.9489,1,0,88
173,14,0,0,5,2,-10.1675,0.9486,1,0,88
174,54,2,2,7,5,-17.695,0.9483,1,0,92
175,25,2,2,8,3,-6.025,0.948,1,0,92
176,55,1,1,7,3,-14.7775,0.9477,1,0,92
177,18,0,0,5,2,-10.4025,0.9475,1,0,92
178,10,0,0,3,1,-12.14,0.9472,1,0,92
179,27,0,0,6,1,-8.31,0.9469,1,0,92
