episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,330,0,0,5,6,-23.0075,0.2499,0,0,208
2,184,0,0,1,4,-19.22,0.2499,1,0,208
3,356,0,0,12,11,-16.0,0.2498,0,0,211
4,113,0,0,4,2,-11.875,0.2497,1,0,211
5,76,0,0,16,7,-11.95,0.2497,1,0,211
6,224,0,0,15,6,-14.665,0.2496,0,0,211
7,190,0,0,2,3,-13.8925,0.2496,1,0,212
8,61,0,0,3,2,-10.39,0.2495,1,0,212
9,106,0,0,2,2,-12.56,0.2494,1,0,212
10,270,0,0,7,6,-19.345,0.2494,0,0,216
11,134,0,0,6,3,-11.1525,0.2493,1,0,217
12,380,1,1,14,6,-20.285,0.2492,1,0,218
13,217,0,0,27,10,-6.8725,0.2492,1,0,219
14,132,0,0,0,3,-14.7375,0.2491,0,0,222
15,216,0,0,8,2,-18.2025,0.2491,1,0,222
16,158,0,0,9,5,-12.1625,0.249,1,0,225
17,269,0,0,21,12,-8.025,0.2489,1,0,226
18,210,2,2,14,7,-8.23,0.2489,0,0,228
19,239,0,0,3,3,-18.825,0.2488,0,0,231
20,286,1,1,13,6,-15.105,0.2487,1,0,232
21,103,1,1,3,2,-11.4375,0.2487,1,0,232
22,92,0,0,5,2,-6.7725,0.2486,0,0,232
23,284,1,1,19,10,-7.4375,0.2486,0,0,232
24,71,0,0,4,2,-10.9075,0.2485,1,0,232
25,176,0,0,7,6,-14.0975,0.2484,0,0,234
26,224,1,1,15,7,-14.1925,0.2484,0,0,238
27,194,0,0,11,6,-11.7375,0.2483,0,0,239
28,148,0,0,9,6,-14.2375,0.2482,1,0,240
29,125,0,0,3,3,-11.7275,0.2482,0,0,242
30,116,0,0,2,2,-13.0175,0.2481,1,0,243
31,137,0,0,1,2,-13.3725,0.2481,0,0,249
32,144,0,0,3,3,-13.3875,0.248,0,0,251
33,176,0,0,9,4,-14.075,0.2479,1,0,253
34,145,0,0,7,6,-7.525,0.2479,0,0,254
35,288,0,0,16,10,-7.66,0.2478,0,0,257
36,45,0,0,7,2,-8.975,0.2477,1,0,257
37,178,0,0,5,1,-12.9875,0.2477,0,0,259
38,291,2,2,34,21,-7.6475,0.2476,0,0,260
39,158,1,1,20,6,-3.9975,0.2476,1,0,262
40,225,1,1,5,5,-15.79,0.2475,0,0,263
41,43,0,0,3,1,-8.54,0.2474,1,0,263
42,39,0,0,4,1,-8.3225,0.2474,1,0,263
43,279,2,2,34,20,-18.9875,0.2473,0,0,264
44,301,0,0,24,13,-7.565,0.2472,1,0,265
45,255,1,1,18,8,-15.7175,0.2472,0,0,266
46,59,0,0,17,4,-7.49,0.2471,1,0,266
47,344,2,2,16,17,-14.02,0.2471,0,0,270
48,71,0,0,7,2,-10.1375,0.247,1,0,270
49,57,0,0,7,2,-9.175,0.2469,1,0,270
50,59,0,0,0,1,-9.02,0.2469,1,0,272
51,213,0,0,7,3,-16.18,0.2468,1,0,273
52,189,0,0,3,3,-14.98,0.2467,0,0,278
53,194,1,1,17,4,-12.8425,0.2467,1,0,278
54,257,0,0,10,7,-14.58,0.2466,1,0,279
55,186,1,1,15,7,-10.7525,0.2466,1,0,279
56,400,3,3,23,13,-2.87,0.2465,0,1,280
57,143,0,0,6,2,-10.235,0.2464,0,0,281
58,190,0,0,18,7,-12.6225,0.2464,0,0,281
59,83,0,0,3,2,-10.7125,0.2463,1,0,281
60,309,0,0,9,6,-19.0025,0.2462,1,0,281
61,56,0,0,1,1,-13.375,0.2462,1,0,284
62,236,0,0,7,4,-14.6325,0.2461,0,0,284
63,306,2,2,4,5,-18.48,0.2461,1,0,284
64,66,0,0,0,1,-11.235,0.246,0,0,284
65,189,0,0,6,2,-17.075,0.2459,1,0,284
66,98,0,0,5,2,-15.25,0.2459,1,0,284
67,53,0,0,6,1,-11.4025,0.2458,1,0,284
68,265,0,0,20,11,-10.905,0.2457,0,0,284
69,200,0,0,6,6,-13.2025,0.2457,0,0,284
70,128,0,0,0,1,-14.355,0.2456,0,0,287
71,281,1,1,8,5,-17.6025,0.2456,0,0,288
72,312,1,1,11,9,-18.8175,0.2455,0,0,288
73,193,1,1,22,8,-13.725,0.2454,0,0,290
74,277,2,2,12,3,-12.265,0.2454,0,0,290
75,276,0,0,5,2,-21.87,0.2453,1,0,291
76,148,2,2,24,10,-1.7575,0.2452,0,0,292
77,227,0,0,15,6,-12.26,0.2452,0,0,296
78,146,0,0,12,3,-11.4875,0.2451,1,0,296
79,134,0,0,4,3,-14.355,0.2451,1,0,296
80,254,0,0,22,8,-13.405,0.245,0,0,298
81,341,2,2,26,14,-12.855,0.2449,0,0,299
82,29,0,0,9,3,-6.5675,0.2449,1,0,299
83,162,0,0,5,2,-15.765,0.2448,1,0,299
84,149,0,0,12,4,-12.895,0.2447,1,0,299
85,256,0,0,5,2,-18.2975,0.2447,0,0,300
86,330,1,1,10,10,-20.2125,0.2446,0,0,306
87,304,1,1,1,3,-22.4,0.2446,0,0,306
88,300,1,1,17,9,-13.6475,0.2445,0,0,308
89,124,0,0,1,2,-11.27,0.2444,0,0,308
90,104,0,0,0,0,-16.3375,0.2444,0,0,311
91,208,0,0,11,7,-17.4475,0.2443,1,0,314
92,309,0,0,11,9,-18.77,0.2442,0,0,315
93,95,2,2,9,3,-9.56,0.2442,1,0,317
94,184,1,1,14,10,-10.79,0.2441,0,0,319
95,108,0,0,8,2,-9.26,0.2441,1,0,319
96,193,1,1,6,2,-14.9925,0.244,1,0,319
97,189,0,0,6,2,-17.265,0.2439,0,0,319
98,204,0,0,6,3,-10.93,0.2439,1,0,319
99,36,1,1,5,2,-8.1925,0.2438,1,0,319
100,107,0,0,0,0,-12.33,0.2437,0,0,319
101,93,0,0,0,0,-9.235,0.2437,0,0,319
102,203,1,1,3,2,-19.2425,0.2436,1,0,319
103,370,0,0,31,18,-13.47,0.2436,0,0,320
104,245,3,3,11,5,-8.5025,0.2435,0,0,321
105,282,0,0,11,5,-18.8675,0.2434,0,0,321
106,172,0,0,9,3,-17.79,0.2434,1,0,321
107,212,0,0,12,7,-11.665,0.2433,0,0,321
108,285,0,0,12,5,-17.0575,0.2432,0,0,321
109,347,0,0,5,3,-25.4075,0.2432,0,0,324
110,229,1,1,5,4,-14.5025,0.2431,0,0,325
111,294,2,2,8,11,-9.815,0.2431,0,0,325
112,214,2,2,9,5,-18.225,0.243,0,0,327
113,314,1,1,9,12,-11.5,0.2429,0,0,328
114,105,1,1,10,3,-12.0825,0.2429,1,0,328
115,296,1,1,27,12,-8.05,0.2428,0,0,332
116,329,1,1,22,15,-9.3975,0.2427,0,0,337
117,17,0,0,2,1,-4.1875,0.2427,1,0,337
118,400,1,1,23,17,-5.69,0.2426,0,1,337
119,400,1,1,31,21,-6.55,0.2426,0,1,340
120,151,0,0,11,5,-7.4675,0.2425,0,0,340
121,400,1,1,7,6,-13.9125,0.2424,0,1,341
122,138,0,0,4,3,-19.49,0.2424,1,0,341
123,191,4,4,22,8,-9.9225,0.2423,1,0,345
124,304,0,0,6,5,-23.3675,0.2422,0,0,345
125,219,1,1,9,5,-16.345,0.2422,0,0,345
126,97,0,0,1,2,-9.3275,0.2421,0,0,346
127,44,0,0,3,1,-4.34,0.2421,1,0,346
128,337,1,1,13,7,-18.725,0.242,0,0,346
129,163,0,0,2,2,-22.11,0.2419,1,0,346
130,107,0,0,9,3,-6.6625,0.2419,0,0,346
131,70,0,0,3,2,-7.9875,0.2418,0,0,347
132,282,1,1,12,9,-15.2825,0.2417,0,0,347
133,291,1,1,27,17,-10.9475,0.2417,0,0,347
134,103,0,0,6,3,-13.23,0.2416,1,0,347
135,144,0,0,9,3,-12.4075,0.2416,1,0,347
136,243,1,1,18,8,-11.975,0.2415,1,0,347
137,126,0,0,5,3,-11.5425,0.2414,0,0,347
138,388,3,4,27,19,-2.7325,0.2414,0,1,347
139,146,0,0,7,2,-12.725,0.2413,1,0,347
140,149,0,0,6,3,-15.7075,0.2412,0,0,347
141,127,0,0,6,2,-11.905,0.2412,1,0,347
142,77,0,0,10,3,-6.4025,0.2411,1,0,347
143,359,0,0,14,11,-18.76,0.2411,0,0,347
144,130,0,0,6,3,-11.9025,0.241,1,0,347
145,400,2,2,32,13,-1.2025,0.2409,0,1,348
146,274,0,0,12,5,-17.1025,0.2409,1,0,348
147,310,3,3,22,16,-1.99,0.2408,0,0,350
148,182,0,0,6,2,-15.835,0.2407,1,0,350
149,147,0,0,4,3,-13.065,0.2407,0,0,353
150,110,1,1,7,4,-11.145,0.2406,1,0,353
151,234,0,0,6,3,-18.5075,0.2406,0,0,353
152,75,0,0,3,2,-7.73,0.2405,0,0,355
153,258,1,1,13,8,-13.04,0.2404,0,0,355
154,270,0,0,9,7,-13.24,0.2404,0,0,356
155,400,1,1,31,16,-0.0525,0.2403,0,1,357
156,400,0,0,19,15,-9.275,0.2402,0,1,357
157,149,1,1,12,6,-13.5875,0.2402,1,0,357
158,108,0,0,4,2,-14.025,0.2401,0,0,357
159,286,0,0,5,3,-19.5725,0.2401,1,0,357
160,304,2,2,19,15,-8.79,0.24,1,0,357
161,147,0,0,5,2,-13.9875,0.2399,1,0,357
162,34,0,0,6,3,-8.295,0.2399,1,0,357
163,294,1,1,17,7,-18.695,0.2398,0,0,357
164,71,0,0,0,1,-9.6125,0.2397,0,0,358
165,100,1,1,6,3,-10.685,0.2397,1,0,358
166,237,3,3,9,6,-13.8525,0.2396,1,0,358
167,130,1,1,7,3,-12.095,0.2396,1,0,358
168,134,1,1,15,5,-9.0975,0.2395,1,0,358
169,210,1,1,9,6,-14.7775,0.2394,1,0,361
170,43,0,0,12,3,-8.915,0.2394,1,0,361
171,250,0,0,0,0,-16.935,0.2393,0,0,361
172,180,2,2,8,3,-9.3425,0.2392,0,0,361
173,64,1,1,6,2,-8.905,0.2392,1,0,361
174,297,0,0,24,13,-8.755,0.2391,0,0,361
175,400,1,1,27,19,-9.725,0.2391,0,1,361
176,96,0,0,4,4,-8.0125,0.239,0,0,361
177,272,0,0,23,11,-16.5975,0.2389,0,0,362
178,400,3,3,22,15,-3.3325,0.2389,0,1,364
179,134,0,0,0,0,-10.095,0.2388,0,0,365
180,400,4,4,80,27,6.2175,0.2387,0,1,365
181,83,0,0,0,0,-11.68,0.2387,0,0,365
182,361,0,0,13,11,-17.9275,0.2386,0,0,365
183,72,0,0,0,1,-12.5325,0.2386,1,0,366
184,58,0,0,7,2,-8.415,0.2385,1,0,366
185,272,0,0,20,6,-16.405,0.2384,1,0,366
186,143,1,1,7,5,-13.1375,0.2384,1,0,366
187,202,0,0,8,6,-10.2475,0.2383,0,0,367
188,293,0,0,16,8,-16.7625,0.2382,0,0,368
189,204,0,0,19,7,-8.4125,0.2382,1,0,368
190,262,0,0,4,3,-15.8025,0.2381,0,0,368
191,247,0,0,4,3,-21.0375,0.2381,1,0,370
192,263,1,1,31,11,-12.4675,0.238,1,0,370
193,229,1,1,9,3,-12.44,0.2379,0,0,370
194,155,0,0,7,4,-10.015,0.2379,0,0,370
195,290,0,0,2,4,-17.6175,0.2378,1,0,370
196,246,1,1,29,10,-8.28,0.2377,0,0,371
197,348,0,0,0,0,-22.3425,0.2377,0,0,371
198,83,0,0,7,3,-11.12,0.2376,1,0,371
199,253,1,1,27,10,-5.09,0.2376,0,0,371
200,88,1,1,7,3,-10.21,0.2375,1,0,371
201,132,1,1,10,3,-10.495,0.2374,1,0,371
202,98,0,0,7,2,-11.52,0.2374,1,0,371
203,87,0,0,0,0,-11.7125,0.2373,0,0,371
204,87,0,0,8,3,-9.515,0.2372,1,0,371
205,253,0,0,9,3,-17.65,0.2372,1,0,371
206,62,0,0,8,4,-6.415,0.2371,0,0,371
207,114,0,0,4,2,-10.3875,0.2371,1,0,371
208,202,0,0,1,1,-15.3775,0.237,0,0,371
209,114,0,0,15,4,-10.34,0.2369,1,0,371
210,239,0,0,20,7,-13.4025,0.2369,0,0,371
211,121,0,0,11,7,-11.035,0.2368,1,0,371
212,230,1,1,13,8,-13.095,0.2367,0,0,371
213,232,2,2,29,9,-7.4625,0.2367,1,0,371
214,82,1,1,8,2,-8.78,0.2366,1,0,371
215,184,0,0,3,2,-11.7375,0.2366,0,0,371
216,261,1,1,19,9,-14.1,0.2365,1,0,372
217,390,0,0,5,4,-20.4475,0.2364,1,0,372
