episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited,q_UP,q_RIGHT,q_DOWN,q_LEFT,q_WAIT,q_BOMB
1,400,16,17,-63.55,0.9995,0,1,14,0.0,0.00862,0.0,0.099,0.0,0.0
2,400,4,4,-70.55,0.999,0,1,16,-0.04209,0.00862,-0.04209,0.07894,0.00367,0.0
3,400,13,13,-59.7,0.9986,0,1,22,-0.31166,0.05958,-0.30098,0.44523,0.0608,0.0
4,400,16,16,-50.7,0.9981,0,1,25,-0.20098,0.13642,-0.1574,0.38617,0.15391,0.0
5,400,14,14,-52.05,0.9976,0,1,25,-0.18757,0.2202,-0.20797,0.39924,0.25442,0.0
6,400,19,19,-40.05,0.9971,0,1,25,-0.12501,0.2814,-0.16442,0.46038,0.30174,0.0
7,400,23,23,-45.6,0.9967,0,1,25,-0.12025,0.35578,-0.13084,0.36123,0.32997,0.0
8,400,18,18,-45.4,0.9962,0,1,25,-0.0949,0.53749,-0.1049,0.55227,0.32546,0.0
9,400,12,12,-52.2,0.9957,0,1,27,-0.04025,0.43894,-0.06456,0.54007,0.38004,0.0
10,400,23,23,-44.2,0.9952,0,1,27,0.01316,0.46126,-0.01146,0.85183,0.42586,0.0
11,400,12,12,-50.55,0.9948,0,1,28,0.33163,0.57837,0.30585,0.97168,0.74649,0.0
12,400,16,16,-41.85,0.9943,0,1,28,0.40881,0.75505,0.4426,1.00623,0.86109,0.0
13,400,17,17,-47.1,0.9938,0,1,29,0.39353,0.56591,0.4025,0.97901,0.85944,0.0
14,400,19,19,-50.35,0.9933,0,1,29,0.36552,0.67532,0.38141,1.01524,0.83161,0.0
15,400,10,10,-61.05,0.9929,0,1,29,0.41252,0.82346,0.42347,1.0528,0.86646,0.0
16,400,19,20,-44.15,0.9924,0,1,30,0.41533,0.89845,0.41285,0.97957,0.87333,0.0
17,400,19,19,-42.85,0.9919,0,1,30,0.36516,1.0045,0.35293,0.83159,0.81551,0.0
18,400,10,10,-51.85,0.9915,0,1,31,0.38983,1.05208,0.36225,0.93622,0.83732,0.0
