episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,7,0,0,3,1,-5.52,0.9997,1,0,6
2,8,0,0,2,1,-6.53,0.9994,1,0,12
3,6,0,0,2,1,-6.96,0.999,1,0,17
4,18,0,0,5,2,-9.18,0.9987,1,0,24
5,16,0,0,3,1,-8.81,0.9984,1,0,31
6,25,0,0,4,2,-9.55,0.9981,1,0,39
7,9,0,0,4,1,-5.84,0.9978,1,0,43
8,13,0,0,5,1,-6.93,0.9975,1,0,48
9,24,0,0,2,1,-11.49,0.9971,1,0,54
10,12,0,0,3,1,-6.92,0.9968,1,0,58
11,7,0,0,4,1,-6.27,0.9965,1,0,62
12,5,0,0,3,1,-5.55,0.9962,1,0,63
13,17,0,0,5,2,-8.67,0.9959,1,0,69
14,8,0,0,3,1,-5.18,0.9956,1,0,70
15,15,0,0,3,1,-6.8,0.9952,1,0,71
16,7,0,0,3,1,-5.97,0.9949,1,0,71
17,11,0,0,3,1,-7.01,0.9946,1,0,71
18,14,0,0,4,1,-8.24,0.9943,1,0,73
19,6,0,0,4,1,-4.76,0.994,1,0,75
20,11,0,0,2,1,-7.51,0.9937,1,0,79
21,13,0,0,2,1,-8.48,0.9933,1,0,79
22,7,0,0,3,1,-6.02,0.993,1,0,79
23,5,0,0,2,1,-5.3,0.9927,1,0,81
24,6,0,0,4,1,-5.71,0.9924,1,0,81
25,19,0,0,3,1,-9.84,0.9921,1,0,84
26,11,0,0,3,1,-6.66,0.9918,1,0,84
27,8,0,0,3,1,-5.23,0.9915,1,0,84
28,7,0,0,2,1,-6.27,0.9911,1,0,84
29,13,0,0,2,1,-7.23,0.9908,1,0,86
30,14,0,0,3,1,-8.69,0.9905,1,0,86
31,12,0,0,3,1,-7.52,0.9902,1,0,86
32,10,0,0,4,1,-5.75,0.9899,1,0,89
33,7,0,0,5,1,-4.82,0.9896,1,0,94
34,7,0,0,3,1,-5.52,0.9892,1,0,94
35,12,0,0,4,1,-6.37,0.9889,1,0,94
36,14,0,0,1,1,-7.89,0.9886,1,0,94
37,29,0,0,3,1,-8.64,0.9883,1,0,94
