episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,9,0,0,2,1,-6.235,0.9997,1,0,6
2,5,0,0,3,1,-5.315,0.9994,1,0,11
3,17,0,0,3,1,-9.24,0.999,1,0,16
4,9,0,0,2,1,-6.595,0.9987,1,0,23
5,6,0,0,3,1,-5.395,0.9984,1,0,28
6,11,0,0,4,1,-4.33,0.9981,1,0,29
7,33,0,0,3,1,-14.8,0.9978,1,0,31
8,6,0,0,4,1,-5.245,0.9975,1,0,31
9,18,0,0,3,1,-9.665,0.9971,1,0,31
10,11,0,0,2,1,-7.325,0.9968,1,0,34
11,7,0,0,2,1,-5.415,0.9965,1,0,38
12,5,0,0,3,1,-5.49,0.9962,1,0,40
13,20,0,0,2,2,-10.47,0.9959,1,0,49
14,20,0,0,4,1,-8.96,0.9956,1,0,51
15,8,0,0,3,1,-6.13,0.9952,1,0,55
16,15,0,0,3,1,-8.18,0.9949,1,0,59
17,9,0,0,3,1,-6.625,0.9946,1,0,60
18,7,0,0,3,1,-6.4,0.9943,1,0,63
19,8,0,0,3,1,-5.96,0.994,1,0,66
20,6,0,0,4,1,-4.595,0.9937,1,0,66
21,10,0,0,3,1,-7.13,0.9933,1,0,66
22,18,0,0,2,1,-8.005,0.993,1,0,68
23,9,0,0,3,1,-6.99,0.9927,1,0,70
24,6,0,0,2,1,-6.145,0.9924,1,0,70
25,13,0,0,3,1,-8.565,0.9921,1,0,70
26,8,0,0,3,1,-6.105,0.9918,1,0,70
27,6,0,0,2,1,-4.785,0.9915,1,0,71
28,6,0,0,3,1,-5.155,0.9911,1,0,71
29,10,0,0,3,1,-6.585,0.9908,1,0,71
30,9,0,0,1,1,-7.68,0.9905,1,0,71
31,20,0,0,2,1,-10.15,0.9902,1,0,71
32,7,0,0,2,1,-6.365,0.9899,1,0,71
33,15,0,0,4,1,-8.15,0.9896,1,0,72
34,10,0,0,3,1,-6.735,0.9892,1,0,72
35,5,0,0,3,1,-4.34,0.9889,1,0,72
36,17,0,0,4,1,-7.475,0.9886,1,0,72
37,5,0,0,4,1,-5.04,0.9883,1,0,72
38,5,0,0,3,1,-5.64,0.988,1,0,72
39,7,0,0,4,1,-5.065,0.9877,1,0,73
40,15,0,0,3,1,-8.665,0.9873,1,0,74
41,6,0,0,2,1,-5.795,0.987,1,0,77
42,5,0,0,4,1,-5.295,0.9867,1,0,77
43,5,0,0,3,1,-5.145,0.9864,1,0,78
44,10,0,0,2,1,-7.09,0.9861,1,0,78
45,6,0,0,3,1,-5.4,0.9858,1,0,78
46,27,0,0,4,1,-9.91,0.9854,1,0,82
47,15,0,0,3,1,-8.315,0.9851,1,0,82
48,30,0,0,5,2,-10.875,0.9848,1,0,85
49,5,0,0,3,1,-4.84,0.9845,1,0,85
50,18,0,0,3,1,-6.25,0.9842,1,0,86
51,5,0,0,3,1,-5.94,0.9839,1,0,86
52,5,0,0,3,1,-4.99,0.9835,1,0,88
53,14,0,0,2,1,-6.755,0.9832,1,0,89
54,6,0,0,4,1,-5.15,0.9829,1,0,89
55,11,0,0,3,1,-6.1,0.9826,1,0,89
56,13,0,0,3,1,-6.71,0.9823,1,0,89
57,5,0,0,3,1,-5.045,0.9819,1,0,89
58,10,0,0,3,1,-4.575,0.9816,1,0,89
59,5,0,0,3,1,-5.24,0.9813,1,0,90
60,5,0,0,2,1,-5.69,0.981,1,0,91
61,17,0,0,3,1,-8.685,0.9807,1,0,91
62,5,0,0,3,1,-5.495,0.9804,1,0,91
63,9,0,0,3,1,-6.085,0.98,1,0,91
64,16,0,0,3,1,-8.585,0.9797,1,0,92
65,5,0,0,1,1,-5.215,0.9794,1,0,93
