episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,9,0,0,2,1,-6.54,0.9997,1,0,6
2,5,0,0,3,1,-5.45,0.9994,1,0,11
3,17,0,0,3,1,-9.32,0.999,1,0,16
4,9,0,0,2,1,-6.89,0.9987,1,0,23
5,6,0,0,3,1,-5.61,0.9984,1,0,28
6,11,0,0,4,1,-4.56,0.9981,1,0,29
7,33,0,0,3,1,-14.93,0.9978,1,0,31
8,6,0,0,4,1,-5.31,0.9975,1,0,31
9,18,0,0,3,1,-9.73,0.9971,1,0,31
10,11,0,0,2,1,-7.56,0.9968,1,0,34
11,7,0,0,2,1,-5.47,0.9965,1,0,38
12,5,0,0,3,1,-5.55,0.9962,1,0,40
13,20,0,0,2,2,-10.6,0.9959,1,0,49
14,20,0,0,4,1,-9.2,0.9956,1,0,51
15,8,0,0,3,1,-6.18,0.9952,1,0,55
16,15,0,0,3,1,-8.25,0.9949,1,0,59
17,9,0,0,3,1,-6.69,0.9946,1,0,60
18,7,0,0,3,1,-6.47,0.9943,1,0,63
19,8,0,0,3,1,-6.03,0.994,1,0,66
20,6,0,0,4,1,-4.66,0.9937,1,0,66
21,10,0,0,3,1,-7.2,0.9933,1,0,66
22,18,0,0,2,1,-8.23,0.993,1,0,68
23,9,0,0,3,1,-7.04,0.9927,1,0,70
24,6,0,0,2,1,-6.36,0.9924,1,0,70
25,13,0,0,3,1,-8.63,0.9921,1,0,70
26,8,0,0,3,1,-6.18,0.9918,1,0,70
27,6,0,0,2,1,-4.86,0.9915,1,0,71
28,6,0,0,3,1,-5.21,0.9911,1,0,71
29,10,0,0,3,1,-6.65,0.9908,1,0,71
30,9,0,0,1,1,-7.74,0.9905,1,0,71
31,20,0,0,2,1,-10.25,0.9902,1,0,71
32,7,0,0,2,1,-6.42,0.9899,1,0,71
33,15,0,0,4,1,-8.4,0.9896,1,0,72
34,10,0,0,3,1,-6.8,0.9892,1,0,72
35,5,0,0,3,1,-4.55,0.9889,1,0,72
36,17,0,0,4,1,-7.57,0.9886,1,0,72
37,5,0,0,4,1,-5.25,0.9883,1,0,72
38,5,0,0,3,1,-5.85,0.988,1,0,72
39,7,0,0,4,1,-5.12,0.9877,1,0,73
40,15,0,0,3,1,-8.75,0.9873,1,0,74
41,6,0,0,2,1,-6.01,0.987,1,0,77
42,5,0,0,4,1,-5.35,0.9867,1,0,77
43,5,0,0,3,1,-5.2,0.9864,1,0,78
44,10,0,0,2,1,-7.15,0.9861,1,0,78
45,5,0,0,4,1,-5.05,0.9858,1,0,78
46,42,0,0,4,1,-12.52,0.9854,1,0,84
47,8,0,0,3,1,-6.18,0.9851,1,0,84
48,26,0,0,3,1,-13.01,0.9848,1,0,84
49,5,0,0,3,1,-5.45,0.9845,1,0,84
50,32,1,1,3,2,-11.92,0.9842,1,0,90
51,10,0,0,2,1,-7.1,0.9839,1,0,94
52,8,0,0,3,1,-6.13,0.9835,1,0,94
53,6,0,0,2,1,-6.36,0.9832,1,0,95
54,16,0,0,3,1,-7.76,0.9829,1,0,96
55,9,0,0,3,1,-6.14,0.9826,1,0,96
56,5,0,0,3,1,-5.65,0.9823,1,0,96
57,5,0,0,3,1,-5.1,0.9819,1,0,96
58,7,0,0,3,1,-6.02,0.9816,1,0,96
59,11,0,0,1,1,-7.71,0.9813,1,0,97
60,5,0,0,2,1,-5.85,0.981,1,0,98
61,10,0,0,3,1,-6.35,0.9807,1,0,100
62,16,0,0,3,1,-8.66,0.9804,1,0,101
63,5,0,0,3,1,-4.65,0.98,1,0,101
64,7,0,0,3,1,-5.52,0.9797,1,0,102
65,13,0,0,1,1,-6.43,0.9794,1,0,106
66,6,0,0,4,1,-5.56,0.9791,1,0,106
67,18,0,0,3,1,-7.38,0.9788,1,0,106
68,14,0,0,4,1,-6.39,0.9785,1,0,106
69,6,0,0,2,1,-6.36,0.9781,1,0,106
70,21,0,0,3,1,-9.86,0.9778,1,0,106
71,5,0,0,3,1,-5.0,0.9775,1,0,106
72,11,0,0,2,1,-6.56,0.9772,1,0,106
73,5,0,0,2,1,-5.5,0.9769,1,0,107
74,8,0,0,2,1,-6.33,0.9766,1,0,107
75,5,0,0,3,1,-6.15,0.9762,1,0,107
76,5,0,0,4,1,-5.05,0.9759,1,0,107
77,5,0,0,3,1,-5.1,0.9756,1,0,107
78,11,0,0,3,1,-6.66,0.9753,1,0,107
79,19,0,0,4,2,-9.14,0.975,1,0,108
80,10,0,0,3,1,-6.7,0.9747,1,0,108
81,14,0,0,4,1,-8.89,0.9744,1,0,108
82,10,0,0,2,1,-7.5,0.974,1,0,108
83,6,0,0,2,1,-5.91,0.9737,1,0,108
84,22,0,0,3,2,-10.42,0.9734,1,0,111
