episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,5,0,0,2,1,-5.3,0.9997,1,0,5
2,23,0,0,2,1,-9.53,0.9994,1,0,13
3,6,0,0,2,1,-5.36,0.999,1,0,18
4,13,0,0,2,1,-7.58,0.9987,1,0,22
5,10,0,0,3,1,-6.75,0.9984,1,0,28
6,5,0,0,4,1,-5.25,0.9981,1,0,28
7,7,0,0,2,1,-6.02,0.9978,1,0,31
8,8,0,0,3,1,-7.13,0.9975,1,0,35
9,6,0,0,3,1,-5.46,0.9971,1,0,38
10,16,0,0,1,1,-9.91,0.9968,1,0,42
11,7,0,0,4,1,-5.82,0.9965,1,0,43
12,16,0,0,2,1,-9.56,0.9962,1,0,46
13,12,0,0,3,1,-6.62,0.9959,1,0,47
14,8,0,0,3,1,-6.53,0.9956,1,0,47
15,7,0,0,3,1,-5.67,0.9952,1,0,51
16,6,0,0,4,1,-5.76,0.9949,1,0,53
17,5,0,0,2,1,-5.4,0.9946,1,0,56
18,5,0,0,2,1,-5.95,0.9943,1,0,58
19,47,0,0,3,1,-16.82,0.994,1,0,58
20,5,0,0,4,1,-5.55,0.9937,1,0,58
21,22,0,0,3,1,-10.37,0.9933,1,0,60
22,11,0,0,3,1,-6.81,0.993,1,0,61
23,8,0,0,3,1,-5.33,0.9927,1,0,61
24,5,0,0,2,1,-5.0,0.9924,1,0,65
25,11,0,0,4,1,-6.76,0.9921,1,0,68
26,9,0,0,1,1,-7.79,0.9918,1,0,70
27,9,0,0,3,1,-4.64,0.9915,1,0,75
28,11,0,0,4,1,-6.31,0.9911,1,0,75
29,6,0,0,1,1,-5.31,0.9908,1,0,75
30,5,0,0,4,1,-5.25,0.9905,1,0,75
31,8,0,0,4,1,-5.88,0.9902,1,0,75
32,17,0,0,3,1,-8.22,0.9899,1,0,75
33,6,0,0,2,1,-5.51,0.9896,1,0,79
34,11,0,0,2,1,-6.96,0.9892,1,0,79
35,20,0,0,5,1,-8.6,0.9889,1,0,81
36,6,0,0,2,1,-5.86,0.9886,1,0,82
37,11,0,0,1,1,-8.31,0.9883,1,0,82
38,7,0,0,2,1,-6.42,0.988,1,0,82
39,5,0,0,3,1,-5.55,0.9877,1,0,82
40,5,0,0,3,1,-5.45,0.9873,1,0,83
41,5,0,0,2,1,-5.85,0.987,1,0,83
42,11,0,0,2,1,-7.56,0.9867,1,0,83
43,6,0,0,3,1,-5.96,0.9864,1,0,83
44,13,0,0,2,1,-9.03,0.9861,1,0,83
45,17,0,0,2,1,-10.42,0.9858,1,0,83
46,11,0,0,1,1,-7.31,0.9854,1,0,85
47,24,0,0,3,2,-9.94,0.9851,1,0,88
48,7,0,0,2,1,-5.37,0.9848,1,0,89
49,6,0,0,3,1,-5.16,0.9845,1,0,89
50,24,0,0,2,1,-11.44,0.9842,1,0,89
51,5,0,0,4,1,-5.25,0.9839,1,0,89
52,16,0,0,2,1,-9.21,0.9835,1,0,89
53,9,0,0,3,1,-6.64,0.9832,1,0,92
54,8,0,0,3,1,-5.63,0.9829,1,0,92
55,6,0,0,4,1,-5.56,0.9826,1,0,92
56,21,0,0,2,1,-11.21,0.9823,1,0,95
57,8,0,0,3,1,-6.63,0.9819,1,0,95
58,9,0,0,3,1,-6.24,0.9816,1,0,95
59,8,0,0,3,1,-6.03,0.9813,1,0,95
60,12,0,0,4,1,-6.37,0.981,1,0,95
61,9,0,0,1,1,-7.79,0.9807,1,0,95
62,5,0,0,3,1,-5.0,0.9804,1,0,95
63,10,0,0,3,1,-8.0,0.98,1,0,95
64,5,0,0,3,1,-5.55,0.9797,1,0,95
65,5,0,0,1,1,-5.4,0.9794,1,0,96
66,13,0,0,4,1,-8.33,0.9791,1,0,96
67,5,0,0,3,1,-5.55,0.9788,1,0,96
68,8,0,0,3,1,-4.23,0.9785,1,0,98
69,8,0,0,2,1,-4.88,0.9781,1,0,101
70,7,0,0,2,1,-6.52,0.9778,1,0,101
71,8,0,0,3,1,-7.08,0.9775,1,0,101
72,11,0,0,1,1,-9.21,0.9772,1,0,101
73,11,0,0,3,1,-8.06,0.9769,1,0,101
74,5,0,0,3,1,-6.05,0.9766,1,0,101
75,5,0,0,4,1,-5.1,0.9762,1,0,101
76,14,0,0,3,1,-9.09,0.9759,1,0,101
77,8,0,0,3,1,-7.23,0.9756,1,0,102
78,5,0,0,3,1,-5.55,0.9753,1,0,104
79,11,0,0,3,1,-6.56,0.975,1,0,104
80,14,0,0,2,1,-9.64,0.9747,1,0,104
81,7,0,0,3,1,-5.02,0.9744,1,0,104
82,9,0,0,3,1,-7.14,0.974,1,0,104
83,5,0,0,4,1,-5.25,0.9737,1,0,104
84,15,0,0,3,1,-7.7,0.9734,1,0,104
85,10,0,0,3,1,-6.6,0.9731,1,0,104
86,9,0,0,1,1,-7.84,0.9728,1,0,108
87,10,0,0,3,1,-6.9,0.9725,1,0,108
88,17,0,0,2,1,-9.12,0.9721,1,0,108
89,21,0,0,3,1,-9.71,0.9718,1,0,108
90,6,0,0,1,1,-6.26,0.9715,1,0,108
91,11,0,0,1,1,-6.46,0.9712,1,0,111
92,9,0,0,4,1,-5.39,0.9709,1,0,111
93,6,0,0,2,1,-5.96,0.9706,1,0,111
94,6,0,0,2,1,-5.51,0.9702,1,0,111
