episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,7,0,0,2,1,-5.07,0.9997,1,0,6
2,5,0,0,2,1,-5.45,0.9994,1,0,11
3,11,0,0,5,1,-5.66,0.999,1,0,17
4,5,0,0,2,1,-5.95,0.9987,1,0,21
5,21,0,0,3,1,-7.26,0.9984,1,0,24
6,11,0,0,3,1,-8.06,0.9981,1,0,28
7,5,0,0,2,1,-5.75,0.9978,1,0,29
8,7,0,0,3,1,-5.67,0.9975,1,0,32
9,8,0,0,2,1,-6.88,0.9971,1,0,36
10,18,0,0,1,1,-11.53,0.9968,1,0,40
11,12,0,0,4,1,-6.62,0.9965,1,0,41
12,5,0,0,3,1,-4.9,0.9962,1,0,41
13,11,0,0,3,1,-7.76,0.9959,1,0,42
14,8,0,0,3,1,-6.98,0.9956,1,0,43
15,5,0,0,3,1,-5.25,0.9952,1,0,48
16,6,0,0,1,1,-6.21,0.9949,1,0,48
17,10,0,0,1,1,-7.8,0.9946,1,0,53
18,6,0,0,2,1,-5.51,0.9943,1,0,55
19,28,0,0,3,1,-12.93,0.994,1,0,60
20,6,0,0,1,1,-6.16,0.9937,1,0,61
21,10,0,0,1,1,-5.85,0.9933,1,0,66
22,5,0,0,2,1,-5.95,0.993,1,0,66
23,12,0,0,2,1,-7.02,0.9927,1,0,68
24,11,0,0,2,1,-7.46,0.9924,1,0,69
25,10,0,0,2,1,-7.5,0.9921,1,0,69
26,5,0,0,3,1,-5.55,0.9918,1,0,70
27,9,0,0,3,1,-6.49,0.9915,1,0,71
28,17,0,0,3,1,-8.97,0.9911,1,0,71
29,5,0,0,3,1,-5.55,0.9908,1,0,71
30,5,0,0,1,1,-6.25,0.9905,1,0,71
31,5,0,0,4,1,-4.75,0.9902,1,0,75
32,16,0,0,2,1,-7.16,0.9899,1,0,75
33,15,0,0,3,1,-8.3,0.9896,1,0,76
34,9,0,0,0,1,-7.44,0.9892,1,0,80
35,18,0,0,1,1,-9.48,0.9889,1,0,81
36,9,0,0,3,1,-5.69,0.9886,1,0,84
37,5,0,0,4,1,-5.25,0.9883,1,0,84
38,5,0,0,1,1,-6.75,0.988,1,0,85
39,5,0,0,3,1,-5.65,0.9877,1,0,85
