episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,9,0,0,2,1,-6.54,0.9999,1,0,6
2,5,0,0,3,1,-5.45,0.9998,1,0,11
3,17,0,0,3,1,-9.32,0.9996,1,0,16
4,9,0,0,2,1,-6.89,0.9995,1,0,23
5,6,0,0,3,1,-5.61,0.9994,1,0,28
6,11,0,0,4,1,-4.56,0.9993,1,0,29
7,33,0,0,3,1,-14.93,0.9992,1,0,31
8,6,0,0,4,1,-5.31,0.999,1,0,31
9,18,0,0,3,1,-9.73,0.9989,1,0,31
10,11,0,0,2,1,-7.56,0.9988,1,0,34
11,7,0,0,2,1,-5.47,0.9987,1,0,38
12,5,0,0,3,1,-5.55,0.9986,1,0,40
13,20,0,0,2,2,-10.6,0.9985,1,0,49
14,20,0,0,4,1,-9.2,0.9983,1,0,51
15,8,0,0,3,1,-6.18,0.9982,1,0,55
16,15,0,0,3,1,-8.25,0.9981,1,0,59
17,9,0,0,3,1,-6.69,0.998,1,0,60
18,7,0,0,3,1,-6.47,0.9979,1,0,63
19,8,0,0,3,1,-6.03,0.9977,1,0,66
20,6,0,0,4,1,-4.66,0.9976,1,0,66
21,10,0,0,3,1,-7.2,0.9975,1,0,66
22,18,0,0,2,1,-8.23,0.9974,1,0,68
23,9,0,0,3,1,-7.04,0.9973,1,0,70
24,6,0,0,2,1,-6.36,0.9971,1,0,70
25,13,0,0,3,1,-8.63,0.997,1,0,70
26,8,0,0,3,1,-6.18,0.9969,1,0,70
27,6,0,0,2,1,-4.86,0.9968,1,0,71
28,6,0,0,3,1,-5.21,0.9967,1,0,71
29,10,0,0,3,1,-6.65,0.9966,1,0,71
30,9,0,0,1,1,-7.74,0.9964,1,0,71
31,20,0,0,2,1,-10.25,0.9963,1,0,71
32,7,0,0,2,1,-6.42,0.9962,1,0,71
33,15,0,0,4,1,-8.4,0.9961,1,0,72
34,10,0,0,3,1,-6.8,0.996,1,0,72
35,5,0,0,3,1,-4.55,0.9958,1,0,72
36,17,0,0,4,1,-7.57,0.9957,1,0,72
37,5,0,0,4,1,-5.25,0.9956,1,0,72
38,5,0,0,3,1,-5.85,0.9955,1,0,72
39,7,0,0,4,1,-5.12,0.9954,1,0,73
40,15,0,0,3,1,-8.75,0.9952,1,0,74
41,6,0,0,2,1,-6.01,0.9951,1,0,77
42,5,0,0,4,1,-5.35,0.995,1,0,77
43,5,0,0,3,1,-5.2,0.9949,1,0,78
44,10,0,0,2,1,-7.15,0.9948,1,0,78
45,5,0,0,4,1,-5.05,0.9947,1,0,78
46,42,0,0,3,1,-12.82,0.9945,1,0,82
47,8,0,0,3,1,-6.18,0.9944,1,0,82
48,26,0,0,3,1,-13.01,0.9943,1,0,82
49,5,0,0,3,1,-5.45,0.9942,1,0,82
50,11,0,0,3,1,-7.66,0.9941,1,0,83
51,25,0,0,3,1,-10.55,0.9939,1,0,83
52,11,0,0,3,1,-6.21,0.9938,1,0,83
53,9,0,0,2,1,-6.49,0.9937,1,0,84
54,10,0,0,4,1,-5.8,0.9936,1,0,84
55,5,0,0,4,1,-4.7,0.9935,1,0,84
56,11,0,0,2,1,-8.11,0.9933,1,0,84
57,6,0,0,2,1,-5.01,0.9932,1,0,84
58,7,0,0,3,1,-6.47,0.9931,1,0,84
59,31,0,0,4,2,-10.51,0.993,1,0,92
60,6,0,0,1,1,-5.71,0.9929,1,0,96
61,17,0,0,3,1,-9.77,0.9928,1,0,96
62,24,0,0,5,2,-11.59,0.9926,1,0,97
63,14,0,0,3,1,-7.14,0.9925,1,0,97
64,16,0,0,3,1,-7.66,0.9924,1,0,97
65,6,0,0,2,1,-6.36,0.9923,1,0,97
66,21,0,0,3,1,-10.66,0.9922,1,0,97
67,5,0,0,3,1,-5.1,0.992,1,0,97
68,11,0,0,4,1,-5.96,0.9919,1,0,98
69,5,0,0,3,1,-6.05,0.9918,1,0,98
70,14,0,0,3,1,-8.74,0.9917,1,0,98
71,10,0,0,3,1,-8.1,0.9916,1,0,98
72,13,0,0,2,1,-8.53,0.9915,1,0,101
73,10,0,0,2,1,-7.6,0.9913,1,0,103
74,7,0,0,3,1,-6.47,0.9912,1,0,103
75,10,0,0,2,1,-6.65,0.9911,1,0,108
76,13,0,0,3,1,-9.08,0.991,1,0,108
77,10,0,0,3,1,-7.1,0.9909,1,0,108
78,6,0,0,4,1,-5.31,0.9907,1,0,108
79,22,0,0,2,2,-10.72,0.9906,1,0,108
80,15,0,0,3,1,-8.3,0.9905,1,0,108
81,10,0,0,4,1,-6.35,0.9904,1,0,108
82,8,0,0,3,1,-5.78,0.9903,1,0,108
83,7,0,0,2,1,-6.42,0.9901,1,0,108
84,8,0,0,3,1,-5.48,0.99,1,0,108
85,11,0,0,3,1,-7.06,0.9899,1,0,108
86,10,0,0,3,1,-6.3,0.9898,1,0,108
87,19,0,0,5,2,-9.04,0.9897,1,0,110
88,7,0,0,1,1,-6.37,0.9896,1,0,114
89,5,0,0,3,1,-5.55,0.9894,1,0,114
90,6,0,0,4,1,-4.46,0.9893,1,0,114
91,36,0,0,6,3,-12.96,0.9892,1,0,121
92,18,0,0,2,1,-10.08,0.9891,1,0,121
93,28,0,0,7,2,-8.98,0.989,1,0,123
94,8,0,0,3,1,-5.03,0.9888,1,0,123
95,11,0,0,3,1,-7.66,0.9887,1,0,123
96,12,0,0,3,1,-6.97,0.9886,1,0,123
97,11,0,0,3,1,-8.06,0.9885,1,0,123
98,8,0,0,3,1,-5.78,0.9884,1,0,123
99,8,0,0,3,1,-6.53,0.9882,1,0,124
100,6,0,0,4,1,-4.31,0.9881,1,0,124
101,5,0,0,4,1,-5.15,0.988,1,0,124
102,10,0,0,3,1,-6.7,0.9879,1,0,124
103,12,0,0,3,1,-7.72,0.9878,1,0,124
104,5,0,0,3,1,-5.7,0.9877,1,0,127
105,12,0,0,2,1,-7.52,0.9875,1,0,127
106,7,0,0,3,1,-6.07,0.9874,1,0,127
107,26,0,0,4,1,-11.41,0.9873,1,0,127
108,40,0,0,3,2,-18.15,0.9872,1,0,128
109,5,0,0,3,1,-5.1,0.9871,1,0,129
110,16,0,0,3,1,-9.71,0.9869,1,0,129
111,5,0,0,3,1,-5.45,0.9868,1,0,129
112,6,0,0,2,1,-4.86,0.9867,1,0,130
113,9,0,0,3,1,-7.14,0.9866,1,0,130
114,5,0,0,3,1,-5.55,0.9865,1,0,130
115,6,0,0,3,1,-5.51,0.9863,1,0,130
116,19,0,0,3,1,-10.74,0.9862,1,0,130
117,5,0,0,2,1,-5.85,0.9861,1,0,130
118,9,0,0,2,1,-7.39,0.986,1,0,130
119,5,0,0,4,1,-5.05,0.9859,1,0,130
120,10,0,0,3,1,-6.05,0.9858,1,0,130
121,9,0,0,5,1,-5.34,0.9856,1,0,134
122,12,0,0,2,1,-8.52,0.9855,1,0,134
123,15,0,0,2,1,-9.15,0.9854,1,0,134
124,8,0,0,2,1,-6.88,0.9853,1,0,134
125,11,0,0,3,1,-6.71,0.9852,1,0,134
126,11,0,0,2,1,-7.01,0.985,1,0,134
127,8,0,0,2,1,-5.63,0.9849,1,0,135
128,13,0,0,4,2,-6.38,0.9848,1,0,135
129,6,0,0,3,1,-5.26,0.9847,1,0,135
130,21,0,0,6,2,-8.36,0.9846,1,0,136
131,6,0,0,2,1,-5.56,0.9844,1,0,136
132,11,0,0,3,1,-8.26,0.9843,1,0,136
133,11,0,0,3,1,-5.26,0.9842,1,0,136
134,6,0,0,2,1,-5.51,0.9841,1,0,136
135,5,0,0,3,1,-4.65,0.984,1,0,136
136,5,0,0,2,1,-5.4,0.9839,1,0,136
137,7,0,0,1,1,-5.72,0.9837,1,0,136
