episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,14,0,0,3,1,-8.69,0.9999,1,0,6
2,6,0,0,4,1,-5.66,0.9998,1,0,11
3,12,0,0,2,1,-6.97,0.9996,1,0,17
4,11,0,0,3,1,-7.01,0.9995,1,0,22
5,15,0,0,4,1,-7.45,0.9994,1,0,27
6,9,0,0,2,1,-5.99,0.9993,1,0,31
7,5,0,0,4,1,-5.15,0.9992,1,0,33
8,5,0,0,3,1,-5.1,0.999,1,0,35
9,9,0,0,5,1,-5.39,0.9989,1,0,39
10,12,0,0,1,1,-7.87,0.9988,1,0,42
11,10,0,0,4,1,-6.35,0.9987,1,0,42
12,16,0,0,4,1,-9.41,0.9986,1,0,44
13,7,0,0,2,1,-6.42,0.9985,1,0,45
14,7,0,0,3,1,-6.12,0.9983,1,0,45
15,8,0,0,3,1,-4.98,0.9982,1,0,45
16,10,0,0,3,1,-7.05,0.9981,1,0,50
17,8,0,0,3,1,-6.68,0.998,1,0,51
18,6,0,0,2,1,-5.06,0.9979,1,0,54
19,17,0,0,1,1,-8.97,0.9977,1,0,58
20,8,0,0,4,1,-5.68,0.9976,1,0,59
21,8,0,0,3,1,-6.98,0.9975,1,0,59
22,14,0,0,2,1,-8.54,0.9974,1,0,59
23,12,0,0,3,1,-6.27,0.9973,1,0,61
24,7,0,0,3,1,-5.92,0.9971,1,0,61
25,5,0,0,2,1,-5.85,0.997,1,0,62
26,21,0,0,3,1,-7.36,0.9969,1,0,64
27,6,0,0,3,1,-5.16,0.9968,1,0,64
28,7,0,0,3,1,-7.07,0.9967,1,0,64
29,9,0,0,3,1,-5.24,0.9966,1,0,64
30,5,0,0,4,1,-4.9,0.9964,1,0,64
31,15,0,0,3,1,-8.25,0.9963,1,0,68
32,5,0,0,4,1,-5.15,0.9962,1,0,68
33,15,0,0,3,1,-6.4,0.9961,1,0,68
34,5,0,0,4,1,-5.05,0.996,1,0,68
35,5,0,0,3,1,-5.6,0.9958,1,0,68
36,12,0,0,1,1,-8.42,0.9957,1,0,70
37,15,0,0,3,1,-8.75,0.9956,1,0,71
38,11,0,0,3,1,-7.31,0.9955,1,0,72
39,7,0,0,3,1,-5.52,0.9954,1,0,73
40,13,0,0,3,1,-5.23,0.9952,1,0,74
41,10,0,0,2,1,-7.55,0.9951,1,0,74
42,12,0,0,4,1,-5.72,0.995,1,0,74
43,5,0,0,4,1,-4.35,0.9949,1,0,74
44,6,0,0,3,1,-5.66,0.9948,1,0,74
45,6,0,0,2,1,-5.86,0.9947,1,0,74
46,21,0,0,2,2,-8.31,0.9945,1,0,79
47,40,0,0,3,2,-15.3,0.9944,1,0,81
48,12,0,0,2,1,-7.42,0.9943,1,0,82
49,16,0,0,3,1,-6.91,0.9942,1,0,83
50,6,0,0,3,1,-6.56,0.9941,1,0,83
51,15,0,0,3,2,-8.3,0.9939,1,0,86
52,5,0,0,3,1,-5.1,0.9938,1,0,87
53,10,0,0,1,1,-7.85,0.9937,1,0,87
54,9,0,0,3,1,-6.14,0.9936,1,0,87
