episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,19,0,0,3,1,-9.79,0.9995,1,0,6
2,5,0,0,3,1,-6.05,0.999,1,0,11
3,19,0,0,3,1,-9.54,0.9986,1,0,12
4,15,0,0,4,1,-8.9,0.9981,1,0,17
5,5,0,0,4,1,-4.7,0.9976,1,0,20
6,5,0,0,4,1,-5.15,0.9971,1,0,23
7,9,0,0,4,1,-5.84,0.9967,1,0,25
8,8,0,0,1,1,-6.23,0.9962,1,0,28
9,5,0,0,3,1,-5.0,0.9957,1,0,31
10,5,0,0,3,1,-5.2,0.9952,1,0,31
11,14,0,0,3,1,-7.44,0.9948,1,0,35
12,8,0,0,2,1,-7.38,0.9943,1,0,35
13,21,0,0,2,1,-9.96,0.9938,1,0,42
14,8,0,0,3,1,-6.53,0.9933,1,0,46
15,5,0,0,4,1,-5.25,0.9929,1,0,48
16,5,0,0,4,1,-5.05,0.9924,1,0,49
17,8,0,0,4,1,-5.78,0.9919,1,0,50
18,5,0,0,4,1,-5.05,0.9915,1,0,50
19,13,0,0,3,1,-7.03,0.991,1,0,54
20,9,0,0,3,1,-6.29,0.9905,1,0,56
21,5,0,0,3,1,-4.55,0.99,1,0,60
22,5,0,0,4,1,-5.15,0.9896,1,0,60
23,9,0,0,2,1,-6.39,0.9891,1,0,64
24,7,0,0,4,1,-5.72,0.9886,1,0,64
25,7,0,0,3,1,-5.47,0.9881,1,0,64
26,15,0,0,3,1,-7.3,0.9877,1,0,64
27,5,0,0,4,1,-5.35,0.9872,1,0,64
28,6,0,0,1,1,-6.16,0.9867,1,0,64
29,12,0,0,4,1,-7.37,0.9862,1,0,66
30,5,0,0,4,1,-4.7,0.9858,1,0,66
31,12,0,0,3,1,-7.12,0.9853,1,0,66
32,10,0,0,1,1,-7.85,0.9848,1,0,68
33,7,0,0,3,1,-5.67,0.9843,1,0,69
34,21,0,0,2,1,-10.71,0.9839,1,0,69
35,8,0,0,2,1,-6.88,0.9834,1,0,72
36,5,0,0,3,1,-5.55,0.9829,1,0,72
37,8,0,0,3,1,-6.63,0.9824,1,0,72
38,6,0,0,3,1,-5.16,0.9819,1,0,75
