episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,25,0,0,2,1,-11.8,0.9995,1,0,7
2,20,0,0,7,2,-5.7,0.999,1,0,18
3,22,0,0,3,1,-11.87,0.9986,1,0,24
4,14,0,0,4,1,-7.34,0.9981,1,0,28
5,6,0,0,2,1,-5.31,0.9976,1,0,30
6,5,0,0,2,1,-5.9,0.9971,1,0,35
7,9,0,0,3,1,-5.89,0.9967,1,0,36
8,7,0,0,1,1,-6.32,0.9962,1,0,40
9,12,0,0,2,1,-8.52,0.9957,1,0,45
10,34,1,1,4,2,-12.64,0.9952,1,0,54
11,10,0,0,1,1,-6.3,0.9948,1,0,56
12,24,1,1,3,2,-8.99,0.9943,1,0,63
13,25,1,1,4,2,-9.35,0.9938,1,0,72
14,10,0,0,2,1,-7.95,0.9933,1,0,72
15,12,0,0,1,1,-7.87,0.9929,1,0,72
16,6,0,0,3,1,-5.96,0.9924,1,0,72
17,6,0,0,2,1,-5.41,0.9919,1,0,75
18,7,0,0,3,1,-5.52,0.9915,1,0,75
19,6,0,0,2,1,-6.46,0.991,1,0,75
20,5,0,0,4,1,-5.15,0.9905,1,0,75
21,8,0,0,4,1,-6.18,0.99,1,0,76
22,15,0,0,3,1,-7.4,0.9896,1,0,77
23,20,0,0,5,2,-9.9,0.9891,1,0,79
24,7,0,0,2,1,-6.42,0.9886,1,0,79
25,5,0,0,3,1,-5.55,0.9881,1,0,79
26,9,0,0,2,1,-6.49,0.9877,1,0,79
27,10,0,0,3,1,-5.65,0.9872,1,0,79
28,6,0,0,2,1,-5.91,0.9867,1,0,81
29,5,0,0,2,1,-5.85,0.9862,1,0,81
30,17,0,0,2,1,-10.52,0.9858,1,0,81
31,8,0,0,3,1,-6.68,0.9853,1,0,81
32,13,0,0,4,1,-6.93,0.9848,1,0,82
33,5,0,0,3,1,-5.45,0.9843,1,0,84
34,5,0,0,4,1,-5.05,0.9839,1,0,84
35,5,0,0,3,1,-5.0,0.9834,1,0,84
36,9,0,0,3,1,-6.54,0.9829,1,0,85
37,7,0,0,2,1,-6.42,0.9824,1,0,86
38,6,0,0,4,1,-5.31,0.9819,1,0,86
39,9,0,0,5,1,-5.94,0.9815,1,0,87
