round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,400,0,0,0,0,24,0,0,1,0.25,0.00315,22.986
2,400,0,0,0,0,26,0,0,1,0.2499,0.00325,22.709
3,400,0,0,0,0,40,0,0,1,0.2499,0.00232,14.131
4,400,1,1,11,6,25,0,0,1,0.2498,0.09902,22.293
5,400,0,0,0,0,34,0,0,1,0.2497,0.01814,-9.629
6,400,0,0,0,0,26,0,0,1,0.2497,0.00366,22.923
7,97,0,0,5,1,12,1,1,0,0.2496,0.14746,-33.381
8,400,0,0,2,1,26,0,0,1,0.2496,0.01206,20.149
9,400,0,0,2,1,24,0,0,1,0.2495,0.01105,23.801
10,400,0,0,0,0,29,0,0,1,0.2494,0.00266,19.46
11,400,0,0,0,0,24,0,0,1,0.2494,0.00297,22.866
12,400,0,0,0,0,27,0,0,1,0.2493,0.00225,18.876
13,400,0,0,0,0,33,0,0,1,0.2492,0.0025,15.534
14,400,0,0,0,0,32,0,0,1,0.2492,0.00208,17.151
15,400,0,0,0,0,34,0,0,1,0.2491,0.00211,18.085
16,400,0,0,0,0,32,0,0,1,0.2491,0.00236,18.627
17,400,0,0,0,0,35,0,0,1,0.249,0.00261,16.939
18,400,0,0,0,0,34,0,0,1,0.2489,0.00232,18.753
19,400,0,0,0,0,33,0,0,1,0.2489,0.00226,18.746
20,400,0,0,0,0,31,0,0,1,0.2488,0.00267,21.228
21,324,0,0,6,2,29,1,1,0,0.2487,0.11573,-32.248
22,400,0,0,2,1,28,0,0,1,0.2487,0.02829,9.633
23,400,0,0,0,0,34,0,0,1,0.2486,0.01568,13.215
24,400,0,0,1,1,28,0,0,1,0.2486,0.01968,11.68
25,400,0,0,1,2,28,0,0,1,0.2485,0.0209,16.937
26,400,0,0,0,0,25,0,0,1,0.2484,0.0076,17.233
27,400,1,1,5,1,32,0,0,1,0.2484,0.03399,11.358
28,400,0,0,0,0,27,0,0,1,0.2483,0.00344,15.378
29,400,0,0,3,1,20,0,0,1,0.2482,0.01648,15.374
30,400,0,0,2,1,30,0,0,1,0.2482,0.01085,16.741
31,400,0,0,0,0,23,0,0,1,0.2481,0.00314,20.15
32,400,0,0,0,0,28,0,0,1,0.2481,0.00276,15.849
33,400,0,0,0,0,19,0,0,1,0.248,0.00234,19.774
34,167,0,0,3,1,15,1,1,0,0.2479,0.10251,-31.204
35,400,0,0,0,0,31,0,0,1,0.2479,0.01186,-0.676
36,175,0,0,4,2,17,1,1,0,0.2478,0.09696,-28.329
37,52,0,0,4,1,8,1,1,0,0.2477,0.25116,-35.322
38,400,0,0,0,0,27,0,0,1,0.2477,0.00314,18.264
39,400,0,0,1,1,38,0,0,1,0.2476,0.00623,14.529
40,400,0,0,2,1,27,0,0,1,0.2476,0.00653,21.093
41,400,0,0,0,0,34,0,0,1,0.2475,0.00179,13.723
42,142,0,0,2,1,14,1,1,0,0.2474,0.07102,-15.828
43,400,0,0,0,0,23,0,0,1,0.2474,0.00199,19.097
44,400,0,0,0,0,33,0,0,1,0.2473,0.00187,13.438
45,400,0,0,0,0,25,0,0,1,0.2472,0.00202,17.897
46,400,0,0,0,0,30,0,0,1,0.2472,0.0023,16.583
47,400,0,0,0,0,25,0,0,1,0.2471,0.00263,18.427
48,400,0,0,0,0,34,0,0,1,0.2471,0.00226,14.486
49,400,0,0,0,0,31,0,0,1,0.247,0.00157,16.036
50,400,0,0,0,0,25,0,0,1,0.2469,0.00192,18.656
51,400,0,0,0,0,27,0,0,1,0.2469,0.00234,19.074
52,400,0,0,0,0,37,0,0,1,0.2468,0.00227,12.358
53,400,0,0,1,1,19,0,0,1,0.2467,0.01251,24.124
54,400,0,0,0,0,30,0,0,1,0.2467,0.00192,15.874
55,400,0,0,0,0,30,0,0,1,0.2466,0.0022,17.557
56,400,0,0,0,0,29,0,0,1,0.2466,0.00273,19.183
57,400,0,0,0,0,25,0,0,1,0.2465,0.0021,20.133
58,400,0,0,2,2,31,0,0,1,0.2464,0.01956,19.419
59,400,0,0,0,0,31,0,0,1,0.2464,0.00236,16.698
60,400,0,0,0,0,33,0,0,1,0.2463,0.00251,15.977
61,400,0,0,0,0,34,0,0,1,0.2462,0.00166,15.253
62,400,0,0,0,0,29,0,0,1,0.2462,0.00169,18.222
63,400,0,0,0,0,26,0,0,1,0.2461,0.00221,19.881
64,183,0,0,5,1,15,1,1,0,0.2461,0.0834,-26.618
65,231,0,0,5,1,25,1,1,0,0.246,0.05935,-32.921
66,400,0,0,0,0,35,0,0,1,0.2459,0.00247,14.618
67,400,0,0,1,1,16,0,0,1,0.2459,0.05532,63.729
68,400,0,0,0,0,36,0,0,1,0.2458,0.00247,13.373
69,400,1,1,2,2,28,0,0,1,0.2457,0.0195,30.726
70,181,0,0,4,2,18,1,1,0,0.2457,0.09168,-34.255
71,400,0,0,10,4,30,0,0,1,0.2456,0.11295,-14.001
72,400,0,0,0,0,27,0,0,1,0.2456,0.00268,19.825
73,400,0,0,1,1,29,0,0,1,0.2455,0.01175,20.319
74,400,0,0,0,0,39,0,0,1,0.2454,0.00181,14.135
75,400,0,0,0,0,29,0,0,1,0.2454,0.00221,18.843
76,400,0,0,0,0,27,0,0,1,0.2453,0.00204,17.994
77,400,0,0,1,1,27,0,0,1,0.2452,0.01171,19.413
78,400,0,0,0,0,28,0,0,1,0.2452,0.00221,18.149
79,400,1,1,3,3,29,0,0,1,0.2451,0.03144,24.243
80,400,0,0,0,0,33,0,0,1,0.2451,0.00237,15.656
81,400,0,0,0,0,20,0,0,1,0.245,0.00231,23.169
82,127,0,0,6,3,9,1,1,0,0.2449,0.2388,-44.319
83,400,0,0,2,1,39,0,0,1,0.2449,0.01298,13.296
84,400,0,0,0,0,43,0,0,1,0.2448,0.0019,11.009
85,400,0,0,0,0,20,0,0,1,0.2447,0.00289,22.261
86,400,0,0,0,0,25,0,0,1,0.2447,0.00207,20.632
87,400,0,0,0,0,29,0,0,1,0.2446,0.0018,16.552
88,400,0,0,0,0,26,0,0,1,0.2446,0.00246,20.546
89,400,0,0,0,0,25,0,0,1,0.2445,0.00234,20.775
90,400,0,0,0,0,26,0,0,1,0.2444,0.00253,18.896
91,400,0,0,0,0,32,0,0,1,0.2444,0.00247,16.855
92,400,0,0,0,0,20,0,0,1,0.2443,0.00242,23.102
93,400,1,1,4,1,17,0,0,1,0.2442,0.0533,5.654
94,400,0,0,1,1,21,0,0,1,0.2442,0.01089,22.244
95,400,0,0,0,0,35,0,0,1,0.2441,0.00166,14.247
96,400,0,0,0,0,31,0,0,1,0.2441,0.01004,18.415
97,400,0,0,0,0,33,0,0,1,0.244,0.00955,-9.515
98,400,0,0,0,0,26,0,0,1,0.2439,0.00482,20.442
99,400,0,0,0,0,35,0,0,1,0.2439,0.00418,-12.495
100,400,0,0,3,1,24,0,0,1,0.2438,0.00997,18.957
101,400,0,0,0,0,24,0,0,1,0.2437,0.00189,21.867
102,400,0,0,0,0,35,0,0,1,0.2437,0.00186,15.196
103,400,0,0,0,0,33,0,0,1,0.2436,0.00326,17.931
104,400,0,0,0,0,25,0,0,1,0.2436,0.00302,21.992
105,400,0,0,2,1,27,0,0,1,0.2435,0.00898,20.615
106,400,0,0,0,0,28,0,0,1,0.2434,0.00204,19.006
107,400,0,0,0,0,29,0,0,1,0.2434,0.00221,18.375
108,400,0,0,0,0,22,0,0,1,0.2433,0.00229,22.265
109,400,0,0,0,0,24,0,0,1,0.2432,0.00267,22.361
110,400,0,0,0,0,22,0,0,1,0.2432,0.00926,21.854
111,400,1,1,2,1,31,0,0,1,0.2431,0.01055,18.451
112,46,0,0,4,1,5,1,1,0,0.2431,0.34169,-35.465
113,400,0,0,0,0,27,0,0,1,0.243,0.00269,19.317
114,400,0,0,0,0,25,0,0,1,0.2429,0.00293,20.624
115,400,0,0,0,0,28,0,0,1,0.2429,0.00274,20.286
116,400,0,0,0,0,29,0,0,1,0.2428,0.00692,2.095
117,400,0,0,1,1,27,0,0,1,0.2427,0.01273,22.079
118,400,0,0,2,1,30,0,0,1,0.2427,0.01712,13.555
119,400,0,0,0,0,26,0,0,1,0.2426,0.00243,18.797
120,400,0,0,0,0,31,0,0,1,0.2426,0.00211,15.362
121,400,0,0,0,0,30,0,0,1,0.2425,0.00266,19.528
122,400,0,0,0,0,22,0,0,1,0.2424,0.00196,22.652
123,239,0,0,1,1,24,1,1,0,0.2424,0.07116,-22.77
124,400,0,0,0,0,15,0,0,1,0.2423,0.00185,25.213
125,400,0,0,0,0,25,0,0,1,0.2422,0.00181,20.994
126,400,0,0,0,0,24,0,0,1,0.2422,0.00175,22.346
127,400,0,0,4,1,39,0,0,1,0.2421,0.06547,-11.213
128,400,0,0,3,1,25,0,0,1,0.2421,0.01328,10.897
129,400,0,0,0,0,25,0,0,1,0.242,0.00268,20.313
130,400,0,0,3,1,30,0,0,1,0.2419,0.01047,15.516
131,400,0,0,2,1,26,0,0,1,0.2419,0.00828,18.47
132,400,0,0,0,0,25,0,0,1,0.2418,0.00263,22.128
133,400,0,0,0,0,24,0,0,1,0.2417,0.00195,20.44
134,400,1,1,2,1,18,0,0,1,0.2417,0.0104,34.233
135,7,0,0,3,1,1,1,1,0,0.2416,1.96044,-36.741
136,400,0,0,2,1,30,0,0,1,0.2416,0.00869,16.859
137,400,0,0,0,1,20,0,0,1,0.2415,0.01209,22.403
138,400,0,0,0,0,22,0,0,1,0.2414,0.00209,21.269
139,400,0,0,2,1,32,0,0,1,0.2414,0.01106,18.089
140,400,0,0,0,0,24,0,0,1,0.2413,0.00223,20.49
141,400,0,0,0,0,34,0,0,1,0.2412,0.00406,-1.853
142,400,0,0,0,0,25,0,0,1,0.2412,0.00202,22.227
143,400,0,0,0,0,29,0,0,1,0.2411,0.00218,19.434
144,400,0,0,0,0,30,0,0,1,0.2411,0.00236,18.641
145,400,0,0,0,0,20,0,0,1,0.241,0.00227,23.96
146,400,0,0,0,0,27,0,0,1,0.2409,0.00235,18.839
147,400,0,0,2,1,35,0,0,1,0.2409,0.0086,15.773
148,400,0,0,0,0,26,0,0,1,0.2408,0.00306,21.99
149,400,0,0,0,0,28,0,0,1,0.2407,0.00235,20.368
150,400,0,0,0,0,35,0,0,1,0.2407,0.00238,13.234
151,400,0,0,0,0,28,0,0,1,0.2406,0.00562,19.189
152,400,0,0,0,0,29,0,0,1,0.2406,0.00239,18.968
153,400,0,0,2,1,40,0,0,1,0.2405,0.01171,15.493
154,400,0,0,0,1,29,0,0,1,0.2404,0.01418,19.175
155,400,0,0,0,0,24,0,0,1,0.2404,0.00338,23.2
156,400,0,0,0,0,23,0,0,1,0.2403,0.00196,21.691
157,400,1,1,2,1,27,0,0,1,0.2402,0.00905,28.356
158,307,0,0,16,4,33,1,1,0,0.2402,0.18748,-73.079
159,400,0,0,0,0,31,0,0,1,0.2401,0.00165,18.253
