round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,10,0,0,2,1,4,1,1,0,1.0,1.65325,-16.218
2,9,0,0,3,1,7,1,1,0,0.9997,1.50556,-13.25
3,17,0,0,5,2,7,1,1,0,0.9994,0.88565,-11.653
4,6,0,0,0,1,3,1,1,0,0.9991,2.2425,-13.455
5,14,0,0,3,1,6,1,1,0,0.9988,0.95313,-13.363
6,6,0,0,4,1,1,1,1,0,0.9985,2.30179,-14.225
7,8,0,0,3,1,5,1,1,0,0.9982,1.91478,-16.127
8,19,0,0,4,1,7,1,1,0,0.9979,0.89784,-18.32
9,9,0,0,3,1,4,1,1,0,0.9976,1.73686,-15.606
10,6,0,0,1,1,1,1,1,0,0.9973,1.68228,-10.038
11,10,0,0,2,1,4,1,1,0,0.997,1.40365,-14.26
12,6,0,0,2,1,1,1,1,0,0.9967,1.71391,-10.03
13,16,0,0,1,1,5,1,1,0,0.9964,1.12294,-19.149
14,9,0,0,3,1,4,1,1,0,0.9961,1.55893,-13.841
15,7,0,0,3,1,3,1,1,0,0.9958,1.57113,-13.349
16,11,0,0,3,1,9,1,1,0,0.9955,1.3662,-16.197
17,8,0,0,3,1,5,1,1,0,0.9952,1.33835,-11.338
18,7,0,0,2,1,5,1,1,0,0.995,2.02147,-14.474
19,7,0,0,3,1,2,1,1,0,0.9947,1.12299,-9.958
20,6,0,0,2,1,2,1,1,0,0.9944,2.29275,-13.783
21,7,0,0,3,1,5,1,1,0,0.9941,2.34373,-18.029
22,11,0,0,3,1,7,1,1,0,0.9938,1.41171,-15.606
23,10,0,0,2,1,3,1,1,0,0.9935,1.39107,-14.817
24,9,0,0,2,1,4,1,1,0,0.9932,1.3935,-15.429
25,15,0,0,3,1,5,1,1,0,0.9929,0.91819,-15.417
26,8,0,0,1,1,5,1,1,0,0.9926,1.49092,-12.4
27,20,0,0,2,1,9,1,1,0,0.9923,0.70592,-14.771
28,11,0,0,3,1,6,1,1,0,0.992,1.17794,-14.005
29,30,0,0,3,1,12,1,1,0,0.9917,0.46074,-17.321
30,17,0,0,1,1,6,1,1,0,0.9914,0.59083,-15.655
31,7,0,0,2,1,3,1,1,0,0.9911,1.26514,-11.158
32,13,0,0,3,1,4,1,1,0,0.9908,0.76964,-10.832
33,12,0,0,2,1,9,1,1,0,0.9905,1.23299,-19.5
34,14,0,0,3,1,6,1,1,0,0.9902,0.90211,-17.503
35,11,0,0,3,1,6,1,1,0,0.9899,0.65879,-12.227
36,7,0,0,4,1,3,1,1,0,0.9896,1.89823,-14.821
37,43,1,1,3,2,16,1,1,0,0.9893,0.45992,-21.391
38,28,0,0,2,2,9,1,1,0,0.989,0.57759,-15.114
39,8,0,0,1,1,4,1,1,0,0.9887,1.59838,-12.786
40,44,0,0,2,1,15,1,1,0,0.9884,0.28049,-21.89
41,9,0,0,3,1,3,1,1,0,0.9881,1.18175,-11.212
42,22,0,0,5,2,8,1,1,0,0.9878,0.8332,-15.645
43,17,0,0,3,1,8,1,1,0,0.9875,0.71066,-13.901
44,12,0,0,2,1,4,1,1,0,0.9872,0.99327,-16.757
45,8,0,0,4,1,3,1,1,0,0.9869,1.7113,-15.2
46,13,0,0,5,2,6,1,1,0,0.9866,0.99963,-10.757
47,10,0,0,4,1,4,1,1,0,0.9863,1.60242,-17.594
48,16,0,0,4,2,8,1,1,0,0.986,0.91841,-18.275
49,21,0,0,4,2,8,1,1,0,0.9858,0.69699,-12.682
50,28,0,0,3,1,9,1,1,0,0.9855,0.57702,-21.094
51,8,0,0,6,1,2,1,1,0,0.9852,1.33498,-10.357
52,9,0,0,3,1,5,1,1,0,0.9849,1.16319,-17.522
53,22,0,0,6,2,9,1,1,0,0.9846,0.76566,-15.634
54,10,0,0,3,1,2,1,1,0,0.9843,1.00856,-9.566
55,15,0,0,6,2,6,1,1,0,0.984,0.80287,-10.076
56,22,0,0,5,2,9,1,1,0,0.9837,0.62202,-18.495
57,5,0,0,3,1,3,1,1,0,0.9834,3.13887,-17.467
58,31,1,1,5,3,12,1,1,0,0.9831,0.64246,-16.005
59,5,0,0,3,1,1,1,1,0,0.9828,2.73822,-13.676
60,8,0,0,2,1,2,1,1,0,0.9825,1.3325,-12.439
61,6,0,0,2,1,3,1,1,0,0.9822,2.73971,-17.371
62,7,0,0,3,1,5,1,1,0,0.9819,1.78056,-17.051
63,8,0,0,3,1,4,1,1,0,0.9816,1.26172,-16.266
64,34,2,2,4,2,12,1,1,0,0.9813,0.70464,-17.772
65,11,0,0,3,1,2,1,1,0,0.981,1.15649,-12.429
66,48,3,3,7,3,20,1,1,0,0.9807,0.53834,-16.205
67,7,0,0,3,1,2,1,1,0,0.9804,1.75044,-14.342
68,35,0,0,7,3,13,1,1,0,0.9801,0.53751,-17.522
69,31,0,0,8,3,11,1,1,0,0.9798,0.52943,-15.211
70,17,0,0,5,2,9,1,1,0,0.9795,1.18409,-18.804
71,9,0,0,3,1,3,1,1,0,0.9792,0.95002,-16.374
72,32,0,0,7,2,8,1,1,0,0.9789,0.47891,-18.056
73,9,0,0,2,1,4,1,1,0,0.9786,1.2424,-12.011
74,6,0,0,3,1,2,1,1,0,0.9783,2.2491,-17.257
75,5,0,0,3,1,3,1,1,0,0.978,3.26258,-16.828
76,16,0,0,6,2,6,1,1,0,0.9777,0.82735,-16.537
77,20,1,1,4,2,7,1,1,0,0.9774,0.96728,-16.379
78,14,0,0,3,1,7,1,1,0,0.9771,0.66845,-19.359
79,51,0,0,4,4,23,1,1,0,0.9768,0.51034,-23.089
80,14,0,0,5,2,6,1,1,0,0.9765,0.81528,-9.448
81,21,0,0,7,3,8,1,1,0,0.9762,0.84766,-12.485
82,13,0,0,3,1,3,1,1,0,0.976,1.02384,-17.793
83,6,0,0,2,1,3,1,1,0,0.9757,1.925,-11.465
84,19,0,0,3,2,10,1,1,0,0.9754,0.84479,-15.311
85,16,0,0,3,2,5,1,1,0,0.9751,1.1068,-15.97
86,28,1,1,5,3,11,1,1,0,0.9748,0.6812,-14.645
87,6,0,0,3,1,2,1,1,0,0.9745,2.0513,-16.612
88,6,0,0,2,1,2,1,1,0,0.9742,1.98128,-12.099
89,29,0,0,4,1,11,1,1,0,0.9739,0.47865,-22.772
90,47,1,1,5,2,13,1,1,0,0.9736,0.42284,-19.033
91,14,1,1,5,2,6,1,1,0,0.9733,0.91777,-15.223
92,51,0,0,5,3,22,1,1,0,0.973,0.40072,-23.457
93,24,0,0,4,2,7,1,1,0,0.9727,0.69152,-17.839
94,35,1,1,6,2,10,1,1,0,0.9724,0.47354,-17.831
95,28,0,0,4,2,12,1,1,0,0.9721,0.56199,-17.766
96,30,0,0,3,1,12,1,1,0,0.9718,0.42532,-18.345
97,9,0,0,3,1,4,1,1,0,0.9715,0.87409,-12.108
98,40,0,0,8,3,14,1,1,0,0.9712,0.46046,-18.553
99,14,0,0,4,1,2,1,1,0,0.9709,0.85059,-13.636
100,28,0,0,6,2,12,1,1,0,0.9706,0.43673,-13.761
101,17,0,0,6,2,7,1,1,0,0.9703,0.9017,-14.208
102,7,0,0,2,1,3,1,1,0,0.97,2.1846,-17.057
103,29,0,0,5,3,13,1,1,0,0.9697,0.7024,-18.836
104,13,0,0,6,1,6,1,1,0,0.9694,0.71184,-10.945
105,17,1,1,7,2,6,1,1,0,0.9691,0.81308,-12.261
106,24,1,1,6,3,10,1,1,0,0.9688,0.69117,-16.829
107,11,0,0,3,1,6,1,1,0,0.9685,0.90591,-19.69
108,33,0,0,3,2,12,1,1,0,0.9682,0.63185,-23.075
109,12,0,0,1,1,7,1,1,0,0.9679,0.90009,-11.666
110,33,0,0,8,2,16,1,1,0,0.9676,0.5451,-18.56
111,17,0,0,2,1,5,1,1,0,0.9673,0.77243,-13.676
112,24,1,1,2,2,9,1,1,0,0.967,0.76948,-18.856
113,56,1,1,11,3,16,1,1,0,0.9667,0.3064,-24.679
114,32,1,1,3,2,7,1,1,0,0.9665,0.56274,-14.847
115,19,0,0,3,1,7,1,1,0,0.9662,0.53167,-14.054
116,41,2,2,5,2,10,1,1,0,0.9659,0.45051,-13.227
117,12,0,0,5,1,3,1,1,0,0.9656,0.94952,-14.854
118,16,0,0,5,1,7,1,1,0,0.9653,0.77003,-19.823
119,29,0,0,3,1,11,1,1,0,0.965,0.41506,-23.252
120,22,0,0,3,2,7,1,1,0,0.9647,0.8341,-17.95
121,32,0,0,5,3,9,1,1,0,0.9644,0.67422,-24.406
122,7,0,0,5,1,3,1,1,0,0.9641,2.0271,-13.977
123,80,1,1,5,4,15,1,1,0,0.9638,0.29107,-21.903
124,13,0,0,4,1,7,1,1,0,0.9635,0.90283,-20.587
125,7,0,0,3,1,5,1,1,0,0.9632,1.57927,-19.812
126,21,0,0,3,2,8,1,1,0,0.9629,0.85202,-22.54
127,9,0,0,2,1,3,1,1,0,0.9626,1.19001,-10.573
128,16,0,0,4,2,8,1,1,0,0.9623,1.20417,-19.722
129,54,0,0,9,3,22,1,1,0,0.962,0.37228,-23.364
130,32,0,0,6,2,9,1,1,0,0.9617,0.45936,-15.85
131,33,0,0,3,2,13,1,1,0,0.9614,0.58015,-26.835
132,23,0,0,7,2,6,1,1,0,0.9611,0.78769,-20.719
133,5,0,0,3,1,2,1,1,0,0.9608,2.00641,-12.22
134,36,0,0,3,1,8,1,1,0,0.9605,0.42586,-17.709
135,16,0,0,8,2,8,1,1,0,0.9602,0.87111,-21.404
136,23,0,0,4,2,7,1,1,0,0.9599,0.68955,-18.169
137,7,0,0,2,1,1,1,1,0,0.9596,1.19993,-11.378
138,15,0,0,4,2,5,1,1,0,0.9593,1.01864,-17.692
139,22,1,1,4,2,7,1,1,0,0.959,0.67564,-11.094
140,20,1,1,4,2,5,1,1,0,0.9587,0.86916,-18.566
141,23,2,2,8,3,4,1,1,0,0.9584,0.71839,-11.277
142,61,0,0,3,1,17,1,1,0,0.9581,0.15173,-27.875
143,33,0,0,7,2,12,1,1,0,0.9578,0.54738,-23.495
144,24,1,1,4,2,8,1,1,0,0.9575,0.8117,-25.315
145,10,0,0,2,1,3,1,1,0,0.9573,1.38308,-15.771
146,18,0,0,6,2,7,1,1,0,0.957,0.79568,-19.605
147,18,0,0,6,2,7,1,1,0,0.9567,0.82494,-15.953
148,36,0,0,9,3,9,1,1,0,0.9564,0.58072,-12.355
149,42,0,0,4,3,14,1,1,0,0.9561,0.49975,-11.572
150,17,0,0,3,2,7,1,1,0,0.9558,1.05835,-18.979
