round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,6,0,0,1,1,4,1,1,0,1.0,2.14167,-12.55
2,5,0,0,3,1,1,1,1,0,0.9997,2.867,-14.335
3,6,0,0,2,1,1,1,1,0,0.9994,1.8575,-10.845
4,13,0,0,2,1,6,1,1,0,0.9991,1.02844,-13.375
5,9,0,0,3,1,2,1,1,0,0.9988,1.096,-9.72
6,23,0,0,2,1,12,1,1,0,0.9985,0.78865,-18.457
7,7,0,0,2,1,3,1,1,0,0.9982,2.23519,-15.863
8,23,0,0,2,1,12,1,1,0,0.9979,0.76229,-18.643
9,7,0,0,3,1,2,1,1,0,0.9976,2.03153,-14.845
10,21,0,0,4,2,12,1,1,0,0.9973,0.86411,-15.675
11,8,0,0,3,1,5,1,1,0,0.997,1.89329,-16.238
12,8,0,0,4,1,4,1,1,0,0.9967,1.60638,-15.674
13,27,0,0,3,1,14,1,1,0,0.9964,0.47317,-17.209
14,13,0,0,2,1,6,1,1,0,0.9961,0.88937,-12.599
15,7,0,0,4,1,4,1,1,0,0.9958,2.02062,-15.927
16,17,0,0,3,1,8,1,1,0,0.9955,0.65343,-13.079
17,6,0,0,4,1,2,1,1,0,0.9952,2.17965,-14.749
18,10,0,0,3,1,2,1,1,0,0.995,1.1794,-14.995
19,9,0,0,3,1,5,1,1,0,0.9947,1.4493,-13.869
20,8,0,0,2,1,3,1,1,0,0.9944,1.34122,-10.982
21,5,0,0,1,1,2,1,1,0,0.9941,2.42,-11.47
22,23,0,0,2,1,14,1,1,0,0.9938,0.58449,-16.254
23,9,0,0,3,1,0,1,1,0,0.9935,1.30127,-9.361
24,14,0,0,2,1,7,1,1,0,0.9932,1.05559,-16.377
25,9,0,0,1,1,5,1,1,0,0.9929,1.33746,-12.624
26,5,0,0,3,1,2,1,1,0,0.9926,2.47157,-14.835
27,7,0,0,2,1,3,1,1,0,0.9923,1.95492,-13.557
28,12,0,0,4,1,5,1,1,0,0.992,0.9577,-16.333
29,9,0,0,4,1,4,1,1,0,0.9917,1.20106,-15.504
30,5,0,0,3,1,4,1,1,0,0.9914,2.85291,-15.535
31,7,0,0,3,1,4,1,1,0,0.9911,2.02279,-15.707
32,5,0,0,4,1,2,1,1,0,0.9908,2.63009,-15.028
33,7,0,0,3,1,4,1,1,0,0.9905,1.61453,-13.643
34,12,0,0,2,1,4,1,1,0,0.9902,0.95069,-11.614
35,5,0,0,0,1,2,1,1,0,0.9899,2.997,-15.255
36,27,0,0,4,2,9,1,1,0,0.9896,0.60541,-14.724
37,14,0,0,2,1,3,1,1,0,0.9893,0.90012,-16.66
38,5,0,0,4,1,1,1,1,0,0.989,2.77219,-17.667
39,8,0,0,3,1,4,1,1,0,0.9887,1.94542,-17.933
40,10,0,0,2,1,5,1,1,0,0.9884,1.20769,-13.464
41,5,0,0,4,1,2,1,1,0,0.9881,2.34503,-14.52
42,8,0,0,2,1,4,1,1,0,0.9878,1.05811,-10.846
43,7,0,0,3,1,1,1,1,0,0.9875,1.71086,-17.362
44,14,0,0,3,1,10,1,1,0,0.9872,0.90297,-16.008
45,7,0,0,3,1,2,1,1,0,0.9869,1.31126,-9.401
46,18,0,0,3,1,9,1,1,0,0.9866,0.70544,-15.196
47,6,0,0,4,1,2,1,1,0,0.9863,2.00376,-18.203
48,11,0,0,2,1,6,1,1,0,0.986,1.24917,-16.658
49,19,0,0,3,1,10,1,1,0,0.9858,0.39165,-15.195
50,7,0,0,3,1,4,1,1,0,0.9855,2.32768,-20.368
51,8,0,0,4,1,5,1,1,0,0.9852,1.64006,-18.938
52,6,0,0,4,1,5,1,1,0,0.9849,1.62959,-16.369
53,8,0,0,1,1,3,1,1,0,0.9846,1.85849,-15.6
54,16,0,0,4,1,7,1,1,0,0.9843,0.85453,-21.221
55,14,0,0,1,1,9,1,1,0,0.984,0.93571,-16.678
56,11,0,0,5,1,5,1,1,0,0.9837,1.02337,-13.228
57,12,0,0,4,1,6,1,1,0,0.9834,1.12807,-17.94
58,6,0,0,1,1,2,1,1,0,0.9831,2.07685,-14.96
59,7,0,0,4,1,4,1,1,0,0.9828,2.1914,-19.982
60,7,0,0,3,1,3,1,1,0,0.9825,1.62058,-13.835
61,5,0,0,3,1,1,1,1,0,0.9822,1.96132,-17.426
62,5,0,0,4,1,2,1,1,0,0.9819,2.25383,-16.935
63,8,0,0,4,1,4,1,1,0,0.9816,1.61048,-19.108
