round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,16,0,0,2,1,4,1,1,0,0.25,1.52547,-36.492
2,29,0,0,2,1,4,1,1,0,0.2499,0.07807,-59.336
3,12,0,0,2,1,1,1,1,0,0.2499,0.3766,-13.606
4,21,0,0,3,1,2,1,1,0,0.2498,0.07334,-56.049
5,9,0,0,2,1,1,1,1,0,0.2497,0.09701,-53.5
6,51,0,0,4,3,7,1,1,0,0.2497,0.47361,-27.499
7,26,0,0,3,1,4,1,1,0,0.2496,0.12247,-58.233
8,53,0,0,3,1,6,1,1,0,0.2496,0.03629,-65.627
9,22,1,1,4,2,3,1,1,0,0.2495,0.31217,-8.68
10,18,0,0,4,1,2,1,1,0,0.2494,0.0244,-55.392
11,43,0,0,4,1,6,1,1,0,0.2494,0.04707,-62.648
12,38,0,0,3,1,3,1,1,0,0.2493,0.08648,-24.781
13,5,0,0,2,1,1,1,1,0,0.2492,0.10083,-52.463
14,39,0,0,2,1,3,1,1,0,0.2492,0.57734,-41.98
15,13,0,0,3,1,3,1,1,0,0.2491,0.13715,-13.944
16,53,0,0,2,1,5,1,1,0,0.2491,0.04365,-65.705
17,19,0,0,2,1,2,1,1,0,0.249,0.05718,-56.187
18,23,0,0,2,1,6,1,1,0,0.2489,0.81533,-50.476
19,163,0,0,4,1,16,1,1,0,0.2489,0.02192,-94.382
20,71,1,1,7,3,11,1,1,0,0.2488,0.33291,-17.428
21,6,0,0,2,1,1,1,1,0,0.2487,0.50022,-9.939
22,72,2,2,5,3,8,1,1,0,0.2487,0.29021,-17.928
23,46,2,2,8,3,5,1,1,0,0.2486,0.454,-13.03
24,24,0,0,3,1,2,1,1,0,0.2486,0.11086,-11.905
25,25,0,0,2,1,6,1,1,0,0.2485,0.06958,-23.89
26,17,0,0,3,1,2,1,1,0,0.2484,0.03408,-54.895
27,71,0,0,7,2,13,1,1,0,0.2484,0.1431,-34.854
28,5,0,0,4,1,1,1,1,0,0.2483,0.24048,-52.852
29,35,0,0,8,3,5,1,1,0,0.2482,0.50277,-20.996
30,15,0,0,3,1,0,1,1,0,0.2482,0.05199,-54.706
31,127,0,0,12,5,10,1,1,0,0.2481,0.32357,-38.334
32,154,0,0,12,6,20,1,1,0,0.2481,0.21992,-67.799
33,72,0,0,4,1,16,1,1,0,0.248,0.02403,-73.229
34,87,0,0,3,1,6,1,1,0,0.2479,0.01657,-70.959
35,49,0,0,4,1,8,1,1,0,0.2479,0.02387,-64.424
36,135,0,0,6,3,17,1,1,0,0.2478,0.19301,-42.715
37,29,0,0,3,1,2,1,1,0,0.2477,0.03294,-56.999
38,21,0,0,4,1,2,1,1,0,0.2477,0.03848,-55.514
39,21,0,0,5,2,4,1,1,0,0.2476,0.82033,-21.026
40,33,0,0,3,1,2,1,1,0,0.2476,0.10869,-18.542
41,52,0,0,6,2,9,1,1,0,0.2475,0.4105,-26.962
42,37,0,0,9,2,2,1,1,0,0.2474,0.16554,-21.465
43,109,0,0,5,3,15,1,1,0,0.2474,0.18241,-46.774
44,58,0,0,4,1,3,1,1,0,0.2473,0.02441,-62.1
45,63,0,0,3,2,5,1,1,0,0.2472,0.13389,-21.992
46,16,0,0,3,1,4,1,1,0,0.2472,0.05986,-55.75
47,6,0,0,3,1,1,1,1,0,0.2471,0.07355,-52.359
48,7,0,0,2,1,2,1,1,0,0.2471,0.30286,-16.285
49,14,0,0,2,1,1,1,1,0,0.247,0.13094,-17.356
50,24,0,0,3,1,4,1,1,0,0.2469,0.01754,-56.955
51,77,0,0,5,2,11,1,1,0,0.2469,0.46464,-41.534
52,11,0,0,3,1,3,1,1,0,0.2468,0.0852,-54.007
53,27,0,0,2,2,4,1,1,0,0.2467,0.7904,-11.064
54,38,1,1,4,2,6,1,1,0,0.2467,0.34209,-11.194
55,8,0,0,4,1,0,1,1,0,0.2466,0.03709,-52.138
56,85,0,0,4,1,6,1,1,0,0.2466,0.02302,-67.334
57,22,0,0,3,1,4,1,1,0,0.2465,0.09376,-17.256
58,22,0,0,4,1,3,1,1,0,0.2464,0.01568,-55.729
59,171,0,0,3,2,24,1,1,0,0.2464,0.12471,-59.033
60,24,0,0,5,2,3,1,1,0,0.2463,0.28344,-45.485
61,67,0,0,8,3,7,1,1,0,0.2462,0.32199,-25.766
62,45,0,0,5,2,4,1,1,0,0.2462,0.22385,-19.136
63,71,0,0,0,0,7,0,1,0,0.2461,0.1108,-20.081
64,14,1,1,3,2,3,1,1,0,0.2461,0.39754,-10.15
65,46,0,0,4,2,5,1,1,0,0.246,0.13876,-22.335
66,28,0,0,3,1,1,1,1,0,0.2459,0.02164,-55.594
67,74,1,1,11,3,7,1,1,0,0.2459,0.26873,-25.307
68,13,0,0,4,1,2,1,1,0,0.2458,0.05526,-53.802
69,8,0,0,3,1,1,1,1,0,0.2457,0.18477,-11.706
70,69,0,0,6,2,5,1,1,0,0.2457,0.17004,-23.976
71,80,0,0,2,3,7,0,1,0,0.2456,0.27493,-18.996
72,16,0,0,3,1,1,1,1,0,0.2456,0.02449,-53.956
73,12,0,0,6,1,2,1,1,0,0.2455,0.27712,-11.056
74,5,0,0,3,1,1,1,1,0,0.2454,0.01976,-52.244
75,30,0,0,2,1,2,1,1,0,0.2454,0.15326,-14.48
76,13,0,0,5,1,2,1,1,0,0.2453,0.87471,-19.369
77,55,0,0,7,2,5,1,1,0,0.2452,0.39035,-33.084
78,10,0,0,3,1,2,1,1,0,0.2452,0.29784,-13.817
79,27,0,0,3,1,4,1,1,0,0.2451,0.01904,-57.421
80,8,0,0,4,1,0,1,1,0,0.2451,0.23471,-10.115
81,42,0,0,3,1,1,1,1,0,0.245,0.02621,-57.485
82,66,0,0,6,3,10,1,1,0,0.2449,0.31883,-26.752
83,43,0,0,2,1,7,1,1,0,0.2449,0.02635,-60.709
84,79,0,0,3,2,14,0,1,0,0.2448,0.26613,-25.1
85,151,0,0,3,4,22,1,1,0,0.2447,0.09745,-36.588
86,59,0,0,2,1,6,1,1,0,0.2447,0.25014,-34.785
87,21,0,0,4,1,2,1,1,0,0.2446,0.03641,-54.663
88,79,0,0,3,2,9,1,1,0,0.2446,0.11834,-52.799
89,27,0,0,3,1,4,1,1,0,0.2445,0.06869,-17.153
90,257,0,0,7,6,27,1,1,0,0.2444,0.23059,-52.445
91,125,1,1,4,2,11,0,1,0,0.2444,0.1268,-26.856
92,74,0,0,2,1,7,1,1,0,0.2443,0.22982,-54.855
93,107,2,2,7,5,11,1,1,0,0.2442,0.34757,-36.431
94,138,0,0,10,3,20,1,1,0,0.2442,0.08577,-36.88
95,14,0,0,3,1,3,1,1,0,0.2441,0.11125,-14.824
96,93,1,1,5,3,9,1,1,0,0.2441,0.17803,-27.965
97,53,0,0,5,2,8,1,1,0,0.244,0.51097,-38.35
98,246,0,0,4,3,23,1,1,0,0.2439,0.10782,-46.436
99,75,0,0,9,4,5,1,1,0,0.2439,0.23864,-18.349
100,5,0,0,3,1,2,1,1,0,0.2438,0.05291,-52.763
101,51,0,0,5,2,5,1,1,0,0.2437,0.19333,-21.412
102,7,0,0,3,1,4,1,1,0,0.2437,0.57706,-53.679
103,27,0,0,5,2,0,1,1,0,0.2436,0.17253,-16.674
104,106,0,0,5,2,16,1,1,0,0.2436,0.07997,-49.191
105,28,0,0,4,2,2,1,1,0,0.2435,0.72341,-16.49
106,9,0,0,2,1,3,1,1,0,0.2434,2.44766,-39.053
107,6,0,0,3,1,1,1,1,0,0.2434,0.28478,-11.853
108,19,0,0,3,1,3,1,1,0,0.2433,0.16056,-18.52
109,242,1,1,19,7,29,1,1,0,0.2432,0.18069,-41.096
110,37,0,0,3,1,3,1,1,0,0.2432,0.07904,-20.464
111,17,0,0,4,1,2,1,1,0,0.2431,0.06558,-53.845
