round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,38,1,1,13,5,5,1,1,0,0.25,0.56904,60.866
2,74,1,1,17,8,5,1,1,0,0.2499,0.39918,141.491
3,13,0,0,4,2,1,1,1,0,0.2499,1.08251,11.133
4,20,0,0,5,3,2,1,1,0,0.2498,0.86011,22.48
5,45,1,1,12,5,3,1,1,0,0.2497,0.52505,88.619
6,62,7,2,15,5,6,1,1,0,0.2497,0.30846,129.513
7,182,1,1,25,16,12,1,1,0,0.2496,0.34376,352.06
8,55,1,1,14,6,3,1,1,0,0.2496,0.36697,101.695
9,21,1,1,7,2,3,1,1,0,0.2495,0.75529,29.383
10,27,1,1,9,3,2,1,1,0,0.2494,0.56789,44.37
11,91,1,1,24,10,4,1,1,0,0.2494,0.31013,156.385
12,155,1,1,26,15,8,0,1,0,0.2493,0.30156,308.688
13,87,1,1,14,7,2,0,1,0,0.2492,0.35453,176.955
14,149,3,3,17,10,12,0,1,0,0.2492,0.3562,300.545
15,59,2,2,17,6,6,1,1,0,0.2491,0.4594,92.514
16,44,0,0,11,4,11,1,1,0,0.2491,0.53645,68.625
17,163,1,1,27,13,12,0,1,0,0.249,0.34923,304.33
18,72,2,2,24,6,2,1,1,0,0.2489,0.35517,147.585
19,44,1,1,2,3,2,0,1,0,0.2489,0.49488,71.403
20,185,3,3,26,14,11,1,1,0,0.2488,0.33756,315.133
21,264,1,1,24,22,15,1,1,0,0.2487,0.29133,484.717
22,36,1,1,15,3,1,0,1,0,0.2487,0.40884,64.099
23,117,2,2,15,8,10,0,1,0,0.2486,0.37259,225.638
24,187,3,3,19,19,3,0,1,0,0.2486,0.31621,365.754
25,196,4,4,26,17,14,0,1,0,0.2485,0.27736,360.144
26,116,1,1,19,12,10,0,1,0,0.2484,0.36876,214.312
27,149,3,3,25,15,6,0,1,0,0.2484,0.34136,286.372
28,49,0,0,16,6,6,0,1,0,0.2483,0.44049,80.306
29,25,1,1,8,3,4,1,1,0,0.2482,0.74627,30.268
30,84,2,2,18,7,4,0,1,0,0.2482,0.3753,155.345
31,71,1,1,20,8,3,0,1,0,0.2481,0.31643,139.709
32,99,4,4,21,9,6,1,1,0,0.2481,0.34466,191.856
33,44,0,0,13,5,9,0,1,0,0.248,0.6172,49.17
34,111,3,3,17,7,6,1,1,0,0.2479,0.30056,238.416
35,65,1,1,20,7,6,1,1,0,0.2479,0.65582,103.768
36,84,3,3,21,7,4,1,1,0,0.2478,0.35614,170.513
37,102,7,2,19,7,13,0,1,0,0.2477,0.45677,195.534
38,243,2,2,32,25,13,1,1,0,0.2477,0.40914,458.99
39,102,7,2,20,10,10,1,1,0,0.2476,0.48582,203.111
40,90,0,0,17,8,5,0,1,0,0.2476,0.44286,167.576
41,91,0,0,13,6,7,0,1,0,0.2475,0.37879,179.816
42,61,1,1,9,6,4,0,1,0,0.2474,0.35119,123.627
43,40,1,1,16,5,3,1,1,0,0.2474,0.59178,62.624
44,45,2,2,14,4,5,0,1,0,0.2473,0.4681,76.707
45,75,2,2,22,8,4,0,1,0,0.2472,0.37677,136.203
46,84,2,2,15,7,7,0,1,0,0.2472,0.32408,164.721
47,132,0,0,18,8,12,0,1,0,0.2471,0.37382,259.877
48,166,4,4,11,8,10,1,1,0,0.2471,0.35582,317.555
49,27,0,0,9,4,5,1,1,0,0.247,0.81128,24.112
50,77,3,3,17,5,6,0,1,0,0.2469,0.33421,164.85
51,67,0,0,15,7,3,1,1,0,0.2469,0.45702,120.24
52,383,0,0,22,32,21,1,1,0,0.2468,0.3143,651.676
53,78,0,0,7,5,3,1,1,0,0.2467,0.36229,94.987
54,75,3,3,16,8,4,1,1,0,0.2467,0.44286,142.472
55,231,6,1,14,17,21,0,1,0,0.2466,0.34695,375.298
56,254,1,1,19,19,16,0,1,0,0.2466,0.35961,505.994
57,293,2,2,22,29,17,0,1,0,0.2465,0.29963,542.841
58,64,1,1,9,6,5,1,1,0,0.2464,0.37674,78.731
59,131,1,1,15,9,11,1,1,0,0.2464,0.31839,227.367
60,98,1,1,6,9,8,1,1,0,0.2463,0.49656,170.377
61,316,4,4,20,29,24,1,1,0,0.2462,0.29408,555.533
62,105,1,1,15,10,12,0,1,0,0.2462,0.32678,170.54
63,80,1,1,15,9,4,0,1,0,0.2461,0.30511,143.417
64,118,1,1,15,9,5,0,1,0,0.2461,0.25785,234.854
65,77,2,2,8,7,5,0,1,0,0.246,0.42744,136.657
66,161,1,1,14,17,14,0,1,0,0.2459,0.25332,261.045
67,63,2,2,14,7,3,0,1,0,0.2459,0.39748,124.497
68,397,8,3,23,37,37,1,1,0,0.2458,0.39707,671.127
69,36,0,0,9,5,3,1,1,0,0.2457,0.54786,40.5
70,31,0,0,11,4,1,1,1,0,0.2457,0.55989,34.282
71,192,0,0,14,19,14,0,1,0,0.2456,0.31508,327.797
72,149,0,0,15,12,12,0,1,0,0.2456,0.35745,246.21
73,60,2,2,17,6,4,0,1,0,0.2455,0.41534,104.662
74,70,0,0,13,8,3,0,1,0,0.2454,0.36387,114.768
75,159,1,1,10,13,14,1,1,0,0.2454,0.42625,275.371
76,309,8,3,33,24,13,0,0,1,0.2453,0.26735,591.897
77,62,0,0,11,8,5,1,1,0,0.2452,0.39822,80.224
78,42,0,0,7,6,3,1,1,0,0.2452,0.7786,32.302
79,61,1,1,14,7,5,1,1,0,0.2451,0.51367,92.665
80,137,0,0,12,11,11,1,1,0,0.2451,0.3538,225.927
81,125,0,0,10,12,11,1,1,0,0.245,0.44284,194.306
82,245,2,2,22,22,13,1,1,0,0.2449,0.3156,409.192
83,128,2,2,13,9,5,1,1,0,0.2449,0.35802,259.474
84,197,2,2,11,13,13,1,1,0,0.2448,0.31266,341.007
85,70,1,1,15,7,8,1,1,0,0.2447,0.35462,80.113
86,54,1,1,10,6,7,0,1,0,0.2447,0.44497,79.94
87,55,0,0,12,6,7,1,1,0,0.2446,0.4491,61.697
88,56,7,2,7,5,5,1,1,0,0.2446,0.36643,86.659
89,29,2,2,8,3,3,1,1,0,0.2445,0.63453,23.458
90,117,2,2,17,7,8,0,1,0,0.2444,0.28496,227.661
91,68,0,0,10,8,4,1,1,0,0.2444,0.43664,95.996
92,34,0,0,5,4,7,1,1,0,0.2443,0.63949,26.929
93,71,1,1,18,7,4,1,1,0,0.2442,0.41702,111.208
94,209,1,1,17,14,18,0,1,0,0.2442,0.3384,333.045
95,22,0,0,5,3,2,1,1,0,0.2441,0.94808,17.032
96,32,0,0,9,4,7,1,1,0,0.2441,0.60399,28.244
97,56,0,0,9,5,2,1,1,0,0.244,0.48183,95.68
98,304,1,1,20,26,18,1,1,0,0.2439,0.30529,464.603
99,73,0,0,14,8,9,1,1,0,0.2439,0.46462,121.86
100,295,2,2,24,30,19,1,1,0,0.2438,0.33378,479.191
101,71,0,0,16,9,4,1,1,0,0.2437,0.49451,77.628
102,174,5,0,25,15,16,0,1,0,0.2437,0.37688,302.026
103,96,1,1,18,9,10,0,1,0,0.2436,0.41402,143.849
104,61,1,1,11,7,5,1,1,0,0.2436,0.49466,76.741
105,323,1,1,14,28,23,0,1,0,0.2435,0.30766,432.964
106,43,2,2,8,4,5,1,1,0,0.2434,0.51526,68.99
107,282,1,1,30,26,23,1,1,0,0.2434,0.34867,425.591
108,66,1,1,14,7,3,1,1,0,0.2433,0.51787,92.126
109,62,1,1,16,6,7,0,1,0,0.2432,0.39086,101.914
110,81,1,1,8,8,9,0,1,0,0.2432,0.36373,140.703
111,218,1,1,22,22,17,1,1,0,0.2431,0.42026,371.358
112,66,1,1,19,8,7,1,1,0,0.2431,0.45569,91.661
113,54,0,0,7,6,2,1,1,0,0.243,0.42255,69.607
114,45,0,0,10,5,3,0,1,0,0.2429,0.38779,63.591
115,161,2,2,15,13,16,1,1,0,0.2429,0.39397,272.549
116,125,6,1,15,14,14,1,1,0,0.2428,0.43472,194.423
117,92,0,0,16,9,7,0,1,0,0.2427,0.43162,156.768
118,34,0,0,9,5,2,1,1,0,0.2427,0.60223,29.273
119,342,1,1,23,30,22,1,1,0,0.2426,0.276,521.554
120,119,3,3,17,11,12,1,1,0,0.2426,0.5509,167.951
121,27,0,0,9,3,3,1,1,0,0.2425,0.70801,15.291
122,71,1,1,15,7,14,1,1,0,0.2424,0.4873,101.594
123,50,0,0,4,3,6,1,1,0,0.2424,0.48161,61.963
124,148,1,1,15,16,15,1,1,0,0.2423,0.47099,225.385
125,184,2,2,20,17,15,1,1,0,0.2422,0.3356,297.14
126,20,0,0,8,3,2,1,1,0,0.2422,1.16403,-1.189
127,159,1,1,25,15,14,0,1,0,0.2421,0.34195,266.781
128,154,0,0,28,16,14,1,1,0,0.2421,0.40101,259.216
129,67,1,1,11,6,6,0,1,0,0.242,0.33218,107.857
130,36,0,0,5,3,6,1,1,0,0.2419,0.49953,1.855
131,29,0,0,11,4,5,1,1,0,0.2419,0.7582,9.497
132,60,1,1,6,6,6,1,1,0,0.2418,0.42019,94.632
133,197,1,1,19,17,27,0,1,0,0.2417,0.33247,347.778
134,140,8,3,19,15,14,0,1,0,0.2417,0.39924,228.284
135,108,0,0,18,13,14,1,1,0,0.2416,0.65671,149.573
136,103,1,1,18,10,7,1,1,0,0.2416,0.38581,161.169
137,43,0,0,5,3,4,0,1,0,0.2415,0.37423,52.174
138,62,1,1,21,8,2,0,1,0,0.2414,0.35411,94.404
139,63,1,1,13,8,6,0,1,0,0.2414,0.34399,101.465
140,347,5,5,59,32,13,0,0,1,0.2413,0.18413,727.988
141,36,0,0,8,5,3,1,1,0,0.2412,1.07291,22.128
142,52,6,1,8,7,1,1,1,0,0.2412,0.57809,58.412
143,23,0,0,3,3,3,1,1,0,0.2411,1.12275,13.839
144,54,0,0,17,7,5,1,1,0,0.2411,0.52333,58.977
145,115,4,4,30,12,9,1,1,0,0.241,0.39785,189.494
146,115,0,0,20,12,10,0,1,0,0.2409,0.34106,157.981
147,36,0,0,7,5,4,1,1,0,0.2409,0.57343,7.527
148,82,0,0,10,6,16,1,1,0,0.2408,0.36007,85.157
149,139,1,1,16,14,19,1,1,0,0.2407,0.4371,210.713
150,23,0,0,6,3,3,0,1,0,0.2407,0.9478,9.861
151,67,1,1,19,8,6,0,1,0,0.2406,0.37179,98.993
152,87,3,3,12,10,5,0,1,0,0.2406,0.36008,165.772
153,159,0,0,23,16,9,0,1,0,0.2405,0.29114,245.941
154,22,0,0,6,3,4,1,1,0,0.2404,1.19731,2.582
155,98,1,1,20,10,8,0,1,0,0.2404,0.42644,136.933
156,5,0,0,0,1,1,1,1,0,0.2403,4.54833,-20.676
157,110,0,0,23,9,6,0,1,0,0.2402,0.2334,141.893
158,324,5,5,53,32,10,0,0,1,0.2402,0.18786,644.708
159,62,0,0,14,8,5,1,1,0,0.2401,0.44597,79.813
160,76,1,1,12,8,8,1,1,0,0.2401,0.59818,98.936
161,127,1,1,10,11,5,0,1,0,0.24,0.29664,216.986
162,184,0,0,17,18,23,1,1,0,0.2399,0.3312,221.331
163,74,0,0,13,8,3,1,1,0,0.2399,0.43733,100.888
164,151,0,0,18,14,10,1,1,0,0.2398,0.38405,220.804
165,46,0,0,11,5,4,1,1,0,0.2397,0.48388,52.775
166,179,0,0,21,16,20,0,1,0,0.2397,0.43409,222.065
167,105,1,1,10,10,8,1,1,0,0.2396,0.41465,186.009
168,158,6,1,14,17,15,1,1,0,0.2396,0.42733,242.965
169,53,1,1,14,7,4,0,1,0,0.2395,0.54949,81.87
170,109,2,2,22,10,9,1,1,0,0.2394,0.37504,180.913
171,121,0,0,11,12,11,1,1,0,0.2394,0.43859,212.232
172,114,1,1,26,13,12,0,1,0,0.2393,0.36528,175.221
173,54,1,1,5,4,2,1,1,0,0.2392,0.39893,82.791
174,36,0,0,9,5,3,1,1,0,0.2392,0.52652,37.928
175,14,0,0,3,2,2,1,1,0,0.2391,1.07892,-6.155
176,159,0,0,16,17,11,0,1,0,0.2391,0.33891,276.914
177,70,0,0,3,4,1,1,1,0,0.239,0.35631,107.511
178,109,0,0,21,11,10,1,1,0,0.2389,0.60035,155.67
179,159,1,1,25,17,12,1,1,0,0.2389,0.39609,230.838
180,263,1,1,25,23,22,1,1,0,0.2388,0.334,352.832
181,81,2,2,20,9,9,1,1,0,0.2387,0.46505,109.201
182,72,2,2,12,9,8,1,1,0,0.2387,0.40366,125.758
183,110,0,0,24,13,8,0,1,0,0.2386,0.36822,130.784
184,71,2,2,16,8,3,1,1,0,0.2386,0.4716,103.835
185,237,3,3,42,22,11,0,0,1,0.2385,0.27765,428.356
186,94,1,1,19,13,5,0,1,0,0.2384,0.39617,155.746
187,73,2,2,16,9,8,1,1,0,0.2384,0.46452,111.444
188,121,0,0,18,14,4,1,1,0,0.2383,0.46936,179.838
189,43,0,0,10,4,3,1,1,0,0.2382,0.49335,53.244
190,400,1,1,22,35,17,0,0,1,0.2382,0.24114,597.915
191,52,1,1,14,5,2,1,1,0,0.2381,0.52776,34.611
192,201,1,1,26,17,13,1,1,0,0.2381,0.30626,300.6
193,72,1,1,17,8,10,1,1,0,0.238,0.66417,96.255
194,71,1,1,22,6,5,0,1,0,0.2379,0.41566,103.185
195,88,2,2,20,8,8,1,1,0,0.2379,0.45194,105.52
196,78,0,0,21,8,7,1,1,0,0.2378,0.49907,110.069
197,73,2,2,11,6,9,0,1,0,0.2377,0.31403,104.736
198,13,0,0,4,2,2,1,1,0,0.2377,1.61379,-14.085
199,51,0,0,13,6,5,1,1,0,0.2376,0.58568,80.91
200,76,0,0,12,7,7,0,1,0,0.2376,0.37005,96.892
201,22,0,0,12,3,3,1,1,0,0.2375,0.76263,5.004
202,216,2,2,33,20,15,0,1,0,0.2374,0.34326,349.293
203,74,0,0,14,6,8,0,1,0,0.2374,0.40153,102.368
204,161,5,0,17,15,10,1,1,0,0.2373,0.4011,235.59
205,143,0,0,24,14,6,0,1,0,0.2372,0.32581,230.097
206,104,6,1,22,11,4,1,1,0,0.2372,0.40934,205.909
207,59,3,3,16,7,3,0,1,0,0.2371,0.45945,75.513
208,77,1,1,27,8,5,0,1,0,0.2371,0.44624,127.165
209,92,0,0,16,9,8,1,1,0,0.237,0.43485,120.93
210,103,1,1,17,10,7,0,1,0,0.2369,0.5692,157.598
211,247,2,2,32,21,23,1,1,0,0.2369,0.36459,289.794
212,71,1,1,13,6,5,1,1,0,0.2368,0.34192,98.666
213,99,5,0,21,9,2,1,1,0,0.2367,0.40938,133.065
214,112,1,1,12,12,8,1,1,0,0.2367,0.51245,132.502
215,43,0,0,8,4,3,0,1,0,0.2366,0.47798,49.013
216,71,1,1,14,7,6,1,1,0,0.2366,0.42363,83.103
217,37,1,1,6,4,5,1,1,0,0.2365,0.58442,40.894
218,20,1,1,6,3,5,1,1,0,0.2364,1.24914,0.213
219,136,3,3,14,13,7,1,1,0,0.2364,0.41281,179.113
220,27,0,0,6,3,4,1,1,0,0.2363,0.71607,9.381
221,149,0,0,18,15,11,0,1,0,0.2362,0.42591,237.21
222,348,4,4,27,33,35,1,1,0,0.2362,0.37336,478.67
223,204,2,2,16,21,16,0,1,0,0.2361,0.42208,288.022
224,43,0,0,11,6,3,0,1,0,0.2361,0.44668,54.081
225,169,9,4,30,19,11,1,1,0,0.236,0.5313,303.581
226,52,0,0,17,7,2,1,1,0,0.2359,0.45422,63.14
227,121,0,0,22,14,8,0,1,0,0.2359,0.29898,170.369
228,85,0,0,15,8,9,1,1,0,0.2358,0.46261,97.955
229,67,1,1,15,7,5,0,1,0,0.2358,0.41536,87.344
230,87,0,0,15,7,5,0,1,0,0.2357,0.33727,142.548
231,56,0,0,9,6,8,1,1,0,0.2356,0.55335,65.909
232,118,7,2,21,13,10,1,1,0,0.2356,0.27245,194.009
233,67,0,0,15,8,5,1,1,0,0.2355,0.35436,83.171
234,99,1,1,18,10,11,1,1,0,0.2354,0.40679,139.643
235,89,0,0,18,9,8,1,1,0,0.2354,0.45476,118.997
236,226,4,4,33,20,17,0,1,0,0.2353,0.38967,354.049
237,74,0,0,13,9,1,0,1,0,0.2353,0.41784,110.672
238,221,2,2,30,20,25,0,1,0,0.2352,0.35782,340.47
239,128,0,0,18,11,12,0,1,0,0.2351,0.34574,160.09
240,130,1,1,19,14,13,0,1,0,0.2351,0.42428,172.703
241,287,1,1,28,26,17,1,1,0,0.235,0.27179,357.954
242,85,1,1,12,5,11,0,1,0,0.2349,0.42693,104.771
243,65,1,1,12,7,3,1,1,0,0.2349,0.51926,103.507
244,75,1,1,10,7,10,1,1,0,0.2348,0.50034,99.649
245,72,1,1,12,7,6,1,1,0,0.2348,0.40488,96.894
246,235,1,1,27,25,19,0,1,0,0.2347,0.32823,321.366
247,83,1,1,9,7,6,0,1,0,0.2346,0.379,112.798
248,110,2,2,10,8,10,0,1,0,0.2346,0.28142,155.045
249,86,0,0,14,7,9,1,1,0,0.2345,0.46698,106.262
250,150,0,0,18,19,12,1,1,0,0.2344,0.31259,172.922
251,308,1,1,38,29,9,0,0,1,0.2344,0.22585,531.405
252,152,1,1,19,13,10,1,1,0,0.2343,0.46816,175.521
253,192,0,0,26,16,24,1,1,0,0.2343,0.40841,221.888
254,157,0,0,19,14,7,0,1,0,0.2342,0.37935,247.871
255,193,1,1,25,16,17,1,1,0,0.2341,0.32618,243.3
256,82,0,0,20,7,7,1,1,0,0.2341,0.47491,93.135
257,83,1,1,22,9,5,0,1,0,0.234,0.36467,120.323
258,23,0,0,12,3,2,1,1,0,0.2339,0.76907,19.082
259,248,1,1,32,21,26,1,1,0,0.2339,0.39038,278.647
260,230,2,2,26,22,15,1,1,0,0.2338,0.30997,316.894
261,137,1,1,17,7,10,0,1,0,0.2338,0.33838,166.418
262,45,0,0,7,4,6,1,1,0,0.2337,0.54629,45.339
263,80,1,1,20,7,4,1,1,0,0.2336,0.3953,87.424
264,85,1,1,21,8,8,0,1,0,0.2336,0.35863,111.736
265,67,0,0,14,7,4,0,1,0,0.2335,0.3761,94.142
266,63,0,0,10,5,4,1,1,0,0.2334,0.49086,66.344
267,190,2,2,20,17,14,1,1,0,0.2334,0.39828,247.184
268,82,0,0,13,8,9,1,1,0,0.2333,0.50064,115.612
269,94,1,1,16,9,10,0,1,0,0.2333,0.37958,127.103
270,119,0,0,13,12,7,1,1,0,0.2332,0.37813,130.266
271,115,0,0,18,8,12,1,1,0,0.2331,0.37704,137.19
272,58,0,0,10,5,6,1,1,0,0.2331,0.41569,45.405
273,169,1,1,12,10,18,0,1,0,0.233,0.28311,226.187
274,76,2,2,19,9,5,1,1,0,0.2329,0.43398,100.381
275,283,2,2,12,22,23,0,1,0,0.2329,0.28155,395.093
276,36,0,0,12,5,2,1,1,0,0.2328,0.58831,3.324
277,66,0,0,6,4,4,1,1,0,0.2328,0.39066,86.162
278,51,1,1,6,4,4,0,1,0,0.2327,0.27439,60.742
279,184,0,0,11,19,15,1,1,0,0.2326,0.3306,224.749
280,53,1,1,10,5,3,1,1,0,0.2326,0.41923,62.703
281,121,6,1,18,12,6,0,1,0,0.2325,0.41257,173.237
282,72,0,0,11,8,10,1,1,0,0.2324,0.4661,53.189
283,62,0,0,19,7,8,1,1,0,0.2324,0.6438,77.49
284,80,0,0,12,7,4,0,1,0,0.2323,0.27451,136.391
285,86,1,1,14,8,7,0,1,0,0.2323,0.34597,105.302
286,86,0,0,8,5,6,0,1,0,0.2322,0.28487,69.759
287,400,1,1,26,41,27,0,0,1,0.2321,0.34842,507.29
288,165,1,1,22,19,17,0,1,0,0.2321,0.38897,193.829
289,153,1,1,25,16,13,0,1,0,0.232,0.34391,210.842
290,125,2,2,19,13,10,0,1,0,0.2319,0.32653,182.927
291,81,1,1,18,8,14,1,1,0,0.2319,0.44678,119.613
292,121,3,3,19,12,11,0,1,0,0.2318,0.3868,157.948
293,67,2,2,21,8,6,1,1,0,0.2318,0.43719,95.035
294,115,6,1,13,11,10,1,1,0,0.2317,0.40901,157.193
295,283,2,2,35,28,22,1,1,0,0.2316,0.33028,318.128
296,44,0,0,11,6,2,1,1,0,0.2316,0.46236,18.468
297,208,1,1,23,16,16,1,1,0,0.2315,0.28612,323.823
298,136,2,2,21,15,9,1,1,0,0.2314,0.3431,174.031
299,80,1,1,9,8,9,0,1,0,0.2314,0.59673,95.174
300,92,0,0,22,11,8,0,1,0,0.2313,0.38651,129.534
