round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,9,0,0,2,1,5,1,1,0,1.0,1.41667,-12.55
2,10,0,0,5,1,6,1,1,0,0.9997,1.427,-13.785
3,12,0,0,1,1,7,1,1,0,0.9994,1.17744,-14.372
4,8,0,0,4,1,5,1,1,0,0.9991,1.98845,-16.006
5,14,0,0,2,1,7,1,1,0,0.9988,0.89254,-13.245
6,7,0,0,2,1,4,1,1,0,0.9985,1.6175,-11.123
7,7,0,0,2,1,5,1,1,0,0.9982,1.8242,-13.13
8,9,0,0,1,1,3,1,1,0,0.9979,1.46179,-12.979
9,11,0,0,2,1,6,1,1,0,0.9976,1.1964,-14.046
10,6,0,0,3,1,2,1,1,0,0.9973,2.47373,-15.306
11,19,0,0,5,1,9,1,1,0,0.997,0.76875,-17.141
12,9,0,0,3,1,2,1,1,0,0.9967,1.1618,-10.196
13,9,0,0,2,1,6,1,1,0,0.9964,1.42917,-16.398
14,8,0,0,3,1,5,1,1,0,0.9961,1.52587,-15.113
15,19,0,0,4,2,7,1,1,0,0.9958,0.75662,-16.768
16,6,0,0,3,1,4,1,1,0,0.9955,2.49648,-16.109
17,8,0,0,6,1,2,1,1,0,0.9952,1.36596,-11.373
18,14,0,0,3,1,5,1,1,0,0.995,0.90484,-16.313
19,7,0,0,3,1,4,1,1,0,0.9947,1.71099,-15.398
20,7,0,0,3,1,4,1,1,0,0.9944,1.63106,-14.613
21,16,0,0,4,1,5,1,1,0,0.9941,0.80615,-12.87
22,9,0,0,3,1,2,1,1,0,0.9938,1.36215,-10.778
23,15,0,0,5,2,8,1,1,0,0.9935,0.85482,-12.675
24,9,0,0,2,1,1,1,1,0,0.9932,1.1697,-15.714
25,7,0,0,6,1,3,1,1,0,0.9929,1.56008,-14.596
26,5,0,0,2,1,1,1,1,0,0.9926,2.71891,-14.787
27,23,0,0,5,2,9,1,1,0,0.9923,0.62473,-22.164
28,6,0,0,1,1,3,1,1,0,0.992,2.15418,-16.8
29,13,0,0,6,1,5,1,1,0,0.9917,0.83048,-12.978
30,8,0,0,3,1,2,1,1,0,0.9914,1.84362,-16.825
31,14,0,0,1,1,5,1,1,0,0.9911,0.96605,-15.472
32,10,0,0,2,1,4,1,1,0,0.9908,1.27331,-18.409
33,20,1,1,2,2,7,1,1,0,0.9905,0.90135,-15.685
34,6,0,0,4,1,3,1,1,0,0.9902,2.38049,-15.898
35,14,0,0,2,1,8,1,1,0,0.9899,0.92587,-17.468
