round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,19,0,0,3,1,5,1,1,0,1.0,0.91411,-16.868
2,5,0,0,3,1,3,1,1,0,0.9997,2.45,-12.235
3,19,0,0,3,1,7,1,1,0,0.9994,0.70162,-13.287
4,15,0,0,2,1,8,1,1,0,0.9991,0.86649,-14.011
5,6,0,0,4,1,3,1,1,0,0.9988,2.4642,-15.206
6,13,0,0,4,1,8,1,1,0,0.9985,1.32818,-19.436
7,8,0,0,3,1,5,1,1,0,0.9982,1.54242,-13.004
8,7,0,0,2,1,4,1,1,0,0.9979,1.7991,-12.3
9,15,0,0,3,1,4,1,1,0,0.9976,0.75423,-11.242
10,6,0,0,2,1,2,1,1,0,0.9973,1.76059,-10.466
11,25,0,0,5,2,11,1,1,0,0.997,0.70838,-15.984
12,8,0,0,2,1,6,1,1,0,0.9967,1.60425,-13.792
13,5,0,0,3,1,3,1,1,0,0.9964,2.85241,-15.404
14,17,0,0,6,2,9,1,1,0,0.9961,0.94249,-13.729
15,23,0,0,5,2,10,1,1,0,0.9958,0.78905,-17.711
16,8,0,0,3,1,3,1,1,0,0.9955,1.42854,-11.792
17,18,0,0,6,2,9,1,1,0,0.9952,0.79628,-13.053
18,26,0,0,6,2,13,1,1,0,0.995,0.66113,-15.282
19,8,0,0,3,1,3,1,1,0,0.9947,1.50651,-10.066
20,11,0,0,5,1,5,1,1,0,0.9944,1.11524,-15.083
21,10,0,0,2,1,4,1,1,0,0.9941,1.20911,-14.646
22,17,0,0,6,2,7,1,1,0,0.9938,0.83681,-10.781
23,7,0,0,2,1,3,1,1,0,0.9935,1.69851,-11.461
24,11,0,0,3,1,7,1,1,0,0.9932,1.1762,-18.686
25,18,0,0,4,2,7,1,1,0,0.9929,0.87821,-12.111
26,10,0,0,3,1,7,1,1,0,0.9926,1.29561,-17.627
27,16,0,0,6,2,6,1,1,0,0.9923,0.81306,-14.237
28,25,0,0,3,2,11,1,1,0,0.992,0.6434,-16.651
29,33,0,0,1,1,12,1,1,0,0.9917,0.49127,-17.758
30,17,0,0,3,1,7,1,1,0,0.9914,0.77166,-19.592
31,14,0,0,4,2,8,1,1,0,0.9911,0.97935,-16.69
32,9,0,0,5,1,4,1,1,0,0.9908,1.37127,-14.667
33,11,0,0,5,1,3,1,1,0,0.9905,1.07564,-13.271
34,20,0,0,5,2,7,1,1,0,0.9902,0.7383,-14.221
35,16,0,0,5,2,5,1,1,0,0.9899,0.80843,-10.26
36,18,0,0,2,2,5,1,1,0,0.9896,0.79771,-12.596
37,13,0,0,3,1,6,1,1,0,0.9893,1.26065,-21.307
38,35,1,1,7,3,10,1,1,0,0.989,0.60305,-16.749
39,12,0,0,3,1,5,1,1,0,0.9887,1.06729,-19.49
40,30,0,0,2,2,14,1,1,0,0.9884,0.65667,-27.793
41,9,0,0,2,1,5,1,1,0,0.9881,1.61866,-15.993
42,29,1,1,8,3,10,1,1,0,0.9878,0.66494,-16.72
43,20,0,0,4,2,7,1,1,0,0.9875,0.80397,-18.649
44,26,1,1,5,3,8,1,1,0,0.9872,0.72937,-12.283
45,21,0,0,3,1,5,1,1,0,0.9869,0.66269,-16.25
46,44,1,1,5,2,15,1,1,0,0.9866,0.52719,-21.073
47,26,2,2,3,2,10,1,1,0,0.9863,0.67769,-14.698
48,26,0,0,7,2,5,1,1,0,0.986,0.57414,-16.675
49,27,0,0,9,3,11,1,1,0,0.9858,0.70498,-15.174
50,40,1,1,9,4,11,1,1,0,0.9855,0.4865,-15.237
51,44,1,1,6,4,15,1,1,0,0.9852,0.4452,-21.01
52,48,0,0,5,2,15,1,1,0,0.9849,0.44287,-27.09
53,19,0,0,3,2,5,1,1,0,0.9846,0.82367,-19.745
54,18,0,0,6,2,11,1,1,0,0.9843,0.76322,-22.1
55,5,0,0,1,1,1,1,1,0,0.984,2.4303,-14.078
56,17,0,0,3,2,6,1,1,0,0.9837,0.95654,-17.268
57,18,1,1,4,2,7,1,1,0,0.9834,0.75926,-14.765
58,49,0,0,7,3,15,1,1,0,0.9831,0.43995,-31.61
59,10,0,0,4,1,4,1,1,0,0.9828,1.30008,-12.957
60,11,0,0,3,1,5,1,1,0,0.9825,1.45157,-21.716
61,19,0,0,5,2,5,1,1,0,0.9822,0.79015,-17.492
62,27,0,0,4,2,10,1,1,0,0.9819,0.72684,-27.073
63,34,0,0,5,4,10,1,1,0,0.9816,0.59467,-18.358
64,10,0,0,2,1,3,1,1,0,0.9813,1.22521,-13.016
65,20,0,0,5,2,6,1,1,0,0.981,0.78859,-18.748
66,17,0,0,4,2,9,1,1,0,0.9807,1.07632,-21.988
67,30,1,1,4,3,8,1,1,0,0.9804,0.56503,-13.623
68,44,2,2,6,4,13,1,1,0,0.9801,0.51241,-14.704
69,25,0,0,6,3,7,1,1,0,0.9798,0.67523,-17.69
70,31,1,1,7,3,9,1,1,0,0.9795,0.59078,-21.88
71,16,0,0,4,2,5,1,1,0,0.9792,0.99157,-14.485
72,29,0,0,4,2,12,1,1,0,0.9789,0.68917,-30.729
73,9,0,0,1,1,5,1,1,0,0.9786,1.4829,-21.002
74,18,0,0,3,2,5,1,1,0,0.9783,0.86166,-21.727
75,26,0,0,8,3,11,1,1,0,0.978,0.71852,-15.509
