round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,400,9,9,130,43,15,0,0,1,0.25,0.18286,1466.04
2,400,9,9,109,41,14,0,0,1,0.2499,0.21345,1427.078
3,400,7,7,106,42,13,0,0,1,0.2499,0.19125,1424.381
4,400,9,9,116,42,12,0,0,1,0.2498,0.1968,1434.968
5,400,8,8,104,42,10,0,0,1,0.2497,0.20781,1413.862
6,400,8,8,112,43,18,0,0,1,0.2497,0.1987,1408.018
7,400,9,9,118,41,14,0,0,1,0.2496,0.23564,1414.44
8,400,7,7,98,39,17,0,0,1,0.2496,0.22237,1393.311
9,400,8,8,97,40,15,0,0,1,0.2495,0.19088,1363.195
10,400,9,9,119,43,8,0,0,1,0.2494,0.22882,1389.1
11,400,9,9,102,39,12,0,0,1,0.2494,0.20918,1369.278
12,400,9,9,116,39,20,0,0,1,0.2493,0.23382,1376.715
13,400,9,9,99,41,9,0,0,1,0.2492,0.20918,1370.435
14,400,9,9,122,38,14,0,0,1,0.2492,0.21143,1379.49
15,400,8,8,109,42,12,0,0,1,0.2491,0.2046,1367.992
16,400,9,9,106,41,18,0,0,1,0.2491,0.20997,1348.417
17,400,8,8,113,44,22,0,0,1,0.249,0.21878,1339.909
18,400,7,7,108,44,12,0,0,1,0.2489,0.2196,1330.544
19,400,7,7,103,42,18,0,0,1,0.2489,0.213,1318.146
20,400,8,8,112,39,10,0,0,1,0.2488,0.18094,1341.048
21,400,7,7,110,42,14,0,0,1,0.2487,0.19812,1318.258
22,340,7,7,102,35,17,1,1,0,0.2487,0.24475,1088.768
23,400,7,7,104,38,9,0,0,1,0.2486,0.19436,1286.812
24,400,9,9,99,40,15,0,0,1,0.2486,0.21011,1313.212
25,400,8,8,110,43,15,0,0,1,0.2485,0.23501,1319.001
26,400,7,7,94,38,15,0,0,1,0.2484,0.21501,1279.914
27,400,7,7,123,40,11,0,0,1,0.2484,0.22524,1322.648
28,400,9,9,118,42,16,0,0,1,0.2483,0.20142,1288.146
29,400,7,7,93,38,21,0,0,1,0.2482,0.24737,1250.773
30,400,8,8,86,39,11,0,0,1,0.2482,0.20455,1273.973
31,400,9,9,115,41,10,0,0,1,0.2481,0.20585,1276.49
32,400,9,9,112,40,22,0,0,1,0.2481,0.22628,1265.751
33,400,8,8,108,39,23,0,0,1,0.248,0.22767,1274.486
34,400,7,7,103,40,15,0,0,1,0.2479,0.22004,1271.47
35,400,7,7,92,41,14,0,0,1,0.2479,0.20321,1246.054
36,400,6,6,94,43,18,0,0,1,0.2478,0.20005,1235.313
37,400,4,4,95,43,13,0,0,1,0.2477,0.1835,1211.256
38,400,7,7,114,44,17,0,0,1,0.2477,0.21438,1252.416
39,400,6,6,97,42,14,0,0,1,0.2476,0.19652,1236.233
40,400,9,9,86,38,10,0,0,1,0.2476,0.22009,1280.297
41,400,7,7,119,39,13,0,0,1,0.2475,0.20319,1257.322
42,400,7,7,112,41,17,0,0,1,0.2474,0.21277,1217.476
43,400,8,8,116,39,14,0,0,1,0.2474,0.19646,1248.381
44,400,5,5,108,40,20,0,0,1,0.2473,0.20025,1198.978
45,400,8,8,107,42,13,0,0,1,0.2472,0.19913,1197.371
46,400,8,8,95,46,17,0,0,1,0.2472,0.24195,1211.08
47,400,6,6,89,44,8,0,0,1,0.2471,0.20662,1189.656
48,400,6,6,113,41,13,0,0,1,0.2471,0.21351,1217.998
49,241,5,5,85,25,18,1,1,0,0.247,0.30601,711.896
50,400,6,6,99,39,11,0,0,1,0.2469,0.20767,1194.748
51,400,8,8,105,40,14,0,0,1,0.2469,0.19128,1200.75
52,400,7,7,97,43,23,0,0,1,0.2468,0.2202,1212.718
53,400,8,8,116,41,13,0,0,1,0.2467,0.20176,1204.938
54,400,9,9,95,39,15,0,0,1,0.2467,0.23137,1186.029
55,120,4,4,38,12,7,1,1,0,0.2466,0.37753,341.154
56,400,6,6,98,39,18,0,0,1,0.2466,0.19865,1147.076
57,400,5,5,89,42,14,0,0,1,0.2465,0.20957,1150.987
58,400,5,5,97,36,18,0,0,1,0.2464,0.20784,1135.237
59,400,8,8,116,40,13,0,0,1,0.2464,0.21561,1187.233
60,400,8,8,113,44,18,0,0,1,0.2463,0.21964,1180.682
61,400,6,6,104,39,16,0,0,1,0.2462,0.19433,1165.897
62,400,8,8,107,40,19,0,0,1,0.2462,0.19089,1162.3
63,400,9,9,100,40,23,0,0,1,0.2461,0.23358,1182.61
64,400,8,8,115,41,13,0,0,1,0.2461,0.19956,1176.614
65,400,8,8,98,42,23,0,0,1,0.246,0.22946,1138.495
66,400,8,8,106,42,13,0,0,1,0.2459,0.21506,1152.759
67,400,9,9,103,41,17,0,0,1,0.2459,0.21972,1154.79
68,400,7,7,113,43,16,0,0,1,0.2458,0.22522,1148.72
69,318,7,7,83,33,12,1,1,0,0.2457,0.2886,891.373
70,400,7,7,94,40,13,0,0,1,0.2457,0.20927,1143.055
71,400,7,7,104,41,11,0,0,1,0.2456,0.21561,1129.637
72,65,2,2,27,8,0,1,1,0,0.2456,0.42833,154.816
73,400,6,6,91,43,20,0,0,1,0.2455,0.24095,1156.572
74,400,7,7,104,40,15,0,0,1,0.2454,0.22325,1145.968
75,380,8,8,92,36,13,1,1,0,0.2454,0.24563,1055.684
76,400,7,7,104,40,8,0,0,1,0.2453,0.19141,1118.588
77,400,8,8,106,41,15,0,0,1,0.2452,0.22574,1149.972
78,400,9,9,116,45,10,0,0,1,0.2452,0.24919,1132.451
79,400,9,9,112,39,18,0,0,1,0.2451,0.21336,1128.024
80,400,7,7,92,39,10,0,0,1,0.2451,0.23659,1129.47
81,400,9,9,105,38,24,0,0,1,0.245,0.22587,1115.692
82,400,8,8,115,43,12,0,0,1,0.2449,0.23231,1136.915
83,400,5,5,114,44,19,0,0,1,0.2449,0.24381,1128.335
84,22,0,0,6,3,0,1,1,0,0.2448,0.88782,23.043
85,400,7,7,101,39,17,0,0,1,0.2447,0.2232,1114.027
86,400,7,7,96,40,22,0,0,1,0.2447,0.22597,1124.283
87,400,9,9,102,41,20,0,0,1,0.2446,0.22952,1118.588
88,400,8,8,120,42,10,0,0,1,0.2446,0.23965,1130.187
89,400,8,8,104,42,21,0,0,1,0.2445,0.20424,1109.871
90,400,7,7,114,40,12,0,0,1,0.2444,0.23522,1111.903
91,400,9,9,112,41,18,0,0,1,0.2444,0.21054,1100.413
92,400,8,8,102,42,10,0,0,1,0.2443,0.20142,1112.833
93,400,8,8,105,41,13,0,0,1,0.2442,0.22407,1106.303
94,400,8,8,114,40,9,0,0,1,0.2442,0.21623,1119.572
95,400,8,8,116,38,21,0,0,1,0.2441,0.21797,1063.775
96,400,8,8,116,38,13,0,0,1,0.2441,0.19941,1088.175
97,400,8,8,100,40,24,0,0,1,0.244,0.21482,1088.636
98,400,7,7,92,38,14,0,0,1,0.2439,0.2241,1076.971
99,169,4,4,48,18,8,1,1,0,0.2439,0.27775,426.903
100,400,8,8,91,38,16,0,0,1,0.2438,0.20475,1088.563
101,400,8,8,102,39,21,0,0,1,0.2437,0.23403,1109.746
102,400,7,7,117,40,14,0,0,1,0.2437,0.2166,1089.708
103,400,8,8,106,40,12,0,0,1,0.2436,0.21201,1118.158
104,400,9,9,110,40,14,0,0,1,0.2436,0.22032,1105.831
105,400,9,9,108,41,20,0,0,1,0.2435,0.24598,1098.182
106,400,8,8,102,40,19,0,0,1,0.2434,0.23546,1097.235
107,71,3,3,18,6,6,1,1,0,0.2434,0.485,171.58
108,400,8,8,98,42,21,0,0,1,0.2433,0.23223,1067.421
109,400,6,6,75,43,24,0,0,1,0.2432,0.24619,1045.012
110,400,7,7,89,36,23,0,0,1,0.2432,0.2194,1052.81
111,107,1,1,31,13,5,1,1,0,0.2431,0.35249,247.609
112,400,5,5,103,41,18,0,0,1,0.2431,0.20399,1036.179
113,400,8,8,111,40,19,0,0,1,0.243,0.26969,1090.707
114,400,6,6,93,45,16,0,0,1,0.2429,0.21252,1065.871
115,400,9,9,113,40,12,0,0,1,0.2429,0.2226,1096.998
116,400,4,4,66,40,20,0,0,1,0.2428,0.23982,1020.866
117,400,7,7,96,37,13,0,0,1,0.2427,0.22159,1026.673
118,400,6,6,95,44,19,0,0,1,0.2427,0.22743,1033.772
119,400,8,8,98,41,13,0,0,1,0.2426,0.22852,1020.254
120,400,9,9,106,41,15,0,0,1,0.2426,0.20665,1053.559
121,400,8,8,93,38,11,0,0,1,0.2425,0.21797,1024.473
122,400,9,9,107,39,15,0,0,1,0.2424,0.24426,1066.739
123,400,8,8,106,40,12,0,0,1,0.2424,0.20561,1033.962
124,400,7,7,105,41,14,0,0,1,0.2423,0.19642,1034.44
125,400,7,7,98,43,20,0,0,1,0.2422,0.24284,1028.422
126,400,9,9,116,39,17,0,0,1,0.2422,0.19375,1047.691
127,400,7,7,104,39,16,0,0,1,0.2421,0.22358,1057.418
128,400,8,8,117,44,12,0,0,1,0.2421,0.21714,1055.619
129,400,6,6,113,45,11,0,0,1,0.242,0.21863,1047.017
130,59,3,3,23,6,1,1,1,0,0.2419,0.39897,126.32
131,387,9,9,120,40,17,0,0,1,0.2419,0.2246,1009.453
132,400,8,8,109,40,22,0,0,1,0.2418,0.21187,1032.582
133,400,9,9,120,39,17,0,0,1,0.2417,0.19249,1053.681
134,400,8,8,109,39,17,0,0,1,0.2417,0.21445,1050.552
135,400,6,6,119,40,14,0,0,1,0.2416,0.22394,1010.478
136,400,9,9,108,40,15,0,0,1,0.2416,0.21757,1079.643
137,400,9,9,118,41,17,0,0,1,0.2415,0.21096,1037.436
138,400,9,9,104,40,16,0,0,1,0.2414,0.22831,1072.525
139,400,8,8,119,42,16,0,0,1,0.2414,0.20453,1023.895
140,400,9,9,110,41,19,0,0,1,0.2413,0.24123,1047.415
141,400,8,8,101,40,11,0,0,1,0.2412,0.21092,1034.951
142,400,6,6,91,46,18,0,0,1,0.2412,0.22832,1034.836
143,400,9,9,114,44,12,0,0,1,0.2411,0.22083,1044.104
144,400,9,9,106,42,13,0,0,1,0.2411,0.22319,1081.064
145,400,9,9,109,40,21,0,0,1,0.241,0.23973,1041.332
146,400,9,9,105,38,17,0,0,1,0.2409,0.2225,1041.899
147,400,8,8,108,40,14,0,0,1,0.2409,0.21481,1019.301
148,400,8,8,93,43,11,0,0,1,0.2408,0.2241,1037.634
149,400,7,7,92,39,12,0,0,1,0.2407,0.20649,1036.152
150,400,9,9,110,40,15,0,0,1,0.2407,0.21396,1024.836
151,400,8,8,102,37,18,0,0,1,0.2406,0.22721,1008.861
152,400,7,7,100,37,11,0,0,1,0.2406,0.20364,974.786
153,400,9,9,96,39,15,0,0,1,0.2405,0.2552,1069.012
154,400,6,6,106,45,21,0,0,1,0.2404,0.22534,987.258
155,400,8,8,97,37,8,0,0,1,0.2404,0.21106,1004.111
156,400,7,7,118,40,13,0,0,1,0.2403,0.2217,1010.442
157,400,6,6,97,43,11,0,0,1,0.2402,0.21709,1003.803
158,400,6,6,77,34,12,0,0,1,0.2402,0.22244,962.964
159,400,7,7,89,39,11,0,0,1,0.2401,0.22906,970.896
160,400,5,5,86,37,8,0,0,1,0.2401,0.21885,976.816
161,400,9,9,99,42,15,0,0,1,0.24,0.22208,1038.559
162,400,8,8,96,41,15,0,0,1,0.2399,0.22809,980.39
163,400,5,5,80,42,11,0,0,1,0.2399,0.19124,957.405
164,400,7,7,97,43,12,0,0,1,0.2398,0.20887,992.606
165,400,7,7,106,42,13,0,0,1,0.2397,0.20094,990.002
166,400,8,8,97,33,16,0,0,1,0.2397,0.23606,995.223
167,400,7,7,110,47,8,0,0,1,0.2396,0.24638,995.521
168,400,7,7,110,40,6,0,0,1,0.2396,0.23878,1006.777
169,318,7,7,72,30,11,1,1,0,0.2395,0.24877,757.43
170,400,6,6,100,39,11,0,0,1,0.2394,0.20875,944.644
171,400,9,9,110,38,19,0,0,1,0.2394,0.21048,987.889
172,400,7,7,96,37,11,0,0,1,0.2393,0.20602,949.467
173,400,7,7,90,34,10,0,0,1,0.2392,0.21045,935.888
174,400,7,7,94,40,21,0,0,1,0.2392,0.2304,993.25
175,400,8,8,123,40,6,0,0,1,0.2391,0.20925,999.682
176,400,9,9,107,40,19,0,0,1,0.2391,0.22894,968.042
177,400,8,8,111,41,7,0,0,1,0.239,0.21248,974.653
178,400,5,5,109,39,22,0,0,1,0.2389,0.19841,928.692
179,400,9,9,105,40,12,0,0,1,0.2389,0.20551,999.167
180,400,8,8,109,40,22,0,0,1,0.2388,0.20805,983.422
181,400,7,7,105,37,14,0,0,1,0.2387,0.20072,924.338
182,400,7,7,101,39,15,0,0,1,0.2387,0.2371,969.483
183,400,8,8,109,43,18,0,0,1,0.2386,0.20278,966.496
184,400,7,7,98,40,14,0,0,1,0.2386,0.21214,963.719
185,400,9,9,115,40,13,0,0,1,0.2385,0.20454,983.443
186,394,8,8,101,39,23,1,1,0,0.2384,0.25132,905.134
187,400,6,6,89,41,17,0,0,1,0.2384,0.2123,946.571
188,400,9,9,103,42,16,0,0,1,0.2383,0.2323,984.807
189,391,8,8,104,39,20,1,1,0,0.2382,0.24764,919.825
190,400,8,8,105,41,15,0,0,1,0.2382,0.22351,960.493
191,400,9,9,117,39,16,0,0,1,0.2381,0.20449,948.396
192,400,7,7,118,39,12,0,0,1,0.2381,0.20564,997.647
193,400,8,8,109,41,12,0,0,1,0.238,0.22334,1037.56
194,400,9,9,121,42,9,0,0,1,0.2379,0.19483,954.237
195,400,6,6,81,46,11,0,0,1,0.2379,0.21413,944.634
196,400,8,8,109,41,15,0,0,1,0.2378,0.19465,959.172
197,400,7,7,99,40,11,0,0,1,0.2377,0.20311,931.971
198,400,7,7,94,43,14,0,0,1,0.2377,0.19697,957.163
199,400,7,7,92,43,11,0,0,1,0.2376,0.22265,940.359
200,400,7,7,98,40,9,0,0,1,0.2376,0.22489,973.396
201,400,9,9,122,44,18,0,0,1,0.2375,0.21343,983.626
202,400,8,8,114,39,16,0,0,1,0.2374,0.19709,951.299
203,400,6,6,102,42,7,0,0,1,0.2374,0.19834,941.821
204,400,8,8,95,43,16,0,0,1,0.2373,0.22056,940.761
205,400,5,5,80,39,13,0,0,1,0.2372,0.20829,897.166
206,400,9,9,118,42,8,0,0,1,0.2372,0.19665,973.268
207,400,6,6,92,41,14,0,0,1,0.2371,0.2172,943.471
208,400,7,7,109,43,12,0,0,1,0.2371,0.20959,933.435
209,400,7,7,95,42,16,0,0,1,0.237,0.22779,950.756
210,400,8,8,95,43,12,0,0,1,0.2369,0.22808,963.65
211,400,9,9,109,45,15,0,0,1,0.2369,0.22407,944.929
212,400,9,9,108,45,13,0,0,1,0.2368,0.24064,972.432
213,400,6,6,89,44,16,0,0,1,0.2367,0.23022,980.212
214,400,8,8,105,46,11,0,0,1,0.2367,0.22865,936.993
215,400,9,9,101,45,16,0,0,1,0.2366,0.24269,952.032
216,400,6,6,76,42,11,0,0,1,0.2366,0.21954,948.941
217,400,4,4,65,46,13,0,0,1,0.2365,0.22883,886.018
218,400,8,8,86,41,18,0,0,1,0.2364,0.22365,914.22
219,400,7,7,103,40,12,0,0,1,0.2364,0.24147,932.308
220,400,8,8,119,41,15,0,0,1,0.2363,0.19855,949.481
221,400,9,9,120,40,15,0,0,1,0.2362,0.21741,943.092
222,400,6,6,80,32,10,0,0,1,0.2362,0.18946,887.472
223,400,6,6,101,39,11,0,0,1,0.2361,0.248,880.226
224,400,4,4,89,36,14,0,0,1,0.2361,0.18419,868.712
225,400,4,4,81,37,14,0,0,1,0.236,0.22725,875.858
226,400,4,4,85,44,20,0,0,1,0.2359,0.22584,889.741
227,400,7,7,107,40,7,0,0,1,0.2359,0.19527,913.66
228,400,8,8,112,40,17,0,0,1,0.2358,0.19149,922.857
229,399,9,9,125,40,17,1,1,0,0.2358,0.23547,910.836
230,400,8,8,122,41,15,0,0,1,0.2357,0.19139,908.324
231,400,7,7,115,41,21,0,0,1,0.2356,0.20864,926.34
232,400,9,9,101,34,16,0,0,1,0.2356,0.20801,947.427
233,400,8,8,100,40,15,0,0,1,0.2355,0.21168,879.373
234,400,8,8,105,36,13,0,0,1,0.2354,0.20583,911.132
235,400,9,9,111,42,11,0,0,1,0.2354,0.18792,966.059
236,400,8,8,116,44,24,0,0,1,0.2353,0.25936,931.302
237,400,8,8,114,44,13,0,0,1,0.2353,0.20957,941.24
238,400,9,9,121,44,15,0,0,1,0.2352,0.22546,935.514
239,400,7,7,112,41,20,0,0,1,0.2351,0.23659,969.683
240,400,9,9,104,41,14,0,0,1,0.2351,0.21187,960.536
241,400,9,9,113,43,15,0,0,1,0.235,0.21947,926.224
242,400,7,7,97,41,14,0,0,1,0.2349,0.21724,935.223
243,400,6,6,109,41,15,0,0,1,0.2349,0.19767,906.872
244,400,7,7,120,44,14,0,0,1,0.2348,0.22545,934.638
245,400,8,8,122,42,17,0,0,1,0.2348,0.20808,911.888
246,342,7,7,89,34,20,1,1,0,0.2347,0.21538,744.429
247,52,0,0,20,7,1,1,1,0,0.2346,0.43595,78.808
248,400,7,7,110,42,14,0,0,1,0.2346,0.23581,908.582
249,400,8,8,114,41,11,0,0,1,0.2345,0.218,964.44
250,400,6,6,105,43,11,0,0,1,0.2344,0.2124,915.228
251,400,6,6,101,40,14,0,0,1,0.2344,0.19447,915.097
252,400,9,9,118,44,14,0,0,1,0.2343,0.20523,925.587
253,400,6,6,105,43,16,0,0,1,0.2343,0.21003,901.066
254,400,8,8,112,43,12,0,0,1,0.2342,0.2251,908.223
255,400,9,9,112,43,8,0,0,1,0.2341,0.22055,916.064
256,400,9,9,124,39,19,0,0,1,0.2341,0.20143,920.635
257,400,6,6,101,42,13,0,0,1,0.234,0.18016,887.268
258,400,9,9,116,38,16,0,0,1,0.2339,0.1981,918.366
259,400,8,8,119,40,13,0,0,1,0.2339,0.19336,914.772
260,400,7,7,105,40,7,0,0,1,0.2338,0.20081,919.839
261,400,6,6,91,41,11,0,0,1,0.2338,0.2078,881.017
262,400,8,8,102,40,9,0,0,1,0.2337,0.18342,905.48
263,400,9,9,111,39,20,0,0,1,0.2336,0.18964,882.463
264,400,9,9,117,42,14,0,0,1,0.2336,0.20399,938.552
265,400,7,7,103,36,10,0,0,1,0.2335,0.19236,853.589
266,400,5,5,107,44,19,0,0,1,0.2334,0.23318,856.159
267,400,5,5,105,39,18,0,0,1,0.2334,0.22196,841.761
268,400,6,6,95,40,19,0,0,1,0.2333,0.21123,837.672
269,400,7,7,110,38,13,0,0,1,0.2333,0.21897,915.533
270,400,7,7,109,44,17,0,0,1,0.2332,0.20184,904.43
271,12,0,0,5,2,4,1,1,0,0.2331,1.27255,-9.684
272,400,7,7,102,42,11,0,0,1,0.2331,0.2162,931.544
273,80,1,1,29,10,3,1,1,0,0.233,0.36268,144.696
274,400,9,9,111,44,13,0,0,1,0.2329,0.21797,904.462
275,400,9,9,120,40,17,0,0,1,0.2329,0.19567,934.267
276,400,9,9,109,40,11,0,0,1,0.2328,0.22485,937.735
277,400,8,8,106,40,8,0,0,1,0.2328,0.20548,886.058
278,400,9,9,123,43,12,0,0,1,0.2327,0.19173,917.636
279,400,7,7,112,41,14,0,0,1,0.2326,0.18734,902.458
280,400,9,9,105,42,17,0,0,1,0.2326,0.20213,883.432
281,400,5,5,99,44,19,0,0,1,0.2325,0.21914,871.309
282,400,8,8,91,41,11,0,0,1,0.2324,0.19468,894.425
283,400,8,8,106,40,15,0,0,1,0.2324,0.20375,882.102
284,233,6,6,82,25,16,1,1,0,0.2323,0.29082,496.584
285,400,7,7,102,35,8,0,0,1,0.2323,0.18691,870.062
286,78,2,2,29,9,2,1,1,0,0.2322,0.37173,139.872
287,400,8,8,92,40,13,0,0,1,0.2321,0.21175,882.663
288,400,8,8,108,39,18,0,0,1,0.2321,0.2068,888.364
289,400,5,5,87,33,14,0,0,1,0.232,0.18503,818.086
290,400,8,8,101,40,7,0,0,1,0.2319,0.19104,847.475
291,20,0,0,8,3,3,1,1,0,0.2319,0.93356,0.796
292,400,9,9,111,42,10,0,0,1,0.2318,0.20043,875.358
293,400,9,9,114,38,10,0,0,1,0.2318,0.21138,896.513
294,400,6,6,79,33,10,0,0,1,0.2317,0.19047,837.823
295,400,5,5,60,35,20,0,0,1,0.2316,0.18569,806.675
296,400,6,6,102,44,10,0,0,1,0.2316,0.23998,874.171
297,400,5,5,81,44,20,0,0,1,0.2315,0.22678,852.696
298,400,7,7,86,42,9,0,0,1,0.2314,0.19862,863.103
299,400,5,5,99,46,18,0,0,1,0.2314,0.2101,838.993
300,400,6,6,84,44,13,0,0,1,0.2313,0.23077,863.658
301,106,1,1,40,12,4,1,1,0,0.2313,0.35789,191.738
302,400,7,7,107,43,12,0,0,1,0.2312,0.19664,882.678
303,400,8,8,100,43,10,0,0,1,0.2311,0.21111,856.943
304,400,8,8,101,41,9,0,0,1,0.2311,0.19618,877.073
305,400,9,9,120,41,15,0,0,1,0.231,0.22517,894.809
306,400,7,7,117,39,15,0,0,1,0.2309,0.19182,875.255
307,400,8,8,103,40,17,0,0,1,0.2309,0.21156,891.391
308,400,8,8,119,42,17,0,0,1,0.2308,0.19836,876.912
309,400,9,9,101,40,20,0,0,1,0.2308,0.19618,875.921
310,400,7,7,112,41,12,0,0,1,0.2307,0.21482,860.712
311,400,8,8,109,42,11,0,0,1,0.2306,0.18342,872.819
312,277,7,7,86,29,9,1,1,0,0.2306,0.24613,578.987
313,400,8,8,101,40,16,0,0,1,0.2305,0.20187,858.384
314,400,9,9,120,43,14,0,0,1,0.2304,0.22397,886.084
315,400,8,8,110,39,13,0,0,1,0.2304,0.19644,895.569
316,400,8,8,118,41,18,0,0,1,0.2303,0.21822,915.655
317,400,8,8,116,43,12,0,0,1,0.2303,0.20509,878.337
318,400,7,7,114,42,10,0,0,1,0.2302,0.19541,870.237
319,400,9,9,120,40,13,0,0,1,0.2301,0.20036,892.762
320,400,9,9,116,40,9,0,0,1,0.2301,0.18448,877.21
321,400,9,9,109,42,18,0,0,1,0.23,0.22303,904.708
322,400,8,8,95,38,16,0,0,1,0.2299,0.24953,874.186
323,400,8,8,104,40,12,0,0,1,0.2299,0.19438,880.14
324,400,4,4,100,42,10,0,0,1,0.2298,0.19121,846.149
325,400,8,8,112,38,12,0,0,1,0.2298,0.1608,872.159
326,400,7,7,73,30,16,0,0,1,0.2297,0.19103,807.21
327,400,9,9,105,38,15,0,0,1,0.2296,0.18491,878.59
328,400,5,5,77,42,11,0,0,1,0.2296,0.18611,835.804
329,400,7,7,91,44,21,0,0,1,0.2295,0.2156,842.246
330,400,8,8,96,42,11,0,0,1,0.2294,0.19371,855.995
331,400,8,8,89,40,17,0,0,1,0.2294,0.20937,869.49
332,400,7,7,96,43,10,0,0,1,0.2293,0.20062,873.574
333,400,9,9,108,41,15,0,0,1,0.2293,0.19756,873.724
334,400,5,5,105,44,11,0,0,1,0.2292,0.17932,842.189
335,400,8,8,111,41,16,0,0,1,0.2291,0.19949,863.006
336,400,7,7,112,42,12,0,0,1,0.2291,0.20836,867.24
337,400,9,9,116,42,21,0,0,1,0.229,0.2003,860.409
338,400,9,9,121,40,17,0,0,1,0.2289,0.18314,878.615
339,400,8,8,98,40,11,0,0,1,0.2289,0.18585,883.712
340,400,8,8,122,42,10,0,0,1,0.2288,0.20442,887.788
341,400,7,7,104,44,13,0,0,1,0.2288,0.20065,857.694
342,400,7,7,112,42,19,0,0,1,0.2287,0.2,865.771
343,342,8,8,101,35,16,1,1,0,0.2286,0.22939,715.929
344,400,7,7,104,42,9,0,0,1,0.2286,0.17722,867.74
345,400,8,8,118,43,17,0,0,1,0.2285,0.20351,867.134
346,400,9,9,116,41,11,0,0,1,0.2284,0.17401,887.759
347,400,8,8,128,40,12,0,0,1,0.2284,0.18598,858.28
348,400,9,9,119,43,6,0,0,1,0.2283,0.17552,882.9
349,400,6,6,104,44,14,0,0,1,0.2283,0.21455,832.358
350,400,7,7,99,42,10,0,0,1,0.2282,0.18687,861.618
351,400,9,9,108,42,13,0,0,1,0.2281,0.18855,871.073
352,400,9,9,117,44,14,0,0,1,0.2281,0.20051,873.779
353,400,9,9,116,44,15,0,0,1,0.228,0.21303,859.75
354,400,9,9,107,42,15,0,0,1,0.2279,0.18825,865.948
355,400,8,8,108,42,11,0,0,1,0.2279,0.17677,866.543
356,37,0,0,19,5,0,1,1,0,0.2278,0.54109,43.238
357,400,9,9,102,40,17,0,0,1,0.2278,0.19998,844.314
358,400,6,6,104,42,24,0,0,1,0.2277,0.20773,810.721
359,21,0,0,9,3,1,1,1,0,0.2276,0.7754,-1.854
360,400,7,7,106,39,16,0,0,1,0.2276,0.19236,828.376
361,400,8,8,117,41,9,0,0,1,0.2275,0.18444,854.866
362,400,7,7,112,43,14,0,0,1,0.2274,0.19331,842.985
363,329,7,7,84,35,16,1,1,0,0.2274,0.2517,649.962
364,200,4,4,53,22,7,1,1,0,0.2273,0.25057,383.035
365,367,9,9,99,41,12,1,1,0,0.2273,0.26194,761.047
366,400,8,8,104,41,11,0,0,1,0.2272,0.21294,874.858
367,400,8,8,111,40,19,0,0,1,0.2271,0.21999,871.276
368,400,8,8,97,42,15,0,0,1,0.2271,0.22752,855.732
369,400,8,8,98,40,19,0,0,1,0.227,0.18889,853.528
370,400,5,5,108,41,19,0,0,1,0.2269,0.2024,816.994
371,400,8,8,112,41,13,0,0,1,0.2269,0.19006,860.211
372,400,7,7,119,42,14,0,0,1,0.2268,0.16395,847.852
373,400,8,8,117,40,10,0,0,1,0.2268,0.17646,864.187
374,400,7,7,103,39,11,0,0,1,0.2267,0.18091,868.882
375,376,8,8,109,39,10,1,1,0,0.2266,0.21454,774.94
376,400,8,8,119,40,16,0,0,1,0.2266,0.19816,860.172
377,400,8,8,116,42,7,0,0,1,0.2265,0.18807,850.635
378,400,8,8,112,42,17,0,0,1,0.2264,0.20882,856.561
379,400,7,7,104,43,6,0,0,1,0.2264,0.19669,839.401
