round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,400,8,8,110,41,19,0,0,1,0.25,0.21259,1431.117
2,400,7,7,100,40,17,0,0,1,0.2499,0.23899,1399.408
3,400,8,8,112,39,13,0,0,1,0.2499,0.23033,1409.037
4,400,8,8,100,40,9,0,0,1,0.2498,0.21511,1401.681
5,400,8,8,106,41,13,0,0,1,0.2497,0.22296,1407.76
6,400,9,9,108,40,20,0,0,1,0.2497,0.23138,1396.203
7,400,7,7,107,42,15,0,0,1,0.2496,0.22027,1385.346
8,400,5,5,63,41,12,0,0,1,0.2496,0.22176,1328.978
9,400,9,9,108,42,17,0,0,1,0.2495,0.23913,1385.297
10,400,5,5,82,44,16,0,0,1,0.2494,0.24027,1316.54
11,400,9,9,109,40,8,0,0,1,0.2494,0.1985,1357.525
12,400,9,9,103,40,7,0,0,1,0.2493,0.2262,1356.565
13,400,8,8,107,42,12,0,0,1,0.2492,0.23357,1336.969
14,400,8,8,106,42,10,0,0,1,0.2492,0.22612,1353.947
15,400,9,9,105,38,14,0,0,1,0.2491,0.22733,1357.534
16,400,7,7,95,45,14,0,0,1,0.2491,0.2402,1325.017
17,400,6,6,88,44,18,0,0,1,0.249,0.22209,1310.397
18,400,6,6,114,44,15,0,0,1,0.2489,0.23796,1319.476
19,400,8,8,101,43,7,0,0,1,0.2489,0.23004,1314.407
20,400,7,7,106,40,17,0,0,1,0.2488,0.21693,1321.335
21,400,5,5,102,40,16,0,0,1,0.2487,0.21216,1296.718
22,400,8,8,116,39,18,0,0,1,0.2487,0.23581,1302.386
23,400,7,7,109,39,15,0,0,1,0.2486,0.21739,1274.411
24,400,9,9,98,41,18,0,0,1,0.2486,0.23907,1307.535
25,400,6,6,104,41,14,0,0,1,0.2485,0.24709,1269.311
26,400,8,8,114,40,12,0,0,1,0.2484,0.19903,1303.31
27,400,7,7,103,42,14,0,0,1,0.2484,0.22165,1286.046
28,400,8,8,107,41,17,0,0,1,0.2483,0.22176,1263.581
29,400,8,8,100,39,14,0,0,1,0.2482,0.21195,1270.433
30,400,9,9,108,39,10,0,0,1,0.2482,0.207,1278.664
31,400,7,7,110,40,17,0,0,1,0.2481,0.19052,1267.532
32,400,7,7,118,44,21,0,0,1,0.2481,0.19417,1268.755
33,400,9,9,119,42,11,0,0,1,0.248,0.20193,1254.053
34,400,7,7,114,41,13,0,0,1,0.2479,0.2011,1264.522
35,400,8,8,103,39,16,0,0,1,0.2479,0.19012,1252.197
36,400,7,7,103,44,19,0,0,1,0.2478,0.24843,1236.569
37,400,9,9,108,39,11,0,0,1,0.2477,0.18293,1241.535
38,400,8,8,121,41,15,0,0,1,0.2477,0.19427,1235.708
39,400,7,7,99,42,14,0,0,1,0.2476,0.21227,1236.775
40,400,6,6,112,39,19,0,0,1,0.2476,0.20918,1200.643
41,400,7,7,120,41,14,0,0,1,0.2475,0.19558,1242.265
42,400,8,8,106,42,12,0,0,1,0.2474,0.20606,1238.121
43,400,9,9,117,39,12,0,0,1,0.2474,0.20761,1256.216
44,400,9,9,105,41,17,0,0,1,0.2473,0.2369,1230.311
45,400,9,9,89,42,11,0,0,1,0.2472,0.22308,1214.931
46,400,8,8,112,39,17,0,0,1,0.2472,0.21158,1245.593
47,400,7,7,102,41,15,0,0,1,0.2471,0.23297,1244.785
48,104,4,4,35,11,8,1,1,0,0.2471,0.38981,294.642
49,400,7,7,100,44,17,0,0,1,0.247,0.2246,1202.391
50,400,7,7,82,40,15,0,0,1,0.2469,0.21915,1189.15
51,400,7,7,83,39,16,0,0,1,0.2469,0.21616,1187.565
52,400,9,9,103,43,12,0,0,1,0.2468,0.21912,1217.199
53,399,8,8,116,44,14,1,1,0,0.2467,0.2534,1166.45
54,400,6,6,96,44,18,0,0,1,0.2467,0.25798,1147.936
55,400,8,8,110,42,12,0,0,1,0.2466,0.1989,1175.927
56,400,8,8,101,40,15,0,0,1,0.2466,0.2112,1195.922
57,400,8,8,114,37,17,0,0,1,0.2465,0.23381,1208.414
