round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,5,0,0,3,1,3,1,1,0,1.0,3.087,-15.435
2,11,0,0,1,1,3,1,1,0,0.9997,1.15841,-12.312
3,6,0,0,2,1,3,1,1,0,0.9994,1.98667,-11.65
4,7,0,0,2,1,3,1,1,0,0.9991,1.67536,-11.608
5,9,0,0,3,1,2,1,1,0,0.9988,1.09829,-9.796
6,5,0,0,3,1,2,1,1,0,0.9985,2.8473,-14.635
7,18,0,0,5,1,6,1,1,0,0.9982,0.69827,-12.32
8,7,0,0,3,1,4,1,1,0,0.9979,2.2256,-16.395
9,31,0,0,2,1,15,1,1,0,0.9976,0.56398,-18.721
10,23,0,0,5,2,11,1,1,0,0.9973,0.69976,-16.095
11,7,0,0,2,1,4,1,1,0,0.997,1.76436,-12.138
12,10,0,0,2,1,3,1,1,0,0.9967,1.24329,-11.064
13,23,0,0,6,2,11,1,1,0,0.9964,0.70766,-14.697
14,10,0,0,2,1,4,1,1,0,0.9961,1.22288,-12.965
15,27,1,1,7,2,11,1,1,0,0.9958,0.7018,-15.058
16,6,0,0,3,1,1,1,1,0,0.9955,1.80803,-11.08
17,6,0,0,3,1,1,1,1,0,0.9952,1.65625,-9.935
18,6,0,0,1,1,2,1,1,0,0.995,1.77305,-10.628
19,7,0,0,3,1,4,1,1,0,0.9947,1.62639,-13.542
20,8,0,0,2,1,4,1,1,0,0.9944,1.52154,-15.097
21,28,0,0,1,1,14,1,1,0,0.9941,0.58798,-18.24
22,23,0,0,3,2,7,1,1,0,0.9938,0.71928,-14.481
23,9,0,0,3,1,6,1,1,0,0.9935,1.40941,-16.55
24,10,0,0,1,1,5,1,1,0,0.9932,1.1615,-12.765
25,31,0,0,3,3,11,1,1,0,0.9929,0.63635,-16.32
26,7,0,0,2,1,4,1,1,0,0.9926,1.72084,-15.116
27,21,0,0,4,2,7,1,1,0,0.9923,0.74354,-13.381
28,32,0,0,3,3,10,1,1,0,0.992,0.60453,-16.545
29,27,0,0,5,2,7,1,1,0,0.9917,0.68938,-16.394
30,10,0,0,3,1,4,1,1,0,0.9914,1.17115,-15.252
31,20,0,0,3,2,9,1,1,0,0.9911,0.78496,-18.557
32,35,0,0,11,4,13,1,1,0,0.9908,0.50367,-18.667
33,15,0,0,5,2,6,1,1,0,0.9905,0.92039,-15.33
34,6,0,0,3,1,3,1,1,0,0.9902,2.17045,-13.335
35,11,0,0,1,1,4,1,1,0,0.9899,1.20197,-17.758
36,15,0,0,4,2,8,1,1,0,0.9896,0.93331,-13.946
37,8,0,0,4,1,4,1,1,0,0.9893,1.54347,-12.583
38,6,0,0,3,1,3,1,1,0,0.989,1.82203,-15.948
39,8,0,0,3,1,3,1,1,0,0.9887,1.88469,-20.445
40,28,0,0,5,2,10,1,1,0,0.9884,0.5425,-18.173
41,16,0,0,5,2,9,1,1,0,0.9881,0.83711,-13.437
42,17,0,0,5,2,7,1,1,0,0.9878,0.90191,-14.45
43,27,0,0,5,2,13,1,1,0,0.9875,0.64077,-26.988
44,14,0,0,5,2,5,1,1,0,0.9872,1.03913,-14.491
45,5,0,0,3,1,3,1,1,0,0.9869,2.72915,-15.092
46,22,0,0,5,2,8,1,1,0,0.9866,0.69301,-16.807
47,24,0,0,5,2,8,1,1,0,0.9863,0.7103,-20.514
48,31,1,1,6,2,13,1,1,0,0.986,0.61913,-20.611
49,23,1,1,1,2,5,1,1,0,0.9858,0.79786,-15.246
50,32,0,0,7,3,9,1,1,0,0.9855,0.50161,-18.034
51,9,0,0,2,1,3,1,1,0,0.9852,1.19797,-14.657
52,41,0,0,6,3,17,1,1,0,0.9849,0.54211,-24.548
53,9,0,0,1,1,1,1,1,0,0.9846,1.49316,-16.714
54,7,0,0,3,1,3,1,1,0,0.9843,1.49918,-18.238
55,31,1,1,10,3,14,1,1,0,0.984,0.71653,-22.161
56,6,0,0,2,1,1,1,1,0,0.9837,1.80747,-12.759
57,24,1,1,4,2,6,1,1,0,0.9834,0.63942,-11.011
58,7,0,0,2,1,3,1,1,0,0.9831,2.15392,-19.134
59,16,0,0,6,2,6,1,1,0,0.9828,0.75784,-19.533
60,8,0,0,3,1,4,1,1,0,0.9825,1.46159,-19.672
61,16,0,0,4,2,6,1,1,0,0.9822,1.04214,-16.18
62,46,1,1,9,3,15,1,1,0,0.9819,0.48488,-17.694
63,26,0,0,5,3,10,1,1,0,0.9816,0.6881,-19.876
64,7,0,0,2,1,4,1,1,0,0.9813,1.72176,-18.89
65,25,0,0,6,3,9,1,1,0,0.981,0.55294,-13.436
66,18,1,1,6,2,6,1,1,0,0.9807,0.87995,-12.638
67,9,0,0,2,1,4,1,1,0,0.9804,1.62065,-15.965
68,18,1,1,5,2,6,1,1,0,0.9801,0.7916,-13.985
69,11,0,0,1,1,4,1,1,0,0.9798,1.25497,-19.535
70,32,0,0,6,3,9,1,1,0,0.9795,0.56022,-21.848
