round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,17,0,0,3,1,6,1,1,0,1.0,1.20107,-19.657
2,14,0,0,5,2,8,1,1,0,0.9997,1.1376,-19.13
3,5,0,0,2,1,3,1,1,0,0.9994,4.068,-20.34
4,14,0,0,3,1,6,1,1,0,0.9991,1.34551,-18.59
5,6,0,0,3,1,4,1,1,0,0.9988,1.65017,-18.05
6,8,0,0,3,1,4,1,1,0,0.9985,2.5125,-20.666
7,6,0,0,2,1,2,1,1,0,0.9982,3.181,-20.135
8,5,0,0,3,1,2,1,1,0,0.9979,3.77244,-19.835
9,5,0,0,3,1,3,1,1,0,0.9976,3.6387,-20.02
10,11,0,0,3,1,8,1,1,0,0.9972,1.71059,-20.065
11,5,0,0,3,1,2,1,1,0,0.9969,3.49894,-19.62
12,5,0,0,4,1,3,1,1,0,0.9966,3.52236,-19.535
13,5,0,0,3,1,3,1,1,0,0.9963,2.79979,-20.22
14,10,0,0,3,1,3,1,1,0,0.996,1.25804,-17.036
15,6,0,0,3,1,2,1,1,0,0.9957,3.00267,-19.816
16,17,0,0,2,1,9,1,1,0,0.9954,1.21789,-21.162
17,7,0,0,3,1,2,1,1,0,0.9951,2.44576,-17.135
18,6,0,0,0,1,3,1,1,0,0.9948,3.1497,-18.604
19,5,0,0,3,1,4,1,1,0,0.9945,3.6891,-18.72
20,9,0,0,3,1,4,1,1,0,0.9942,1.51599,-20.917
21,6,0,0,4,1,3,1,1,0,0.9939,1.99888,-19.702
22,13,0,0,2,1,8,1,1,0,0.9936,1.12291,-22.578
23,7,0,0,2,1,5,1,1,0,0.9933,1.93115,-21.245
24,5,0,0,3,1,0,1,1,0,0.993,3.38058,-19.081
25,10,0,0,3,1,4,1,1,0,0.9927,1.2495,-17.984
26,12,0,0,3,1,6,1,1,0,0.9923,0.86194,-21.206
27,14,0,0,3,1,6,1,1,0,0.992,1.31459,-18.934
28,13,0,0,5,1,10,1,1,0,0.9917,0.63341,-20.809
29,7,0,0,3,1,3,1,1,0,0.9914,1.39951,-19.957
30,6,0,0,3,1,3,1,1,0,0.9911,1.16019,-20.396
31,5,0,0,3,1,3,1,1,0,0.9908,2.01728,-20.435
32,21,0,0,4,2,12,1,1,0,0.9905,0.94275,-21.809
33,7,0,0,3,1,3,1,1,0,0.9902,1.74255,-17.599
34,10,0,0,3,1,6,1,1,0,0.9899,0.52764,-19.101
35,7,0,0,2,1,1,1,1,0,0.9896,2.39198,-16.939
36,6,0,0,2,1,2,1,1,0,0.9893,2.00737,-17.064
37,20,0,0,2,1,10,1,1,0,0.989,0.52993,-22.299
38,23,0,0,3,1,14,1,1,0,0.9887,0.56205,-23.427
39,18,0,0,2,1,9,1,1,0,0.9884,0.24402,-21.089
40,7,0,0,3,1,4,1,1,0,0.9881,2.52873,-18.639
41,23,0,0,3,1,11,1,1,0,0.9878,0.84988,-20.435
42,14,0,0,2,1,8,1,1,0,0.9874,1.30123,-23.472
43,11,0,0,2,1,5,1,1,0,0.9871,1.66516,-24.174
44,12,0,0,3,1,7,1,1,0,0.9868,1.40748,-19.481
45,11,0,0,3,1,6,1,1,0,0.9865,1.12517,-19.248
46,14,0,0,4,1,6,1,1,0,0.9862,0.82511,-25.028
47,6,0,0,1,1,3,1,1,0,0.9859,3.05811,-18.209
48,9,0,0,3,1,2,1,1,0,0.9856,1.24031,-16.719
