round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,25,1,1,9,2,7,1,1,0,0.25,0.47556,-6.18
2,25,0,0,9,3,3,1,1,0,0.2499,0.1809,5.312
3,6,0,0,1,1,1,1,1,0,0.2499,0.3368,-8.435
4,13,0,0,4,2,1,1,1,0,0.2498,0.3274,-42.153
5,19,1,1,9,2,4,1,1,0,0.2497,0.19643,1.949
6,30,1,1,7,4,2,1,1,0,0.2496,0.36931,-10.361
7,13,0,0,2,2,2,1,1,0,0.2496,0.45154,-11.577
8,14,0,0,4,2,1,1,1,0,0.2495,0.33361,7.825
9,15,1,1,4,2,2,1,1,0,0.2494,0.2386,10.29
10,14,0,0,4,2,1,1,1,0,0.2494,1.25732,-26.135
11,15,0,0,6,2,1,1,1,0,0.2493,0.19333,8.509
12,27,0,0,11,4,2,1,1,0,0.2492,0.73752,30.255
13,34,0,0,7,4,3,1,1,0,0.2491,0.39714,-11.182
14,56,1,1,14,7,7,1,1,0,0.2491,0.36258,31.505
15,13,0,0,4,2,1,1,1,0,0.249,0.34712,-11.981
16,15,0,0,3,2,4,1,1,0,0.2489,0.46283,6.057
17,35,1,1,8,4,3,1,1,0,0.2488,0.18847,44.541
18,115,2,2,38,11,13,1,1,0,0.2488,0.38061,126.784
19,9,0,0,4,1,2,1,1,0,0.2487,0.18743,-22.068
20,33,0,0,16,4,4,1,1,0,0.2486,0.56351,-9.865
21,7,0,0,4,1,2,1,1,0,0.2486,0.21249,-68.523
22,7,0,0,3,1,1,1,1,0,0.2485,0.15011,-6.866
23,46,0,0,20,5,7,1,1,0,0.2484,0.72299,55.823
24,24,1,1,7,3,4,1,1,0,0.2483,0.37735,22.444
25,15,0,0,4,2,2,1,1,0,0.2483,1.03237,7.706
26,80,2,2,30,8,6,1,1,0,0.2482,0.36688,111.189
27,40,1,1,12,4,5,1,1,0,0.2481,0.49664,8.677
28,15,0,0,8,2,4,1,1,0,0.2481,0.34544,6.175
29,73,2,2,24,8,5,1,1,0,0.248,0.34339,119.622
30,22,0,0,7,3,2,1,1,0,0.2479,0.87461,-10.787
31,6,0,0,3,1,1,1,1,0,0.2478,0.22664,-8.158
32,21,0,0,8,3,8,1,1,0,0.2478,1.20697,-17.651
33,75,1,1,15,8,6,1,1,0,0.2477,0.58417,79.599
34,55,1,1,15,6,6,1,1,0,0.2476,0.17655,57.622
35,5,0,0,3,1,3,1,1,0,0.2476,1.37751,-26.784
36,14,0,0,3,2,3,1,1,0,0.2475,1.02644,-27.518
37,96,1,1,27,10,9,1,1,0,0.2474,0.31206,144.575
38,22,0,0,5,3,4,1,1,0,0.2473,0.47517,16.633
39,34,0,0,5,4,1,1,1,0,0.2473,0.18912,19.334
40,37,1,1,13,4,6,1,1,0,0.2472,0.54756,13.919
41,6,0,0,3,1,1,1,1,0,0.2471,0.22494,-8.288
42,14,0,0,3,2,0,1,1,0,0.2471,0.19155,4.999
43,6,0,0,2,1,1,1,1,0,0.247,0.16326,-8.602
44,14,0,0,4,2,3,1,1,0,0.2469,0.57884,-13.134
45,38,0,0,15,5,5,1,1,0,0.2468,0.2405,28.025
46,8,0,0,3,1,1,1,1,0,0.2468,0.16758,-5.654
47,20,0,0,6,3,1,1,1,0,0.2467,0.33893,16.125
48,20,0,0,8,3,1,1,1,0,0.2466,0.16884,16.658
49,13,0,0,5,2,1,1,1,0,0.2465,0.37182,-12.609
