round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,23,0,0,4,3,4,1,1,0,0.25,0.26914,34.533
2,8,0,0,1,1,2,1,1,0,0.2499,0.07795,4.573
3,5,0,0,3,1,1,1,1,0,0.2498,0.45181,-56.483
4,7,0,0,3,1,2,1,1,0,0.2498,1.0162,3.557
5,6,0,0,2,1,2,1,1,0,0.2497,0.47136,0.999
6,25,0,0,2,3,5,1,1,0,0.2496,0.17676,37.621
7,40,0,0,7,5,7,1,1,0,0.2495,0.38712,71.264
8,14,0,0,1,2,0,1,1,0,0.2495,0.25334,17.366
9,14,0,0,4,2,3,1,1,0,0.2494,1.23988,-21.298
10,6,0,0,3,1,0,1,1,0,0.2493,0.24276,2.253
11,19,1,1,3,2,3,1,1,0,0.2492,0.3203,38.514
12,15,0,0,6,2,2,1,1,0,0.2492,0.4743,21.615
13,16,0,0,3,2,2,1,1,0,0.2491,0.18351,22.213
14,15,0,0,5,2,2,1,1,0,0.249,0.25496,20.104
15,45,0,0,8,6,7,1,1,0,0.249,0.479,72.889
16,53,1,1,8,6,5,1,1,0,0.2489,0.24022,112.484
17,21,0,0,1,2,2,1,1,0,0.2488,0.16326,30.688
18,16,0,0,3,2,3,1,1,0,0.2487,0.19095,24.548
19,6,0,0,3,1,1,1,1,0,0.2487,0.26313,1.953
20,39,0,0,8,5,7,1,1,0,0.2486,0.56957,72.415
21,23,0,0,2,3,3,1,1,0,0.2485,0.2155,36.518
22,15,0,0,4,2,2,1,1,0,0.2484,0.25407,20.61
23,14,0,0,5,2,4,1,1,0,0.2483,0.23937,17.123
24,16,0,0,4,2,3,1,1,0,0.2483,0.21103,20.975
25,7,0,0,2,1,2,1,1,0,0.2482,0.15013,2.778
26,10,0,0,2,1,2,1,1,0,0.2481,0.10616,9.083
27,25,1,1,6,3,1,1,1,0,0.248,0.22121,48.958
28,14,0,0,4,2,2,1,1,0,0.248,0.89569,5.886
29,18,0,0,4,2,3,1,1,0,0.2479,0.24393,26.634
30,18,1,1,6,2,4,1,1,0,0.2478,0.33858,22.98
31,6,0,0,2,1,3,1,1,0,0.2477,1.50743,0.518
32,7,0,0,3,1,0,1,1,0,0.2477,0.27858,4.753
33,5,0,0,3,1,2,1,1,0,0.2476,0.51036,-56.793
34,25,0,0,5,3,5,1,1,0,0.2475,0.59726,-1.181
35,6,0,0,2,1,1,1,1,0,0.2475,0.17476,1.421
36,29,0,0,5,4,3,1,1,0,0.2474,0.30875,50.442
37,43,1,1,9,5,6,1,1,0,0.2473,0.22896,97.602
38,6,0,0,3,1,1,1,1,0,0.2472,0.25485,1.981
39,15,0,0,3,2,2,1,1,0,0.2472,1.19812,22.001
40,9,0,0,2,1,3,1,1,0,0.2471,0.86066,5.991
41,125,1,1,20,15,18,1,1,0,0.247,0.33121,270.049
42,35,0,0,10,4,3,1,1,0,0.2469,0.59857,53.814
43,16,0,0,5,2,2,1,1,0,0.2469,0.39254,24.572
44,14,0,0,6,2,3,1,1,0,0.2468,0.40109,19.556
45,71,1,1,11,8,8,1,1,0,0.2467,0.27884,154.222
46,6,0,0,3,1,3,1,1,0,0.2466,0.36403,1.574
47,14,0,0,5,2,3,1,1,0,0.2465,0.24972,19.58
48,14,0,0,6,2,2,1,1,0,0.2465,0.62269,21.276
49,28,1,1,11,3,8,1,1,0,0.2464,0.39944,60.332
50,14,0,0,5,2,1,1,1,0,0.2463,0.60375,20.771
51,36,0,0,2,5,4,1,1,0,0.2462,0.29558,66.592
52,79,0,0,8,10,6,1,1,0,0.2462,0.20411,145.851
53,15,0,0,4,2,4,1,1,0,0.2461,0.60264,22.537
54,33,0,0,2,4,4,1,1,0,0.246,0.20139,56.824
55,22,0,0,4,3,6,1,1,0,0.246,0.2089,33.471
56,48,1,1,13,6,5,1,1,0,0.2459,0.45669,63.836
57,7,0,0,3,1,1,1,1,0,0.2458,0.31856,4.691
58,43,0,0,6,6,8,1,1,0,0.2457,0.27581,69.896
59,14,0,0,5,2,3,1,1,0,0.2457,0.37853,19.9
60,6,0,0,2,1,2,1,1,0,0.2456,0.34626,1.511
61,6,0,0,2,1,1,1,1,0,0.2455,0.12273,2.217
62,5,0,0,3,1,1,1,1,0,0.2454,0.33007,-57.929
63,6,0,0,3,1,1,1,1,0,0.2454,0.2227,2.043
64,57,1,1,9,7,7,1,1,0,0.2453,0.47943,77.873
65,24,1,1,7,3,1,1,1,0,0.2452,0.33632,49.272
66,15,0,0,5,2,3,1,1,0,0.2451,0.17919,21.728
67,6,0,0,2,1,0,1,1,0,0.245,0.1243,2.298
68,6,0,0,2,1,2,1,1,0,0.245,0.21078,1.822
69,85,3,3,19,9,10,1,1,0,0.2449,0.25835,202.752
70,17,1,1,3,2,0,1,1,0,0.2448,0.1704,32.547
71,108,1,1,19,13,16,1,1,0,0.2447,0.44127,209.435
72,49,0,0,9,6,7,1,1,0,0.2447,0.35909,94.979
73,30,0,0,4,4,5,1,1,0,0.2446,0.24967,39.638
74,6,0,0,3,1,2,1,1,0,0.2445,1.74588,-11.927
75,43,1,1,6,5,8,1,1,0,0.2445,0.29601,74.29
