round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,26,0,0,2,1,12,1,1,0,1.0,0.76171,-17.288
2,5,0,0,1,1,1,1,1,0,0.9996,3.528,-17.64
3,14,0,0,3,1,4,1,1,0,0.9991,1.04717,-14.562
4,22,0,0,3,1,15,1,1,0,0.9987,0.70388,-19.729
5,14,0,0,6,1,9,1,1,0,0.9982,0.73732,-15.778
6,6,0,0,0,1,1,1,1,0,0.9978,2.63917,-15.805
7,5,0,0,3,1,2,1,1,0,0.9973,3.3688,-17.435
8,9,0,0,1,1,3,1,1,0,0.9969,1.67175,-14.474
9,7,0,0,3,1,4,1,1,0,0.9964,1.9024,-14.05
10,12,0,0,2,1,6,1,1,0,0.996,1.21344,-15.42
11,25,0,0,2,1,14,1,1,0,0.9955,0.53791,-17.271
12,9,0,0,3,1,4,1,1,0,0.995,0.9402,-12.579
13,9,0,0,4,1,3,1,1,0,0.9946,1.18438,-14.098
14,11,0,0,3,1,7,1,1,0,0.9941,1.14934,-14.541
15,14,0,0,2,1,7,1,1,0,0.9937,1.22934,-19.51
16,6,0,0,3,1,4,1,1,0,0.9932,1.72755,-13.95
17,19,0,0,6,1,11,1,1,0,0.9928,0.64787,-15.413
18,10,0,0,4,1,8,1,1,0,0.9923,1.51514,-18.97
19,11,0,0,3,1,7,1,1,0,0.9919,1.16812,-14.32
20,7,0,0,4,1,3,1,1,0,0.9915,2.1695,-16.785
21,6,0,0,2,1,3,1,1,0,0.991,2.68255,-18.075
22,7,0,0,3,1,3,1,1,0,0.9906,1.27391,-12.735
23,6,0,0,3,1,4,1,1,0,0.9901,2.46786,-17.785
24,5,0,0,3,1,3,1,1,0,0.9897,2.96914,-17.42
25,8,0,0,3,1,4,1,1,0,0.9892,1.36831,-17.703
26,15,0,0,2,1,5,1,1,0,0.9888,0.6517,-16.958
27,10,0,0,3,1,6,1,1,0,0.9883,1.10478,-18.303
28,5,0,0,2,1,3,1,1,0,0.9879,2.17689,-18.135
29,5,0,0,2,1,0,1,1,0,0.9874,2.97512,-16.82
30,7,0,0,2,1,4,1,1,0,0.9869,1.19087,-14.642
31,5,0,0,3,1,4,1,1,0,0.9865,3.12479,-18.386
32,9,0,0,4,1,3,1,1,0,0.986,1.52978,-17.434
33,10,0,0,3,1,4,1,1,0,0.9856,0.83992,-13.176
34,10,0,0,2,1,5,1,1,0,0.9851,1.31848,-15.397
35,26,0,0,2,1,10,1,1,0,0.9847,0.29502,-17.579
36,11,0,0,3,1,6,1,1,0,0.9842,0.95344,-18.689
37,6,0,0,3,1,4,1,1,0,0.9838,1.73462,-14.306
38,10,0,0,2,1,4,1,1,0,0.9833,0.5995,-14.91
39,22,0,0,6,1,10,1,1,0,0.9829,0.53469,-13.329
40,6,0,0,2,1,3,1,1,0,0.9825,2.27477,-12.96
41,5,0,0,4,1,3,1,1,0,0.982,1.9241,-17.186
42,10,0,0,3,1,3,1,1,0,0.9816,1.24555,-13.732
43,10,0,0,3,1,2,1,1,0,0.9811,1.10116,-16.435
44,11,0,0,3,1,5,1,1,0,0.9807,0.83322,-14.079
45,6,0,0,3,1,4,1,1,0,0.9802,1.43626,-18.232
46,8,0,0,4,1,3,1,1,0,0.9798,1.83839,-14.313
47,17,0,0,2,1,10,1,1,0,0.9793,0.59477,-20.796
48,13,0,0,3,1,7,1,1,0,0.9788,0.74733,-18.326
49,15,0,0,3,1,9,1,1,0,0.9784,0.59769,-19.459
50,5,0,0,3,1,3,1,1,0,0.9779,1.60595,-18.086
51,13,0,0,2,1,7,1,1,0,0.9775,1.35332,-17.97
52,10,0,0,2,1,3,1,1,0,0.977,1.04911,-16.481
53,9,0,0,2,1,5,1,1,0,0.9766,1.40762,-14.502
54,6,0,0,2,1,2,1,1,0,0.9761,2.04058,-13.101
55,7,0,0,2,1,2,1,1,0,0.9757,1.99756,-17.889
56,24,0,0,2,1,9,1,1,0,0.9752,0.26986,-15.411
57,13,0,0,3,1,7,1,1,0,0.9748,0.45497,-14.067
58,23,0,0,2,1,12,1,1,0,0.9744,0.30803,-16.249
59,5,0,0,3,1,2,1,1,0,0.9739,1.22127,-17.676
60,5,0,0,2,1,1,1,1,0,0.9735,1.78376,-15.81
61,7,0,0,2,1,3,1,1,0,0.973,1.87787,-13.765
62,7,0,0,3,1,3,1,1,0,0.9726,1.81633,-16.96
63,12,0,0,3,1,5,1,1,0,0.9721,0.68723,-18.267
64,5,0,0,3,1,3,1,1,0,0.9717,2.0771,-18.276
65,17,0,0,4,2,6,1,1,0,0.9712,0.73569,-14.659
66,5,0,0,4,1,2,1,1,0,0.9708,2.58248,-17.001
67,20,0,0,2,1,15,1,1,0,0.9703,0.32301,-24.377
68,12,0,0,3,1,5,1,1,0,0.9698,0.9318,-19.278
69,30,0,0,4,2,13,1,1,0,0.9694,0.43683,-19.277
70,10,0,0,1,1,7,1,1,0,0.9689,0.84997,-20.241
71,5,0,0,4,1,2,1,1,0,0.9685,2.37757,-20.271
72,9,0,0,1,1,2,1,1,0,0.968,0.61839,-12.806
73,43,0,0,3,2,21,1,1,0,0.9676,0.38811,-20.349
74,8,0,0,3,1,5,1,1,0,0.9671,0.42153,-13.114
75,18,0,0,3,1,9,1,1,0,0.9667,0.60943,-25.036
76,5,0,0,4,1,3,1,1,0,0.9663,1.82384,-22.876
77,14,0,0,3,1,9,1,1,0,0.9658,0.30925,-14.234
78,5,0,0,2,1,4,1,1,0,0.9654,2.89953,-19.839
79,15,0,0,4,2,8,1,1,0,0.9649,0.83877,-18.46
80,9,0,0,2,1,4,1,1,0,0.9645,1.08464,-20.479
81,6,0,0,2,1,1,1,1,0,0.964,1.47659,-19.115
82,9,0,0,4,1,5,1,1,0,0.9636,1.22362,-23.264
83,5,0,0,4,1,1,1,1,0,0.9631,1.68063,-20.67
84,5,0,0,4,1,3,1,1,0,0.9627,1.59101,-23.316
85,7,0,0,3,1,4,1,1,0,0.9622,1.61649,-24.17
86,19,0,0,2,1,10,1,1,0,0.9617,0.54419,-23.802
87,21,0,0,8,2,9,1,1,0,0.9613,0.55965,-19.559
88,14,0,0,2,1,4,1,1,0,0.9608,0.57701,-24.338
89,14,0,0,2,1,8,1,1,0,0.9604,0.46613,-21.998
90,9,0,0,1,1,5,1,1,0,0.9599,0.57189,-21.075
91,14,0,0,2,1,6,1,1,0,0.9595,1.0393,-14.665
92,5,0,0,4,1,3,1,1,0,0.959,1.38074,-22.646
93,16,0,0,2,1,7,1,1,0,0.9586,0.52494,-21.561
94,7,0,0,2,1,2,1,1,0,0.9582,1.19171,-12.154
95,11,0,0,4,1,6,1,1,0,0.9577,1.10318,-22.298
96,21,0,0,4,1,9,1,1,0,0.9573,0.37372,-20.707
97,7,0,0,3,1,3,1,1,0,0.9568,0.99708,-19.672
98,10,0,0,3,1,5,1,1,0,0.9564,0.43793,-25.057
99,7,0,0,4,1,3,1,1,0,0.9559,1.05572,-22.105
100,7,0,0,3,1,3,1,1,0,0.9555,1.81522,-12.503
101,7,0,0,3,1,2,1,1,0,0.955,1.06368,-19.37
102,18,0,0,1,1,7,1,1,0,0.9546,0.41642,-24.292
103,17,0,0,4,2,8,1,1,0,0.9541,1.02021,-14.532
104,14,0,0,4,1,9,1,1,0,0.9536,0.78956,-24.326
105,20,0,0,4,1,13,1,1,0,0.9532,0.43335,-27.064
106,10,0,0,3,1,6,1,1,0,0.9527,0.95639,-24.597
107,7,0,0,3,1,1,1,1,0,0.9523,1.63966,-22.752
108,10,0,0,3,1,6,1,1,0,0.9518,0.85305,-19.793
109,5,0,0,3,1,1,1,1,0,0.9514,1.81505,-25.149
110,6,0,0,2,1,3,1,1,0,0.9509,1.45207,-23.263
111,5,0,0,2,1,3,1,1,0,0.9505,2.05517,-23.13
112,5,0,0,2,1,2,1,1,0,0.95,1.77801,-26.564
113,8,0,0,1,1,2,1,1,0,0.9496,0.66785,-12.087
114,10,0,0,3,1,6,1,1,0,0.9492,0.89186,-20.655
115,6,0,0,3,1,3,1,1,0,0.9487,0.54501,-11.322
116,18,0,0,4,2,10,1,1,0,0.9483,0.64148,-21.861
117,5,0,0,3,1,1,1,1,0,0.9478,1.83483,-24.642
118,8,0,0,4,1,5,1,1,0,0.9474,0.55168,-26.691
119,9,0,0,2,1,6,1,1,0,0.9469,0.6515,-22.594
120,19,0,0,3,1,11,1,1,0,0.9465,0.2469,-23.489
121,12,0,0,3,1,6,1,1,0,0.946,0.84198,-28.225
122,16,0,0,5,1,7,1,1,0,0.9456,0.50494,-15.868
123,8,0,0,3,1,4,1,1,0,0.9451,1.75243,-22.024
124,7,0,0,2,1,3,1,1,0,0.9446,0.95069,-23.454
125,27,0,0,3,2,9,1,1,0,0.9442,0.51937,-20.488
126,8,0,0,3,1,2,1,1,0,0.9437,1.09485,-10.816
127,8,0,0,1,1,3,1,1,0,0.9433,1.25753,-14.523
128,6,0,0,3,1,3,1,1,0,0.9428,1.09578,-11.204
129,11,0,0,1,1,3,1,1,0,0.9424,0.57696,-11.828
130,12,0,0,3,1,4,1,1,0,0.9419,0.81632,-20.252
131,7,0,0,4,1,3,1,1,0,0.9415,1.31704,-27.6
132,17,0,0,2,1,8,1,1,0,0.941,0.22453,-13.41
133,5,0,0,3,1,2,1,1,0,0.9406,1.80011,-27.065
134,20,0,0,4,2,11,1,1,0,0.9402,0.5734,-21.373
135,7,0,0,4,1,2,1,1,0,0.9397,1.64306,-26.621
136,20,0,0,4,1,8,1,1,0,0.9393,0.70258,-18.206
