round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,20,0,0,6,3,1,1,1,0,0.25,0.34007,-17.539
2,13,0,0,3,2,4,1,1,0,0.2499,0.31824,-17.286
3,6,0,0,3,1,1,1,1,0,0.2498,0.31088,-8.22
4,7,0,0,3,1,1,1,1,0,0.2497,0.26653,-7.051
5,22,0,0,7,3,3,1,1,0,0.2495,0.60983,3.305
6,6,0,0,2,1,3,1,1,0,0.2494,1.32307,-55.12
7,66,0,0,30,9,14,1,1,0,0.2493,0.51458,72.71
8,7,0,0,1,1,0,1,1,0,0.2492,0.26565,-6.953
9,21,1,1,8,2,4,1,1,0,0.2491,0.39977,-11.126
10,14,0,0,4,2,2,1,1,0,0.249,0.75217,-27.398
11,13,0,0,3,2,1,1,1,0,0.2488,0.28514,-43.453
12,18,1,1,8,2,2,1,1,0,0.2487,0.28815,16.167
13,13,0,0,3,2,0,1,1,0,0.2486,0.42414,5.143
14,63,1,1,17,7,8,1,1,0,0.2485,0.21554,86.873
15,42,2,2,8,4,4,1,1,0,0.2484,0.22609,56.878
16,14,0,0,4,2,3,1,1,0,0.2483,1.26051,-27.413
17,9,0,0,2,1,2,1,1,0,0.2482,0.18691,-5.578
18,23,1,1,9,3,2,1,1,0,0.248,0.44699,6.994
19,68,1,1,22,8,11,1,1,0,0.2479,0.35307,104.448
20,23,0,0,11,3,4,1,1,0,0.2478,0.29798,19.761
21,18,0,0,6,2,2,1,1,0,0.2477,0.20021,10.283
22,13,0,0,3,2,1,1,1,0,0.2476,1.33774,-28.62
23,47,1,1,12,5,7,1,1,0,0.2475,0.35086,61.585
24,6,0,0,2,1,2,1,1,0,0.2474,1.64876,-9.033
25,29,0,0,7,3,5,1,1,0,0.2472,0.2335,20.849
26,79,1,1,18,10,11,1,1,0,0.2471,0.27191,91.277
27,35,1,1,9,4,4,1,1,0,0.247,0.1888,45.15
28,9,0,0,1,1,3,1,1,0,0.2469,0.2764,-6.422
29,47,0,0,14,6,7,1,1,0,0.2468,0.2214,39.102
30,34,2,2,11,4,5,1,1,0,0.2467,0.41665,44.477
31,7,0,0,1,1,2,1,1,0,0.2465,0.22979,-8.477
32,38,1,1,14,5,6,1,1,0,0.2464,0.24466,45.119
33,30,1,1,9,4,4,1,1,0,0.2463,0.23373,37.267
34,21,0,0,6,3,3,1,1,0,0.2462,0.91077,-25.484
35,5,0,0,3,1,1,1,1,0,0.2461,0.59414,-69.011
36,6,0,0,3,1,1,1,1,0,0.246,0.18663,-8.575
37,7,0,0,5,1,1,1,1,0,0.2459,0.19944,-5.514
38,14,0,0,4,2,2,1,1,0,0.2457,1.21915,-28.221
39,62,0,0,27,8,9,1,1,0,0.2456,0.30805,70.083
40,5,0,0,3,1,2,1,1,0,0.2455,0.08727,-26.064
41,24,0,0,8,3,3,1,1,0,0.2454,0.21679,19.087
42,6,0,0,2,1,2,1,1,0,0.2453,0.1052,-9.65
43,51,1,1,14,6,5,1,1,0,0.2452,0.50984,66.504
44,7,0,0,3,1,2,1,1,0,0.2451,0.46343,-8.211
45,13,0,0,4,2,2,1,1,0,0.2449,1.04707,-29.579
46,36,0,0,17,5,2,1,1,0,0.2448,0.431,42.253
47,6,0,0,3,1,2,1,1,0,0.2447,0.29775,-9.401
48,37,2,2,11,4,4,1,1,0,0.2446,0.6407,31.065
49,66,2,2,22,7,10,1,1,0,0.2445,0.49441,95.211
50,13,0,0,4,2,0,1,1,0,0.2444,0.55374,-13.11
51,5,0,0,2,1,0,1,1,0,0.2442,0.27804,-56.106
52,27,0,0,8,4,3,1,1,0,0.2441,0.38098,25.467
53,6,0,0,3,1,1,1,1,0,0.244,0.20194,-8.685
