round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,26,0,0,2,1,12,1,1,0,1.0,0.65514,-14.853
2,5,0,0,1,1,1,1,1,0,0.9997,2.974,-14.87
3,14,0,0,3,1,4,1,1,0,0.9994,0.8884,-12.214
4,22,0,0,3,1,15,1,1,0,0.9991,0.64134,-17.381
5,14,0,0,6,1,9,1,1,0,0.9988,0.75261,-14.024
6,6,0,0,0,1,1,1,1,0,0.9985,2.14042,-12.828
7,5,0,0,3,1,2,1,1,0,0.9982,2.9291,-15.043
8,9,0,0,1,1,3,1,1,0,0.9979,1.35926,-11.792
9,7,0,0,3,1,4,1,1,0,0.9976,1.59105,-11.65
10,12,0,0,2,1,6,1,1,0,0.9973,1.02724,-12.973
11,25,0,0,2,1,14,1,1,0,0.997,0.46069,-14.919
12,9,0,0,3,1,4,1,1,0,0.9967,0.8833,-10.401
13,9,0,0,4,1,3,1,1,0,0.9964,1.13789,-11.974
14,11,0,0,3,1,7,1,1,0,0.9961,0.95691,-12.244
15,14,0,0,2,1,7,1,1,0,0.9958,1.10047,-17.079
16,6,0,0,3,1,4,1,1,0,0.9955,1.61555,-11.55
17,19,0,0,6,1,11,1,1,0,0.9952,0.57103,-13.696
18,10,0,0,4,1,8,1,1,0,0.995,1.37623,-16.817
19,11,0,0,3,1,7,1,1,0,0.9947,0.96422,-11.961
20,7,0,0,4,1,3,1,1,0,0.9944,1.9189,-14.597
21,6,0,0,2,1,3,1,1,0,0.9941,2.3096,-15.517
22,7,0,0,3,1,3,1,1,0,0.9938,1.19156,-10.342
23,6,0,0,3,1,4,1,1,0,0.9935,2.16224,-15.396
24,5,0,0,3,1,3,1,1,0,0.9932,2.58517,-15.035
25,8,0,0,3,1,4,1,1,0,0.9929,1.35608,-15.35
26,15,0,0,2,1,5,1,1,0,0.9926,0.66869,-14.452
27,10,0,0,3,1,6,1,1,0,0.9923,1.08366,-15.947
28,5,0,0,2,1,3,1,1,0,0.992,2.10792,-15.542
29,5,0,0,2,1,0,1,1,0,0.9917,2.4831,-14.235
30,7,0,0,2,1,4,1,1,0,0.9914,1.19851,-12.037
31,5,0,0,3,1,4,1,1,0,0.9911,2.70623,-15.924
32,9,0,0,4,1,3,1,1,0,0.9908,1.33742,-15.176
33,10,0,0,3,1,4,1,1,0,0.9905,0.77344,-10.781
34,10,0,0,3,1,6,1,1,0,0.9902,0.85879,-12.278
35,18,0,0,2,1,11,1,1,0,0.9899,0.48739,-15.327
36,8,0,0,2,1,4,1,1,0,0.9896,1.38332,-12.192
37,13,0,0,3,1,7,1,1,0,0.9893,0.77405,-12.831
38,5,0,0,4,1,4,1,1,0,0.989,2.47076,-15.624
39,5,0,0,2,1,2,1,1,0,0.9887,2.01262,-15.059
40,5,0,0,3,1,2,1,1,0,0.9884,2.27,-11.035
41,10,0,0,4,1,5,1,1,0,0.9881,0.98942,-15.929
42,6,0,0,4,1,4,1,1,0,0.9878,1.93032,-17.31
43,6,0,0,3,1,3,1,1,0,0.9875,1.33784,-15.388
44,13,0,0,3,1,7,1,1,0,0.9872,0.58489,-11.657
45,7,0,0,2,1,2,1,1,0,0.9869,1.50875,-13.177
46,10,0,0,3,1,4,1,1,0,0.9866,0.68759,-10.643
47,9,0,0,3,1,4,1,1,0,0.9863,1.06226,-14.023
48,14,0,0,3,1,6,1,1,0,0.986,0.53778,-14.619
49,5,0,0,4,1,3,1,1,0,0.9858,1.62427,-15.331
50,12,0,0,2,1,8,1,1,0,0.9855,0.66718,-16.396
51,9,0,0,2,1,7,1,1,0,0.9852,0.92823,-15.729
52,7,0,0,0,1,3,1,1,0,0.9849,1.04527,-11.736
53,10,0,0,2,1,7,1,1,0,0.9846,0.86646,-15.772
54,10,0,0,2,1,3,1,1,0,0.9843,1.05405,-10.822
55,6,0,0,1,1,3,1,1,0,0.984,1.93821,-11.809
56,16,0,0,4,2,8,1,1,0,0.9837,1.04312,-15.751
57,9,0,0,3,1,5,1,1,0,0.9834,1.12694,-11.252
58,6,0,0,2,1,2,1,1,0,0.9831,1.82919,-11.859
59,7,0,0,3,1,2,1,1,0,0.9828,1.43322,-16.489
60,24,0,0,0,1,9,1,1,0,0.9825,0.35747,-17.477
61,13,0,0,2,1,7,1,1,0,0.9822,0.89928,-15.213
62,7,0,0,2,1,3,1,1,0,0.9819,1.45047,-13.545
63,14,0,0,3,1,10,1,1,0,0.9816,0.59711,-16.348
64,5,0,0,3,1,3,1,1,0,0.9813,2.03975,-18.659
65,16,0,0,3,1,10,1,1,0,0.981,0.43973,-16.071
66,9,0,0,4,1,4,1,1,0,0.9807,1.07314,-18.59
67,9,0,0,4,1,5,1,1,0,0.9804,1.43068,-12.751
68,13,0,0,3,1,7,1,1,0,0.9801,0.91449,-18.676
69,5,0,0,3,1,3,1,1,0,0.9798,2.16685,-18.305
70,5,0,0,3,1,3,1,1,0,0.9795,1.91092,-18.611
71,5,0,0,4,1,1,1,1,0,0.9792,2.1432,-17.589
72,5,0,0,1,1,2,1,1,0,0.9789,1.90032,-18.935
73,5,0,0,2,1,2,1,1,0,0.9786,2.39935,-18.835
74,23,0,0,3,1,14,1,1,0,0.9783,0.39939,-19.115
75,7,0,0,1,1,2,1,1,0,0.978,1.38747,-15.195
76,5,0,0,4,1,2,1,1,0,0.9777,1.69718,-16.867
77,7,0,0,3,1,4,1,1,0,0.9774,1.05198,-15.026
78,5,0,0,2,1,1,1,1,0,0.9771,2.04877,-14.89
79,18,0,0,2,1,7,1,1,0,0.9768,0.35037,-17.564
80,9,0,0,3,1,3,1,1,0,0.9765,0.82937,-14.512
81,5,0,0,3,1,3,1,1,0,0.9762,2.13829,-19.943
82,18,0,0,4,1,10,1,1,0,0.976,0.54512,-23.848
83,14,0,0,4,1,8,1,1,0,0.9757,0.78644,-22.843
84,5,0,0,4,1,3,1,1,0,0.9754,2.17324,-21.286
85,7,0,0,1,1,2,1,1,0,0.9751,1.21358,-10.538
86,7,0,0,1,1,2,1,1,0,0.9748,1.7032,-17.873
87,6,0,0,2,1,1,1,1,0,0.9745,1.76523,-10.644
88,7,0,0,5,1,3,1,1,0,0.9742,1.36043,-14.411
89,8,0,0,4,1,2,1,1,0,0.9739,1.15154,-17.095
90,10,0,0,3,1,7,1,1,0,0.9736,0.62721,-11.766
91,5,0,0,3,1,4,1,1,0,0.9733,2.23372,-18.172
92,15,0,0,4,2,8,1,1,0,0.973,0.50311,-16.496
93,5,0,0,2,1,1,1,1,0,0.9727,2.05928,-16.047
94,10,0,0,2,1,3,1,1,0,0.9724,1.00682,-11.168
95,9,0,0,4,1,5,1,1,0,0.9721,0.89338,-22.311
96,5,0,0,3,1,1,1,1,0,0.9718,1.44865,-13.286
97,5,0,0,3,1,3,1,1,0,0.9715,1.83208,-21.397
98,7,0,0,3,1,4,1,1,0,0.9712,1.25723,-21.516
99,19,0,0,4,1,11,1,1,0,0.9709,0.37905,-21.501
100,21,0,0,7,2,9,1,1,0,0.9706,0.66955,-13.796
101,14,0,0,4,1,4,1,1,0,0.9703,0.7458,-20.864
102,14,0,0,1,1,8,1,1,0,0.97,0.61931,-17.537
103,9,0,0,1,1,4,1,1,0,0.9697,1.1742,-19.274
104,14,0,0,3,1,6,1,1,0,0.9694,0.73811,-17.324
105,5,0,0,4,1,3,1,1,0,0.9691,1.77924,-22.692
106,16,0,0,4,1,7,1,1,0,0.9688,0.70458,-17.897
107,7,0,0,3,1,2,1,1,0,0.9685,1.14877,-9.588
108,20,0,0,7,2,8,1,1,0,0.9682,0.6299,-10.214
109,17,0,0,2,1,8,1,1,0,0.9679,0.45024,-19.85
110,10,0,0,2,1,5,1,1,0,0.9676,1.24034,-17.004
111,5,0,0,2,1,1,1,1,0,0.9673,2.36354,-15.052
112,8,0,0,2,1,2,1,1,0,0.967,1.30104,-22.662
113,24,0,0,1,1,10,1,1,0,0.9667,0.39456,-20.131
114,33,0,0,4,1,17,1,1,0,0.9665,0.26766,-24.927
115,5,0,0,2,1,2,1,1,0,0.9662,1.90488,-22.631
116,16,0,0,2,1,8,1,1,0,0.9659,0.5863,-13.659
117,10,0,0,3,1,6,1,1,0,0.9656,0.7567,-24.248
118,7,0,0,4,1,2,1,1,0,0.9653,1.32278,-22.615
119,10,0,0,3,1,6,1,1,0,0.965,1.22462,-15.917
120,5,0,0,4,1,1,1,1,0,0.9647,1.73277,-22.548
121,6,0,0,3,1,3,1,1,0,0.9644,1.79994,-20.719
122,5,0,0,3,1,3,1,1,0,0.9641,2.235,-20.558
123,5,0,0,3,1,2,1,1,0,0.9638,1.45818,-23.409
124,8,0,0,1,1,2,1,1,0,0.9635,1.2845,-10.137
125,10,0,0,2,1,6,1,1,0,0.9632,0.76422,-18.355
126,6,0,0,3,1,3,1,1,0,0.9629,0.81131,-9.315
127,18,0,0,3,2,10,1,1,0,0.9626,0.65962,-19.542
128,5,0,0,4,1,1,1,1,0,0.9623,1.43251,-22.512
129,8,0,0,3,1,5,1,1,0,0.962,1.07599,-21.824
130,9,0,0,3,1,6,1,1,0,0.9617,0.67268,-18.308
131,19,0,0,3,1,11,1,1,0,0.9614,0.31609,-20.172
132,12,0,0,3,1,6,1,1,0,0.9611,0.53394,-24.664
133,16,0,0,2,1,8,1,1,0,0.9608,0.29389,-12.12
134,8,0,0,4,1,4,1,1,0,0.9605,1.24192,-20.887
135,7,0,0,4,1,3,1,1,0,0.9602,1.16587,-20.606
136,27,0,0,3,2,9,1,1,0,0.9599,0.4995,-19.158
137,8,0,0,1,1,1,1,1,0,0.9596,1.49519,-18.069
138,8,0,0,3,1,3,1,1,0,0.9593,0.78953,-10.009
139,6,0,0,2,1,3,1,1,0,0.959,0.69915,-9.851
140,11,0,0,3,1,5,1,1,0,0.9587,0.27913,-10.656
141,12,0,0,1,1,3,1,1,0,0.9584,0.91809,-9.719
142,7,0,0,4,1,3,1,1,0,0.9581,1.26851,-23.275
143,17,0,0,3,1,8,1,1,0,0.9578,0.22449,-11.986
144,5,0,0,4,1,2,1,1,0,0.9575,1.72161,-23.213
145,20,0,0,5,2,11,1,1,0,0.9573,0.70253,-19.407
146,7,0,0,2,1,2,1,1,0,0.957,1.84819,-14.147
147,29,0,0,8,2,16,1,1,0,0.9567,0.39141,-16.7
148,7,0,0,3,1,5,1,1,0,0.9564,1.53524,-21.362
149,35,0,0,1,1,15,1,1,0,0.9561,0.22486,-22.047
150,5,0,0,2,1,3,1,1,0,0.9558,2.02576,-24.694
151,7,0,0,3,1,2,1,1,0,0.9555,1.44649,-23.798
152,5,0,0,2,1,3,1,1,0,0.9552,2.09809,-26.036
153,20,0,0,6,1,13,1,1,0,0.9549,0.45331,-16.75
154,10,0,0,3,1,5,1,1,0,0.9546,0.66506,-26.041
155,7,0,0,3,1,4,1,1,0,0.9543,1.0486,-16.943
156,11,0,0,3,1,4,1,1,0,0.954,0.60045,-25.926
157,31,0,0,3,1,14,1,1,0,0.9537,0.26301,-26.614
158,10,0,0,1,1,2,1,1,0,0.9534,1.05653,-9.97
159,9,0,0,3,1,3,1,1,0,0.9531,0.93081,-21.151
160,6,0,0,1,1,3,1,1,0,0.9528,1.61633,-11.803
161,10,0,0,3,1,3,1,1,0,0.9525,1.08605,-12.004
162,30,0,0,5,2,13,1,1,0,0.9522,0.47566,-25.714
163,11,0,0,2,1,2,1,1,0,0.9519,0.35465,-8.819
