round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,22,0,0,5,3,3,1,1,0,0.25,0.72769,13.342
2,22,0,0,8,3,1,1,1,0,0.2499,0.206,42.557
3,38,1,1,11,3,3,1,1,0,0.2499,0.17988,81.094
4,35,1,1,15,4,1,1,1,0,0.2498,0.52511,77.269
5,22,0,0,4,3,1,1,1,0,0.2497,1.24703,23.77
6,6,0,0,2,1,1,1,1,0,0.2497,0.2795,1.541
7,20,0,0,5,3,0,1,1,0,0.2496,0.34077,12.807
8,32,0,0,11,4,3,1,1,0,0.2496,0.51922,60.92
9,13,0,0,3,2,3,1,1,0,0.2495,1.9146,11.207
10,38,1,1,8,4,9,1,1,0,0.2494,0.57127,39.982
11,51,0,0,13,6,5,1,1,0,0.2494,0.26767,110.285
12,15,0,0,5,2,3,1,1,0,0.2493,0.21948,26.009
13,192,3,3,56,18,16,1,1,0,0.2492,0.3029,492.363
14,39,1,1,13,4,5,1,1,0,0.2492,0.21488,92.039
15,31,0,0,8,4,5,1,1,0,0.2491,0.7171,42.815
16,13,0,0,6,2,1,1,1,0,0.2491,0.15376,19.13
17,14,0,0,4,2,2,1,1,0,0.249,0.21163,21.967
18,14,0,0,3,2,2,1,1,0,0.2489,1.10334,14.905
19,6,0,0,3,1,1,1,1,0,0.2489,0.14379,3.051
20,14,0,0,4,2,3,1,1,0,0.2488,0.26025,8.773
21,55,1,1,14,6,5,1,1,0,0.2487,0.22988,127.711
22,8,0,0,2,1,1,1,1,0,0.2487,0.24758,6.554
23,23,0,0,4,3,1,1,1,0,0.2486,0.23381,41.693
24,27,1,1,10,3,2,1,1,0,0.2486,0.23678,48.984
25,13,0,0,5,2,0,1,1,0,0.2485,0.11976,21.986
26,15,0,0,8,2,3,1,1,0,0.2484,1.2546,9.14
27,14,0,0,7,2,2,1,1,0,0.2484,1.28504,8.109
28,14,0,0,3,2,2,1,1,0,0.2483,0.20096,22.468
29,22,0,0,7,3,4,1,1,0,0.2482,0.2139,17.427
30,8,0,0,1,1,2,1,1,0,0.2482,0.22142,5.767
31,37,0,0,9,4,7,1,1,0,0.2481,0.41576,82.257
32,77,1,1,24,8,7,1,1,0,0.2481,0.23643,182.48
33,33,2,2,7,4,4,1,1,0,0.248,0.65794,69.325
34,13,0,0,4,2,1,1,1,0,0.2479,1.3774,6.321
35,13,0,0,4,2,2,1,1,0,0.2479,0.23327,20.44
36,60,1,1,9,6,8,0,1,0,0.2478,0.40839,138.635
37,14,0,0,3,2,4,1,1,0,0.2477,2.20407,-0.032
38,13,0,0,4,2,4,1,1,0,0.2477,0.21993,-19.889
39,13,0,0,5,2,0,1,1,0,0.2476,0.10117,20.816
40,40,0,0,13,5,5,1,1,0,0.2476,0.50558,85.525
41,42,1,1,10,5,4,1,1,0,0.2475,0.27508,93.028
42,20,1,1,8,2,5,1,1,0,0.2474,1.72119,16.771
43,22,0,0,9,3,6,1,1,0,0.2474,1.172,14.497
44,8,0,0,3,1,5,1,1,0,0.2473,2.38624,-7.999
45,24,0,0,10,3,3,1,1,0,0.2472,0.19894,46.593
46,7,0,0,2,1,0,1,1,0,0.2472,0.14333,4.907
47,13,0,0,7,2,0,1,1,0,0.2471,0.18342,22.079
48,92,1,1,26,9,10,1,1,0,0.2471,0.22321,216.019
49,26,1,1,6,3,6,1,1,0,0.247,0.53444,57.899
50,14,0,0,4,2,1,1,1,0,0.2469,0.11646,21.29
51,13,0,0,5,2,1,1,1,0,0.2469,0.14221,19.966
52,10,0,0,6,1,1,1,1,0,0.2468,0.15753,13.072
53,36,0,0,10,4,4,1,1,0,0.2467,0.89785,50.59
54,31,0,0,16,4,4,1,1,0,0.2467,0.28663,26.579
55,15,0,0,9,2,0,1,1,0,0.2466,0.19756,27.143
56,45,1,1,15,5,7,1,1,0,0.2466,0.39734,95.571
57,6,0,0,2,1,0,1,1,0,0.2465,0.62132,2.88
58,54,1,1,20,7,5,1,1,0,0.2464,0.39926,125.006
59,62,2,2,24,7,8,1,1,0,0.2464,0.60775,124.253
60,6,0,0,3,1,2,1,1,0,0.2463,0.20567,2.477
61,36,0,0,15,5,6,1,1,0,0.2462,0.66623,63.473
62,25,1,1,8,3,2,1,1,0,0.2462,0.17767,42.437
63,22,0,0,11,3,7,1,1,0,0.2461,1.11991,34.81
64,31,0,0,11,4,3,1,1,0,0.2461,0.17838,63.74
65,18,1,1,7,2,1,1,1,0,0.246,0.17563,25.624
66,14,0,0,6,2,3,1,1,0,0.2459,0.20172,1.589
67,33,0,0,14,4,7,1,1,0,0.2459,0.25314,67.248
68,53,1,1,20,6,7,1,1,0,0.2458,0.26635,124.961
69,16,0,0,9,2,3,1,1,0,0.2457,0.29625,26.947
70,7,0,0,3,1,3,1,1,0,0.2457,0.13394,4.199
71,35,0,0,13,4,5,1,1,0,0.2456,0.17222,72.103
72,24,0,0,5,3,4,1,1,0,0.2456,0.41511,43.798
73,27,1,1,9,3,3,1,1,0,0.2455,0.24659,62.965
74,13,0,0,5,2,3,1,1,0,0.2454,2.10125,-1.236
75,13,0,0,3,2,1,1,1,0,0.2454,0.34751,19.974
76,5,0,0,3,1,1,1,1,0,0.2453,3.86652,-36.966
77,5,0,0,3,1,2,1,1,0,0.2452,3.8462,-36.16
78,35,1,1,12,4,5,1,1,0,0.2452,0.51867,66.556
79,13,0,0,9,2,0,1,1,0,0.2451,0.19356,23.369
80,13,0,0,5,2,1,1,1,0,0.2451,0.20792,19.967
81,32,0,0,14,4,6,1,1,0,0.245,0.3986,59.407
82,17,0,0,5,2,2,1,1,0,0.2449,0.13612,29.075
83,7,0,0,3,1,1,1,1,0,0.2449,0.18136,4.836
84,34,0,0,14,4,4,1,1,0,0.2448,0.60574,50.795
85,6,0,0,3,1,1,1,1,0,0.2447,0.17704,2.797
86,131,4,4,33,13,12,1,1,0,0.2447,0.29881,319.836
87,17,0,0,8,2,1,1,1,0,0.2446,0.18732,30.18
88,5,0,0,3,1,0,1,1,0,0.2446,0.21009,-51.031
89,13,0,0,5,2,5,1,1,0,0.2445,1.23446,7.97
90,13,0,0,5,2,1,1,1,0,0.2444,0.16267,21.1
91,13,0,0,5,2,3,1,1,0,0.2444,1.49562,-1.936
92,54,1,1,20,6,3,1,1,0,0.2443,0.27635,131.913
93,5,0,0,3,1,1,1,1,0,0.2442,3.53449,-35.208
94,8,0,0,3,1,0,1,1,0,0.2442,0.13234,7.43
95,6,0,0,3,1,1,1,1,0,0.2441,0.23535,3.186
96,30,0,0,10,4,3,1,1,0,0.2441,0.22823,61.622
97,97,3,3,19,8,16,1,1,0,0.244,0.37346,239.067
98,24,0,0,7,3,5,1,1,0,0.2439,0.69637,21.518
99,29,1,1,13,3,3,1,1,0,0.2439,0.16251,69.495
100,15,0,0,9,2,3,1,1,0,0.2438,0.17694,25.756
101,7,0,0,2,1,2,1,1,0,0.2437,0.08654,4.502
102,22,1,1,9,2,4,1,1,0,0.2437,0.13615,36.841
103,6,0,0,2,1,1,1,1,0,0.2436,0.1847,2.541
104,21,0,0,8,3,5,1,1,0,0.2436,1.02097,11.878
105,13,0,0,4,2,2,1,1,0,0.2435,0.14827,19.275
106,18,1,1,6,2,1,1,1,0,0.2434,0.69599,21.721
107,9,0,0,3,1,2,1,1,0,0.2434,0.10209,8.745
108,24,1,1,6,3,4,1,1,0,0.2433,0.56942,42.855
109,13,0,0,4,2,2,1,1,0,0.2432,0.38495,19.928
110,14,0,0,3,2,4,1,1,0,0.2432,1.56662,-1.558
111,6,0,0,2,1,2,1,1,0,0.2431,0.09812,2.192
112,19,1,1,5,2,3,1,1,0,0.2431,0.96603,29.999
113,20,0,0,7,3,2,1,1,0,0.243,1.16309,13.452
114,13,0,0,5,2,5,1,1,0,0.2429,1.74658,-3.52
115,22,1,1,6,2,3,1,1,0,0.2429,0.41043,39.701
116,13,0,0,5,2,4,1,1,0,0.2428,1.17925,-2.807
117,14,0,0,7,2,1,1,1,0,0.2427,0.35168,23.588
118,16,0,0,7,2,2,1,1,0,0.2427,0.21114,27.58
119,45,2,2,17,5,3,1,1,0,0.2426,0.13645,112.467
120,19,1,1,7,2,2,1,1,0,0.2426,0.08804,40.845
121,55,1,1,12,6,11,1,1,0,0.2425,0.30836,112.993
122,76,3,3,28,7,4,1,1,0,0.2424,0.15551,192.971
123,13,0,0,3,2,3,1,1,0,0.2424,1.32594,4.444
124,7,0,0,3,1,0,1,1,0,0.2423,0.14568,5.435
125,15,0,0,7,2,5,1,1,0,0.2422,1.4362,8.419
126,7,0,0,2,1,0,1,1,0,0.2422,0.16099,5.161
127,6,0,0,2,1,1,1,1,0,0.2421,0.13594,2.751
128,21,0,0,6,3,2,1,1,0,0.2421,0.93874,16.227
129,22,0,0,8,3,3,1,1,0,0.242,0.94841,17.345
130,35,2,2,9,4,5,1,1,0,0.2419,0.5138,64.936
131,25,0,0,12,3,2,1,1,0,0.2419,0.17328,51.263
132,83,2,2,21,8,6,1,1,0,0.2418,0.17433,200.257
133,19,1,1,9,2,5,1,1,0,0.2417,1.34661,13.071
134,22,0,0,10,3,4,1,1,0,0.2417,0.19491,42.28
135,5,0,0,4,1,2,1,1,0,0.2416,0.40325,-51.147
136,7,0,0,3,1,2,1,1,0,0.2416,0.15977,4.796
137,13,0,0,5,2,0,1,1,0,0.2415,0.1416,-17.052
138,24,1,1,9,3,0,1,1,0,0.2414,0.15879,53.64
139,31,0,0,10,4,2,1,1,0,0.2414,0.17279,65.038
140,36,0,0,8,4,2,1,1,0,0.2413,0.37132,79.19
141,14,0,0,4,2,5,1,1,0,0.2412,1.09117,4.995
142,78,4,4,24,7,5,1,1,0,0.2412,0.25917,179.444
143,20,0,0,10,3,3,1,1,0,0.2411,0.73818,21.727
144,30,0,0,15,4,3,1,1,0,0.2411,0.44586,51.545
145,19,1,1,7,2,6,1,1,0,0.241,0.77475,23.01
146,8,0,0,3,1,4,1,1,0,0.2409,0.30201,5.821
147,6,0,0,2,1,2,1,1,0,0.2409,0.32808,1.939
148,19,1,1,8,2,2,1,1,0,0.2408,0.79922,13.025
149,8,0,0,3,1,1,1,1,0,0.2407,0.13433,7.441
150,46,1,1,8,4,4,1,1,0,0.2407,0.44915,109.857
151,21,0,0,6,3,3,1,1,0,0.2406,0.43763,38.101
152,7,0,0,5,1,2,1,1,0,0.2406,0.11176,5.7
153,6,0,0,3,1,1,1,1,0,0.2405,0.1551,3.221
154,17,1,1,6,2,5,1,1,0,0.2404,0.50822,21.386
155,16,0,0,9,2,1,1,1,0,0.2404,0.21536,29.436
