round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,6,0,0,1,1,3,1,1,0,1.0,1.89042,-11.042
2,7,0,0,3,1,4,1,1,0,0.9997,1.60869,-11.089
3,12,0,0,4,1,3,1,1,0,0.9994,1.30561,-15.289
4,6,0,0,2,1,4,1,1,0,0.9991,2.68074,-16.483
5,7,0,0,2,1,4,1,1,0,0.9988,2.19828,-16.233
6,9,0,0,3,1,5,1,1,0,0.9985,1.12711,-12.012
7,16,0,0,5,1,6,1,1,0,0.9982,0.96281,-16.584
8,6,0,0,3,1,4,1,1,0,0.9979,2.00359,-11.936
9,10,0,0,3,1,5,1,1,0,0.9976,1.61397,-17.944
10,6,0,0,3,1,3,1,1,0,0.9973,2.42344,-16.76
11,5,0,0,3,1,3,1,1,0,0.997,2.54263,-16.153
12,6,0,0,4,1,3,1,1,0,0.9967,2.42945,-17.392
13,9,0,0,3,1,6,1,1,0,0.9964,1.39793,-13.081
14,6,0,0,2,1,3,1,1,0,0.9961,1.55009,-11.792
15,6,0,0,4,1,3,1,1,0,0.9958,2.21737,-17.536
16,6,0,0,4,1,3,1,1,0,0.9955,2.20674,-17.954
17,6,0,0,4,1,3,1,1,0,0.9952,2.39177,-17.274
18,7,0,0,3,1,3,1,1,0,0.995,1.90911,-18.68
19,16,0,0,3,1,8,1,1,0,0.9947,0.91307,-17.712
20,6,0,0,4,1,5,1,1,0,0.9944,2.43674,-18.252
21,33,0,0,3,2,13,1,1,0,0.9941,0.55846,-17.718
22,8,0,0,2,1,5,1,1,0,0.9938,1.16423,-14.69
23,6,0,0,4,1,4,1,1,0,0.9935,2.23243,-19.657
24,23,0,0,6,2,12,1,1,0,0.9932,0.78526,-23.264
25,7,0,0,3,1,3,1,1,0,0.9929,1.64658,-18.255
26,7,0,0,3,1,4,1,1,0,0.9926,1.77962,-21.036
27,22,0,0,2,1,9,1,1,0,0.9923,0.75444,-21.931
28,5,0,0,4,1,3,1,1,0,0.992,2.37002,-17.55
29,8,0,0,3,1,1,1,1,0,0.9917,0.92097,-12.522
30,7,0,0,3,1,3,1,1,0,0.9914,1.72781,-12.667
31,14,0,0,3,1,8,1,1,0,0.9911,0.82691,-28.426
32,11,0,0,4,1,5,1,1,0,0.9908,1.21562,-25.557
33,19,0,0,3,2,12,1,1,0,0.9905,1.07546,-18.434
34,9,0,0,2,1,5,1,1,0,0.9902,0.92491,-14.496
35,8,0,0,1,1,3,1,1,0,0.9899,1.53897,-12.731
36,5,0,0,3,1,1,1,1,0,0.9896,2.09372,-10.454
37,5,0,0,2,1,1,1,1,0,0.9893,2.50796,-15.484
38,12,0,0,4,1,5,1,1,0,0.989,1.0038,-24.239
39,6,0,0,3,1,2,1,1,0,0.9887,2.01453,-21.075
40,8,0,0,2,1,2,1,1,0,0.9884,1.68732,-22.987
41,6,0,0,4,1,4,1,1,0,0.9881,1.78871,-21.694
42,11,0,0,3,1,7,1,1,0,0.9878,1.29411,-24.373
43,6,0,0,3,1,4,1,1,0,0.9875,2.34831,-21.159
44,26,0,0,6,2,11,1,1,0,0.9872,0.75402,-17.853
45,5,0,0,3,1,3,1,1,0,0.9869,2.22433,-19.705
46,6,0,0,4,1,4,1,1,0,0.9866,2.1255,-21.646
47,5,0,0,4,1,3,1,1,0,0.9863,2.4011,-20.798
48,9,0,0,3,1,8,1,1,0,0.986,1.16254,-27.157
49,9,0,0,3,1,4,1,1,0,0.9858,1.21503,-26.513
50,25,0,0,5,2,12,1,1,0,0.9855,0.49294,-26.603
51,10,0,0,4,1,4,1,1,0,0.9852,1.13049,-28.379
52,7,0,0,3,1,3,1,1,0,0.9849,1.79812,-14.244
53,6,0,0,2,1,4,1,1,0,0.9846,2.17917,-20.214
54,5,0,0,4,1,2,1,1,0,0.9843,2.7987,-21.531
55,6,0,0,3,1,4,1,1,0,0.984,1.60715,-22.918
56,5,0,0,2,1,3,1,1,0,0.9837,2.49431,-23.024
57,20,0,0,3,1,9,1,1,0,0.9834,0.81894,-27.317
58,7,0,0,2,1,2,1,1,0,0.9831,2.17994,-20.251
59,6,0,0,4,1,3,1,1,0,0.9828,2.60263,-24.116
60,9,0,0,4,1,4,1,1,0,0.9825,1.36647,-29.195
61,6,0,0,3,1,4,1,1,0,0.9822,2.08066,-25.003
62,9,0,0,2,1,6,1,1,0,0.9819,1.26428,-18.515
63,6,0,0,4,1,3,1,1,0,0.9816,1.58823,-24.902
64,5,0,0,2,1,2,1,1,0,0.9813,2.38635,-11.991
65,19,0,0,2,1,6,1,1,0,0.981,0.90991,-17.641
66,9,0,0,3,1,7,1,1,0,0.9807,1.77421,-31.263
67,7,0,0,0,1,4,1,1,0,0.9804,2.07676,-14.162
68,13,0,0,3,1,3,1,1,0,0.9801,1.04939,-21.554
69,7,0,0,3,1,5,1,1,0,0.9798,1.71755,-21.387
70,6,0,0,3,1,2,1,1,0,0.9795,1.77515,-13.7
71,9,0,0,2,1,4,1,1,0,0.9792,1.7829,-16.657
72,19,0,0,3,2,8,1,1,0,0.9789,1.00084,-23.442
73,14,0,0,1,1,5,1,1,0,0.9786,1.00645,-24.868
74,5,0,0,4,1,3,1,1,0,0.9783,1.86187,-24.674
75,5,0,0,3,1,3,1,1,0,0.978,2.76119,-18.509
76,23,0,0,5,2,14,1,1,0,0.9777,0.78637,-25.586
77,10,0,0,3,1,3,1,1,0,0.9774,1.41022,-25.142
78,5,0,0,4,1,1,1,1,0,0.9771,2.02811,-24.062
79,5,0,0,3,1,2,1,1,0,0.9768,2.34626,-19.804
80,23,0,0,2,1,12,1,1,0,0.9765,0.40744,-41.169
81,10,0,0,1,1,5,1,1,0,0.9762,1.1093,-21.032
82,8,0,0,5,1,2,1,1,0,0.976,1.21905,-13.033
83,10,0,0,2,1,6,1,1,0,0.9757,1.34491,-22.774
84,6,0,0,3,1,3,1,1,0,0.9754,2.07244,-26.672
85,18,0,0,5,1,9,1,1,0,0.9751,0.77509,-30.385
86,8,0,0,3,1,4,1,1,0,0.9748,0.64412,-17.56
87,5,0,0,4,1,3,1,1,0,0.9745,2.54141,-25.391
88,10,0,0,1,1,6,1,1,0,0.9742,0.74402,-21.084
89,5,0,0,4,1,2,1,1,0,0.9739,1.83592,-25.44
90,9,0,0,2,1,3,1,1,0,0.9736,1.10067,-20.079
91,21,0,0,3,1,10,1,1,0,0.9733,0.36478,-38.213
92,5,0,0,3,1,2,1,1,0,0.973,2.2027,-25.815
93,5,0,0,3,1,2,1,1,0,0.9727,1.942,-20.623
94,18,0,0,2,1,9,1,1,0,0.9724,0.69198,-30.855
95,19,0,0,2,1,10,1,1,0,0.9721,0.75306,-37.729
96,6,0,0,2,1,3,1,1,0,0.9718,2.66611,-22.625
97,15,0,0,1,1,6,1,1,0,0.9715,0.87212,-25.049
98,12,0,0,3,1,10,1,1,0,0.9712,1.45195,-25.2
99,5,0,0,2,1,3,1,1,0,0.9709,1.7911,-23.244
100,8,0,0,3,1,5,1,1,0,0.9706,0.59927,-20.088
101,23,0,0,4,2,13,1,1,0,0.9703,0.72918,-35.787
102,23,0,0,4,1,14,1,1,0,0.97,0.59599,-54.0
103,19,0,0,6,1,9,1,1,0,0.9697,0.65962,-34.459
104,10,0,0,2,1,2,1,1,0,0.9694,0.92501,-33.043
105,5,0,0,3,1,3,1,1,0,0.9691,2.13605,-27.485
106,10,0,0,3,1,5,1,1,0,0.9688,1.21481,-24.613
107,19,0,0,4,1,9,1,1,0,0.9685,0.67732,-49.295
108,15,0,0,4,1,8,1,1,0,0.9682,0.82192,-43.764
109,19,0,0,3,1,13,1,1,0,0.9679,0.64812,-53.642
110,5,0,0,0,1,3,1,1,0,0.9676,3.64182,-20.618
111,5,0,0,3,1,2,1,1,0,0.9673,2.61645,-26.615
112,16,0,0,3,1,7,1,1,0,0.967,0.39649,-33.639
113,11,0,0,4,1,6,1,1,0,0.9667,0.95692,-40.574
114,6,0,0,4,1,3,1,1,0,0.9665,1.40059,-25.785
115,7,0,0,2,1,3,1,1,0,0.9662,1.4407,-20.474
116,27,0,0,2,1,9,1,1,0,0.9659,0.91282,-32.733
117,16,0,0,3,1,7,1,1,0,0.9656,0.92807,-41.917
118,11,0,0,2,1,9,1,1,0,0.9653,1.08295,-28.393
119,5,0,0,4,1,3,1,1,0,0.965,3.03421,-24.571
120,10,0,0,2,1,8,1,1,0,0.9647,1.11312,-27.714
121,7,0,0,2,1,4,1,1,0,0.9644,1.62516,-14.751
122,13,0,0,2,1,4,1,1,0,0.9641,0.91505,-30.598
123,5,0,0,1,1,3,1,1,0,0.9638,2.74764,-19.678
124,5,0,0,3,1,3,1,1,0,0.9635,2.58505,-28.027
125,11,0,0,3,1,4,1,1,0,0.9632,0.92972,-28.106
126,10,0,0,3,1,5,1,1,0,0.9629,0.90574,-38.503
127,5,0,0,2,1,3,1,1,0,0.9626,2.51395,-21.817
128,13,0,0,1,1,8,1,1,0,0.9623,1.41759,-18.497
129,16,0,0,5,2,5,1,1,0,0.962,0.70455,-13.378
130,20,0,0,2,1,12,1,1,0,0.9617,0.62996,-45.959
131,14,0,0,3,1,6,1,1,0,0.9614,0.88083,-35.164
132,11,0,0,1,1,5,1,1,0,0.9611,0.95213,-26.238
133,16,0,0,3,1,9,1,1,0,0.9608,0.65342,-38.136
134,8,0,0,2,1,3,1,1,0,0.9605,1.46644,-21.567
135,6,0,0,3,1,1,1,1,0,0.9602,1.3367,-19.682
136,10,0,0,2,1,6,1,1,0,0.9599,1.23013,-36.508
137,7,0,0,2,1,3,1,1,0,0.9596,2.07838,-27.182
138,14,0,0,6,2,8,1,1,0,0.9593,1.02833,-25.701
139,6,0,0,3,1,3,1,1,0,0.959,2.31625,-21.245
140,6,0,0,4,1,3,1,1,0,0.9587,1.88802,-31.335
141,11,0,0,2,1,3,1,1,0,0.9584,0.42096,-27.956
142,9,0,0,3,1,2,1,1,0,0.9581,0.85597,-36.658
143,7,0,0,2,1,4,1,1,0,0.9578,1.38312,-20.91
144,6,0,0,3,1,3,1,1,0,0.9575,1.98976,-31.573
145,12,0,0,3,1,7,1,1,0,0.9573,0.76495,-32.013
146,9,0,0,1,1,4,1,1,0,0.957,1.15782,-24.224
147,14,0,0,5,2,5,1,1,0,0.9567,1.47474,-31.595
148,11,0,0,5,1,4,1,1,0,0.9564,1.13078,-26.792
149,5,0,0,4,1,3,1,1,0,0.9561,2.5022,-29.692
150,11,0,0,3,1,5,1,1,0,0.9558,0.90429,-29.007
151,6,0,0,2,1,3,1,1,0,0.9555,1.82552,-23.366
152,22,0,0,3,2,12,1,1,0,0.9552,0.69191,-33.787
153,11,0,0,2,1,7,1,1,0,0.9549,0.9168,-32.68
154,6,0,0,2,1,4,1,1,0,0.9546,2.16034,-23.707
155,6,0,0,3,1,3,1,1,0,0.9543,2.10186,-24.171
156,7,0,0,2,1,3,1,1,0,0.954,0.58693,-20.856
157,6,0,0,2,1,4,1,1,0,0.9537,2.02382,-14.837
