round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,21,0,0,10,3,3,1,1,0,0.25,0.49948,9.649
2,35,1,1,17,4,4,1,1,0,0.2499,0.61461,50.578
3,81,2,2,22,9,7,1,1,0,0.2499,0.54146,118.304
4,55,1,1,16,6,4,1,1,0,0.2498,0.56342,47.769
5,7,0,0,4,1,1,1,1,0,0.2497,1.43285,-34.763
6,40,0,0,20,5,6,1,1,0,0.2497,0.72592,11.237
7,48,1,1,14,5,5,1,1,0,0.2496,0.75425,49.203
8,7,0,0,6,1,0,1,1,0,0.2496,0.58684,-0.14
9,21,1,1,7,2,1,1,1,0,0.2495,0.61648,22.994
10,56,1,1,12,6,3,1,1,0,0.2494,0.9041,71.92
11,58,0,0,17,7,6,1,1,0,0.2494,0.59645,55.706
12,86,0,0,25,9,10,1,1,0,0.2493,0.57631,63.102
13,22,1,1,7,2,0,1,1,0,0.2492,0.51433,11.124
14,38,1,1,9,3,8,1,1,0,0.2492,0.6111,27.429
15,36,0,0,10,4,5,1,1,0,0.2491,0.65936,-1.28
16,19,0,0,6,2,7,1,1,0,0.2491,0.93827,-1.11
17,6,0,0,3,1,2,1,1,0,0.249,1.00385,-8.246
18,18,0,0,8,2,1,1,1,0,0.2489,0.41993,9.173
19,33,1,1,9,3,8,1,1,0,0.2489,0.46216,30.821
20,8,0,0,3,1,1,1,1,0,0.2488,0.42076,-2.444
21,31,3,3,13,3,6,1,1,0,0.2487,0.49491,29.515
22,10,0,0,2,1,0,1,1,0,0.2487,0.37427,-1.09
23,66,0,0,24,8,3,1,1,0,0.2486,0.65465,56.16
24,28,0,0,9,3,3,1,1,0,0.2486,0.70302,-13.95
25,48,0,0,16,6,7,1,1,0,0.2485,0.64382,37.215
26,41,0,0,12,5,4,1,1,0,0.2484,0.6493,12.992
27,8,0,0,5,1,1,1,1,0,0.2484,0.61434,-3.994
28,74,1,1,27,8,10,1,1,0,0.2483,0.585,80.94
29,64,0,0,8,3,7,1,1,0,0.2482,0.40143,12.45
30,19,0,0,6,1,3,1,1,0,0.2482,0.56264,-17.366
31,29,1,1,4,2,2,1,1,0,0.2481,0.3751,23.496
32,23,0,0,4,1,4,1,1,0,0.2481,0.3239,-44.714
33,9,0,0,4,1,1,1,1,0,0.248,0.18522,-50.19
34,24,0,0,6,2,3,1,1,0,0.2479,0.50942,6.934
35,7,0,0,4,1,0,1,1,0,0.2479,0.31284,-1.368
36,63,1,1,13,6,2,1,1,0,0.2478,0.54126,56.799
37,31,1,1,12,3,6,1,1,0,0.2477,0.84475,2.632
38,6,0,0,4,1,1,1,1,0,0.2477,0.13265,-51.014
39,63,0,0,8,3,12,1,1,0,0.2476,0.37292,25.092
40,7,0,0,2,1,1,1,1,0,0.2476,0.26353,-50.768
41,100,0,0,15,6,13,1,1,0,0.2475,0.43692,73.502
42,128,0,0,10,4,18,1,1,0,0.2474,0.313,68.493
43,62,0,0,7,3,10,1,1,0,0.2474,0.376,25.445
44,47,0,0,12,3,8,1,1,0,0.2473,0.65654,-24.387
45,29,0,0,6,4,8,1,1,0,0.2472,0.52674,1.127
46,24,0,0,8,3,6,1,1,0,0.2472,0.45531,7.263
47,91,1,1,22,8,12,1,1,0,0.2471,0.55987,53.925
48,95,1,1,20,8,8,1,1,0,0.2471,0.42108,79.747
49,5,0,0,3,1,0,1,1,0,0.247,0.17565,-51.315
50,69,0,0,16,5,11,1,1,0,0.2469,0.43835,25.549
51,68,0,0,13,5,7,1,1,0,0.2469,0.44157,69.598
52,15,0,0,3,1,3,1,1,0,0.2468,0.31832,-7.515
53,134,2,2,23,10,14,1,1,0,0.2467,0.42116,161.387
54,16,0,0,4,1,1,1,1,0,0.2467,0.25821,-49.877
55,57,0,0,10,4,7,1,1,0,0.2466,0.23127,23.766
56,28,0,0,5,1,4,1,1,0,0.2466,0.3745,0.929
57,137,0,0,9,4,21,1,1,0,0.2465,0.1997,76.323
58,14,0,0,2,1,1,1,1,0,0.2464,0.52422,-35.296
59,25,0,0,5,2,6,1,1,0,0.2464,0.47179,7.067
60,57,0,0,11,3,11,1,1,0,0.2463,0.37598,-13.012
61,128,0,0,18,8,10,1,1,0,0.2462,0.30525,69.558
62,58,1,1,11,3,6,1,1,0,0.2462,0.29389,25.821
63,169,2,2,28,10,25,1,1,0,0.2461,0.36654,108.365
64,123,1,1,28,8,14,1,1,0,0.2461,0.44536,81.421
65,8,0,0,5,1,3,1,1,0,0.246,0.6302,-17.007
66,25,0,0,3,1,1,1,1,0,0.2459,0.30661,-6.861
67,32,0,0,2,3,3,1,1,0,0.2459,0.55828,8.429
68,9,0,0,3,1,4,1,1,0,0.2458,0.31993,-9.61
69,53,4,4,12,4,4,1,1,0,0.2457,0.49606,70.446
70,8,0,0,4,1,2,1,1,0,0.2457,0.30431,-29.385
71,44,0,0,14,4,6,1,1,0,0.2456,0.47874,14.981
72,57,0,0,7,3,4,1,1,0,0.2456,0.3377,4.961
73,9,0,0,1,1,0,1,1,0,0.2455,0.51869,-6.343
74,99,0,0,24,7,12,1,1,0,0.2454,0.49404,24.983
75,87,2,2,18,4,11,1,1,0,0.2454,0.40044,42.928
76,139,1,1,16,5,11,1,1,0,0.2453,0.27874,47.147
77,106,3,3,12,5,9,1,1,0,0.2452,0.33905,80.074
78,5,0,0,4,1,1,1,1,0,0.2452,0.10915,-51.684
79,39,1,1,6,2,5,1,1,0,0.2451,0.29465,10.713
80,78,0,0,10,3,14,1,1,0,0.2451,0.30926,-4.816
81,13,0,0,3,1,1,1,1,0,0.245,0.23494,-52.468
82,6,0,0,0,1,1,1,1,0,0.2449,1.95572,-51.146
83,49,0,0,13,5,4,1,1,0,0.2449,0.71566,4.219
84,14,0,0,2,1,1,1,1,0,0.2448,0.33848,-9.686
85,5,0,0,3,1,1,1,1,0,0.2447,0.26512,-51.542
86,75,3,3,22,6,10,1,1,0,0.2447,0.44733,51.82
87,30,1,1,11,3,3,1,1,0,0.2446,0.69704,-30.785
88,53,0,0,4,4,5,1,1,0,0.2446,0.45003,6.859
89,35,0,0,11,3,9,1,1,0,0.2445,0.56007,-24.779
90,13,0,0,2,1,4,1,1,0,0.2444,0.31572,-12.42
91,76,2,2,14,5,5,1,1,0,0.2444,0.31993,35.806
92,60,0,0,14,5,6,1,1,0,0.2443,0.65638,-5.062
93,21,0,0,4,1,5,1,1,0,0.2442,0.70921,-16.969
94,25,0,0,9,2,1,1,1,0,0.2442,0.64582,-29.619
95,7,0,0,4,1,1,1,1,0,0.2441,0.13915,-51.847
96,31,0,0,8,2,2,1,1,0,0.2441,0.51696,-12.815
97,34,0,0,3,2,7,1,1,0,0.244,0.38561,-22.625
98,80,0,0,9,5,12,1,1,0,0.2439,0.45823,1.326
99,211,2,2,20,6,18,1,1,0,0.2439,0.22517,105.557
100,119,1,1,23,7,8,1,1,0,0.2438,0.45325,31.417
101,54,0,0,10,5,5,1,1,0,0.2437,0.33037,-4.687
102,6,0,0,3,1,0,1,1,0,0.2437,0.27146,-8.139
103,24,0,0,3,2,5,1,1,0,0.2436,0.43163,-14.862
104,43,0,0,11,4,7,1,1,0,0.2436,0.42594,4.066
105,179,1,1,19,7,18,1,1,0,0.2435,0.28508,66.211
106,306,5,5,33,13,28,1,1,0,0.2434,0.33281,132.207
107,26,0,0,4,1,5,1,1,0,0.2434,0.24043,-56.901
108,143,0,0,16,7,16,1,1,0,0.2433,0.26346,-9.667
109,28,0,0,2,2,2,1,1,0,0.2432,0.44474,-12.381
110,178,1,1,21,7,26,1,1,0,0.2432,0.3198,35.484
111,54,1,1,9,3,4,1,1,0,0.2431,0.34964,22.929
112,5,0,0,4,1,2,1,1,0,0.2431,0.08258,-52.316
113,5,0,0,4,1,0,1,1,0,0.243,0.09456,-51.527
114,50,0,0,5,3,8,1,1,0,0.2429,0.29101,-42.099
115,96,0,0,9,6,12,1,1,0,0.2429,0.37269,-24.368
116,15,0,0,4,1,3,1,1,0,0.2428,0.35184,-13.948
117,22,0,0,1,1,1,1,1,0,0.2427,0.21065,-9.186
118,11,0,0,3,1,1,1,1,0,0.2427,0.20973,-53.939
119,18,0,0,5,2,3,1,1,0,0.2426,0.27888,-10.187
120,20,0,0,5,2,5,1,1,0,0.2426,0.25029,-10.728
