round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,21,0,0,3,1,13,1,1,0,1.0,0.79492,-16.47
2,5,0,0,3,1,3,1,1,0,0.9997,3.0885,-15.442
3,12,0,0,2,1,2,1,1,0,0.9994,1.2444,-14.904
4,14,0,0,3,1,7,1,1,0,0.9991,0.92717,-13.065
5,20,0,0,3,1,12,1,1,0,0.9988,0.62472,-14.452
6,17,0,0,5,2,8,1,1,0,0.9985,0.97917,-14.046
7,9,0,0,5,1,4,1,1,0,0.9982,1.31169,-11.722
8,12,0,0,2,1,4,1,1,0,0.9979,1.05113,-12.716
9,9,0,0,3,1,6,1,1,0,0.9976,1.61935,-16.153
10,6,0,0,4,1,3,1,1,0,0.9973,2.22677,-14.922
11,20,0,0,6,1,9,1,1,0,0.997,0.6072,-13.708
12,39,0,0,6,2,20,1,1,0,0.9967,0.45269,-16.352
13,22,0,0,4,2,9,1,1,0,0.9964,0.62645,-11.596
14,12,0,0,2,1,7,1,1,0,0.9961,1.13219,-13.713
15,9,0,0,2,1,3,1,1,0,0.9958,1.22233,-11.172
16,12,0,0,3,1,1,1,1,0,0.9955,0.79728,-9.163
17,9,0,0,2,1,4,1,1,0,0.9952,1.27017,-12.006
18,10,0,0,2,1,4,1,1,0,0.995,1.21653,-13.192
19,6,0,0,3,1,2,1,1,0,0.9947,1.71451,-8.994
20,17,0,0,5,2,5,1,1,0,0.9944,0.73409,-9.691
21,6,0,0,3,1,4,1,1,0,0.9941,1.93504,-11.75
22,9,0,0,3,1,4,1,1,0,0.9938,1.3906,-13.846
23,7,0,0,2,1,0,1,1,0,0.9935,1.54511,-8.417
24,11,0,0,5,1,3,1,1,0,0.9932,1.15858,-9.17
25,17,0,0,3,1,6,1,1,0,0.9929,0.68537,-14.066
26,23,0,0,4,1,8,1,1,0,0.9926,0.40762,-11.732
27,21,0,0,6,2,9,1,1,0,0.9923,0.60912,-13.582
28,6,0,0,3,1,4,1,1,0,0.992,1.76316,-13.072
29,10,0,0,2,1,6,1,1,0,0.9917,1.04085,-14.177
30,6,0,0,3,1,2,1,1,0,0.9914,2.31078,-14.994
31,25,0,0,4,3,13,1,1,0,0.9911,0.67044,-14.217
32,21,0,0,2,1,8,1,1,0,0.9908,0.54599,-15.257
33,8,0,0,3,1,4,1,1,0,0.9905,1.31507,-14.764
34,15,0,0,4,2,6,1,1,0,0.9902,0.76092,-14.885
35,7,0,0,3,1,2,1,1,0,0.9899,1.69758,-11.881
36,42,0,0,7,3,18,1,1,0,0.9896,0.40076,-15.427
37,23,0,0,4,2,8,1,1,0,0.9893,0.5551,-12.22
38,10,0,0,2,1,3,1,1,0,0.989,1.04328,-10.166
39,6,0,0,2,1,3,1,1,0,0.9887,1.61797,-14.498
40,32,0,0,6,2,14,1,1,0,0.9884,0.41578,-12.664
41,33,0,0,5,3,13,1,1,0,0.9881,0.61615,-16.169
42,15,0,0,2,1,4,1,1,0,0.9878,0.62582,-14.964
43,22,0,0,5,1,11,1,1,0,0.9875,0.4968,-14.667
44,34,1,1,5,3,12,1,1,0,0.9872,0.47578,-9.661
45,5,0,0,4,1,3,1,1,0,0.9869,2.6269,-14.942
46,35,2,2,8,2,12,1,1,0,0.9866,0.51648,-14.211
47,25,0,0,7,2,9,1,1,0,0.9863,0.47054,-10.049
48,53,0,0,5,3,16,1,1,0,0.986,0.29586,-14.682
49,32,0,0,6,3,11,1,1,0,0.9858,0.49991,-10.785
50,29,0,0,4,2,9,1,1,0,0.9855,0.5416,-14.211
51,8,0,0,1,1,4,1,1,0,0.9852,1.47998,-12.097
52,14,0,0,6,2,8,1,1,0,0.9849,0.86693,-14.507
53,26,1,1,1,2,9,1,1,0,0.9846,0.60533,-16.356
54,26,0,0,3,3,11,1,1,0,0.9843,0.65412,-16.356
55,21,0,0,3,2,9,1,1,0,0.984,0.67176,-13.863
56,18,0,0,4,2,8,1,1,0,0.9837,0.80581,-14.798
57,38,1,1,9,3,14,1,1,0,0.9834,0.47256,-10.195
58,51,2,2,7,4,11,1,1,0,0.9831,0.31823,-8.331
59,13,0,0,3,2,3,1,1,0,0.9828,1.05596,-13.248
60,37,0,0,3,2,12,1,1,0,0.9825,0.34972,-14.528
61,10,0,0,3,1,3,1,1,0,0.9822,0.97025,-8.527
62,8,0,0,5,1,2,1,1,0,0.9819,1.26902,-15.444
63,25,0,0,5,2,9,1,1,0,0.9816,0.38404,-15.243
64,15,0,0,8,2,5,1,1,0,0.9813,0.6726,-13.236
65,47,1,1,7,3,21,1,1,0,0.981,0.36239,-17.375
66,27,1,1,10,3,7,1,1,0,0.9807,0.53624,-8.926
67,27,0,0,5,2,9,1,1,0,0.9804,0.47765,-7.561
68,20,0,0,5,2,7,1,1,0,0.9801,0.6553,-15.082
69,30,1,1,5,3,11,1,1,0,0.9798,0.56158,-9.293
70,29,0,0,8,3,9,1,1,0,0.9795,0.55089,-9.543
71,41,1,1,4,4,6,1,1,0,0.9792,0.41907,-5.593
72,18,0,0,2,1,7,1,1,0,0.9789,0.70253,-16.069
73,15,0,0,6,2,5,1,1,0,0.9786,0.73115,-13.19
74,25,1,1,7,2,7,1,1,0,0.9783,0.5853,-11.263
75,27,1,1,6,3,10,1,1,0,0.978,0.51268,-5.31
76,8,0,0,1,1,4,1,1,0,0.9777,1.3516,-13.379
77,14,0,0,5,1,3,1,1,0,0.9774,0.66855,-11.51
78,20,0,0,4,2,8,1,1,0,0.9771,0.70266,-12.338
79,31,1,1,5,2,10,1,1,0,0.9768,0.51702,-7.36
80,15,0,0,6,2,5,1,1,0,0.9765,0.72113,-13.796
81,28,2,2,5,3,7,1,1,0,0.9762,0.71471,-2.612
82,18,0,0,4,1,6,1,1,0,0.976,0.67854,-12.173
83,11,0,0,3,1,1,1,1,0,0.9757,0.72146,-7.035
