round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,38,0,0,12,5,6,1,1,0,0.25,0.53213,62.178
2,64,2,2,19,7,2,1,1,0,0.2499,0.33756,139.957
3,132,2,2,39,14,9,0,1,0,0.2499,0.28875,302.253
4,93,2,2,25,8,7,1,1,0,0.2498,0.35213,211.915
5,185,7,7,63,17,12,1,1,0,0.2497,0.25213,456.267
6,54,1,1,22,5,1,0,1,0,0.2497,0.31034,122.654
7,36,0,0,12,5,1,1,1,0,0.2496,0.5133,56.37
8,41,2,2,10,4,3,1,1,0,0.2496,0.43022,87.81
9,193,4,4,55,18,8,1,1,0,0.2495,0.31651,437.548
10,142,3,3,36,13,5,1,1,0,0.2494,0.24176,309.803
11,211,4,4,54,19,12,1,1,0,0.2494,0.22005,498.08
12,57,2,2,25,7,4,1,1,0,0.2493,0.39336,124.563
13,22,1,1,7,2,2,1,1,0,0.2492,0.73733,40.332
14,291,4,4,62,26,14,0,0,1,0.2492,0.25371,666.669
15,81,3,3,23,8,7,1,1,0,0.2491,0.34134,200.252
16,329,2,2,47,31,25,1,1,0,0.2491,0.35894,712.978
17,314,6,6,62,27,13,0,0,1,0.249,0.22348,707.518
18,173,5,5,47,16,8,0,1,0,0.2489,0.21856,419.722
19,228,7,7,52,19,7,0,1,0,0.2489,0.19098,559.834
20,192,3,3,53,20,14,1,1,0,0.2488,0.25313,447.047
21,222,3,3,60,23,9,1,1,0,0.2487,0.2223,533.894
22,323,11,6,68,30,17,0,0,1,0.2487,0.22128,754.49
23,232,4,4,55,24,17,1,1,0,0.2486,0.23516,527.083
24,16,1,1,7,2,2,1,1,0,0.2486,0.77287,25.847
25,165,2,2,37,16,12,0,1,0,0.2485,0.20897,377.798
26,128,3,3,34,14,10,0,1,0,0.2484,0.23962,295.1
27,105,4,4,26,12,7,1,1,0,0.2484,0.35177,244.159
28,400,5,5,86,39,18,0,0,1,0.2483,0.17695,954.311
29,195,5,5,36,18,9,0,1,0,0.2482,0.28617,442.995
30,209,3,3,53,21,11,0,1,0,0.2482,0.27295,482.615
31,73,1,1,25,8,2,0,1,0,0.2481,0.24661,170.767
32,392,9,9,85,37,21,0,0,1,0.2481,0.15653,943.891
33,400,9,9,97,37,20,0,0,1,0.248,0.155,961.028
34,88,2,2,21,7,5,0,1,0,0.2479,0.39624,193.451
35,54,3,3,17,5,2,1,1,0,0.2479,0.35584,101.066
36,82,3,3,20,8,5,0,1,0,0.2478,0.25034,186.848
37,72,2,2,12,5,4,0,1,0,0.2477,0.23926,170.192
38,83,2,2,26,9,6,1,1,0,0.2477,0.34868,179.789
39,188,4,4,64,19,12,0,1,0,0.2476,0.26133,443.442
40,49,1,1,17,5,3,1,1,0,0.2476,0.37708,106.776
41,191,5,5,52,17,13,0,1,0,0.2475,0.18312,465.956
42,65,1,1,18,7,6,1,1,0,0.2474,0.36307,137.154
43,316,3,3,66,29,16,1,1,0,0.2474,0.29543,714.746
44,291,5,5,48,29,18,1,1,0,0.2473,0.26633,637.101
45,181,6,6,32,16,6,1,1,0,0.2472,0.21841,459.107
46,120,2,2,34,14,5,0,1,0,0.2472,0.25365,274.806
47,115,2,2,41,12,7,0,1,0,0.2471,0.30169,260.19
48,171,5,5,43,14,8,1,1,0,0.2471,0.21703,424.112
49,216,4,4,60,20,8,0,1,0,0.247,0.25372,516.305
50,374,2,2,42,35,27,1,1,0,0.2469,0.40826,825.054
51,400,4,4,72,44,22,0,0,1,0.2469,0.1749,924.863
52,20,0,0,7,3,3,1,1,0,0.2468,1.38669,9.571
53,292,4,4,54,32,12,0,1,0,0.2467,0.23856,681.984
54,151,1,1,34,18,4,0,1,0,0.2467,0.41343,331.287
55,249,3,3,43,23,14,0,1,0,0.2466,0.26237,599.32
56,144,4,4,29,15,5,0,1,0,0.2466,0.29924,348.763
57,181,4,4,40,20,17,1,1,0,0.2465,0.38929,397.448
58,136,4,4,44,15,10,1,1,0,0.2464,0.31706,316.138
59,43,0,0,11,5,7,0,1,0,0.2464,0.34909,78.348
60,375,9,4,54,35,15,0,0,1,0.2463,0.18331,885.116
61,343,5,5,72,31,16,0,0,1,0.2462,0.25014,798.278
62,208,4,4,56,20,12,0,1,0,0.2462,0.2663,489.21
63,299,4,4,60,29,18,1,1,0,0.2461,0.23792,700.646
64,155,2,2,41,16,9,1,1,0,0.2461,0.27045,337.847
65,119,4,4,29,9,9,1,1,0,0.246,0.27783,288.422
66,255,2,2,44,23,18,1,1,0,0.2459,0.28003,568.045
67,200,5,5,65,19,17,1,1,0,0.2459,0.24197,468.234
68,189,8,8,51,14,10,0,1,0,0.2458,0.29583,498.71
69,180,6,6,41,13,9,1,1,0,0.2457,0.28824,437.429
70,223,4,4,52,20,10,0,1,0,0.2457,0.24518,538.607
71,126,2,2,20,9,7,1,1,0,0.2456,0.31457,267.632
72,123,6,6,46,13,6,1,1,0,0.2456,0.28807,302.034
73,63,0,0,25,8,4,1,1,0,0.2455,0.42073,93.328
74,228,3,3,45,22,12,1,1,0,0.2454,0.23474,534.967
75,136,2,2,31,12,4,0,1,0,0.2454,0.19057,334.341
76,99,0,0,40,12,1,1,1,0,0.2453,0.29796,215.354
77,245,6,6,55,20,14,0,1,0,0.2452,0.28681,578.977
78,221,3,3,47,20,14,0,1,0,0.2452,0.17675,513.757
79,339,14,9,76,29,17,0,0,1,0.2451,0.16893,807.083
80,258,4,4,66,27,17,1,1,0,0.2451,0.21338,593.012
81,215,4,4,53,21,16,1,1,0,0.245,0.24003,486.301
82,291,3,3,59,27,17,1,1,0,0.2449,0.27981,645.322
83,102,2,2,27,10,4,1,1,0,0.2449,0.37692,239.848
84,60,1,1,18,7,5,0,1,0,0.2448,0.32891,127.387
85,176,6,6,62,17,14,1,1,0,0.2447,0.30582,404.375
86,152,5,5,46,15,5,1,1,0,0.2447,0.22753,365.92
87,71,1,1,26,7,5,1,1,0,0.2446,0.33608,152.834
88,208,6,6,47,18,13,1,1,0,0.2446,0.2591,487.208
89,202,3,3,48,16,13,0,1,0,0.2445,0.23766,439.592
90,251,2,2,55,24,11,1,1,0,0.2444,0.25866,571.745
91,36,2,2,6,4,2,1,1,0,0.2444,0.58767,67.488
92,245,7,7,54,23,15,0,1,0,0.2443,0.19352,599.259
93,60,1,1,15,5,6,1,1,0,0.2442,0.42035,119.486
94,374,7,7,69,34,24,0,0,1,0.2442,0.17094,880.996
95,158,3,3,39,13,13,0,1,0,0.2441,0.37535,372.079
96,209,4,4,41,17,10,0,1,0,0.2441,0.21661,516.266
97,115,2,2,35,11,8,0,1,0,0.244,0.23326,256.283
98,91,4,4,20,9,4,1,1,0,0.2439,0.32978,221.718
99,306,4,4,63,29,19,1,1,0,0.2439,0.24999,676.335
100,123,1,1,29,13,7,0,1,0,0.2438,0.27059,270.617
101,182,2,2,51,20,9,1,1,0,0.2437,0.23554,407.383
102,218,6,6,55,17,11,0,1,0,0.2437,0.30485,493.125
103,264,6,6,62,27,12,0,1,0,0.2436,0.20085,604.323
104,194,4,4,53,19,8,1,1,0,0.2436,0.2781,452.207
105,83,2,2,19,8,8,1,1,0,0.2435,0.3252,179.156
106,135,4,4,33,11,5,1,1,0,0.2434,0.23067,315.954
107,132,3,3,36,15,11,0,1,0,0.2434,0.31077,295.597
108,36,1,1,8,4,4,1,1,0,0.2433,0.66534,48.363
109,56,0,0,16,6,4,0,1,0,0.2432,0.3654,126.975
110,292,4,4,50,28,17,0,1,0,0.2432,0.20259,644.216
111,361,7,7,77,32,20,0,0,1,0.2431,0.17459,838.248
112,122,4,4,34,10,8,0,1,0,0.2431,0.24192,287.131
113,329,6,6,76,31,14,0,0,1,0.243,0.17838,749.597
114,263,4,4,40,22,11,0,1,0,0.2429,0.23847,612.233
115,318,8,8,75,31,11,0,0,1,0.2429,0.19133,739.584
116,74,3,3,28,7,3,1,1,0,0.2428,0.36435,165.721
117,317,5,5,59,27,15,0,1,0,0.2427,0.21869,675.913
118,219,3,3,70,22,13,1,1,0,0.2427,0.27956,488.118
119,268,6,6,62,25,23,1,1,0,0.2426,0.24082,610.597
120,39,1,1,10,4,3,1,1,0,0.2426,0.43488,77.285
121,48,0,0,14,7,8,0,1,0,0.2425,0.45032,83.223
122,113,2,2,30,12,9,1,1,0,0.2424,0.30256,234.47
123,286,9,4,60,29,11,0,0,1,0.2424,0.21811,667.939
124,66,2,2,23,7,2,1,1,0,0.2423,0.32555,126.123
125,174,3,3,40,16,12,0,1,0,0.2422,0.24514,385.838
126,40,0,0,13,5,1,1,1,0,0.2422,0.47266,69.858
127,120,4,4,38,11,4,0,1,0,0.2421,0.23657,275.036
