round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,6,0,0,1,1,3,1,1,0,1.0,1.89042,-11.042
2,7,0,0,3,1,4,1,1,0,0.9997,1.57551,-10.857
3,12,0,0,4,1,3,1,1,0,0.9994,1.30243,-15.196
4,6,0,0,2,1,4,1,1,0,0.9991,2.66918,-16.414
5,7,0,0,2,1,4,1,1,0,0.9988,2.25509,-16.601
6,9,0,0,3,1,5,1,1,0,0.9985,1.25422,-13.058
7,16,0,0,5,1,6,1,1,0,0.9982,0.88631,-15.453
8,6,0,0,3,1,4,1,1,0,0.9979,1.99949,-11.768
9,10,0,0,3,1,5,1,1,0,0.9976,1.60731,-17.742
10,6,0,0,3,1,3,1,1,0,0.9973,2.42038,-16.698
11,5,0,0,3,1,3,1,1,0,0.997,2.7523,-17.182
12,6,0,0,4,1,3,1,1,0,0.9967,2.39806,-17.155
13,9,0,0,3,1,6,1,1,0,0.9964,1.29779,-12.22
14,6,0,0,2,1,3,1,1,0,0.9961,1.7309,-12.708
15,6,0,0,4,1,3,1,1,0,0.9958,2.31196,-18.401
16,6,0,0,4,1,3,1,1,0,0.9955,2.40419,-19.088
17,6,0,0,4,1,3,1,1,0,0.9952,2.41024,-17.655
18,7,0,0,3,1,3,1,1,0,0.995,2.14183,-20.413
19,16,0,0,3,1,8,1,1,0,0.9947,0.88758,-17.137
20,6,0,0,4,1,5,1,1,0,0.9944,2.41418,-18.727
21,33,0,0,3,2,13,1,1,0,0.9941,0.58767,-18.482
22,8,0,0,2,1,5,1,1,0,0.9938,1.40943,-16.292
23,6,0,0,4,1,4,1,1,0,0.9935,2.319,-20.734
24,23,0,0,6,2,12,1,1,0,0.9932,0.91557,-24.516
25,7,0,0,3,1,3,1,1,0,0.9929,2.09752,-21.6
26,7,0,0,3,1,4,1,1,0,0.9926,2.02402,-22.977
27,22,0,0,2,1,9,1,1,0,0.9923,0.85662,-22.868
28,5,0,0,4,1,3,1,1,0,0.992,2.47782,-17.969
29,8,0,0,3,1,1,1,1,0,0.9917,1.21391,-14.051
30,7,0,0,3,1,3,1,1,0,0.9914,1.47461,-10.655
31,14,0,0,3,1,8,1,1,0,0.9911,1.27053,-35.498
32,11,0,0,4,1,5,1,1,0,0.9908,1.49196,-27.096
33,19,0,0,3,2,12,1,1,0,0.9905,1.09378,-17.19
34,9,0,0,2,1,5,1,1,0,0.9902,1.27685,-17.932
35,8,0,0,1,1,3,1,1,0,0.9899,1.52147,-12.479
36,5,0,0,3,1,1,1,1,0,0.9896,2.093,-10.435
37,5,0,0,2,1,1,1,1,0,0.9893,2.49044,-15.261
38,12,0,0,4,1,5,1,1,0,0.989,1.33947,-26.786
39,6,0,0,3,1,2,1,1,0,0.9887,2.16977,-22.165
40,8,0,0,2,1,2,1,1,0,0.9884,1.90689,-24.31
41,6,0,0,4,1,4,1,1,0,0.9881,2.14332,-24.377
42,11,0,0,3,1,7,1,1,0,0.9878,1.51843,-27.159
43,6,0,0,3,1,4,1,1,0,0.9875,2.59071,-22.354
44,26,0,0,6,2,11,1,1,0,0.9872,0.7971,-16.157
45,5,0,0,3,1,3,1,1,0,0.9869,2.3912,-20.654
46,6,0,0,4,1,4,1,1,0,0.9866,2.20329,-23.213
47,5,0,0,4,1,3,1,1,0,0.9863,2.43095,-20.228
48,9,0,0,3,1,8,1,1,0,0.986,1.62026,-34.674
49,9,0,0,3,1,4,1,1,0,0.9858,1.62551,-31.672
50,25,0,0,5,2,12,1,1,0,0.9855,0.88488,-30.882
51,10,0,0,4,1,4,1,1,0,0.9852,1.37477,-32.754
52,7,0,0,3,1,3,1,1,0,0.9849,1.8352,-11.721
53,6,0,0,2,1,4,1,1,0,0.9846,2.32748,-21.581
54,5,0,0,4,1,2,1,1,0,0.9843,2.2874,-18.791
