round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,28,0,0,3,1,6,1,1,0,0.25,0.52203,-77.685
2,94,1,1,3,1,11,0,1,0,0.2499,0.26708,-30.826
3,18,0,0,3,1,1,1,1,0,0.2499,0.67628,-69.166
4,28,0,0,5,1,5,1,1,0,0.2498,0.61279,-27.199
5,226,0,0,4,1,35,0,1,0,0.2497,0.17491,-131.599
6,14,0,0,4,1,0,1,1,0,0.2497,0.84936,-66.712
7,86,0,0,5,5,15,1,1,0,0.2496,0.34425,-78.017
8,93,0,0,2,3,8,0,1,0,0.2496,0.22707,-21.11
9,63,0,0,1,1,10,0,1,0,0.2495,0.20544,-32.426
10,26,0,0,3,1,4,1,1,0,0.2494,0.53268,-75.586
11,122,0,0,1,2,17,1,1,0,0.2494,0.17394,-63.579
12,62,0,0,6,2,6,1,1,0,0.2493,0.41401,-40.775
13,107,0,0,2,5,15,0,1,0,0.2492,0.23549,-46.807
14,31,0,0,4,1,3,1,1,0,0.2492,0.45865,-76.411
15,9,0,0,0,1,2,1,1,0,0.2491,1.26165,-22.903
16,24,0,0,3,1,3,1,1,0,0.2491,0.57776,-74.986
17,20,0,0,2,1,1,1,1,0,0.249,1.09024,-31.769
18,66,0,0,2,3,11,1,1,0,0.2489,0.28838,-50.198
19,125,0,0,3,4,22,1,1,0,0.2489,0.497,-86.704
20,167,0,0,4,3,17,1,1,0,0.2488,0.23733,-103.429
21,75,0,0,3,1,12,1,1,0,0.2487,0.25378,-108.773
22,30,0,0,4,1,5,1,1,0,0.2487,0.49941,-81.358
23,50,0,0,4,1,5,1,1,0,0.2486,0.35309,-91.486
24,59,1,1,5,2,13,0,1,0,0.2486,0.43432,-31.326
25,187,1,1,10,5,20,1,1,0,0.2485,0.33934,-70.304
26,51,0,0,4,1,2,1,1,0,0.2484,0.29696,-89.088
27,20,0,0,5,2,3,1,1,0,0.2484,1.67637,-28.059
28,50,0,0,4,2,11,1,1,0,0.2483,0.43353,-82.829
29,36,1,1,6,3,6,1,1,0,0.2482,0.77939,-28.424
30,9,0,0,4,1,1,1,1,0,0.2482,3.3149,-46.001
31,13,0,0,1,1,3,1,1,0,0.2481,0.82562,-27.508
32,32,0,0,6,2,5,1,1,0,0.2481,0.66904,-27.425
33,63,1,1,5,2,9,1,1,0,0.248,0.57347,-47.414
34,34,0,0,5,3,6,1,1,0,0.2479,0.50843,-69.188
35,21,0,0,4,1,2,1,1,0,0.2479,1.56185,-53.352
36,7,0,0,4,1,2,1,1,0,0.2478,1.87789,-14.981
37,27,0,0,2,1,5,1,1,0,0.2477,1.2086,-66.375
38,134,0,0,4,4,21,0,1,0,0.2477,0.32418,-83.821
39,181,3,3,12,7,12,1,1,0,0.2476,0.37159,-36.442
40,42,0,0,4,2,7,1,1,0,0.2476,0.55605,-35.707
41,67,0,0,3,2,7,1,1,0,0.2475,0.42486,-63.292
42,137,2,2,7,5,16,1,1,0,0.2474,0.50114,-86.3
43,90,0,0,11,4,8,1,1,0,0.2474,0.38173,-57.58
44,137,2,2,7,4,14,1,1,0,0.2473,0.36016,-49.366
45,85,0,0,2,1,11,0,1,0,0.2472,0.28166,-47.176
46,18,0,0,4,1,3,1,1,0,0.2472,1.71196,-47.861
47,28,0,0,4,1,4,1,1,0,0.2471,1.12274,-62.667
48,52,0,0,3,1,7,1,1,0,0.2471,0.72892,-74.386
49,92,0,0,3,2,11,1,1,0,0.247,0.304,-74.876
50,6,0,0,2,1,1,1,1,0,0.2469,1.57488,-23.94
51,38,0,0,4,1,9,1,1,0,0.2469,0.88071,-63.064
52,28,1,1,10,2,7,1,1,0,0.2468,0.58287,-16.383
53,30,1,1,10,3,2,1,1,0,0.2467,0.81644,-18.012
54,89,0,0,13,5,6,1,1,0,0.2467,0.49973,-48.998
55,23,1,1,5,2,3,1,1,0,0.2466,1.53327,-35.36
56,69,0,0,6,3,11,1,1,0,0.2466,0.45608,-86.637
57,14,0,0,6,1,3,1,1,0,0.2465,1.23945,-21.179
58,47,0,0,6,2,5,1,1,0,0.2464,0.45592,-38.978
59,182,0,0,4,4,16,0,1,0,0.2464,0.28205,-104.4
60,172,1,1,10,4,21,1,1,0,0.2463,0.30718,-97.078
61,124,0,0,14,6,10,1,1,0,0.2462,0.53998,-88.294
62,23,0,0,3,1,5,1,1,0,0.2462,1.32034,-50.91
63,6,0,0,4,1,3,1,1,0,0.2461,4.43551,-36.59
64,136,0,0,6,5,19,1,1,0,0.2461,0.32261,-76.864
65,56,0,0,3,1,8,1,1,0,0.246,0.59659,-75.05
66,7,0,0,4,1,2,1,1,0,0.2459,1.76838,-64.396
67,10,0,0,2,1,3,1,1,0,0.2459,1.24152,-24.391
68,77,0,0,4,2,15,1,1,0,0.2458,0.6757,-86.016
69,12,0,0,4,1,2,1,1,0,0.2457,1.65967,-61.97
70,53,0,0,7,3,7,1,1,0,0.2457,0.83357,-60.515
71,42,0,0,3,2,5,1,1,0,0.2456,0.55321,-35.924
72,16,0,0,4,1,1,1,1,0,0.2456,1.04949,-63.477
73,25,0,0,4,1,4,1,1,0,0.2455,1.1429,-61.454
74,32,0,0,8,2,3,1,1,0,0.2454,0.52433,-41.32
75,104,0,0,4,3,13,1,1,0,0.2454,0.41367,-86.572
76,9,0,0,1,1,1,1,1,0,0.2453,2.03773,-35.704
77,52,0,0,16,4,7,1,1,0,0.2452,0.69444,-36.979
78,236,2,2,9,6,26,1,1,0,0.2452,0.26743,-108.693
79,66,0,0,2,1,8,1,1,0,0.2451,0.33571,-51.528
80,20,0,0,6,1,6,1,1,0,0.2451,1.2306,-45.193
81,45,0,0,3,2,4,0,1,0,0.245,0.35553,-35.829
82,47,1,1,6,4,5,1,1,0,0.2449,0.53771,-42.224
83,120,1,1,9,5,16,1,1,0,0.2449,0.3968,-83.08
84,84,6,1,4,2,9,1,1,0,0.2448,0.32841,-36.244
85,11,0,0,1,1,1,1,1,0,0.2447,1.44064,-50.054
86,25,0,0,6,2,4,1,1,0,0.2447,0.79702,-25.848
87,137,0,0,6,3,10,1,1,0,0.2446,0.36167,-84.172
88,137,0,0,5,4,18,1,1,0,0.2446,0.29225,-92.114
89,84,1,1,19,4,7,1,1,0,0.2445,0.34108,-51.142
90,38,0,0,2,2,5,1,1,0,0.2444,0.5236,-45.794
91,19,0,0,1,1,3,1,1,0,0.2444,1.04547,-37.887
92,11,0,0,2,1,3,1,1,0,0.2443,2.06509,-61.755
93,125,1,1,15,5,22,1,1,0,0.2442,0.45637,-86.484
94,23,0,0,5,1,4,1,1,0,0.2442,0.57336,-34.889
95,50,0,0,5,2,5,1,1,0,0.2441,0.4551,-49.209
96,158,1,1,12,5,21,1,1,0,0.2441,0.29543,-82.97
97,156,0,0,8,2,11,1,1,0,0.244,0.23471,-141.269
98,248,0,0,5,4,22,0,1,0,0.2439,0.18566,-100.986
99,128,3,3,6,4,12,1,1,0,0.2439,0.32577,-68.59
100,31,0,0,4,1,4,1,1,0,0.2438,0.89759,-53.867
101,32,0,0,4,2,4,1,1,0,0.2437,0.64871,-66.802
102,10,0,0,3,1,1,1,1,0,0.2437,3.44668,-46.262
103,77,0,0,6,3,12,1,1,0,0.2436,0.33964,-65.048
104,51,0,0,8,2,5,1,1,0,0.2436,0.32087,-43.571
105,27,0,0,3,1,4,1,1,0,0.2435,0.93654,-53.859
106,68,1,1,12,4,5,1,1,0,0.2434,0.40769,-58.67
107,25,0,0,1,1,6,1,1,0,0.2434,0.63939,-54.642
108,63,0,0,1,1,2,1,1,0,0.2433,0.22564,-65.611
109,77,0,0,11,4,10,1,1,0,0.2432,0.51827,-60.26
110,5,0,0,2,1,1,1,1,0,0.2432,0.68801,-53.305
111,52,1,1,10,3,9,1,1,0,0.2431,0.43496,-42.941
112,68,0,0,3,2,3,1,1,0,0.2431,0.42089,-72.862
113,132,0,0,7,4,15,1,1,0,0.243,0.25201,-108.28
