round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,7,0,0,2,1,3,1,1,0,1.0,2.23536,-15.648
2,7,0,0,3,1,2,1,1,0,0.9997,1.70607,-11.627
3,8,0,0,2,1,4,1,1,0,0.9994,1.45131,-11.328
4,6,0,0,0,1,4,1,1,0,0.9991,2.1475,-12.855
5,21,0,0,2,1,7,1,1,0,0.9988,0.76365,-16.431
6,18,0,0,2,1,5,1,1,0,0.9985,0.74978,-13.253
7,15,0,0,1,1,7,1,1,0,0.9982,0.87263,-13.665
8,33,0,0,6,2,17,1,1,0,0.9979,0.56535,-19.753
9,26,0,0,4,2,14,1,1,0,0.9976,0.70194,-15.686
10,11,0,0,2,1,4,1,1,0,0.9973,1.49085,-17.348
11,13,0,0,2,1,6,1,1,0,0.997,0.95154,-14.226
12,8,0,0,3,1,2,1,1,0,0.9967,1.40314,-11.61
13,21,0,0,5,1,7,1,1,0,0.9964,0.67554,-15.308
14,23,0,0,2,1,12,1,1,0,0.9961,0.71619,-22.049
15,11,0,0,3,1,5,1,1,0,0.9958,1.02598,-12.999
16,5,0,0,3,1,1,1,1,0,0.9955,2.24711,-11.253
17,10,0,0,3,1,5,1,1,0,0.9952,1.21938,-13.578
18,15,0,0,2,1,9,1,1,0,0.995,0.94823,-17.969
19,17,0,0,5,2,7,1,1,0,0.9947,0.79381,-11.495
20,14,0,0,5,2,7,1,1,0,0.9944,0.95234,-13.883
21,12,0,0,2,1,3,1,1,0,0.9941,1.00979,-15.905
22,6,0,0,3,1,3,1,1,0,0.9938,2.18943,-13.421
23,14,0,0,2,1,9,1,1,0,0.9935,1.03487,-20.722
24,11,0,0,5,1,3,1,1,0,0.9932,0.9162,-10.647
25,6,0,0,3,1,4,1,1,0,0.9929,1.96851,-14.799
26,5,0,0,3,1,3,1,1,0,0.9926,2.92381,-15.335
27,7,0,0,2,1,4,1,1,0,0.9923,1.71343,-12.189
28,29,0,0,5,2,11,1,1,0,0.992,0.63033,-22.108
29,23,1,1,5,2,9,1,1,0,0.9917,0.84438,-15.392
30,13,0,0,6,1,4,1,1,0,0.9914,0.97729,-16.52
31,20,0,0,3,2,9,1,1,0,0.9911,0.76389,-15.894
32,17,0,0,2,1,6,1,1,0,0.9908,0.82459,-22.437
33,7,0,0,2,1,2,1,1,0,0.9905,1.64072,-9.947
34,16,0,0,4,1,5,1,1,0,0.9902,1.00392,-22.95
35,15,0,0,4,2,5,1,1,0,0.9899,0.90245,-10.928
36,27,0,0,6,2,9,1,1,0,0.9896,0.56078,-16.737
37,34,0,0,6,3,14,1,1,0,0.9893,0.61533,-23.095
38,11,0,0,1,1,6,1,1,0,0.989,1.19657,-21.304
39,27,0,0,4,2,8,1,1,0,0.9887,0.67736,-18.865
40,8,0,0,3,1,3,1,1,0,0.9884,1.88998,-17.875
41,26,0,0,8,2,14,1,1,0,0.9881,0.71262,-23.05
42,13,0,0,4,1,6,1,1,0,0.9878,1.22288,-22.298
43,27,0,0,5,2,13,1,1,0,0.9875,0.62081,-26.318
44,41,0,0,8,3,14,1,1,0,0.9872,0.49338,-21.812
45,16,0,0,5,2,6,1,1,0,0.9869,0.95751,-12.688
46,6,0,0,3,1,3,1,1,0,0.9866,1.8288,-17.205
47,9,0,0,3,1,4,1,1,0,0.9863,1.25626,-18.051
48,23,0,0,4,3,11,1,1,0,0.986,0.75048,-15.247
49,15,0,0,5,1,4,1,1,0,0.9858,0.81608,-14.826
50,32,1,1,3,2,12,1,1,0,0.9855,0.65148,-28.468
51,34,0,0,8,3,12,1,1,0,0.9852,0.52665,-22.4
52,17,0,0,4,2,5,1,1,0,0.9849,0.88336,-16.866
53,5,0,0,2,1,3,1,1,0,0.9846,2.38305,-12.928
54,7,0,0,3,1,3,1,1,0,0.9843,1.60161,-18.484
55,32,1,1,8,3,14,1,1,0,0.984,0.63676,-19.544
56,27,0,0,7,3,10,1,1,0,0.9837,0.72976,-21.331
57,25,0,0,5,2,12,1,1,0,0.9834,0.62766,-19.033
58,9,0,0,3,1,1,1,1,0,0.9831,1.48194,-19.266
59,10,0,0,3,1,3,1,1,0,0.9828,1.30368,-13.013
60,6,0,0,2,1,3,1,1,0,0.9825,2.08487,-13.088
61,48,0,0,5,3,18,1,1,0,0.9822,0.51658,-31.376
62,24,0,0,4,2,8,1,1,0,0.9819,0.67603,-22.103
63,9,0,0,4,1,1,1,1,0,0.9816,1.08035,-10.894
64,30,0,0,3,2,12,1,1,0,0.9813,0.60679,-24.994
65,17,0,0,5,2,3,1,1,0,0.981,0.74131,-12.187
66,55,1,1,7,4,19,1,1,0,0.9807,0.51347,-25.291
67,10,0,0,2,1,4,1,1,0,0.9804,1.2071,-12.447
68,15,0,0,5,2,6,1,1,0,0.9801,0.96776,-15.861
69,13,0,0,2,1,6,1,1,0,0.9798,0.94679,-18.755
70,18,0,0,5,2,9,1,1,0,0.9795,0.95084,-18.769
71,13,0,0,8,2,3,1,1,0,0.9792,0.8518,-13.668
72,9,0,0,2,1,1,1,1,0,0.9789,1.33715,-12.2
73,5,0,0,2,1,2,1,1,0,0.9786,2.64313,-15.779
74,17,0,0,4,2,7,1,1,0,0.9783,0.89093,-20.03
75,33,0,0,4,3,10,1,1,0,0.978,0.52364,-15.809
76,14,2,2,3,2,3,1,1,0,0.9777,0.95788,-13.343
77,36,1,1,6,3,8,1,1,0,0.9774,0.58694,-16.911
78,35,1,1,5,3,14,1,1,0,0.9771,0.59979,-22.659
79,15,0,0,3,2,7,1,1,0,0.9768,1.1173,-20.339
80,22,0,0,5,2,10,1,1,0,0.9765,0.68983,-27.183
81,23,1,1,9,3,9,1,1,0,0.9762,0.70227,-17.247
82,9,0,0,3,1,4,1,1,0,0.976,1.68054,-22.917
83,17,0,0,3,2,6,1,1,0,0.9757,0.91102,-19.593
84,20,0,0,4,2,8,1,1,0,0.9754,0.7554,-21.919
85,24,2,2,7,2,12,1,1,0,0.9751,0.76805,-21.962
86,29,1,1,7,3,11,1,1,0,0.9748,0.59137,-19.577
87,21,0,0,3,2,8,1,1,0,0.9745,0.88365,-23.244
88,5,0,0,2,1,2,1,1,0,0.9742,2.40834,-14.084
89,7,0,0,1,1,4,1,1,0,0.9739,1.87812,-15.492
90,16,0,0,5,2,6,1,1,0,0.9736,0.88912,-18.794
91,27,2,2,5,2,9,1,1,0,0.9733,0.72358,-21.146
92,45,2,2,8,3,14,1,1,0,0.973,0.52151,-17.59
93,46,2,2,8,3,13,1,1,0,0.9727,0.47726,-22.321
94,26,2,2,9,3,9,1,1,0,0.9724,0.7042,-18.112
95,9,0,0,5,1,2,1,1,0,0.9721,1.13341,-10.03
96,39,1,1,8,3,12,1,1,0,0.9718,0.52947,-24.266
97,17,0,0,5,2,6,1,1,0,0.9715,0.90361,-18.511
98,19,0,0,6,2,6,1,1,0,0.9712,0.72491,-12.622
99,14,0,0,7,2,4,1,1,0,0.9709,1.02179,-19.189
100,24,0,0,5,2,8,1,1,0,0.9706,0.71371,-23.089
101,32,1,1,10,3,13,1,1,0,0.9703,0.5266,-22.395
