round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,400,7,7,108,45,16,0,0,1,0.25,0.24883,1426.121
2,400,4,4,72,47,12,0,0,1,0.2499,0.23406,1352.861
3,400,7,7,97,42,12,0,0,1,0.2499,0.23386,1371.974
4,400,7,7,101,40,16,0,0,1,0.2498,0.19774,1387.124
5,59,3,3,25,6,2,1,1,0,0.2497,0.42064,169.644
6,400,8,8,109,42,18,0,0,1,0.2497,0.21978,1385.367
7,400,7,7,102,42,12,0,0,1,0.2496,0.20778,1373.621
8,400,8,8,107,44,22,0,0,1,0.2496,0.21573,1351.112
9,400,9,9,108,40,17,0,0,1,0.2495,0.19618,1369.237
10,400,9,9,103,41,20,0,0,1,0.2494,0.20919,1365.936
11,400,8,8,118,41,15,0,0,1,0.2494,0.20229,1362.976
12,400,8,8,100,44,17,0,0,1,0.2493,0.22896,1348.937
13,400,9,9,115,40,23,0,0,1,0.2492,0.2037,1331.984
14,400,8,8,106,39,11,0,0,1,0.2492,0.18947,1339.2
15,400,9,9,116,42,15,0,0,1,0.2491,0.20085,1336.039
16,400,9,9,109,41,14,0,0,1,0.2491,0.19307,1327.837
17,400,7,7,110,43,21,0,0,1,0.249,0.23569,1298.4
18,400,8,8,95,41,20,0,0,1,0.2489,0.2122,1301.221
19,400,8,8,95,42,20,0,0,1,0.2489,0.20985,1286.099
20,400,7,7,97,43,29,0,0,1,0.2488,0.23304,1269.199
21,400,7,7,97,44,32,0,0,1,0.2487,0.22724,1266.245
22,400,8,8,93,40,17,0,0,1,0.2487,0.24537,1292.733
23,400,8,8,105,41,16,0,0,1,0.2486,0.24151,1299.166
24,400,8,8,103,42,18,0,0,1,0.2486,0.22496,1287.752
25,400,7,7,98,43,21,0,0,1,0.2485,0.25263,1262.252
26,400,6,6,103,43,14,0,0,1,0.2484,0.22347,1259.299
27,400,5,5,94,44,13,0,0,1,0.2484,0.24741,1223.776
28,395,9,9,105,41,16,1,1,0,0.2483,0.2409,1213.321
29,400,4,4,100,39,22,0,0,1,0.2482,0.24393,1240.718
30,400,4,4,89,43,19,0,0,1,0.2482,0.21201,1225.753
31,400,7,7,116,42,16,0,0,1,0.2481,0.19683,1225.439
32,400,8,8,109,42,15,0,0,1,0.2481,0.23328,1226.193
33,400,9,9,103,42,13,0,0,1,0.248,0.19731,1238.851
34,400,7,7,104,43,21,0,0,1,0.2479,0.21089,1204.55
35,400,7,7,111,40,23,0,0,1,0.2479,0.19643,1217.494
36,400,9,9,113,44,25,0,0,1,0.2478,0.2197,1236.854
37,400,8,8,110,43,22,0,0,1,0.2477,0.22288,1222.11
38,400,6,6,80,42,21,0,0,1,0.2477,0.23388,1186.637
39,400,7,7,98,45,17,0,0,1,0.2476,0.23874,1215.882
40,400,8,8,112,39,11,0,0,1,0.2476,0.24905,1230.99
41,400,6,6,106,44,12,0,0,1,0.2475,0.20655,1199.956
42,400,6,6,111,43,20,0,0,1,0.2474,0.20107,1183.962
43,400,8,8,102,42,26,0,0,1,0.2474,0.21825,1186.319
44,400,9,9,115,42,17,0,0,1,0.2473,0.23761,1212.108
45,400,9,9,104,42,15,0,0,1,0.2472,0.20464,1188.302
46,400,8,8,104,40,15,0,0,1,0.2472,0.19866,1193.751
47,400,9,9,113,43,16,0,0,1,0.2471,0.2269,1201.038
48,30,0,0,12,4,5,1,1,0,0.2471,0.82984,51.278
49,400,7,7,98,37,14,0,0,1,0.247,0.20042,1190.445
50,400,5,5,103,43,18,0,0,1,0.2469,0.22207,1155.289
51,400,8,8,109,40,19,0,0,1,0.2469,0.22066,1187.625
52,400,9,9,114,42,18,0,0,1,0.2468,0.22817,1184.835
53,400,8,8,99,40,15,0,0,1,0.2467,0.21711,1172.041
54,400,6,6,106,39,16,0,0,1,0.2467,0.23698,1156.633
55,400,8,8,110,38,18,0,0,1,0.2466,0.23296,1158.139
56,400,8,8,111,41,12,0,0,1,0.2466,0.20262,1157.543
57,400,5,5,111,41,20,0,0,1,0.2465,0.22406,1145.227
58,400,8,8,97,40,26,0,0,1,0.2464,0.25149,1172.573
59,400,7,7,102,41,18,0,0,1,0.2464,0.20934,1145.401
60,400,8,8,93,39,21,0,0,1,0.2463,0.21711,1163.737
61,400,7,7,122,43,24,0,0,1,0.2462,0.22106,1148.475
62,400,6,6,94,40,15,0,0,1,0.2462,0.19039,1118.399
63,108,3,3,41,12,10,1,1,0,0.2461,0.35087,285.564
64,400,8,8,90,41,17,0,0,1,0.2461,0.22055,1131.753
65,400,8,8,116,40,21,0,0,1,0.246,0.22321,1157.199
66,400,9,9,121,42,16,0,0,1,0.2459,0.2156,1162.847
67,400,7,7,87,41,14,0,0,1,0.2459,0.221,1100.864
68,201,4,4,63,22,12,1,1,0,0.2458,0.31394,555.162
69,400,5,5,99,44,26,0,0,1,0.2457,0.22411,1102.109
70,400,7,7,109,43,19,0,0,1,0.2457,0.26531,1114.937
71,400,8,8,110,42,18,0,0,1,0.2456,0.22394,1146.697
72,400,8,8,117,39,20,1,1,0,0.2456,0.25594,1089.216
73,400,9,9,114,38,13,0,0,1,0.2455,0.20638,1150.143
74,400,8,8,102,43,13,0,0,1,0.2454,0.21251,1134.761
75,400,7,7,94,45,27,0,0,1,0.2454,0.20657,1082.141
76,400,9,9,117,40,11,0,0,1,0.2453,0.21316,1135.538
77,400,6,6,101,45,19,0,0,1,0.2452,0.25307,1083.677
78,400,8,8,94,33,12,0,0,1,0.2452,0.21682,1082.473
79,400,9,9,113,42,18,0,0,1,0.2451,0.22755,1124.009
80,400,8,8,116,43,14,0,0,1,0.2451,0.23669,1132.526
81,400,7,7,113,41,23,0,0,1,0.245,0.23259,1097.315
82,400,8,8,113,41,19,0,0,1,0.2449,0.21935,1088.842
83,400,9,9,100,39,24,0,0,1,0.2449,0.23982,1120.929
84,400,8,8,95,38,18,0,0,1,0.2448,0.24734,1121.655
