episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,5,0,0,2,1,-5.3,0.9995,1,0,5
2,23,0,0,3,1,-9.93,0.999,1,0,10
3,6,0,0,3,1,-4.76,0.9986,1,0,12
4,13,0,0,3,1,-7.38,0.9981,1,0,12
5,10,0,0,3,1,-6.35,0.9976,1,0,12
6,5,0,0,1,1,-6.25,0.9971,1,0,16
7,7,0,0,3,1,-5.72,0.9967,1,0,16
8,8,0,0,3,1,-6.73,0.9962,1,0,16
9,6,0,0,3,1,-6.06,0.9957,1,0,16
10,16,0,0,3,1,-6.91,0.9952,1,0,16
11,7,0,0,2,1,-7.02,0.9948,1,0,20
12,6,0,0,4,1,-5.31,0.9943,1,0,20
13,15,0,0,4,1,-7.95,0.9938,1,0,20
14,5,0,0,3,1,-4.75,0.9933,1,0,20
15,5,0,0,2,1,-5.95,0.9929,1,0,20
16,13,0,0,3,1,-7.88,0.9924,1,0,20
17,5,0,0,4,1,-4.9,0.9919,1,0,20
18,11,0,0,3,1,-8.26,0.9915,1,0,20
19,22,0,0,1,1,-10.17,0.991,1,0,20
20,24,0,0,4,1,-12.19,0.9905,1,0,20
21,8,0,0,3,1,-6.28,0.99,1,0,20
22,7,0,0,2,1,-5.97,0.9896,1,0,20
23,6,0,0,2,1,-5.51,0.9891,1,0,20
24,5,0,0,3,1,-5.55,0.9886,1,0,20
25,5,0,0,2,1,-5.95,0.9881,1,0,20
26,6,0,0,4,1,-5.41,0.9877,1,0,20
27,5,0,0,3,1,-4.7,0.9872,1,0,21
28,6,0,0,2,1,-6.46,0.9867,1,0,21
29,15,0,0,4,1,-8.55,0.9862,1,0,21
30,26,0,0,4,2,-10.91,0.9858,1,0,21
31,17,0,0,5,2,-7.72,0.9853,1,0,22
32,6,0,0,2,1,-6.36,0.9848,1,0,22
33,9,0,0,5,1,-5.14,0.9843,1,0,24
34,13,0,0,4,1,-6.53,0.9839,1,0,24
35,10,0,0,2,1,-8.0,0.9834,1,0,24
36,8,0,0,3,1,-6.68,0.9829,1,0,24
37,12,0,0,4,1,-6.87,0.9824,1,0,24
38,6,0,0,2,1,-5.56,0.9819,1,0,24
39,11,0,0,2,1,-7.51,0.9815,1,0,24
40,7,0,0,2,1,-6.92,0.981,1,0,24
41,5,0,0,4,1,-5.35,0.9805,1,0,24
42,5,0,0,4,1,-4.8,0.98,1,0,24
43,8,0,0,2,1,-6.53,0.9796,1,0,24
44,7,0,0,3,1,-5.72,0.9791,1,0,24
45,7,0,0,3,1,-6.22,0.9786,1,0,24
46,12,0,0,1,1,-8.37,0.9781,1,0,24
47,5,0,0,2,1,-4.6,0.9777,1,0,24
48,18,0,0,1,1,-10.43,0.9772,1,0,24
49,17,0,0,3,2,-8.37,0.9767,1,0,24
50,7,0,0,3,1,-6.12,0.9762,1,0,24
51,18,0,0,2,1,-10.13,0.9758,1,0,24
52,12,0,0,1,1,-6.97,0.9753,1,0,24
53,11,0,0,3,1,-7.36,0.9748,1,0,24
54,11,0,0,3,1,-6.86,0.9744,1,0,24
55,13,0,0,2,1,-7.73,0.9739,1,0,24
56,9,0,0,3,1,-6.24,0.9734,1,0,24
57,5,0,0,3,1,-5.2,0.9729,1,0,24
58,5,0,0,4,1,-5.25,0.9725,1,0,24
59,6,0,0,2,1,-6.46,0.972,1,0,24
60,19,0,0,2,1,-11.19,0.9715,1,0,24
61,8,0,0,3,1,-6.13,0.971,1,0,24
62,9,0,0,6,1,-5.34,0.9706,1,0,24
63,8,0,0,2,1,-6.53,0.9701,1,0,28
64,12,0,0,5,1,-6.77,0.9696,1,0,33
65,9,0,0,3,1,-6.69,0.9691,1,0,33
66,5,0,0,4,1,-5.35,0.9687,1,0,33
67,10,0,0,4,1,-6.3,0.9682,1,0,33
68,5,0,0,4,1,-5.35,0.9677,1,0,33
69,5,0,0,4,1,-4.5,0.9672,1,0,33
70,10,0,0,2,1,-7.95,0.9667,1,0,33
71,11,0,0,5,1,-7.61,0.9663,1,0,33
72,6,0,0,2,1,-6.51,0.9658,1,0,33
73,10,0,0,3,1,-7.2,0.9653,1,0,33
74,5,0,0,3,1,-4.75,0.9648,1,0,33
75,7,0,0,3,1,-5.77,0.9644,1,0,33
76,5,0,0,4,1,-5.35,0.9639,1,0,33
77,7,0,0,4,1,-6.37,0.9634,1,0,33
78,11,0,0,3,1,-8.06,0.9629,1,0,33
79,5,0,0,4,1,-5.75,0.9625,1,0,33
80,5,0,0,2,1,-6.0,0.962,1,0,33
81,14,0,0,3,1,-7.79,0.9615,1,0,33
82,8,0,0,4,1,-5.43,0.961,1,0,33
83,5,0,0,3,1,-5.2,0.9606,1,0,33
84,16,0,0,5,2,-7.66,0.9601,1,0,33
85,9,0,0,2,1,-7.09,0.9596,1,0,33
86,18,0,0,3,1,-6.93,0.9591,1,0,34
87,5,0,0,4,1,-5.35,0.9587,1,0,34
88,8,0,0,2,1,-7.03,0.9582,1,0,34
89,11,0,0,0,1,-6.71,0.9577,1,0,34
90,5,0,0,3,1,-5.65,0.9573,1,0,34
91,13,0,0,1,1,-7.03,0.9568,1,0,34
92,7,0,0,4,1,-6.37,0.9563,1,0,34
93,17,0,0,3,1,-7.42,0.9558,1,0,34
94,21,0,0,5,1,-10.31,0.9554,1,0,36
95,6,0,0,2,1,-6.01,0.9549,1,0,36
96,6,0,0,3,1,-5.66,0.9544,1,0,36
97,11,0,0,4,1,-6.96,0.9539,1,0,36
98,9,0,0,4,1,-5.49,0.9535,1,0,36
99,7,0,0,1,1,-6.82,0.953,1,0,36
100,5,0,0,4,1,-5.35,0.9525,1,0,36
101,7,0,0,1,1,-6.77,0.952,1,0,36
102,5,0,0,4,1,-5.3,0.9516,1,0,36
103,8,0,0,2,1,-7.03,0.9511,1,0,36
104,19,0,0,3,1,-10.89,0.9506,1,0,36
105,6,0,0,3,1,-5.16,0.9501,1,0,36
106,7,0,0,3,1,-6.22,0.9496,1,0,36
107,7,0,0,4,1,-6.27,0.9492,1,0,36
108,15,0,0,3,1,-7.45,0.9487,1,0,36
109,8,0,0,3,1,-6.18,0.9482,1,0,36
110,30,0,0,6,2,-11.65,0.9477,1,0,36
111,10,0,0,3,1,-7.2,0.9473,1,0,36
112,7,0,0,3,1,-5.77,0.9468,1,0,36
113,5,0,0,3,1,-5.7,0.9463,1,0,36
114,6,0,0,3,1,-5.16,0.9458,1,0,36
115,35,0,0,3,2,-11.85,0.9454,1,0,39
116,9,0,0,2,1,-6.04,0.9449,1,0,39
