episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,19,0,0,3,1,-11.535,0.9406,1,0,6
2,5,0,0,3,1,-8.205,0.8812,1,0,11
3,8,0,0,2,1,-10.7325,0.8219,1,0,16
4,9,0,0,4,1,-10.54,0.7625,1,0,21
5,7,0,0,3,1,-8.45,0.7031,1,0,27
6,11,0,0,2,1,-10.2925,0.6438,1,0,32
7,12,0,0,3,1,-8.435,0.5844,1,0,32
8,8,0,0,5,1,-7.14,0.525,1,0,39
9,16,0,0,3,1,-10.9425,0.4656,1,0,47
10,7,0,0,3,1,-4.485,0.4062,1,0,49
11,6,0,0,3,1,-7.5,0.3469,1,0,49
12,7,0,0,2,1,-8.2,0.2875,1,0,49
13,5,0,0,3,1,-9.705,0.2281,1,0,52
14,18,0,0,6,2,-10.505,0.1688,1,0,55
15,8,0,0,3,1,-5.435,0.1094,1,0,58
16,13,0,0,6,2,-7.0625,0.05,1,0,63
17,6,0,0,3,1,-7.4425,0.05,1,0,64
18,13,0,0,6,2,-10.0425,0.05,1,0,65
19,6,0,0,3,1,-7.5,0.05,1,0,65
20,13,0,0,8,2,-10.0275,0.05,1,0,67
