episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,19,0,0,3,1,-11.5975,0.9406,1,0,6
2,5,0,0,3,1,-8.155,0.8812,1,0,11
3,8,0,0,1,1,-7.9325,0.8219,1,0,16
4,9,0,0,4,1,-10.4325,0.7625,1,0,16
5,7,0,0,4,1,-10.7275,0.7031,1,0,16
6,18,0,0,4,2,-11.34,0.6438,1,0,23
7,5,0,0,4,1,-9.845,0.5844,1,0,23
8,10,0,0,2,1,-11.0425,0.525,1,0,28
9,13,0,0,3,1,-8.535,0.4656,1,0,30
10,7,0,0,2,1,-7.95,0.4062,1,0,30
11,6,0,0,3,1,-4.235,0.3469,1,0,31
12,7,0,0,2,1,-4.635,0.2875,1,0,31
13,8,0,0,4,1,-8.3425,0.2281,1,0,31
14,8,0,0,3,1,-7.5425,0.1688,1,0,31
15,6,0,0,3,1,-6.45,0.1094,1,0,31
16,6,0,0,3,1,-7.15,0.05,1,0,31
17,13,0,0,6,2,-7.3275,0.05,1,0,32
18,13,0,0,6,2,-6.0975,0.05,1,0,35
19,21,0,0,9,3,-6.375,0.05,1,0,39
20,7,0,0,5,1,-4.7125,0.05,1,0,41
