episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,29,1,1,7,3,-12.165,0.2375,1,0,46
2,7,0,0,3,1,-8.2425,0.225,1,0,50
3,9,0,0,5,1,-8.135,0.2125,1,0,53
4,5,0,0,4,1,-9.735,0.2,1,0,53
5,6,0,0,2,1,-7.55,0.1875,1,0,53
6,6,0,0,2,1,-8.25,0.175,1,0,53
7,21,0,0,3,1,-8.805,0.1625,1,0,53
8,9,0,0,5,1,-5.2975,0.15,1,0,53
9,5,0,0,3,1,-8.345,0.1375,1,0,53
10,6,0,0,3,1,-5.635,0.125,1,0,53
11,29,0,0,10,3,-8.415,0.1125,1,0,54
12,16,0,0,4,2,-7.9825,0.1,1,0,54
13,6,0,0,2,1,-7.7275,0.0875,1,0,54
14,34,0,0,10,3,-9.3725,0.075,1,0,55
15,79,0,0,16,5,-9.675,0.0625,1,0,57
16,20,0,0,8,3,-9.0225,0.05,1,0,57
17,31,0,0,13,4,-6.37,0.05,1,0,59
18,21,0,0,6,3,-10.165,0.05,1,0,63
19,35,0,0,16,5,-8.79,0.05,1,0,67
20,20,0,0,11,3,-7.48,0.05,1,0,67
